# _root_ Ruští zástupci na jednáních navrhli , že by splátky mohly tvořit dodávky zbraní , což česká strana odmítla .
#goldHeads=2,5,5,3,14,7,5,10,11,7,10,10,12,0,18,17,18,14,0,
#predictedHeads=2,5,5,3,0,7,5,10,10,7,10,10,12,7,18,17,18,14,0,
(0,1),-1.27869 # DEPENDENCYPART_ARC
(0,2),-0.852736 # DEPENDENCYPART_ARC
(0,3),-0.62234 # DEPENDENCYPART_ARC
(0,5),-0.16116 # DEPENDENCYPART_ARC
(0,6),-0.56615 # DEPENDENCYPART_ARC
(0,7),-1.41299 # DEPENDENCYPART_ARC
(0,10),-0.782639 # DEPENDENCYPART_ARC
(0,11),-1.7384 # DEPENDENCYPART_ARC
(0,14),-0.990041 # DEPENDENCYPART_ARC
(0,18),-1.47279 # DEPENDENCYPART_ARC
(0,19),2.12955 # DEPENDENCYPART_ARC
(1,3),-1.24018 # DEPENDENCYPART_ARC
(2,1),2.24327 # DEPENDENCYPART_ARC
(2,3),0.137284 # DEPENDENCYPART_ARC
(2,4),-2.05145 # DEPENDENCYPART_ARC
(2,5),-2.06889 # DEPENDENCYPART_ARC
(2,6),-1.19391 # DEPENDENCYPART_ARC
(2,7),-1.3216 # DEPENDENCYPART_ARC
(2,9),-4.92041 # DEPENDENCYPART_ARC
(2,10),-3.97285 # DEPENDENCYPART_ARC
(3,2),-3.42274 # DEPENDENCYPART_ARC
(3,4),3.62461 # DEPENDENCYPART_ARC
(3,5),-2.4945 # DEPENDENCYPART_ARC
(3,6),-1.62117 # DEPENDENCYPART_ARC
(3,7),-2.17339 # DEPENDENCYPART_ARC
(4,1),-2.67596 # DEPENDENCYPART_ARC
(4,2),-1.40729 # DEPENDENCYPART_ARC
(4,3),-0.97355 # DEPENDENCYPART_ARC
(4,5),-1.20249 # DEPENDENCYPART_ARC
(4,7),-0.98112 # DEPENDENCYPART_ARC
(4,9),-4.00122 # DEPENDENCYPART_ARC
(5,1),-0.512017 # DEPENDENCYPART_ARC
