# _root_ Řešení by se však hledat mělo , protože oba festivaly měly jednak vysokou úroveň , jednak lákaly do Prahy řadu turistů .
#goldHeads=6,6,6,6,6,0,8,6,10,16,16,16,14,11,16,8,16,17,18,17,20,0,
#predictedHeads=6,6,6,0,6,4,8,6,10,11,16,16,14,11,16,8,16,17,18,17,20,0,
(0,1),-1.12591 # DEPENDENCYPART_ARC
(0,4),0.558445 # DEPENDENCYPART_ARC
(0,5),-2.33989 # DEPENDENCYPART_ARC
(0,6),-0.977234 # DEPENDENCYPART_ARC
(0,7),-1.04592 # DEPENDENCYPART_ARC
(0,8),-1.62323 # DEPENDENCYPART_ARC
(0,11),-1.34037 # DEPENDENCYPART_ARC
(0,15),-1.36944 # DEPENDENCYPART_ARC
(0,16),-1.45909 # DEPENDENCYPART_ARC
(0,17),-2.46985 # DEPENDENCYPART_ARC
(0,22),2.09214 # DEPENDENCYPART_ARC
(1,2),-0.233491 # DEPENDENCYPART_ARC
(1,4),-0.944439 # DEPENDENCYPART_ARC
(1,5),-1.3507 # DEPENDENCYPART_ARC
(1,6),-2.90294 # DEPENDENCYPART_ARC
(4,1),-0.778613 # DEPENDENCYPART_ARC
(4,2),0.302084 # DEPENDENCYPART_ARC
(4,3),-0.788639 # DEPENDENCYPART_ARC
(4,5),0.172202 # DEPENDENCYPART_ARC
(4,6),-0.721039 # DEPENDENCYPART_ARC
(4,7),-0.593496 # DEPENDENCYPART_ARC
(4,8),-1.58473 # DEPENDENCYPART_ARC
(4,11),-2.65159 # DEPENDENCYPART_ARC
(4,12),-1.59153 # DEPENDENCYPART_ARC
(4,15),-0.56404 # DEPENDENCYPART_ARC
(4,16),-1.85611 # DEPENDENCYPART_ARC
(4,17),-3.38021 # DEPENDENCYPART_ARC
(5,1),-1.18935 # DEPENDENCYPART_ARC
(5,3),0.733574 # DEPENDENCYPART_ARC
(5,4),-0.136446 # DEPENDENCYPART_ARC
(5,6),0.739847 # DEPENDENCYPART_ARC
(5,7),-1.12815 # DEPENDENCYPART_ARC
(5,8),-0.491789 # DEPENDENCYPART_ARC
(5,9),-2.29947 # DEPENDENCYPART_ARC
(5,10),-3.65949 # DEPENDENCYPART_ARC
(5,11),-2.46103 # DEPENDENCYPART_ARC
(5,15),-1.39987 # DEPENDENCYPART_ARC
(5,16),-1.49377 # DEPENDENCYPART_ARC
(6,1),0.696053 # DEPENDENCYPART_ARC
(6,2),0.581711 # DEPENDENCYPART_ARC
(6,3),1.19171 # DEPENDENCYPART_ARC
(6,4),0.280584 # DEPENDENCYPART_ARC
(6,5),1.86116 # DEPENDENCYPART_ARC
(6,7),-0.378886 # DEPENDENCYPART_ARC
(6,8),0.0235899 # DEPENDENCYPART_ARC
(6,9),-2.082 # DEPENDENCYPART_ARC
(6,10),-2.15191 # DEPENDENCYPART_ARC
(6,11),-3.19689 # DEPENDENCYPART_ARC
(6,12),-1.21155 # DEPENDENCYPART_ARC
(6,13),-4.29034 # DEPENDENCYPART_ARC
(6,14),-2.74068 # DEPENDENCYPART_ARC
(6,15),-1.26546 # DEPENDENCYPART_ARC
(6,16),-1.08791 # DEPENDENCYPART_ARC
(6,17),-5.25916 # DEPENDENCYPART_ARC
(7,1),-1.53862 # DEPENDENCYPART_ARC
(7,3),-1.36006 # DEPENDENCYPART_ARC
(7,4),-0.452925 # DEPENDENCYPART_ARC
(7,5),-1.36959 # DEPENDENCYPART_ARC
(7,6),-1.06123 # DEPENDENCYPART_ARC
(7,9),-1.62157 # DEPENDENCYPART_ARC
(7,11),-1.60691 # DEPENDENCYPART_ARC
(8,4),-0.899938 # DEPENDENCYPART_ARC
(8,6),-0.953793 # DEPENDENCYPART_ARC
(8,7),1.44235 # DEPENDENCYPART_ARC
(8,9),0.0936509 # DEPENDENCYPART_ARC
(8,10),-1.15719 # DEPENDENCYPART_ARC
(8,11),0.321473 # DEPENDENCYPART_ARC
(8,12),-0.51706 # DEPENDENCYPART_ARC
(8,14),-2.2443 # DEPENDENCYPART_ARC
(8,15),-0.465702 # DEPENDENCYPART_ARC
(8,16),-0.849241 # DEPENDENCYPART_ARC
(8,17),-1.20984 # DEPENDENCYPART_ARC
(8,18),-2.08041 # DEPENDENCYPART_ARC
(8,20),-3.14075 # DEPENDENCYPART_ARC
(8,21),-3.08485 # DEPENDENCYPART_ARC
(9,7),-1.40901 # DEPENDENCYPART_ARC
(9,8),-0.316481 # DEPENDENCYPART_ARC
(9,10),-1.73621 # DEPENDENCYPART_ARC
(10,3),-5.15861 # DEPENDENCYPART_ARC
(10,7),-1.26797 # DEPENDENCYPART_ARC
(10,8),-0.513174 # DEPENDENCYPART_ARC
(10,9),2.49441 # DEPENDENCYPART_ARC
(10,12),-1.23274 # DEPENDENCYPART_ARC
(10,13),-4.4722 # DEPENDENCYPART_ARC
(10,14),-4.03252 # DEPENDENCYPART_ARC
(11,1),-1.3216 # DEPENDENCYPART_ARC
(11,2),-0.6653 # DEPENDENCYPART_ARC
(11,3),-1.09715 # DEPENDENCYPART_ARC
(11,4),-0.431098 # DEPENDENCYPART_ARC
(11,5),-0.335787 # DEPENDENCYPART_ARC
(11,6),-1.94032 # DEPENDENCYPART_ARC
(11,7),-0.785703 # DEPENDENCYPART_ARC
(11,8),-0.40379 # DEPENDENCYPART_ARC
(11,9),0.299709 # DEPENDENCYPART_ARC
(11,10),1.27944 # DEPENDENCYPART_ARC
(11,12),-0.3637 # DEPENDENCYPART_ARC
(11,13),-2.25544 # DEPENDENCYPART_ARC
(11,14),0.480652 # DEPENDENCYPART_ARC
(11,15),-0.525164 # DEPENDENCYPART_ARC
(11,16),-0.521333 # DEPENDENCYPART_ARC
(11,17),-3.00986 # DEPENDENCYPART_ARC
(11,18),-0.526376 # DEPENDENCYPART_ARC
(11,19),-4.42544 # DEPENDENCYPART_ARC
(11,20),-1.28766 # DEPENDENCYPART_ARC
(11,21),-3.17649 # DEPENDENCYPART_ARC
(12,1),-1.67936 # DEPENDENCYPART_ARC
(12,2),-2.02994 # DEPENDENCYPART_ARC
(12,3),-1.60672 # DEPENDENCYPART_ARC
(12,4),-0.620155 # DEPENDENCYPART_ARC
(12,5),-1.51596 # DEPENDENCYPART_ARC
(12,6),-1.26665 # DEPENDENCYPART_ARC
(12,7),-0.126968 # DEPENDENCYPART_ARC
(12,8),-0.186867 # DEPENDENCYPART_ARC
(12,9),-0.571556 # DEPENDENCYPART_ARC
(12,10),-0.667174 # DEPENDENCYPART_ARC
(12,11),0.441215 # DEPENDENCYPART_ARC
(12,13),-0.712791 # DEPENDENCYPART_ARC
(12,14),-1.11957 # DEPENDENCYPART_ARC
(12,15),-0.760088 # DEPENDENCYPART_ARC
(12,16),-1.03051 # DEPENDENCYPART_ARC
(12,17),-0.678835 # DEPENDENCYPART_ARC
(12,18),-2.00749 # DEPENDENCYPART_ARC
(12,20),-3.10908 # DEPENDENCYPART_ARC
(12,21),-3.15667 # DEPENDENCYPART_ARC
(13,12),-0.665039 # DEPENDENCYPART_ARC
(13,14),-1.95457 # DEPENDENCYPART_ARC
(13,17),-2.95237 # DEPENDENCYPART_ARC
(14,9),-2.55715 # DEPENDENCYPART_ARC
(14,10),-4.9506 # DEPENDENCYPART_ARC
(14,12),0.539208 # DEPENDENCYPART_ARC
(14,13),2.49359 # DEPENDENCYPART_ARC
(14,15),-1.10216 # DEPENDENCYPART_ARC
(14,16),-1.07779 # DEPENDENCYPART_ARC
(14,17),-2.09011 # DEPENDENCYPART_ARC
(14,18),-2.13954 # DEPENDENCYPART_ARC
(14,19),-1.0362 # DEPENDENCYPART_ARC
(14,20),-3.87401 # DEPENDENCYPART_ARC
(14,21),-2.45004 # DEPENDENCYPART_ARC
(15,1),-2.59918 # DEPENDENCYPART_ARC
(15,5),-1.7216 # DEPENDENCYPART_ARC
(15,6),-1.91553 # DEPENDENCYPART_ARC
(15,10),-1.80089 # DEPENDENCYPART_ARC
(15,11),-0.872624 # DEPENDENCYPART_ARC
(15,12),-0.880809 # DEPENDENCYPART_ARC
(15,13),-1.70409 # DEPENDENCYPART_ARC
(15,14),-1.49437 # DEPENDENCYPART_ARC
(15,16),-0.7394 # DEPENDENCYPART_ARC
(15,17),-1.18903 # DEPENDENCYPART_ARC
(15,18),-1.3126 # DEPENDENCYPART_ARC
(15,19),-2.2394 # DEPENDENCYPART_ARC
(15,20),-2.36167 # DEPENDENCYPART_ARC
(15,21),-2.43635 # DEPENDENCYPART_ARC
(16,1),-1.19386 # DEPENDENCYPART_ARC
(16,2),-1.00815 # DEPENDENCYPART_ARC
(16,3),-1.87231 # DEPENDENCYPART_ARC
(16,4),-0.584617 # DEPENDENCYPART_ARC
(16,5),-0.774289 # DEPENDENCYPART_ARC
(16,6),-0.469017 # DEPENDENCYPART_ARC
(16,7),-0.926223 # DEPENDENCYPART_ARC
(16,8),-0.10533 # DEPENDENCYPART_ARC
(16,9),-1.38299 # DEPENDENCYPART_ARC
(16,10),-0.777385 # DEPENDENCYPART_ARC
(16,11),0.659544 # DEPENDENCYPART_ARC
(16,12),0.255436 # DEPENDENCYPART_ARC
(16,13),-1.32062 # DEPENDENCYPART_ARC
(16,14),-1.01638 # DEPENDENCYPART_ARC
(16,15),1.20445 # DEPENDENCYPART_ARC
(16,17),0.963826 # DEPENDENCYPART_ARC
(16,18),-1.2094 # DEPENDENCYPART_ARC
(16,19),-2.17481 # DEPENDENCYPART_ARC
(16,20),-2.23732 # DEPENDENCYPART_ARC
(16,21),-2.3346 # DEPENDENCYPART_ARC
(16,22),-1.20053 # DEPENDENCYPART_ARC
(17,1),-1.97137 # DEPENDENCYPART_ARC
(17,2),-1.32622 # DEPENDENCYPART_ARC
(17,3),-2.40109 # DEPENDENCYPART_ARC
(17,4),-0.772085 # DEPENDENCYPART_ARC
(17,5),-1.18978 # DEPENDENCYPART_ARC
(17,8),-0.892147 # DEPENDENCYPART_ARC
