# _root_ 2 . etapu ( 201 km , cíl v Galway ) vyhrál Vanderaerden za 5 : 18 : 37 , 2 .
#goldHeads=3,1,12,7,7,5,3,7,8,9,7,0,12,12,18,18,18,14,18,21,19,0,
#predictedHeads=3,1,7,3,3,5,12,7,8,9,7,0,12,12,16,14,16,20,18,12,20,0,
(0,1),0.126288 # DEPENDENCYPART_ARC
(0,2),-0.106874 # DEPENDENCYPART_ARC
(0,3),-0.816404 # DEPENDENCYPART_ARC
(0,4),-0.502707 # DEPENDENCYPART_ARC
(0,5),-0.627429 # DEPENDENCYPART_ARC
(0,6),-1.07691 # DEPENDENCYPART_ARC
(0,7),-0.311974 # DEPENDENCYPART_ARC
(0,8),-1.21092 # DEPENDENCYPART_ARC
(0,9),-1.07712 # DEPENDENCYPART_ARC
(0,11),-2.29875 # DEPENDENCYPART_ARC
(0,12),0.734953 # DEPENDENCYPART_ARC
(0,14),-0.72137 # DEPENDENCYPART_ARC
(0,15),-1.24326 # DEPENDENCYPART_ARC
(0,16),-1.24431 # DEPENDENCYPART_ARC
(0,17),-1.34731 # DEPENDENCYPART_ARC
(0,18),-1.55092 # DEPENDENCYPART_ARC
(0,19),-1.02096 # DEPENDENCYPART_ARC
(0,20),-0.619116 # DEPENDENCYPART_ARC
(0,21),-0.834358 # DEPENDENCYPART_ARC
(0,22),1.42869 # DEPENDENCYPART_ARC
(1,2),1.30639 # DEPENDENCYPART_ARC
(1,3),-1.61091 # DEPENDENCYPART_ARC
(1,4),-1.28707 # DEPENDENCYPART_ARC
(1,5),-1.37176 # DEPENDENCYPART_ARC
(2,1),-1.75359 # DEPENDENCYPART_ARC
(3,1),-0.334762 # DEPENDENCYPART_ARC
(3,2),-0.174854 # DEPENDENCYPART_ARC
(3,4),0.132544 # DEPENDENCYPART_ARC
(3,5),-0.359338 # DEPENDENCYPART_ARC
(3,6),-0.859478 # DEPENDENCYPART_ARC
(3,7),-1.09183 # DEPENDENCYPART_ARC
(3,8),-1.86875 # DEPENDENCYPART_ARC
(3,9),-0.613623 # DEPENDENCYPART_ARC
(3,11),-1.17338 # DEPENDENCYPART_ARC
(3,12),-1.37095 # DEPENDENCYPART_ARC
(4,1),-1.01396 # DEPENDENCYPART_ARC
(4,2),-1.33576 # DEPENDENCYPART_ARC
(4,3),-0.583577 # DEPENDENCYPART_ARC
(4,5),-1.0798 # DEPENDENCYPART_ARC
(4,6),-1.12269 # DEPENDENCYPART_ARC
(4,7),-1.04487 # DEPENDENCYPART_ARC
(4,8),-1.95668 # DEPENDENCYPART_ARC
(4,11),-0.417498 # DEPENDENCYPART_ARC
(4,12),-2.01567 # DEPENDENCYPART_ARC
(5,2),-1.82412 # DEPENDENCYPART_ARC
(5,3),-1.34099 # DEPENDENCYPART_ARC
(5,4),-0.815591 # DEPENDENCYPART_ARC
(5,6),0.941003 # DEPENDENCYPART_ARC
(5,7),-1.01811 # DEPENDENCYPART_ARC
(5,8),-1.21804 # DEPENDENCYPART_ARC
(5,10),-1.53132 # DEPENDENCYPART_ARC
(6,1),-2.518 # DEPENDENCYPART_ARC
(6,3),-4.30259 # DEPENDENCYPART_ARC
(6,4),-1.25521 # DEPENDENCYPART_ARC
(6,5),-0.775142 # DEPENDENCYPART_ARC
(6,7),-0.513755 # DEPENDENCYPART_ARC
(6,8),-1.13564 # DEPENDENCYPART_ARC
(6,9),-1.46954 # DEPENDENCYPART_ARC
(6,11),-1.36208 # DEPENDENCYPART_ARC
(6,12),-2.69643 # DEPENDENCYPART_ARC
(7,1),-2.24941 # DEPENDENCYPART_ARC
(7,2),-1.13213 # DEPENDENCYPART_ARC
(7,3),-0.388796 # DEPENDENCYPART_ARC
(7,4),-0.488908 # DEPENDENCYPART_ARC
(7,5),-1.11978 # DEPENDENCYPART_ARC
(7,6),0.0627288 # DEPENDENCYPART_ARC
(7,8),0.011663 # DEPENDENCYPART_ARC
(7,9),-0.630843 # DEPENDENCYPART_ARC
(7,10),-1.56674 # DEPENDENCYPART_ARC
(7,11),0.0766109 # DEPENDENCYPART_ARC
(7,12),-1.3444 # DEPENDENCYPART_ARC
(7,13),-2.63379 # DEPENDENCYPART_ARC
(7,14),-1.60949 # DEPENDENCYPART_ARC
(7,15),-1.92283 # DEPENDENCYPART_ARC
(7,16),-1.30629 # DEPENDENCYPART_ARC
(7,17),-2.36835 # DEPENDENCYPART_ARC
(7,20),-0.917271 # DEPENDENCYPART_ARC
(8,3),-4.83013 # DEPENDENCYPART_ARC
(8,5),-1.93447 # DEPENDENCYPART_ARC
(8,6),-1.46271 # DEPENDENCYPART_ARC
(8,7),-0.943065 # DEPENDENCYPART_ARC
(8,9),0.555952 # DEPENDENCYPART_ARC
(8,10),-0.000840293 # DEPENDENCYPART_ARC
(8,11),-0.790791 # DEPENDENCYPART_ARC
(8,12),-1.89759 # DEPENDENCYPART_ARC
(8,13),-2.62247 # DEPENDENCYPART_ARC
(8,14),-0.874122 # DEPENDENCYPART_ARC
(8,15),-1.74037 # DEPENDENCYPART_ARC
(8,19),-2.19623 # DEPENDENCYPART_ARC
(8,21),-2.0457 # DEPENDENCYPART_ARC
(9,7),-1.41555 # DEPENDENCYPART_ARC
(9,10),1.73256 # DEPENDENCYPART_ARC
(9,11),-1.04283 # DEPENDENCYPART_ARC
(9,13),-4.41082 # DEPENDENCYPART_ARC
(10,9),-1.59645 # DEPENDENCYPART_ARC
(10,11),-1.18047 # DEPENDENCYPART_ARC
(10,12),-2.53194 # DEPENDENCYPART_ARC
(11,10),-2.42204 # DEPENDENCYPART_ARC
(12,1),-1.66407 # DEPENDENCYPART_ARC
(12,2),-1.14569 # DEPENDENCYPART_ARC
(12,3),-1.79668 # DEPENDENCYPART_ARC
(12,4),-1.0618 # DEPENDENCYPART_ARC
(12,5),-1.57816 # DEPENDENCYPART_ARC
(12,6),-2.01909 # DEPENDENCYPART_ARC
(12,7),-0.851309 # DEPENDENCYPART_ARC
(12,8),-0.123882 # DEPENDENCYPART_ARC
(12,9),-0.538809 # DEPENDENCYPART_ARC
(12,10),-2.37694 # DEPENDENCYPART_ARC
(12,11),-0.798169 # DEPENDENCYPART_ARC
(12,13),1.78479 # DEPENDENCYPART_ARC
(12,14),0.652097 # DEPENDENCYPART_ARC
(12,15),-0.859314 # DEPENDENCYPART_ARC
(12,16),-0.371038 # DEPENDENCYPART_ARC
(12,17),-1.11886 # DEPENDENCYPART_ARC
(12,18),-0.526415 # DEPENDENCYPART_ARC
(12,19),-1.70765 # DEPENDENCYPART_ARC
(12,20),-1.04487 # DEPENDENCYPART_ARC
(12,21),-2.10495 # DEPENDENCYPART_ARC
(12,22),-1.56961 # DEPENDENCYPART_ARC
(13,10),-0.0105977 # DEPENDENCYPART_ARC
(13,14),-0.575897 # DEPENDENCYPART_ARC
(13,15),-0.564428 # DEPENDENCYPART_ARC
(13,16),-0.635124 # DEPENDENCYPART_ARC
(13,17),-0.924572 # DEPENDENCYPART_ARC
(13,18),-0.996063 # DEPENDENCYPART_ARC
(13,19),-1.50959 # DEPENDENCYPART_ARC
(13,20),-1.34172 # DEPENDENCYPART_ARC
(13,21),-1.45175 # DEPENDENCYPART_ARC
(14,13),-3.02038 # DEPENDENCYPART_ARC
(14,15),0.846403 # DEPENDENCYPART_ARC
(14,16),-0.306799 # DEPENDENCYPART_ARC
(14,17),-0.55198 # DEPENDENCYPART_ARC
(14,18),-0.67821 # DEPENDENCYPART_ARC
(14,20),-1.38506 # DEPENDENCYPART_ARC
(14,22),-1.73611 # DEPENDENCYPART_ARC
(15,13),-1.69556 # DEPENDENCYPART_ARC
(15,14),-1.06249 # DEPENDENCYPART_ARC
(15,16),0.0717448 # DEPENDENCYPART_ARC
(15,17),-0.716854 # DEPENDENCYPART_ARC
(15,18),-1.35219 # DEPENDENCYPART_ARC
(15,19),-1.69694 # DEPENDENCYPART_ARC
(15,22),-2.7884 # DEPENDENCYPART_ARC
(16,1),-3.97297 # DEPENDENCYPART_ARC
(16,2),-1.63603 # DEPENDENCYPART_ARC
(16,3),-1.79617 # DEPENDENCYPART_ARC
(16,4),-1.29318 # DEPENDENCYPART_ARC
(16,5),-2.2298 # DEPENDENCYPART_ARC
(16,6),-1.41975 # DEPENDENCYPART_ARC
(16,7),-1.89072 # DEPENDENCYPART_ARC
(16,8),-1.1272 # DEPENDENCYPART_ARC
