# _root_ Celý film připomíná spíš několik samostatných , volně řazených epizod , v nichž se vždycky jedna z hrdinek octne v nesnázích a zbývající tři ji společně zachraňují .
#goldHeads=2,3,0,3,3,7,10,9,7,5,22,22,12,19,19,19,16,17,22,19,20,10,27,27,27,27,22,0,
#predictedHeads=2,3,0,5,3,7,10,9,7,3,22,19,12,19,16,19,16,17,22,19,20,10,27,27,27,27,22,0,
(0,1),-1.03307 # DEPENDENCYPART_ARC
(0,2),-1.13825 # DEPENDENCYPART_ARC
(0,3),0.266353 # DEPENDENCYPART_ARC
(0,4),-0.972357 # DEPENDENCYPART_ARC
(0,5),-1.46991 # DEPENDENCYPART_ARC
(0,7),-1.09008 # DEPENDENCYPART_ARC
(0,8),-1.34385 # DEPENDENCYPART_ARC
(0,9),-2.48786 # DEPENDENCYPART_ARC
(0,11),-1.12027 # DEPENDENCYPART_ARC
(0,16),-2.57039 # DEPENDENCYPART_ARC
(0,19),-0.712676 # DEPENDENCYPART_ARC
(0,22),-1.05997 # DEPENDENCYPART_ARC
(0,24),-3.03913 # DEPENDENCYPART_ARC
(0,27),-1.93703 # DEPENDENCYPART_ARC
(0,28),2.2013 # DEPENDENCYPART_ARC
(2,1),2.57927 # DEPENDENCYPART_ARC
(2,3),-1.69258 # DEPENDENCYPART_ARC
(2,6),-3.52119 # DEPENDENCYPART_ARC
(2,9),-4.03583 # DEPENDENCYPART_ARC
(2,19),-3.32431 # DEPENDENCYPART_ARC
(2,23),-3.71152 # DEPENDENCYPART_ARC
(2,27),-3.93108 # DEPENDENCYPART_ARC
(3,1),-0.312859 # DEPENDENCYPART_ARC
(3,2),1.19697 # DEPENDENCYPART_ARC
(3,4),0.577518 # DEPENDENCYPART_ARC
(3,5),0.503856 # DEPENDENCYPART_ARC
(3,6),-2.53503 # DEPENDENCYPART_ARC
(3,7),-0.730759 # DEPENDENCYPART_ARC
(3,8),-0.930618 # DEPENDENCYPART_ARC
(3,9),-4.05034 # DEPENDENCYPART_ARC
(3,10),-2.05304 # DEPENDENCYPART_ARC
(3,11),-0.685011 # DEPENDENCYPART_ARC
(3,12),-1.40735 # DEPENDENCYPART_ARC
(3,15),-1.57587 # DEPENDENCYPART_ARC
