# _root_ Německá spolková republika dosud v četných případech politických uprchlíků , kteří se stali německými státními příslušníky , dvojí občanství tolerovala a ještě toleruje .
#goldHeads=3,3,21,21,21,7,5,9,7,13,13,13,9,16,16,13,13,19,21,21,0,23,21,0,
#predictedHeads=3,3,21,6,20,7,5,9,7,13,13,13,9,16,16,13,21,19,20,21,0,23,21,0,
(0,1),-0.925181 # DEPENDENCYPART_ARC
(0,2),-1.38663 # DEPENDENCYPART_ARC
(0,3),-0.905004 # DEPENDENCYPART_ARC
(0,4),-0.952068 # DEPENDENCYPART_ARC
(0,5),-1.20832 # DEPENDENCYPART_ARC
(0,10),-1.21636 # DEPENDENCYPART_ARC
(0,11),-2.86142 # DEPENDENCYPART_ARC
(0,13),-0.243474 # DEPENDENCYPART_ARC
(0,17),-1.6848 # DEPENDENCYPART_ARC
(0,20),-0.580145 # DEPENDENCYPART_ARC
(0,21),-1.2246 # DEPENDENCYPART_ARC
(0,22),-2.42819 # DEPENDENCYPART_ARC
(0,23),-1.30858 # DEPENDENCYPART_ARC
(0,24),2.01345 # DEPENDENCYPART_ARC
(1,2),-1.919 # DEPENDENCYPART_ARC
(1,5),-1.26973 # DEPENDENCYPART_ARC
(2,1),-1.3409 # DEPENDENCYPART_ARC
(2,5),-1.05056 # DEPENDENCYPART_ARC
(3,1),1.93299 # DEPENDENCYPART_ARC
(3,2),2.67529 # DEPENDENCYPART_ARC
(3,4),-0.835705 # DEPENDENCYPART_ARC
(3,5),-1.10282 # DEPENDENCYPART_ARC
(3,6),-2.99364 # DEPENDENCYPART_ARC
(3,7),-2.00772 # DEPENDENCYPART_ARC
(3,8),-2.56488 # DEPENDENCYPART_ARC
(3,9),-1.36826 # DEPENDENCYPART_ARC
(3,13),-2.04139 # DEPENDENCYPART_ARC
(4,1),-1.90943 # DEPENDENCYPART_ARC
(4,2),-1.56933 # DEPENDENCYPART_ARC
(4,3),-1.65492 # DEPENDENCYPART_ARC
(4,5),-1.04894 # DEPENDENCYPART_ARC
(4,6),-2.03695 # DEPENDENCYPART_ARC
(5,3),-3.55663 # DEPENDENCYPART_ARC
(5,4),-1.35158 # DEPENDENCYPART_ARC
(5,6),-0.497037 # DEPENDENCYPART_ARC
(5,7),2.2167 # DEPENDENCYPART_ARC
(5,8),-3.1836 # DEPENDENCYPART_ARC
(5,9),-2.50014 # DEPENDENCYPART_ARC
(5,10),-1.0247 # DEPENDENCYPART_ARC
(6,4),-1.04267 # DEPENDENCYPART_ARC
(7,1),-3.20874 # DEPENDENCYPART_ARC
(7,2),-2.98134 # DEPENDENCYPART_ARC
(7,3),-2.65629 # DEPENDENCYPART_ARC
(7,4),-0.652897 # DEPENDENCYPART_ARC
(7,6),1.41507 # DEPENDENCYPART_ARC
(7,8),-0.767681 # DEPENDENCYPART_ARC
(7,9),0.217599 # DEPENDENCYPART_ARC
(7,10),-1.16626 # DEPENDENCYPART_ARC
(7,13),-1.08544 # DEPENDENCYPART_ARC
(7,16),-3.85771 # DEPENDENCYPART_ARC
(7,17),-1.03139 # DEPENDENCYPART_ARC
(7,19),-4.14621 # DEPENDENCYPART_ARC
(7,20),-3.46022 # DEPENDENCYPART_ARC
(7,21),-1.23682 # DEPENDENCYPART_ARC
(8,6),-3.42936 # DEPENDENCYPART_ARC
(8,7),-2.45615 # DEPENDENCYPART_ARC
(8,9),-1.42151 # DEPENDENCYPART_ARC
(9,1),-4.25279 # DEPENDENCYPART_ARC
(9,2),-4.21659 # DEPENDENCYPART_ARC
(9,4),-1.12803 # DEPENDENCYPART_ARC
(9,6),-2.43629 # DEPENDENCYPART_ARC
(9,7),-4.50933 # DEPENDENCYPART_ARC
(9,8),2.27684 # DEPENDENCYPART_ARC
(9,10),-1.33268 # DEPENDENCYPART_ARC
(9,11),-1.91452 # DEPENDENCYPART_ARC
(9,13),-0.395463 # DEPENDENCYPART_ARC
(9,14),-2.62058 # DEPENDENCYPART_ARC
(9,15),-2.98277 # DEPENDENCYPART_ARC
(9,16),-5.29847 # DEPENDENCYPART_ARC
(9,17),-1.59618 # DEPENDENCYPART_ARC
(9,19),-5.20662 # DEPENDENCYPART_ARC
(9,20),-3.02099 # DEPENDENCYPART_ARC
(9,21),-1.68427 # DEPENDENCYPART_ARC
(9,22),-1.80435 # DEPENDENCYPART_ARC
(9,23),-3.46032 # DEPENDENCYPART_ARC
(10,3),-2.2217 # DEPENDENCYPART_ARC
(10,7),-1.64783 # DEPENDENCYPART_ARC
(10,8),-1.90634 # DEPENDENCYPART_ARC
(10,9),-1.64739 # DEPENDENCYPART_ARC
(10,13),-1.25504 # DEPENDENCYPART_ARC
(10,17),-1.11976 # DEPENDENCYPART_ARC
(10,20),-2.73942 # DEPENDENCYPART_ARC
(10,23),-3.42226 # DEPENDENCYPART_ARC
(11,10),-1.07906 # DEPENDENCYPART_ARC
(11,13),-1.42399 # DEPENDENCYPART_ARC
(11,14),-0.758289 # DEPENDENCYPART_ARC
(11,15),-0.878096 # DEPENDENCYPART_ARC
