# _root_ Přestože je chemická struktura molekuly známa již od let sedmdesátých , nenašli chemici levný způsob , jak tuto molekulu syntetizovat .
#goldHeads=12,1,4,2,4,2,9,2,8,9,1,0,12,15,12,20,20,19,20,15,0,
#predictedHeads=12,1,4,2,4,2,9,12,8,9,1,0,12,15,12,20,20,19,20,15,0,
(0,1),0.11861 # DEPENDENCYPART_ARC
(0,2),-0.641412 # DEPENDENCYPART_ARC
(0,6),-1.62506 # DEPENDENCYPART_ARC
(0,10),-2.86342 # DEPENDENCYPART_ARC
(0,11),-1.53271 # DEPENDENCYPART_ARC
(0,12),-0.0591259 # DEPENDENCYPART_ARC
(0,16),-1.38853 # DEPENDENCYPART_ARC
(0,20),-2.23871 # DEPENDENCYPART_ARC
(0,21),1.80151 # DEPENDENCYPART_ARC
(1,2),1.33531 # DEPENDENCYPART_ARC
(1,3),-1.09319 # DEPENDENCYPART_ARC
(1,4),-1.8162 # DEPENDENCYPART_ARC
(1,5),-2.05042 # DEPENDENCYPART_ARC
(1,6),-2.18221 # DEPENDENCYPART_ARC
(1,11),0.939978 # DEPENDENCYPART_ARC
(1,12),-1.35334 # DEPENDENCYPART_ARC
(1,16),0.650894 # DEPENDENCYPART_ARC
(1,20),-1.60695 # DEPENDENCYPART_ARC
(1,21),-1.52106 # DEPENDENCYPART_ARC
(2,1),0.0816436 # DEPENDENCYPART_ARC
(2,3),0.837035 # DEPENDENCYPART_ARC
(2,4),1.06455 # DEPENDENCYPART_ARC
(2,5),-1.12348 # DEPENDENCYPART_ARC
(2,6),1.79338 # DEPENDENCYPART_ARC
(2,7),-1.00443 # DEPENDENCYPART_ARC
(2,8),-0.367955 # DEPENDENCYPART_ARC
(2,9),-3.08087 # DEPENDENCYPART_ARC
(2,10),-2.03369 # DEPENDENCYPART_ARC
(2,11),-0.654272 # DEPENDENCYPART_ARC
(2,12),-2.97894 # DEPENDENCYPART_ARC
(2,13),-2.34071 # DEPENDENCYPART_ARC
(2,14),-2.88211 # DEPENDENCYPART_ARC
(2,15),-1.54503 # DEPENDENCYPART_ARC
(2,16),-1.06513 # DEPENDENCYPART_ARC
(2,17),-2.62517 # DEPENDENCYPART_ARC
(2,19),-2.89391 # DEPENDENCYPART_ARC
(2,20),-0.135068 # DEPENDENCYPART_ARC
(3,1),-1.11403 # DEPENDENCYPART_ARC
(3,2),-1.88965 # DEPENDENCYPART_ARC
(3,4),-1.6655 # DEPENDENCYPART_ARC
(3,5),-1.94636 # DEPENDENCYPART_ARC
(4,1),-0.613168 # DEPENDENCYPART_ARC
(4,2),-1.77822 # DEPENDENCYPART_ARC
(4,3),2.52476 # DEPENDENCYPART_ARC
(4,5),1.41156 # DEPENDENCYPART_ARC
(4,6),-1.56024 # DEPENDENCYPART_ARC
(4,7),-1.23795 # DEPENDENCYPART_ARC
(4,8),-1.14746 # DEPENDENCYPART_ARC
(4,9),-1.19007 # DEPENDENCYPART_ARC
(4,12),-2.60462 # DEPENDENCYPART_ARC
