# _root_ Neuspěje - li ani do této doby , je to signál , že cena byla špatně stanovena a je na místě úvaha o jejím snížení .
#goldHeads=3,3,9,7,1,7,5,3,0,9,9,13,11,17,17,17,18,13,18,19,20,19,22,25,23,0,
#predictedHeads=3,3,9,7,1,7,5,3,0,9,9,13,11,15,18,17,18,13,18,19,20,19,22,25,23,0,
(0,1),-0.155388 # DEPENDENCYPART_ARC
(0,2),-0.634555 # DEPENDENCYPART_ARC
(0,3),-1.19593 # DEPENDENCYPART_ARC
(0,4),-1.18233 # DEPENDENCYPART_ARC
(0,5),-1.41237 # DEPENDENCYPART_ARC
(0,8),-1.2837 # DEPENDENCYPART_ARC
(0,9),-0.162648 # DEPENDENCYPART_ARC
(0,12),-1.28477 # DEPENDENCYPART_ARC
(0,15),-1.2375 # DEPENDENCYPART_ARC
(0,17),-2.55944 # DEPENDENCYPART_ARC
(0,18),-0.592719 # DEPENDENCYPART_ARC
(0,19),-2.73613 # DEPENDENCYPART_ARC
(0,26),2.38785 # DEPENDENCYPART_ARC
(1,2),-0.142249 # DEPENDENCYPART_ARC
(1,3),-0.750937 # DEPENDENCYPART_ARC
(1,4),-0.064214 # DEPENDENCYPART_ARC
(1,5),-0.198491 # DEPENDENCYPART_ARC
(1,6),-2.7735 # DEPENDENCYPART_ARC
(1,7),-1.80632 # DEPENDENCYPART_ARC
(1,8),-0.50913 # DEPENDENCYPART_ARC
(1,9),-1.89366 # DEPENDENCYPART_ARC
(1,10),-1.11967 # DEPENDENCYPART_ARC
(1,11),-1.24574 # DEPENDENCYPART_ARC
(1,12),-1.13046 # DEPENDENCYPART_ARC
(1,13),-1.02887 # DEPENDENCYPART_ARC
(1,16),-2.33768 # DEPENDENCYPART_ARC
(1,18),-1.55642 # DEPENDENCYPART_ARC
(2,1),-0.945272 # DEPENDENCYPART_ARC
(2,3),-0.817749 # DEPENDENCYPART_ARC
(2,4),-0.964914 # DEPENDENCYPART_ARC
(2,5),-1.46189 # DEPENDENCYPART_ARC
(2,7),-1.7215 # DEPENDENCYPART_ARC
(2,8),-0.806353 # DEPENDENCYPART_ARC
(2,18),-1.22634 # DEPENDENCYPART_ARC
(3,1),0.958185 # DEPENDENCYPART_ARC
(3,2),1.57109 # DEPENDENCYPART_ARC
