# _root_ Tento počet zahrnuje vedle dětí osvojených i děti , pro něž měli otevřenou náruč , a hlavně srdce pěstouni .
#goldHeads=2,3,0,3,4,5,8,3,12,12,10,8,14,16,16,12,18,16,12,0,
#predictedHeads=2,3,0,3,4,5,8,3,12,12,10,8,14,12,16,12,18,16,18,0,
(0,1),-1.39631 # DEPENDENCYPART_ARC
(0,2),-1.21578 # DEPENDENCYPART_ARC
(0,3),-0.0985299 # DEPENDENCYPART_ARC
(0,4),-1.18591 # DEPENDENCYPART_ARC
(0,5),-2.58114 # DEPENDENCYPART_ARC
(0,7),-1.60482 # DEPENDENCYPART_ARC
(0,8),-2.19569 # DEPENDENCYPART_ARC
(0,9),-1.19136 # DEPENDENCYPART_ARC
(0,12),-0.398118 # DEPENDENCYPART_ARC
(0,15),-1.27471 # DEPENDENCYPART_ARC
(0,16),-0.802569 # DEPENDENCYPART_ARC
(0,20),1.84302 # DEPENDENCYPART_ARC
(1,2),-1.4127 # DEPENDENCYPART_ARC
(1,3),-2.37503 # DEPENDENCYPART_ARC
(2,1),3.24951 # DEPENDENCYPART_ARC
(2,3),-1.91996 # DEPENDENCYPART_ARC
(2,4),-1.59508 # DEPENDENCYPART_ARC
(2,5),-1.61102 # DEPENDENCYPART_ARC
(2,6),-3.47663 # DEPENDENCYPART_ARC
(2,12),-3.0331 # DEPENDENCYPART_ARC
(3,1),0.726209 # DEPENDENCYPART_ARC
(3,2),1.65642 # DEPENDENCYPART_ARC
(3,4),1.50901 # DEPENDENCYPART_ARC
(3,5),-1.62452 # DEPENDENCYPART_ARC
(3,6),-2.48847 # DEPENDENCYPART_ARC
(3,7),-0.650291 # DEPENDENCYPART_ARC
(3,8),-0.450823 # DEPENDENCYPART_ARC
(3,9),-0.514285 # DEPENDENCYPART_ARC
(3,10),-1.04467 # DEPENDENCYPART_ARC
(3,12),-2.21917 # DEPENDENCYPART_ARC
(3,14),-1.07475 # DEPENDENCYPART_ARC
(3,15),-1.04958 # DEPENDENCYPART_ARC
(3,16),-0.918451 # DEPENDENCYPART_ARC
(3,17),-1.81459 # DEPENDENCYPART_ARC
(3,18),-1.95345 # DEPENDENCYPART_ARC
(3,19),-1.96065 # DEPENDENCYPART_ARC
(4,2),-2.54776 # DEPENDENCYPART_ARC
(4,5),1.86607 # DEPENDENCYPART_ARC
(4,6),-1.53501 # DEPENDENCYPART_ARC
(4,7),-1.21673 # DEPENDENCYPART_ARC
(4,8),-2.68716 # DEPENDENCYPART_ARC
(4,9),-1.21132 # DEPENDENCYPART_ARC
(5,1),-2.96338 # DEPENDENCYPART_ARC
(5,2),-3.81161 # DEPENDENCYPART_ARC
(5,3),-1.23452 # DEPENDENCYPART_ARC
(5,4),-0.185693 # DEPENDENCYPART_ARC
