# _root_ Přesto se zdá , že největší nadějí na zmírnění vlny je bouřlivé počasí , které meteorologové čekají ode dneška .
#goldHeads=3,3,0,5,3,7,11,7,8,9,5,13,11,17,17,17,13,17,18,0,
#predictedHeads=0,3,1,5,3,7,11,7,8,9,5,13,11,17,17,17,13,17,18,0,
(0,1),-0.529588 # DEPENDENCYPART_ARC
(0,3),-0.517317 # DEPENDENCYPART_ARC
(0,4),-0.965597 # DEPENDENCYPART_ARC
(0,5),-1.65617 # DEPENDENCYPART_ARC
(0,11),-0.542264 # DEPENDENCYPART_ARC
(0,14),-1.39487 # DEPENDENCYPART_ARC
(0,17),-0.984154 # DEPENDENCYPART_ARC
(0,20),1.82144 # DEPENDENCYPART_ARC
(1,3),-1.17743 # DEPENDENCYPART_ARC
(1,4),-0.647436 # DEPENDENCYPART_ARC
(1,5),-1.0931 # DEPENDENCYPART_ARC
(1,7),-2.93175 # DEPENDENCYPART_ARC
(3,1),0.872613 # DEPENDENCYPART_ARC
(3,2),2.0336 # DEPENDENCYPART_ARC
(3,4),-0.142408 # DEPENDENCYPART_ARC
(3,5),0.441078 # DEPENDENCYPART_ARC
(3,6),-3.22089 # DEPENDENCYPART_ARC
(3,7),-1.23909 # DEPENDENCYPART_ARC
(3,8),-1.11623 # DEPENDENCYPART_ARC
(3,9),-2.30454 # DEPENDENCYPART_ARC
(3,10),-3.75115 # DEPENDENCYPART_ARC
(3,11),-2.66856 # DEPENDENCYPART_ARC
(3,13),-2.32371 # DEPENDENCYPART_ARC
(3,14),-1.2729 # DEPENDENCYPART_ARC
(3,18),-2.23408 # DEPENDENCYPART_ARC
(4,1),-1.30419 # DEPENDENCYPART_ARC
(4,2),-1.37249 # DEPENDENCYPART_ARC
(4,3),-1.22918 # DEPENDENCYPART_ARC
(4,5),-0.874793 # DEPENDENCYPART_ARC
(4,6),-1.85893 # DEPENDENCYPART_ARC
(4,7),-2.36019 # DEPENDENCYPART_ARC
(4,11),-2.04701 # DEPENDENCYPART_ARC
(5,1),-1.55604 # DEPENDENCYPART_ARC
(5,3),-1.81803 # DEPENDENCYPART_ARC
(5,4),1.74682 # DEPENDENCYPART_ARC
(5,6),-0.593193 # DEPENDENCYPART_ARC
(5,7),-1.70587 # DEPENDENCYPART_ARC
(5,8),-1.73249 # DEPENDENCYPART_ARC
(5,10),-3.1573 # DEPENDENCYPART_ARC
(5,11),0.944952 # DEPENDENCYPART_ARC
(5,14),-0.59533 # DEPENDENCYPART_ARC
(5,17),-0.0465328 # DEPENDENCYPART_ARC
(6,1),-2.2509 # DEPENDENCYPART_ARC
(6,3),-2.99437 # DEPENDENCYPART_ARC
(6,4),-1.84202 # DEPENDENCYPART_ARC
(6,5),-1.32952 # DEPENDENCYPART_ARC
(6,7),-1.36479 # DEPENDENCYPART_ARC
(6,8),-0.628942 # DEPENDENCYPART_ARC
(6,9),-3.29884 # DEPENDENCYPART_ARC
(7,1),-1.7599 # DEPENDENCYPART_ARC
(7,2),-4.19712 # DEPENDENCYPART_ARC
(7,3),-1.72167 # DEPENDENCYPART_ARC
(7,4),-1.11097 # DEPENDENCYPART_ARC
(7,5),-0.475456 # DEPENDENCYPART_ARC
(7,6),2.07291 # DEPENDENCYPART_ARC
(7,8),0.576094 # DEPENDENCYPART_ARC
(7,9),-2.81529 # DEPENDENCYPART_ARC
(7,10),-0.739239 # DEPENDENCYPART_ARC
(7,11),-1.93389 # DEPENDENCYPART_ARC
(7,12),-2.74559 # DEPENDENCYPART_ARC
(7,13),-2.95077 # DEPENDENCYPART_ARC
(7,16),-3.97917 # DEPENDENCYPART_ARC
(7,17),-3.31038 # DEPENDENCYPART_ARC
(7,18),-2.51057 # DEPENDENCYPART_ARC
(8,4),-1.35588 # DEPENDENCYPART_ARC
(8,7),-2.36124 # DEPENDENCYPART_ARC
(8,9),2.27876 # DEPENDENCYPART_ARC
(8,10),-2.46413 # DEPENDENCYPART_ARC
(8,13),-4.59749 # DEPENDENCYPART_ARC
(9,1),-2.55486 # DEPENDENCYPART_ARC
(9,5),-1.69117 # DEPENDENCYPART_ARC
(9,6),-3.08855 # DEPENDENCYPART_ARC
(9,8),-0.58273 # DEPENDENCYPART_ARC
(9,10),2.24192 # DEPENDENCYPART_ARC
(9,11),-1.28438 # DEPENDENCYPART_ARC
(9,12),-1.83937 # DEPENDENCYPART_ARC
(9,13),-2.03011 # DEPENDENCYPART_ARC
(9,14),-1.14194 # DEPENDENCYPART_ARC
(9,16),-3.13142 # DEPENDENCYPART_ARC
(9,17),-2.58996 # DEPENDENCYPART_ARC
(9,18),-2.06791 # DEPENDENCYPART_ARC
(10,1),-2.13648 # DEPENDENCYPART_ARC
(10,5),-1.69424 # DEPENDENCYPART_ARC
(10,6),-1.61503 # DEPENDENCYPART_ARC
(10,7),-3.22974 # DEPENDENCYPART_ARC
(10,8),-1.35749 # DEPENDENCYPART_ARC
(10,9),-2.26967 # DEPENDENCYPART_ARC
(10,11),-1.26605 # DEPENDENCYPART_ARC
(10,12),-2.66087 # DEPENDENCYPART_ARC
(10,13),-1.93677 # DEPENDENCYPART_ARC
(10,16),-3.33493 # DEPENDENCYPART_ARC
(10,17),-3.31287 # DEPENDENCYPART_ARC
(11,1),-1.12957 # DEPENDENCYPART_ARC
(11,2),-1.06533 # DEPENDENCYPART_ARC
(11,3),-2.0983 # DEPENDENCYPART_ARC
(11,4),-1.22083 # DEPENDENCYPART_ARC
(11,5),-1.68716 # DEPENDENCYPART_ARC
(11,6),-1.70532 # DEPENDENCYPART_ARC
(11,7),0.190299 # DEPENDENCYPART_ARC
(11,8),-1.00148 # DEPENDENCYPART_ARC
(11,9),-0.205813 # DEPENDENCYPART_ARC
(11,10),-1.55126 # DEPENDENCYPART_ARC
(11,12),1.01759 # DEPENDENCYPART_ARC
(11,13),1.14531 # DEPENDENCYPART_ARC
(11,14),-0.526348 # DEPENDENCYPART_ARC
(11,16),-1.63568 # DEPENDENCYPART_ARC
(11,17),-2.04884 # DEPENDENCYPART_ARC
(11,18),-1.20773 # DEPENDENCYPART_ARC
(11,19),-3.23472 # DEPENDENCYPART_ARC
(11,20),-1.52328 # DEPENDENCYPART_ARC
(12,8),-1.1988 # DEPENDENCYPART_ARC
(12,10),-3.1406 # DEPENDENCYPART_ARC
(12,13),-2.08894 # DEPENDENCYPART_ARC
(12,16),-3.40326 # DEPENDENCYPART_ARC
(12,17),-3.59121 # DEPENDENCYPART_ARC
(12,18),-1.66324 # DEPENDENCYPART_ARC
(13,3),-2.73545 # DEPENDENCYPART_ARC
(13,6),-3.52301 # DEPENDENCYPART_ARC
(13,8),-1.01162 # DEPENDENCYPART_ARC
