# _root_ Mají - li totiž mít nějaký smysl , je ho do nich třeba vnést z vnějšku , to jest z historikovy současnosti .
#goldHeads=3,3,9,1,1,7,5,3,0,14,14,11,9,9,19,15,19,19,14,19,22,20,0,
#predictedHeads=3,3,9,1,1,7,5,3,0,14,14,11,9,9,14,15,19,19,16,19,22,20,0,
(0,1),-0.0855342 # DEPENDENCYPART_ARC
(0,2),-0.601966 # DEPENDENCYPART_ARC
(0,3),-1.0683 # DEPENDENCYPART_ARC
(0,4),-1.29023 # DEPENDENCYPART_ARC
(0,5),-1.94755 # DEPENDENCYPART_ARC
(0,6),-2.07534 # DEPENDENCYPART_ARC
(0,7),-1.9632 # DEPENDENCYPART_ARC
(0,8),-1.25191 # DEPENDENCYPART_ARC
(0,9),-0.511892 # DEPENDENCYPART_ARC
(0,13),-1.94805 # DEPENDENCYPART_ARC
(0,14),-2.44765 # DEPENDENCYPART_ARC
(0,17),-1.40289 # DEPENDENCYPART_ARC
(0,19),-1.71958 # DEPENDENCYPART_ARC
(0,23),2.1571 # DEPENDENCYPART_ARC
(1,2),-0.120421 # DEPENDENCYPART_ARC
(1,3),-0.68203 # DEPENDENCYPART_ARC
(1,4),-0.0528748 # DEPENDENCYPART_ARC
(1,5),1.53005 # DEPENDENCYPART_ARC
(1,6),-1.96667 # DEPENDENCYPART_ARC
(1,7),-0.406882 # DEPENDENCYPART_ARC
(1,8),-0.570256 # DEPENDENCYPART_ARC
(1,9),-2.27851 # DEPENDENCYPART_ARC
(1,11),-1.10706 # DEPENDENCYPART_ARC
(1,14),-0.299794 # DEPENDENCYPART_ARC
(1,15),-1.86349 # DEPENDENCYPART_ARC
(1,17),-1.22728 # DEPENDENCYPART_ARC
(2,1),-0.889613 # DEPENDENCYPART_ARC
(2,3),-0.698264 # DEPENDENCYPART_ARC
(2,4),-1.36436 # DEPENDENCYPART_ARC
(2,5),-0.964874 # DEPENDENCYPART_ARC
(2,6),-1.74306 # DEPENDENCYPART_ARC
(2,7),-1.65146 # DEPENDENCYPART_ARC
(2,8),-0.718759 # DEPENDENCYPART_ARC
(2,19),-2.21914 # DEPENDENCYPART_ARC
(3,1),1.04957 # DEPENDENCYPART_ARC
(3,2),1.43704 # DEPENDENCYPART_ARC
(3,4),-0.764029 # DEPENDENCYPART_ARC
(3,5),-0.607839 # DEPENDENCYPART_ARC
(3,8),-0.153078 # DEPENDENCYPART_ARC
(3,9),-1.18177 # DEPENDENCYPART_ARC
(3,17),-0.347613 # DEPENDENCYPART_ARC
(3,23),-1.64655 # DEPENDENCYPART_ARC
(4,1),-1.18834 # DEPENDENCYPART_ARC
(4,2),-1.07501 # DEPENDENCYPART_ARC
(4,3),-0.00319996 # DEPENDENCYPART_ARC
(4,5),-0.993496 # DEPENDENCYPART_ARC
(4,7),-2.38165 # DEPENDENCYPART_ARC
(5,1),-2.28018 # DEPENDENCYPART_ARC
(5,2),-1.35704 # DEPENDENCYPART_ARC
(5,3),-0.423908 # DEPENDENCYPART_ARC
(5,4),0.524598 # DEPENDENCYPART_ARC
(5,6),0.818438 # DEPENDENCYPART_ARC
(5,7),1.61109 # DEPENDENCYPART_ARC
(5,8),-0.448858 # DEPENDENCYPART_ARC
(5,9),-1.47495 # DEPENDENCYPART_ARC
(5,11),-0.722697 # DEPENDENCYPART_ARC
(5,14),-1.01689 # DEPENDENCYPART_ARC
(5,15),-1.4922 # DEPENDENCYPART_ARC
(5,16),-2.87625 # DEPENDENCYPART_ARC
(5,17),-1.30401 # DEPENDENCYPART_ARC
(5,19),-2.90004 # DEPENDENCYPART_ARC
(5,20),-2.0356 # DEPENDENCYPART_ARC
(5,22),-2.9646 # DEPENDENCYPART_ARC
(6,7),-1.03851 # DEPENDENCYPART_ARC
