# _root_ Strana demokratické levice po přehodnocení faktu , že vedoucí silou SNP byla komunistická strana , se jednoznačně staví za antifašistický a demokratický odkaz povstání .
#goldHeads=18,3,1,18,4,5,8,6,10,12,10,8,14,12,8,18,18,0,18,21,23,21,19,23,0,
#predictedHeads=0,3,1,3,4,5,8,6,10,12,10,8,14,12,18,18,18,14,18,21,23,21,19,23,0,
(0,1),-0.662931 # DEPENDENCYPART_ARC
(0,2),-1.88232 # DEPENDENCYPART_ARC
(0,3),-1.72864 # DEPENDENCYPART_ARC
(0,4),-1.00394 # DEPENDENCYPART_ARC
(0,5),-2.23638 # DEPENDENCYPART_ARC
(0,6),-2.02652 # DEPENDENCYPART_ARC
(0,7),-1.05418 # DEPENDENCYPART_ARC
(0,8),-2.16773 # DEPENDENCYPART_ARC
(0,12),-0.821885 # DEPENDENCYPART_ARC
(0,14),-1.80749 # DEPENDENCYPART_ARC
(0,15),-1.50805 # DEPENDENCYPART_ARC
(0,18),-0.906392 # DEPENDENCYPART_ARC
(0,19),-1.97415 # DEPENDENCYPART_ARC
(0,21),-1.60907 # DEPENDENCYPART_ARC
(0,25),1.71541 # DEPENDENCYPART_ARC
(1,2),-0.0381731 # DEPENDENCYPART_ARC
(1,3),0.919374 # DEPENDENCYPART_ARC
(1,4),-0.0102688 # DEPENDENCYPART_ARC
(1,5),-1.98542 # DEPENDENCYPART_ARC
(1,6),-0.793495 # DEPENDENCYPART_ARC
(1,7),-0.947654 # DEPENDENCYPART_ARC
(1,8),-0.962708 # DEPENDENCYPART_ARC
(1,9),-1.54683 # DEPENDENCYPART_ARC
(1,10),-2.37213 # DEPENDENCYPART_ARC
(1,11),-1.09171 # DEPENDENCYPART_ARC
(1,18),-2.99241 # DEPENDENCYPART_ARC
(2,1),-1.91691 # DEPENDENCYPART_ARC
(2,3),-1.32638 # DEPENDENCYPART_ARC
(2,4),-0.616302 # DEPENDENCYPART_ARC
(3,1),-2.58395 # DEPENDENCYPART_ARC
(3,2),2.52615 # DEPENDENCYPART_ARC
(3,4),0.375589 # DEPENDENCYPART_ARC
(3,5),-1.78319 # DEPENDENCYPART_ARC
(3,6),-0.984545 # DEPENDENCYPART_ARC
(3,8),-1.27474 # DEPENDENCYPART_ARC
(3,9),-2.04609 # DEPENDENCYPART_ARC
