# _root_ Jestliže však byla tak váhavá dokonce i země , která ostatní Evropany k unii před lety vyzvala a potom tlačila , neznamená to snad konec snu o integraci ?
#goldHeads=22,0,1,5,3,8,8,3,18,18,12,18,18,13,17,15,18,8,20,18,1,2,22,22,22,25,26,27,0,
#predictedHeads=22,3,1,5,3,8,8,3,18,17,12,17,17,13,14,15,18,1,20,18,1,0,22,22,22,25,26,27,0,
(0,1),0.155784 # DEPENDENCYPART_ARC
(0,2),0.3346 # DEPENDENCYPART_ARC
(0,3),-0.598011 # DEPENDENCYPART_ARC
(0,9),-1.34706 # DEPENDENCYPART_ARC
(0,10),-2.05408 # DEPENDENCYPART_ARC
(0,17),-0.819672 # DEPENDENCYPART_ARC
(0,18),-1.10666 # DEPENDENCYPART_ARC
(0,20),-1.42312 # DEPENDENCYPART_ARC
(0,21),-2.03426 # DEPENDENCYPART_ARC
(0,22),-0.385466 # DEPENDENCYPART_ARC
(0,29),1.62695 # DEPENDENCYPART_ARC
(1,2),0.175519 # DEPENDENCYPART_ARC
(1,3),0.866188 # DEPENDENCYPART_ARC
(1,4),-0.872027 # DEPENDENCYPART_ARC
(1,5),-1.23737 # DEPENDENCYPART_ARC
(1,6),-1.13607 # DEPENDENCYPART_ARC
(1,7),-0.938206 # DEPENDENCYPART_ARC
(1,9),0.334562 # DEPENDENCYPART_ARC
(1,17),-0.936408 # DEPENDENCYPART_ARC
(1,18),0.290197 # DEPENDENCYPART_ARC
(1,20),-1.45113 # DEPENDENCYPART_ARC
(1,21),1.00095 # DEPENDENCYPART_ARC
(1,22),-2.23134 # DEPENDENCYPART_ARC
(1,29),-1.24756 # DEPENDENCYPART_ARC
(2,1),-0.23024 # DEPENDENCYPART_ARC
(2,3),0.438186 # DEPENDENCYPART_ARC
(2,4),-1.84789 # DEPENDENCYPART_ARC
(2,5),-2.06745 # DEPENDENCYPART_ARC
(2,9),-0.649277 # DEPENDENCYPART_ARC
(2,17),-1.51852 # DEPENDENCYPART_ARC
(2,18),-1.12514 # DEPENDENCYPART_ARC
(2,20),-2.05441 # DEPENDENCYPART_ARC
(2,21),0.227946 # DEPENDENCYPART_ARC
(2,22),-3.05454 # DEPENDENCYPART_ARC
(2,29),-1.06693 # DEPENDENCYPART_ARC
(3,1),-0.826808 # DEPENDENCYPART_ARC
(3,2),-0.355477 # DEPENDENCYPART_ARC
(3,4),-0.206132 # DEPENDENCYPART_ARC
(3,5),0.343233 # DEPENDENCYPART_ARC
(3,6),-0.886324 # DEPENDENCYPART_ARC
(3,7),-1.1156 # DEPENDENCYPART_ARC
(3,8),-0.343784 # DEPENDENCYPART_ARC
(3,9),-1.04441 # DEPENDENCYPART_ARC
