# _root_ " Podnikám a nezakrývám , že závodění a firma někdy nejdou dohromady , jedno druhému zabírá čas .
#goldHeads=3,3,0,3,6,4,8,11,8,11,13,11,6,16,16,13,16,0,
#predictedHeads=3,3,0,3,6,4,8,11,8,11,6,11,11,16,16,13,16,0,
(0,1),-1.03488 # DEPENDENCYPART_ARC
(0,2),0.402137 # DEPENDENCYPART_ARC
(0,3),-0.392633 # DEPENDENCYPART_ARC
(0,4),-1.43462 # DEPENDENCYPART_ARC
(0,5),-0.952947 # DEPENDENCYPART_ARC
(0,6),-1.47406 # DEPENDENCYPART_ARC
(0,8),-1.11352 # DEPENDENCYPART_ARC
(0,11),-1.38002 # DEPENDENCYPART_ARC
(0,13),-1.77066 # DEPENDENCYPART_ARC
(0,14),-2.14015 # DEPENDENCYPART_ARC
(0,16),-1.46082 # DEPENDENCYPART_ARC
(0,18),1.8942 # DEPENDENCYPART_ARC
(1,2),-1.97523 # DEPENDENCYPART_ARC
(1,3),-2.37942 # DEPENDENCYPART_ARC
(1,4),-2.9845 # DEPENDENCYPART_ARC
(1,6),-2.81623 # DEPENDENCYPART_ARC
(2,1),-0.128972 # DEPENDENCYPART_ARC
(2,3),-0.517708 # DEPENDENCYPART_ARC
(2,4),-1.14473 # DEPENDENCYPART_ARC
(2,5),-0.882304 # DEPENDENCYPART_ARC
(2,6),-0.433011 # DEPENDENCYPART_ARC
(2,8),-1.06841 # DEPENDENCYPART_ARC
(2,13),-1.33736 # DEPENDENCYPART_ARC
(3,1),0.356221 # DEPENDENCYPART_ARC
(3,2),2.74836 # DEPENDENCYPART_ARC
(3,4),2.30765 # DEPENDENCYPART_ARC
(3,5),-0.637475 # DEPENDENCYPART_ARC
(3,6),-1.16187 # DEPENDENCYPART_ARC
(3,7),-1.53567 # DEPENDENCYPART_ARC
(3,8),-1.05905 # DEPENDENCYPART_ARC
(3,10),-1.54989 # DEPENDENCYPART_ARC
(3,11),-1.90995 # DEPENDENCYPART_ARC
(3,13),-0.709784 # DEPENDENCYPART_ARC
(3,15),-2.59021 # DEPENDENCYPART_ARC
(3,16),-3.15609 # DEPENDENCYPART_ARC
(4,1),-0.798632 # DEPENDENCYPART_ARC
(4,2),-0.803132 # DEPENDENCYPART_ARC
(4,3),-0.505103 # DEPENDENCYPART_ARC
(4,5),-0.628041 # DEPENDENCYPART_ARC
(4,6),-0.0162932 # DEPENDENCYPART_ARC
(4,7),-2.182 # DEPENDENCYPART_ARC
(4,8),-0.928128 # DEPENDENCYPART_ARC
(4,9),-2.46119 # DEPENDENCYPART_ARC
(4,10),-2.07198 # DEPENDENCYPART_ARC
(4,11),-3.38575 # DEPENDENCYPART_ARC
(4,12),-2.36983 # DEPENDENCYPART_ARC
(4,15),-3.66157 # DEPENDENCYPART_ARC
(5,1),-0.665155 # DEPENDENCYPART_ARC
(5,2),-0.879786 # DEPENDENCYPART_ARC
(5,3),-0.663505 # DEPENDENCYPART_ARC
(5,4),-1.03849 # DEPENDENCYPART_ARC
(6,1),-1.62211 # DEPENDENCYPART_ARC
(6,2),-1.82786 # DEPENDENCYPART_ARC
(6,3),-0.690614 # DEPENDENCYPART_ARC
(6,4),-1.49859 # DEPENDENCYPART_ARC
(6,5),1.73037 # DEPENDENCYPART_ARC
(6,7),-0.657838 # DEPENDENCYPART_ARC
(6,8),-0.465548 # DEPENDENCYPART_ARC
(6,9),-2.35998 # DEPENDENCYPART_ARC
(6,10),-1.78493 # DEPENDENCYPART_ARC
(6,11),0.464883 # DEPENDENCYPART_ARC
(6,13),-0.778883 # DEPENDENCYPART_ARC
(6,16),-0.998596 # DEPENDENCYPART_ARC
(7,6),-1.95944 # DEPENDENCYPART_ARC
(7,9),-1.79254 # DEPENDENCYPART_ARC
(7,14),-1.7403 # DEPENDENCYPART_ARC
(8,1),-1.4571 # DEPENDENCYPART_ARC
(8,2),-0.702997 # DEPENDENCYPART_ARC
(8,3),-0.928789 # DEPENDENCYPART_ARC
(8,4),-0.55233 # DEPENDENCYPART_ARC
(8,5),-0.307271 # DEPENDENCYPART_ARC
(8,6),-0.267917 # DEPENDENCYPART_ARC
(8,7),1.81997 # DEPENDENCYPART_ARC
(8,9),2.18296 # DEPENDENCYPART_ARC
(8,10),-0.957718 # DEPENDENCYPART_ARC
(8,11),0.129758 # DEPENDENCYPART_ARC
(8,12),-1.0444 # DEPENDENCYPART_ARC
(8,13),-0.798801 # DEPENDENCYPART_ARC
(8,15),-1.9896 # DEPENDENCYPART_ARC
(8,16),-1.80367 # DEPENDENCYPART_ARC
(8,17),-1.87944 # DEPENDENCYPART_ARC
(8,18),-1.417 # DEPENDENCYPART_ARC
(9,7),-2.9538 # DEPENDENCYPART_ARC
(9,10),-0.513989 # DEPENDENCYPART_ARC
(9,11),-2.42543 # DEPENDENCYPART_ARC
(9,12),-1.25368 # DEPENDENCYPART_ARC
(9,14),-1.04332 # DEPENDENCYPART_ARC
(9,15),-2.88539 # DEPENDENCYPART_ARC
(9,16),-2.74721 # DEPENDENCYPART_ARC
(9,17),-4.73174 # DEPENDENCYPART_ARC
(10,7),-2.00336 # DEPENDENCYPART_ARC
(10,8),-1.10517 # DEPENDENCYPART_ARC
(10,9),-1.65808 # DEPENDENCYPART_ARC
(10,12),-2.0128 # DEPENDENCYPART_ARC
(10,14),-2.21843 # DEPENDENCYPART_ARC
(10,16),-2.23045 # DEPENDENCYPART_ARC
(10,17),-2.9351 # DEPENDENCYPART_ARC
(11,1),-1.0074 # DEPENDENCYPART_ARC
(11,2),-1.40123 # DEPENDENCYPART_ARC
(11,3),-1.1007 # DEPENDENCYPART_ARC
(11,4),-1.36177 # DEPENDENCYPART_ARC
(11,5),-1.0811 # DEPENDENCYPART_ARC
(11,6),-1.38514 # DEPENDENCYPART_ARC
(11,7),-0.322958 # DEPENDENCYPART_ARC
(11,8),-0.354393 # DEPENDENCYPART_ARC
(11,9),0.463079 # DEPENDENCYPART_ARC
(11,10),1.31033 # DEPENDENCYPART_ARC
(11,12),0.929375 # DEPENDENCYPART_ARC
(11,13),-0.467517 # DEPENDENCYPART_ARC
(11,14),-0.620987 # DEPENDENCYPART_ARC
(11,15),-1.67321 # DEPENDENCYPART_ARC
(11,16),-1.12881 # DEPENDENCYPART_ARC
(11,17),-0.665005 # DEPENDENCYPART_ARC
(11,18),-1.11693 # DEPENDENCYPART_ARC
(12,5),-1.59074 # DEPENDENCYPART_ARC
(12,7),-2.00216 # DEPENDENCYPART_ARC
(12,9),-1.75766 # DEPENDENCYPART_ARC
(12,10),-0.942181 # DEPENDENCYPART_ARC
(12,11),-0.8679 # DEPENDENCYPART_ARC
(12,13),-0.863123 # DEPENDENCYPART_ARC
(12,14),-1.99778 # DEPENDENCYPART_ARC
(12,15),-2.72946 # DEPENDENCYPART_ARC
(12,16),-2.19272 # DEPENDENCYPART_ARC
(12,17),-2.79375 # DEPENDENCYPART_ARC
(13,1),-1.21268 # DEPENDENCYPART_ARC
(13,2),-1.16883 # DEPENDENCYPART_ARC
(13,3),-0.90696 # DEPENDENCYPART_ARC
(13,4),-1.38021 # DEPENDENCYPART_ARC
(13,5),-0.793063 # DEPENDENCYPART_ARC
(13,6),-1.03457 # DEPENDENCYPART_ARC
(13,7),-1.36006 # DEPENDENCYPART_ARC
(13,8),-0.874928 # DEPENDENCYPART_ARC
(13,9),-1.35783 # DEPENDENCYPART_ARC
(13,10),-0.916667 # DEPENDENCYPART_ARC
(13,11),-0.8112 # DEPENDENCYPART_ARC
(13,12),-0.344247 # DEPENDENCYPART_ARC
(13,14),-0.451646 # DEPENDENCYPART_ARC
