# _root_ Mezi pašeráky byli v Průhonicích u Prahy zadrženi i dva policisté z Bratislavy , kteří - jak se po prvním výslechu ukázalo - nepřísluší ke kriminální , ale k dopravní policii .
#goldHeads=8,1,8,8,4,5,6,0,11,11,8,11,12,24,24,22,22,22,22,21,19,24,22,11,28,25,28,24,28,31,29,0,
#predictedHeads=8,1,8,3,4,5,6,0,11,11,8,11,12,22,22,22,22,22,22,21,19,13,22,0,28,25,28,24,28,31,29,0,
(0,1),-0.799518 # DEPENDENCYPART_ARC
(0,2),-1.50655 # DEPENDENCYPART_ARC
(0,3),-0.166133 # DEPENDENCYPART_ARC
(0,8),-0.897909 # DEPENDENCYPART_ARC
(0,10),-1.92582 # DEPENDENCYPART_ARC
(0,14),-0.706664 # DEPENDENCYPART_ARC
(0,15),-2.89665 # DEPENDENCYPART_ARC
(0,16),-1.0634 # DEPENDENCYPART_ARC
(0,22),-1.13517 # DEPENDENCYPART_ARC
(0,23),-1.58963 # DEPENDENCYPART_ARC
(0,24),-0.705331 # DEPENDENCYPART_ARC
(0,27),-0.996386 # DEPENDENCYPART_ARC
(0,28),-0.616484 # DEPENDENCYPART_ARC
(0,32),2.35607 # DEPENDENCYPART_ARC
(1,2),2.62314 # DEPENDENCYPART_ARC
(1,5),-1.48931 # DEPENDENCYPART_ARC
(2,1),-1.20706 # DEPENDENCYPART_ARC
(2,3),-1.46101 # DEPENDENCYPART_ARC
(2,4),-2.19248 # DEPENDENCYPART_ARC
(2,6),-1.62748 # DEPENDENCYPART_ARC
(3,1),0.526273 # DEPENDENCYPART_ARC
(3,2),0.263003 # DEPENDENCYPART_ARC
(3,4),1.07849 # DEPENDENCYPART_ARC
(3,5),-1.52327 # DEPENDENCYPART_ARC
(3,6),0.412216 # DEPENDENCYPART_ARC
(3,7),-3.51222 # DEPENDENCYPART_ARC
(3,8),-0.043364 # DEPENDENCYPART_ARC
(3,9),-1.34531 # DEPENDENCYPART_ARC
(3,10),-2.00162 # DEPENDENCYPART_ARC
(3,11),-1.50985 # DEPENDENCYPART_ARC
(3,12),-0.908312 # DEPENDENCYPART_ARC
(3,14),-1.03784 # DEPENDENCYPART_ARC
(3,17),-2.07139 # DEPENDENCYPART_ARC
(3,19),-1.71157 # DEPENDENCYPART_ARC
(3,22),-3.98364 # DEPENDENCYPART_ARC
(3,23),-1.12205 # DEPENDENCYPART_ARC
(3,27),-1.74752 # DEPENDENCYPART_ARC
(3,28),-1.4535 # DEPENDENCYPART_ARC
(3,29),-2.65605 # DEPENDENCYPART_ARC
(4,5),3.14071 # DEPENDENCYPART_ARC
(4,7),-1.97202 # DEPENDENCYPART_ARC
(5,1),-1.60727 # DEPENDENCYPART_ARC
(5,2),-2.20292 # DEPENDENCYPART_ARC
(5,4),-1.65469 # DEPENDENCYPART_ARC
(5,6),-0.492831 # DEPENDENCYPART_ARC
(5,7),-0.662743 # DEPENDENCYPART_ARC
(5,8),-0.912789 # DEPENDENCYPART_ARC
(5,9),-1.31564 # DEPENDENCYPART_ARC
(5,12),-1.77962 # DEPENDENCYPART_ARC
(6,2),-2.43978 # DEPENDENCYPART_ARC
(6,4),-0.632387 # DEPENDENCYPART_ARC
(6,5),-1.40503 # DEPENDENCYPART_ARC
(6,7),3.6454 # DEPENDENCYPART_ARC
(6,9),-1.07048 # DEPENDENCYPART_ARC
(6,10),-2.41702 # DEPENDENCYPART_ARC
(6,11),-3.6061 # DEPENDENCYPART_ARC
(7,4),-1.85849 # DEPENDENCYPART_ARC
(7,5),-4.66028 # DEPENDENCYPART_ARC
(8,1),0.662548 # DEPENDENCYPART_ARC
(8,2),0.398091 # DEPENDENCYPART_ARC
(8,3),1.81895 # DEPENDENCYPART_ARC
(8,4),0.657307 # DEPENDENCYPART_ARC
(8,5),-1.73875 # DEPENDENCYPART_ARC
(8,6),0.418807 # DEPENDENCYPART_ARC
(8,7),-2.56367 # DEPENDENCYPART_ARC
(8,9),-0.999261 # DEPENDENCYPART_ARC
(8,11),-1.30672 # DEPENDENCYPART_ARC
(8,12),-0.438644 # DEPENDENCYPART_ARC
(8,13),-2.86888 # DEPENDENCYPART_ARC
(8,14),-1.13323 # DEPENDENCYPART_ARC
(8,17),-1.89355 # DEPENDENCYPART_ARC
(8,19),-1.59206 # DEPENDENCYPART_ARC
(8,22),-2.38805 # DEPENDENCYPART_ARC
(8,23),-1.57297 # DEPENDENCYPART_ARC
(8,25),-2.38273 # DEPENDENCYPART_ARC
(8,28),-1.75134 # DEPENDENCYPART_ARC
(9,1),-1.28165 # DEPENDENCYPART_ARC
(9,2),-1.41904 # DEPENDENCYPART_ARC
(9,3),-1.54512 # DEPENDENCYPART_ARC
(9,4),-0.975895 # DEPENDENCYPART_ARC
(9,5),-0.974042 # DEPENDENCYPART_ARC
(9,6),-0.628327 # DEPENDENCYPART_ARC
(9,7),-0.638881 # DEPENDENCYPART_ARC
(9,8),-0.0198459 # DEPENDENCYPART_ARC
(9,10),-0.575348 # DEPENDENCYPART_ARC
(9,11),-1.2584 # DEPENDENCYPART_ARC
(9,12),-1.73933 # DEPENDENCYPART_ARC
(9,13),-2.29554 # DEPENDENCYPART_ARC
(10,6),-0.853922 # DEPENDENCYPART_ARC
(10,7),-2.38576 # DEPENDENCYPART_ARC
(10,9),0.436593 # DEPENDENCYPART_ARC
(10,11),-1.73854 # DEPENDENCYPART_ARC
(10,12),-0.0118784 # DEPENDENCYPART_ARC
(10,13),-3.20562 # DEPENDENCYPART_ARC
(11,1),-1.19474 # DEPENDENCYPART_ARC
(11,6),-1.59906 # DEPENDENCYPART_ARC
(11,7),-4.15995 # DEPENDENCYPART_ARC
(11,9),0.581398 # DEPENDENCYPART_ARC
(11,10),2.41647 # DEPENDENCYPART_ARC
(11,12),0.805861 # DEPENDENCYPART_ARC
(11,13),0.141024 # DEPENDENCYPART_ARC
(11,17),-1.31601 # DEPENDENCYPART_ARC
(11,22),-2.48689 # DEPENDENCYPART_ARC
(11,24),-3.26321 # DEPENDENCYPART_ARC
(11,28),-1.48031 # DEPENDENCYPART_ARC
(12,13),2.7084 # DEPENDENCYPART_ARC
(12,14),-0.855244 # DEPENDENCYPART_ARC
(13,9),-0.49648 # DEPENDENCYPART_ARC
(13,10),-3.33764 # DEPENDENCYPART_ARC
(13,12),-1.08868 # DEPENDENCYPART_ARC
(13,14),-1.5319 # DEPENDENCYPART_ARC
(13,15),-3.00515 # DEPENDENCYPART_ARC
(13,16),-1.80857 # DEPENDENCYPART_ARC
(13,17),-1.83286 # DEPENDENCYPART_ARC
(13,21),-3.98662 # DEPENDENCYPART_ARC
(13,22),-0.902025 # DEPENDENCYPART_ARC
(13,24),-3.72388 # DEPENDENCYPART_ARC
(13,26),-4.40837 # DEPENDENCYPART_ARC
(13,28),-1.96023 # DEPENDENCYPART_ARC
(14,3),-1.16038 # DEPENDENCYPART_ARC
(14,8),-0.866768 # DEPENDENCYPART_ARC
(14,10),-1.87228 # DEPENDENCYPART_ARC
(14,11),-1.54069 # DEPENDENCYPART_ARC
(14,13),-1.61382 # DEPENDENCYPART_ARC
(14,16),-1.11467 # DEPENDENCYPART_ARC
(14,20),-2.04797 # DEPENDENCYPART_ARC
(14,22),-2.28394 # DEPENDENCYPART_ARC
(15,14),-0.857053 # DEPENDENCYPART_ARC
(15,16),-0.56959 # DEPENDENCYPART_ARC
(15,17),-1.11407 # DEPENDENCYPART_ARC
(15,20),-0.711379 # DEPENDENCYPART_ARC
(15,21),-2.37258 # DEPENDENCYPART_ARC
(15,23),-1.21704 # DEPENDENCYPART_ARC
(16,3),-1.5146 # DEPENDENCYPART_ARC
(16,8),-1.45056 # DEPENDENCYPART_ARC
(16,10),-1.77747 # DEPENDENCYPART_ARC
(16,11),-1.87685 # DEPENDENCYPART_ARC
(16,13),-1.3497 # DEPENDENCYPART_ARC
(16,14),-1.31228 # DEPENDENCYPART_ARC
(16,15),-1.12016 # DEPENDENCYPART_ARC
(16,17),-1.13 # DEPENDENCYPART_ARC
(16,19),-1.33493 # DEPENDENCYPART_ARC
(16,20),-1.18105 # DEPENDENCYPART_ARC
(16,21),-1.71604 # DEPENDENCYPART_ARC
(16,22),-1.30996 # DEPENDENCYPART_ARC
(16,23),-0.850416 # DEPENDENCYPART_ARC
(16,24),-1.87718 # DEPENDENCYPART_ARC
(16,26),-2.14131 # DEPENDENCYPART_ARC
(16,27),-1.24261 # DEPENDENCYPART_ARC
(16,28),-1.13281 # DEPENDENCYPART_ARC
(16,29),-2.18259 # DEPENDENCYPART_ARC
(16,31),-2.30012 # DEPENDENCYPART_ARC
(17,12),-1.60544 # DEPENDENCYPART_ARC
(17,13),-1.60396 # DEPENDENCYPART_ARC
(17,15),-1.41127 # DEPENDENCYPART_ARC
(17,16),-0.730132 # DEPENDENCYPART_ARC
(17,19),-1.55379 # DEPENDENCYPART_ARC
(17,21),-2.36359 # DEPENDENCYPART_ARC
(19,16),-1.10293 # DEPENDENCYPART_ARC
(19,20),0.466273 # DEPENDENCYPART_ARC
(19,21),2.28706 # DEPENDENCYPART_ARC
(19,23),-1.09606 # DEPENDENCYPART_ARC
(19,24),-1.99142 # DEPENDENCYPART_ARC
(19,31),-2.17342 # DEPENDENCYPART_ARC
(20,21),-1.32465 # DEPENDENCYPART_ARC
(21,9),-0.79204 # DEPENDENCYPART_ARC
(21,15),-2.86202 # DEPENDENCYPART_ARC
(21,16),-0.641332 # DEPENDENCYPART_ARC
(21,17),-0.837886 # DEPENDENCYPART_ARC
(21,18),-2.89168 # DEPENDENCYPART_ARC
(21,19),-0.528985 # DEPENDENCYPART_ARC
(21,20),2.34477 # DEPENDENCYPART_ARC
(21,25),-1.96012 # DEPENDENCYPART_ARC
(21,26),-3.74762 # DEPENDENCYPART_ARC
(22,1),-0.337526 # DEPENDENCYPART_ARC
(22,2),-1.99013 # DEPENDENCYPART_ARC
(22,3),-3.41816 # DEPENDENCYPART_ARC
(22,4),-0.342619 # DEPENDENCYPART_ARC
(22,5),-2.68596 # DEPENDENCYPART_ARC
(22,6),-1.05179 # DEPENDENCYPART_ARC
(22,7),-3.68594 # DEPENDENCYPART_ARC
(22,8),-2.33585 # DEPENDENCYPART_ARC
(22,10),-1.26552 # DEPENDENCYPART_ARC
(22,11),-1.03582 # DEPENDENCYPART_ARC
(22,12),-1.35321 # DEPENDENCYPART_ARC
(22,14),0.241997 # DEPENDENCYPART_ARC
(22,15),-0.925695 # DEPENDENCYPART_ARC
(22,16),-0.194072 # DEPENDENCYPART_ARC
(22,17),0.801446 # DEPENDENCYPART_ARC
(22,18),2.03856 # DEPENDENCYPART_ARC
(22,19),1.39225 # DEPENDENCYPART_ARC
(22,20),-1.19086 # DEPENDENCYPART_ARC
(22,21),0.261119 # DEPENDENCYPART_ARC
(22,23),0.243333 # DEPENDENCYPART_ARC
(22,24),-2.81024 # DEPENDENCYPART_ARC
(22,25),-0.484911 # DEPENDENCYPART_ARC
(22,26),-1.66045 # DEPENDENCYPART_ARC
(22,27),-0.923901 # DEPENDENCYPART_ARC
(22,28),-0.519115 # DEPENDENCYPART_ARC
(22,29),-1.25144 # DEPENDENCYPART_ARC
(22,31),-1.69929 # DEPENDENCYPART_ARC
(23,3),-1.174 # DEPENDENCYPART_ARC
(23,8),-1.33233 # DEPENDENCYPART_ARC
(23,15),-1.40572 # DEPENDENCYPART_ARC
(23,19),-0.974047 # DEPENDENCYPART_ARC
(23,20),-0.546098 # DEPENDENCYPART_ARC
(23,21),-0.623206 # DEPENDENCYPART_ARC
(23,22),-0.574927 # DEPENDENCYPART_ARC
(23,24),-0.618857 # DEPENDENCYPART_ARC
(23,25),-1.48154 # DEPENDENCYPART_ARC
(23,26),-1.65496 # DEPENDENCYPART_ARC
(23,29),-1.93336 # DEPENDENCYPART_ARC
(23,31),-2.27551 # DEPENDENCYPART_ARC
