# _root_ Úřad slovenského prezidenta nejdříve vyvrátil slova Hornovy mluvčí , za několik dní však vydal prohlášení , v němž svoji původní verzi odvolal .
#goldHeads=5,3,1,5,13,5,8,6,13,14,10,11,0,13,14,22,22,17,21,21,22,15,0,
#predictedHeads=5,3,1,5,13,5,8,6,13,14,10,11,0,13,14,22,22,17,21,21,22,15,0,
(0,1),-0.598707 # DEPENDENCYPART_ARC
(0,2),-1.92164 # DEPENDENCYPART_ARC
(0,3),-1.76032 # DEPENDENCYPART_ARC
(0,5),-0.457923 # DEPENDENCYPART_ARC
(0,9),-1.17686 # DEPENDENCYPART_ARC
(0,11),-1.83221 # DEPENDENCYPART_ARC
(0,13),0.851501 # DEPENDENCYPART_ARC
(0,14),-0.925486 # DEPENDENCYPART_ARC
(0,16),-1.2503 # DEPENDENCYPART_ARC
(0,22),-1.37073 # DEPENDENCYPART_ARC
(0,23),1.87039 # DEPENDENCYPART_ARC
(1,2),-0.394645 # DEPENDENCYPART_ARC
(1,3),0.959726 # DEPENDENCYPART_ARC
(1,4),-1.48613 # DEPENDENCYPART_ARC
(1,5),-1.71444 # DEPENDENCYPART_ARC
(1,6),-3.95538 # DEPENDENCYPART_ARC
(1,8),-0.874405 # DEPENDENCYPART_ARC
(1,10),-1.31333 # DEPENDENCYPART_ARC
(2,1),-2.64411 # DEPENDENCYPART_ARC
(2,3),-1.55938 # DEPENDENCYPART_ARC
(2,4),-1.44833 # DEPENDENCYPART_ARC
(2,6),-2.31808 # DEPENDENCYPART_ARC
(3,1),-3.94361 # DEPENDENCYPART_ARC
(3,2),2.62684 # DEPENDENCYPART_ARC
(3,4),-1.36644 # DEPENDENCYPART_ARC
(3,5),-2.013 # DEPENDENCYPART_ARC
(3,7),-1.91752 # DEPENDENCYPART_ARC
(3,8),-1.15335 # DEPENDENCYPART_ARC
(4,1),-1.98275 # DEPENDENCYPART_ARC
(4,2),-1.12509 # DEPENDENCYPART_ARC
(4,3),-1.53477 # DEPENDENCYPART_ARC
(4,5),-1.71421 # DEPENDENCYPART_ARC
(4,6),-1.52052 # DEPENDENCYPART_ARC
(5,1),1.03007 # DEPENDENCYPART_ARC
(5,2),-2.89382 # DEPENDENCYPART_ARC
(5,3),-1.44889 # DEPENDENCYPART_ARC
(5,4),0.991876 # DEPENDENCYPART_ARC
(5,6),1.62378 # DEPENDENCYPART_ARC
