# _root_ Jestliže rada jednou jmenovala komisi a schválila její závěr , nemůže se zříci odpovědnosti , trvá na svém ředitel Sadil .
#goldHeads=11,6,4,6,4,1,6,9,7,1,15,13,11,13,0,15,16,17,20,16,0,
#predictedHeads=16,4,4,6,4,1,6,9,7,1,16,13,11,13,1,0,16,17,20,16,0,
(0,1),0.0360071 # DEPENDENCYPART_ARC
(0,2),-1.17768 # DEPENDENCYPART_ARC
(0,3),-0.78812 # DEPENDENCYPART_ARC
(0,4),-0.441426 # DEPENDENCYPART_ARC
(0,6),-0.534527 # DEPENDENCYPART_ARC
(0,7),-1.24371 # DEPENDENCYPART_ARC
(0,10),-1.47509 # DEPENDENCYPART_ARC
(0,11),-0.127098 # DEPENDENCYPART_ARC
(0,13),-2.33988 # DEPENDENCYPART_ARC
(0,15),-1.57594 # DEPENDENCYPART_ARC
(0,16),-0.75908 # DEPENDENCYPART_ARC
(0,21),2.21843 # DEPENDENCYPART_ARC
(1,2),-0.322007 # DEPENDENCYPART_ARC
(1,3),-1.27618 # DEPENDENCYPART_ARC
(1,4),0.00286025 # DEPENDENCYPART_ARC
(1,5),-2.0131 # DEPENDENCYPART_ARC
(1,6),-0.395243 # DEPENDENCYPART_ARC
(1,7),-1.22871 # DEPENDENCYPART_ARC
(1,9),-3.02322 # DEPENDENCYPART_ARC
(1,10),0.763917 # DEPENDENCYPART_ARC
(1,11),-1.58864 # DEPENDENCYPART_ARC
(1,13),-2.35311 # DEPENDENCYPART_ARC
(1,15),0.688453 # DEPENDENCYPART_ARC
(1,16),-2.97335 # DEPENDENCYPART_ARC
(2,1),-0.36996 # DEPENDENCYPART_ARC
(2,3),-0.584692 # DEPENDENCYPART_ARC
(2,4),-1.68305 # DEPENDENCYPART_ARC
(2,5),-4.00347 # DEPENDENCYPART_ARC
(2,6),-0.908149 # DEPENDENCYPART_ARC
(3,1),-1.02788 # DEPENDENCYPART_ARC
(3,2),-1.54513 # DEPENDENCYPART_ARC
(3,5),-2.00423 # DEPENDENCYPART_ARC
(4,1),-0.0441305 # DEPENDENCYPART_ARC
(4,2),1.37245 # DEPENDENCYPART_ARC
(4,3),1.40914 # DEPENDENCYPART_ARC
(4,5),1.82793 # DEPENDENCYPART_ARC
(4,6),-0.304653 # DEPENDENCYPART_ARC
(4,7),-2.95083 # DEPENDENCYPART_ARC
(4,9),-0.222835 # DEPENDENCYPART_ARC
(4,10),-0.469467 # DEPENDENCYPART_ARC
(4,11),-4.32173 # DEPENDENCYPART_ARC
(4,14),-3.78526 # DEPENDENCYPART_ARC
(4,15),-0.912666 # DEPENDENCYPART_ARC
