# _root_ Ve Francii mi říkali , že kdyby moje auto šlapalo tak jako mistru Evropy Dubourgovi , koukali by se mi všichni na záda s kilometrovým odstupem .
#goldHeads=4,1,4,0,6,4,17,9,10,7,10,11,15,15,12,7,6,17,17,17,17,17,22,17,26,24,0,
#predictedHeads=4,1,4,0,6,4,17,9,10,7,10,13,15,13,10,7,6,17,17,17,17,17,22,23,26,24,0,
(0,1),-1.12442 # DEPENDENCYPART_ARC
(0,2),-1.30343 # DEPENDENCYPART_ARC
(0,3),-2.13315 # DEPENDENCYPART_ARC
(0,4),-0.591471 # DEPENDENCYPART_ARC
(0,5),-0.790344 # DEPENDENCYPART_ARC
(0,6),-1.48623 # DEPENDENCYPART_ARC
(0,7),-1.49653 # DEPENDENCYPART_ARC
(0,10),-0.308411 # DEPENDENCYPART_ARC
(0,16),-1.72114 # DEPENDENCYPART_ARC
(0,17),-0.199456 # DEPENDENCYPART_ARC
(0,20),-2.7837 # DEPENDENCYPART_ARC
(0,27),2.50991 # DEPENDENCYPART_ARC
(1,2),2.36549 # DEPENDENCYPART_ARC
(1,5),-1.85444 # DEPENDENCYPART_ARC
(2,1),-1.11977 # DEPENDENCYPART_ARC
(2,4),-1.99708 # DEPENDENCYPART_ARC
(2,5),-1.3973 # DEPENDENCYPART_ARC
(2,6),-1.22866 # DEPENDENCYPART_ARC
(2,7),-1.76078 # DEPENDENCYPART_ARC
(2,9),-2.5247 # DEPENDENCYPART_ARC
(2,10),-2.47676 # DEPENDENCYPART_ARC
(3,2),-1.85945 # DEPENDENCYPART_ARC
(4,1),1.12691 # DEPENDENCYPART_ARC
(4,2),-1.51333 # DEPENDENCYPART_ARC
(4,3),1.15383 # DEPENDENCYPART_ARC
(4,5),-0.507304 # DEPENDENCYPART_ARC
(4,6),0.167879 # DEPENDENCYPART_ARC
(4,7),-0.980395 # DEPENDENCYPART_ARC
(4,9),-2.13526 # DEPENDENCYPART_ARC
(4,10),-3.42772 # DEPENDENCYPART_ARC
(4,11),-2.08378 # DEPENDENCYPART_ARC
(4,12),-1.77521 # DEPENDENCYPART_ARC
(4,13),-3.37886 # DEPENDENCYPART_ARC
(4,14),-5.09148 # DEPENDENCYPART_ARC
(4,15),-3.51918 # DEPENDENCYPART_ARC
(4,16),-1.10245 # DEPENDENCYPART_ARC
(5,1),-1.21124 # DEPENDENCYPART_ARC
(5,2),-1.22215 # DEPENDENCYPART_ARC
(5,4),-1.05785 # DEPENDENCYPART_ARC
(5,6),-0.734916 # DEPENDENCYPART_ARC
(5,7),-1.43732 # DEPENDENCYPART_ARC
(5,10),-1.79271 # DEPENDENCYPART_ARC
(6,2),-1.88511 # DEPENDENCYPART_ARC
(6,4),-1.57465 # DEPENDENCYPART_ARC
(6,5),2.26917 # DEPENDENCYPART_ARC
(6,7),-0.154018 # DEPENDENCYPART_ARC
(6,9),-2.67671 # DEPENDENCYPART_ARC
(6,10),0.760994 # DEPENDENCYPART_ARC
(6,11),-1.55924 # DEPENDENCYPART_ARC
(6,12),-1.2208 # DEPENDENCYPART_ARC
(6,15),-3.04706 # DEPENDENCYPART_ARC
(6,16),-0.255715 # DEPENDENCYPART_ARC
(6,17),-0.15573 # DEPENDENCYPART_ARC
(7,2),-2.88404 # DEPENDENCYPART_ARC
(7,4),-2.17237 # DEPENDENCYPART_ARC
(7,5),-0.69277 # DEPENDENCYPART_ARC
(7,6),-0.627086 # DEPENDENCYPART_ARC
(7,9),-0.99436 # DEPENDENCYPART_ARC
(7,10),1.23254 # DEPENDENCYPART_ARC
(7,11),-1.24861 # DEPENDENCYPART_ARC
(7,12),-1.10707 # DEPENDENCYPART_ARC
(7,13),-2.47915 # DEPENDENCYPART_ARC
(7,14),-2.6544 # DEPENDENCYPART_ARC
(7,15),-2.67923 # DEPENDENCYPART_ARC
(7,16),0.61785 # DEPENDENCYPART_ARC
(7,17),-0.665916 # DEPENDENCYPART_ARC
(9,4),-4.667 # DEPENDENCYPART_ARC
(9,5),-1.36023 # DEPENDENCYPART_ARC
(9,6),-1.45502 # DEPENDENCYPART_ARC
(9,7),-0.197231 # DEPENDENCYPART_ARC
(9,8),2.88804 # DEPENDENCYPART_ARC
(9,13),-2.45381 # DEPENDENCYPART_ARC
(9,14),-0.212801 # DEPENDENCYPART_ARC
(9,21),-1.19282 # DEPENDENCYPART_ARC
(10,1),-0.340234 # DEPENDENCYPART_ARC
(10,2),-2.53421 # DEPENDENCYPART_ARC
(10,3),-0.726855 # DEPENDENCYPART_ARC
(10,4),-3.19623 # DEPENDENCYPART_ARC
(10,5),-0.639464 # DEPENDENCYPART_ARC
(10,6),-1.4328 # DEPENDENCYPART_ARC
(10,7),-0.271519 # DEPENDENCYPART_ARC
(10,8),0.375021 # DEPENDENCYPART_ARC
(10,9),1.61947 # DEPENDENCYPART_ARC
(10,11),0.624594 # DEPENDENCYPART_ARC
(10,12),-0.226859 # DEPENDENCYPART_ARC
(10,13),-1.19566 # DEPENDENCYPART_ARC
(10,14),-2.73653 # DEPENDENCYPART_ARC
(10,15),-0.900588 # DEPENDENCYPART_ARC
(10,16),-0.0103998 # DEPENDENCYPART_ARC
(10,17),-4.04533 # DEPENDENCYPART_ARC
(10,22),-1.74949 # DEPENDENCYPART_ARC
(10,23),-3.09439 # DEPENDENCYPART_ARC
(10,24),-1.57888 # DEPENDENCYPART_ARC
(11,1),-1.49377 # DEPENDENCYPART_ARC
(11,4),-1.06997 # DEPENDENCYPART_ARC
(11,5),-0.896408 # DEPENDENCYPART_ARC
(11,7),-0.747081 # DEPENDENCYPART_ARC
(11,9),-1.20705 # DEPENDENCYPART_ARC
(11,10),-0.562722 # DEPENDENCYPART_ARC
(11,12),-0.362453 # DEPENDENCYPART_ARC
(11,13),-1.86502 # DEPENDENCYPART_ARC
(11,14),-2.22442 # DEPENDENCYPART_ARC
(11,15),-2.20707 # DEPENDENCYPART_ARC
