# _root_ Nepřispěje - li sponzor , nezbude škole než využít možností , které jí dává zákonodárce .
#goldHeads=3,3,6,1,3,0,6,6,8,9,14,14,14,10,14,0,
#predictedHeads=3,3,6,1,3,0,6,6,8,9,14,14,14,10,14,0,
(0,1),-0.150449 # DEPENDENCYPART_ARC
(0,2),-0.629616 # DEPENDENCYPART_ARC
(0,3),-1.19912 # DEPENDENCYPART_ARC
(0,4),-1.31768 # DEPENDENCYPART_ARC
(0,5),-1.16987 # DEPENDENCYPART_ARC
(0,6),0.491622 # DEPENDENCYPART_ARC
(0,8),-1.60326 # DEPENDENCYPART_ARC
(0,9),-2.48738 # DEPENDENCYPART_ARC
(0,11),-1.31929 # DEPENDENCYPART_ARC
(0,14),-1.41425 # DEPENDENCYPART_ARC
(0,16),2.01137 # DEPENDENCYPART_ARC
(1,2),-0.152923 # DEPENDENCYPART_ARC
(1,3),-0.778839 # DEPENDENCYPART_ARC
(1,4),0.021052 # DEPENDENCYPART_ARC
(1,5),-0.29646 # DEPENDENCYPART_ARC
(1,6),-1.97874 # DEPENDENCYPART_ARC
(1,7),-1.52378 # DEPENDENCYPART_ARC
(1,8),-0.680746 # DEPENDENCYPART_ARC
(1,9),-0.0469377 # DEPENDENCYPART_ARC
(1,10),-3.98514 # DEPENDENCYPART_ARC
(1,11),-0.865136 # DEPENDENCYPART_ARC
(2,1),-0.934816 # DEPENDENCYPART_ARC
(2,3),-0.796559 # DEPENDENCYPART_ARC
(2,4),-0.814857 # DEPENDENCYPART_ARC
(2,5),-0.843818 # DEPENDENCYPART_ARC
(2,6),-1.3542 # DEPENDENCYPART_ARC
(2,7),-2.0182 # DEPENDENCYPART_ARC
(2,8),-1.00022 # DEPENDENCYPART_ARC
(2,10),-2.58463 # DEPENDENCYPART_ARC
(2,14),-2.39239 # DEPENDENCYPART_ARC
(3,1),1.01001 # DEPENDENCYPART_ARC
(3,2),1.61648 # DEPENDENCYPART_ARC
(3,4),-1.11883 # DEPENDENCYPART_ARC
(3,5),-0.359105 # DEPENDENCYPART_ARC
(3,6),-1.07063 # DEPENDENCYPART_ARC
(3,9),-1.40951 # DEPENDENCYPART_ARC
(3,11),-0.616391 # DEPENDENCYPART_ARC
(3,16),-1.58648 # DEPENDENCYPART_ARC
(4,1),-2.88403 # DEPENDENCYPART_ARC
(4,2),-0.698976 # DEPENDENCYPART_ARC
(4,3),0.419135 # DEPENDENCYPART_ARC
(4,5),-1.16463 # DEPENDENCYPART_ARC
(4,6),-2.60395 # DEPENDENCYPART_ARC
(4,7),-3.1373 # DEPENDENCYPART_ARC
(4,8),-1.3922 # DEPENDENCYPART_ARC
(4,14),-2.9584 # DEPENDENCYPART_ARC
(5,1),-0.693353 # DEPENDENCYPART_ARC
(5,2),-0.838537 # DEPENDENCYPART_ARC
(5,3),-0.729223 # DEPENDENCYPART_ARC
(5,4),-1.14956 # DEPENDENCYPART_ARC
(5,6),-0.685195 # DEPENDENCYPART_ARC
(5,7),-1.32843 # DEPENDENCYPART_ARC
(5,8),-1.01381 # DEPENDENCYPART_ARC
(5,9),-1.96384 # DEPENDENCYPART_ARC
(5,10),-2.47908 # DEPENDENCYPART_ARC
(5,11),-0.554544 # DEPENDENCYPART_ARC
(6,1),-1.68695 # DEPENDENCYPART_ARC
(6,2),-0.637585 # DEPENDENCYPART_ARC
(6,3),0.318574 # DEPENDENCYPART_ARC
(6,4),-0.448325 # DEPENDENCYPART_ARC
(6,5),-0.517862 # DEPENDENCYPART_ARC
(6,7),1.02801 # DEPENDENCYPART_ARC
(6,8),-0.412833 # DEPENDENCYPART_ARC
(6,9),1.44727 # DEPENDENCYPART_ARC
(6,10),-2.50501 # DEPENDENCYPART_ARC
(6,11),-0.496555 # DEPENDENCYPART_ARC
(6,13),-2.14572 # DEPENDENCYPART_ARC
(6,14),-2.5063 # DEPENDENCYPART_ARC
(6,15),-2.29328 # DEPENDENCYPART_ARC
(6,16),-1.09523 # DEPENDENCYPART_ARC
(7,3),-1.41988 # DEPENDENCYPART_ARC
(7,4),-2.82825 # DEPENDENCYPART_ARC
(7,5),-1.53531 # DEPENDENCYPART_ARC
(7,8),-0.310147 # DEPENDENCYPART_ARC
(7,9),-0.296206 # DEPENDENCYPART_ARC
(7,10),-0.518082 # DEPENDENCYPART_ARC
(7,14),-1.87524 # DEPENDENCYPART_ARC
(7,15),-3.0851 # DEPENDENCYPART_ARC
(8,1),-1.64331 # DEPENDENCYPART_ARC
(8,2),-1.3182 # DEPENDENCYPART_ARC
(8,4),-1.63305 # DEPENDENCYPART_ARC
(8,5),0.118618 # DEPENDENCYPART_ARC
(8,6),0.155842 # DEPENDENCYPART_ARC
(8,7),-1.39911 # DEPENDENCYPART_ARC
(8,9),1.81058 # DEPENDENCYPART_ARC
(8,10),0.258821 # DEPENDENCYPART_ARC
(8,11),0.196823 # DEPENDENCYPART_ARC
(8,14),-0.986921 # DEPENDENCYPART_ARC
(8,15),-1.63947 # DEPENDENCYPART_ARC
(8,16),-0.886892 # DEPENDENCYPART_ARC
(9,1),-3.9897 # DEPENDENCYPART_ARC
(9,2),-1.9095 # DEPENDENCYPART_ARC
(9,3),-1.30662 # DEPENDENCYPART_ARC
(9,4),-2.65152 # DEPENDENCYPART_ARC
(9,6),-2.77892 # DEPENDENCYPART_ARC
(9,7),-0.624734 # DEPENDENCYPART_ARC
(9,8),-0.852605 # DEPENDENCYPART_ARC
(9,10),0.497434 # DEPENDENCYPART_ARC
(9,11),-0.732369 # DEPENDENCYPART_ARC
(9,14),-1.49208 # DEPENDENCYPART_ARC
(9,15),-2.84449 # DEPENDENCYPART_ARC
(9,16),-1.58238 # DEPENDENCYPART_ARC
(10,7),-3.86643 # DEPENDENCYPART_ARC
(10,8),-1.17776 # DEPENDENCYPART_ARC
(10,9),-1.52622 # DEPENDENCYPART_ARC
(10,11),-1.05404 # DEPENDENCYPART_ARC
(10,12),-2.32087 # DEPENDENCYPART_ARC
(10,13),-2.83051 # DEPENDENCYPART_ARC
(10,14),-0.76045 # DEPENDENCYPART_ARC
(10,15),-3.48712 # DEPENDENCYPART_ARC
(10,16),-1.93048 # DEPENDENCYPART_ARC
(11,1),-2.256 # DEPENDENCYPART_ARC
(11,2),-1.99152 # DEPENDENCYPART_ARC
(11,3),-1.60415 # DEPENDENCYPART_ARC
(11,5),-1.0929 # DEPENDENCYPART_ARC
(11,6),-1.41092 # DEPENDENCYPART_ARC
(11,7),-1.99772 # DEPENDENCYPART_ARC
(11,9),-1.34731 # DEPENDENCYPART_ARC
(11,10),-1.53045 # DEPENDENCYPART_ARC
(11,13),-1.71296 # DEPENDENCYPART_ARC
(11,14),-1.1415 # DEPENDENCYPART_ARC
(11,15),-1.77253 # DEPENDENCYPART_ARC
(11,16),-1.21531 # DEPENDENCYPART_ARC
(12,11),-0.943051 # DEPENDENCYPART_ARC
(12,15),-1.76183 # DEPENDENCYPART_ARC
(12,16),-1.04041 # DEPENDENCYPART_ARC
(13,10),-2.15069 # DEPENDENCYPART_ARC
(13,14),-2.05115 # DEPENDENCYPART_ARC
(13,15),-1.85534 # DEPENDENCYPART_ARC
(14,1),-3.39011 # DEPENDENCYPART_ARC
(14,2),-1.51145 # DEPENDENCYPART_ARC
(14,3),-0.456182 # DEPENDENCYPART_ARC
(14,4),-1.86769 # DEPENDENCYPART_ARC
(14,5),-2.16678 # DEPENDENCYPART_ARC
(14,6),-2.82815 # DEPENDENCYPART_ARC
(14,7),-1.17519 # DEPENDENCYPART_ARC
(14,8),-0.735212 # DEPENDENCYPART_ARC
(14,9),0.693679 # DEPENDENCYPART_ARC
(14,10),-3.50786 # DEPENDENCYPART_ARC
(14,11),0.89325 # DEPENDENCYPART_ARC
(14,12),-0.276079 # DEPENDENCYPART_ARC
(14,13),1.53029 # DEPENDENCYPART_ARC
(14,15),1.84194 # DEPENDENCYPART_ARC
(14,16),-0.886579 # DEPENDENCYPART_ARC
(15,12),-4.22832 # DEPENDENCYPART_ARC
(15,13),-2.63831 # DEPENDENCYPART_ARC
(15,16),-0.343792 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.137789 # DEPENDENCYPART_SIBL
(0,1),(0,3),-0.223102 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.0521195 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.296463 # DEPENDENCYPART_SIBL
(0,1),(0,6),-1.46319 # DEPENDENCYPART_SIBL
(0,1),(0,8),-0.705202 # DEPENDENCYPART_SIBL
(0,1),(0,9),-1.46054 # DEPENDENCYPART_SIBL
(0,1),(0,11),-0.296463 # DEPENDENCYPART_SIBL
(0,1),(0,14),-1.46324 # DEPENDENCYPART_SIBL
(0,1),(0,16),-0.00769125 # DEPENDENCYPART_SIBL
(0,2),(0,3),-0.0512271 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.0150376 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.227369 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.469612 # DEPENDENCYPART_SIBL
(0,2),(0,8),-0.0955934 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.46982 # DEPENDENCYPART_SIBL
(0,2),(0,11),-0.227369 # DEPENDENCYPART_SIBL
(0,2),(0,14),-0.469882 # DEPENDENCYPART_SIBL
(0,2),(0,16),-0.277536 # DEPENDENCYPART_SIBL
(0,3),(0,4),0.14125 # DEPENDENCYPART_SIBL
(0,3),(0,5),-0.127584 # DEPENDENCYPART_SIBL
(0,3),(0,6),-0.45012 # DEPENDENCYPART_SIBL
(0,3),(0,8),-0.0873547 # DEPENDENCYPART_SIBL
(0,3),(0,9),-0.45012 # DEPENDENCYPART_SIBL
(0,3),(0,11),-0.127584 # DEPENDENCYPART_SIBL
(0,3),(0,14),-0.450205 # DEPENDENCYPART_SIBL
(0,3),(0,16),-0.0221969 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.0207167 # DEPENDENCYPART_SIBL
(0,4),(0,6),-0.184045 # DEPENDENCYPART_SIBL
(0,4),(0,8),-0.0297318 # DEPENDENCYPART_SIBL
(0,4),(0,9),-0.182524 # DEPENDENCYPART_SIBL
(0,4),(0,11),-0.0207167 # DEPENDENCYPART_SIBL
(0,4),(0,14),-0.18541 # DEPENDENCYPART_SIBL
(0,4),(0,16),-0.417287 # DEPENDENCYPART_SIBL
(0,5),(0,6),-0.408609 # DEPENDENCYPART_SIBL
