# _root_ V něm si několik prostitutek najalo vysloužilé zabijáky , aby se pomstily dvěma zákazníkům , kteří v opilosti jednu z nich zohavili .
#goldHeads=6,1,6,6,4,0,8,6,10,6,12,10,14,12,22,22,22,17,22,19,20,14,0,
#predictedHeads=6,1,6,6,4,0,8,6,10,6,12,10,14,12,22,22,22,17,16,19,20,14,0,
(0,1),-1.20841 # DEPENDENCYPART_ARC
(0,4),-0.900259 # DEPENDENCYPART_ARC
(0,5),-2.44295 # DEPENDENCYPART_ARC
(0,6),-0.0960685 # DEPENDENCYPART_ARC
(0,8),-1.88353 # DEPENDENCYPART_ARC
(0,9),-0.940443 # DEPENDENCYPART_ARC
(0,10),-1.74162 # DEPENDENCYPART_ARC
(0,12),-1.0568 # DEPENDENCYPART_ARC
(0,13),-2.06728 # DEPENDENCYPART_ARC
(0,15),-1.19677 # DEPENDENCYPART_ARC
(0,19),-2.23432 # DEPENDENCYPART_ARC
(0,22),-2.09333 # DEPENDENCYPART_ARC
(0,23),2.11671 # DEPENDENCYPART_ARC
(1,2),0.708651 # DEPENDENCYPART_ARC
(1,5),-1.98747 # DEPENDENCYPART_ARC
(1,8),-3.83411 # DEPENDENCYPART_ARC
(4,5),1.28927 # DEPENDENCYPART_ARC
(4,6),-1.65713 # DEPENDENCYPART_ARC
(4,8),-1.48358 # DEPENDENCYPART_ARC
(5,1),-1.82023 # DEPENDENCYPART_ARC
(5,3),-2.13947 # DEPENDENCYPART_ARC
(5,4),-0.842409 # DEPENDENCYPART_ARC
(5,6),-1.49955 # DEPENDENCYPART_ARC
(5,7),-2.44629 # DEPENDENCYPART_ARC
(5,8),-4.313 # DEPENDENCYPART_ARC
(5,9),-1.45785 # DEPENDENCYPART_ARC
(5,10),-1.62586 # DEPENDENCYPART_ARC
(5,12),-2.59347 # DEPENDENCYPART_ARC
(5,13),-3.51043 # DEPENDENCYPART_ARC
(6,1),1.25144 # DEPENDENCYPART_ARC
(6,3),1.04667 # DEPENDENCYPART_ARC
(6,4),0.53546 # DEPENDENCYPART_ARC
(6,5),-1.61205 # DEPENDENCYPART_ARC
(6,7),-1.04102 # DEPENDENCYPART_ARC
(6,8),0.0029731 # DEPENDENCYPART_ARC
(6,9),-0.449669 # DEPENDENCYPART_ARC
(6,10),-0.0570356 # DEPENDENCYPART_ARC
(6,12),-3.70864 # DEPENDENCYPART_ARC
(6,13),-1.83672 # DEPENDENCYPART_ARC
(6,14),-2.75523 # DEPENDENCYPART_ARC
(6,15),-0.833558 # DEPENDENCYPART_ARC
(6,17),-2.14001 # DEPENDENCYPART_ARC
(6,19),-2.62899 # DEPENDENCYPART_ARC
(6,20),-2.02187 # DEPENDENCYPART_ARC
(6,22),-4.32016 # DEPENDENCYPART_ARC
(7,1),-1.65461 # DEPENDENCYPART_ARC
(7,3),-0.94996 # DEPENDENCYPART_ARC
(7,4),-1.59366 # DEPENDENCYPART_ARC
(7,5),-3.75936 # DEPENDENCYPART_ARC
(7,8),-1.72507 # DEPENDENCYPART_ARC
(7,9),-1.23311 # DEPENDENCYPART_ARC
(7,10),-0.909768 # DEPENDENCYPART_ARC
(7,12),-2.64719 # DEPENDENCYPART_ARC
(8,1),-1.60773 # DEPENDENCYPART_ARC
(8,3),-3.42566 # DEPENDENCYPART_ARC
(8,4),-2.09723 # DEPENDENCYPART_ARC
(8,5),-4.34812 # DEPENDENCYPART_ARC
(8,6),-2.23003 # DEPENDENCYPART_ARC
(8,7),2.42982 # DEPENDENCYPART_ARC
(8,9),-1.22256 # DEPENDENCYPART_ARC
(8,10),-1.22516 # DEPENDENCYPART_ARC
(8,12),-1.40994 # DEPENDENCYPART_ARC
(8,13),-3.86169 # DEPENDENCYPART_ARC
(8,14),-4.4003 # DEPENDENCYPART_ARC
(8,19),-4.52283 # DEPENDENCYPART_ARC
(8,22),-1.76645 # DEPENDENCYPART_ARC
(9,1),-1.9905 # DEPENDENCYPART_ARC
(9,5),-1.68443 # DEPENDENCYPART_ARC
(9,6),-0.843508 # DEPENDENCYPART_ARC
(9,7),-1.51625 # DEPENDENCYPART_ARC
(9,8),-1.43163 # DEPENDENCYPART_ARC
(9,10),-0.811469 # DEPENDENCYPART_ARC
(9,12),-1.25636 # DEPENDENCYPART_ARC
(9,13),-1.72946 # DEPENDENCYPART_ARC
(9,14),-1.93898 # DEPENDENCYPART_ARC
(9,15),-0.759824 # DEPENDENCYPART_ARC
(9,20),-2.16772 # DEPENDENCYPART_ARC
(9,22),-2.68474 # DEPENDENCYPART_ARC
(10,5),-1.79306 # DEPENDENCYPART_ARC
(10,6),-0.688905 # DEPENDENCYPART_ARC
(10,7),-1.96881 # DEPENDENCYPART_ARC
(10,8),-1.49843 # DEPENDENCYPART_ARC
(10,9),1.16579 # DEPENDENCYPART_ARC
(10,12),1.48696 # DEPENDENCYPART_ARC
(10,14),-1.60419 # DEPENDENCYPART_ARC
(10,15),-0.321272 # DEPENDENCYPART_ARC
(10,17),-2.36067 # DEPENDENCYPART_ARC
(10,20),-2.18199 # DEPENDENCYPART_ARC
(10,22),0.291935 # DEPENDENCYPART_ARC
(10,23),-1.21147 # DEPENDENCYPART_ARC
(12,1),-0.173114 # DEPENDENCYPART_ARC
(12,3),-1.04434 # DEPENDENCYPART_ARC
(12,4),-1.12968 # DEPENDENCYPART_ARC
(12,5),-2.61798 # DEPENDENCYPART_ARC
(12,6),-2.58125 # DEPENDENCYPART_ARC
(12,7),-2.64659 # DEPENDENCYPART_ARC
(12,8),-1.47469 # DEPENDENCYPART_ARC
(12,9),-0.388329 # DEPENDENCYPART_ARC
(12,10),-0.731117 # DEPENDENCYPART_ARC
(12,11),2.02266 # DEPENDENCYPART_ARC
(12,13),0.0258522 # DEPENDENCYPART_ARC
(12,14),0.236079 # DEPENDENCYPART_ARC
(12,15),-0.490896 # DEPENDENCYPART_ARC
(12,17),-0.838198 # DEPENDENCYPART_ARC
(12,18),-2.23792 # DEPENDENCYPART_ARC
(12,19),-2.61978 # DEPENDENCYPART_ARC
(12,20),-1.08639 # DEPENDENCYPART_ARC
(12,22),-2.72112 # DEPENDENCYPART_ARC
(13,14),-0.889412 # DEPENDENCYPART_ARC
(13,17),-1.09152 # DEPENDENCYPART_ARC
(13,20),-0.915622 # DEPENDENCYPART_ARC
(14,1),-1.80455 # DEPENDENCYPART_ARC
(14,3),-4.28943 # DEPENDENCYPART_ARC
(14,6),-4.31603 # DEPENDENCYPART_ARC
(14,7),-2.40169 # DEPENDENCYPART_ARC
(14,9),-1.12616 # DEPENDENCYPART_ARC
(14,10),-0.814662 # DEPENDENCYPART_ARC
(14,11),-3.28271 # DEPENDENCYPART_ARC
(14,12),-2.56803 # DEPENDENCYPART_ARC
(14,13),2.18153 # DEPENDENCYPART_ARC
(14,15),-1.21157 # DEPENDENCYPART_ARC
(14,16),-1.96314 # DEPENDENCYPART_ARC
(14,17),-2.32132 # DEPENDENCYPART_ARC
(14,18),-3.02358 # DEPENDENCYPART_ARC
(14,19),-3.97312 # DEPENDENCYPART_ARC
(14,20),-2.1793 # DEPENDENCYPART_ARC
(14,22),-0.686775 # DEPENDENCYPART_ARC
(15,6),-1.49094 # DEPENDENCYPART_ARC
(15,9),-1.23224 # DEPENDENCYPART_ARC
(15,10),-1.44961 # DEPENDENCYPART_ARC
(15,11),-2.08384 # DEPENDENCYPART_ARC
(15,12),-0.845662 # DEPENDENCYPART_ARC
(15,13),-1.70855 # DEPENDENCYPART_ARC
(15,14),-1.60713 # DEPENDENCYPART_ARC
(15,17),-1.27394 # DEPENDENCYPART_ARC
(15,18),-2.02446 # DEPENDENCYPART_ARC
(15,19),-1.74425 # DEPENDENCYPART_ARC
(15,20),-1.88994 # DEPENDENCYPART_ARC
(15,22),-1.79604 # DEPENDENCYPART_ARC
(16,15),-0.945873 # DEPENDENCYPART_ARC
(16,17),-0.648555 # DEPENDENCYPART_ARC
(16,18),-1.87418 # DEPENDENCYPART_ARC
(16,19),-0.650067 # DEPENDENCYPART_ARC
(17,15),-1.05462 # DEPENDENCYPART_ARC
(17,18),2.32613 # DEPENDENCYPART_ARC
(17,19),-1.86148 # DEPENDENCYPART_ARC
(18,13),-2.56047 # DEPENDENCYPART_ARC
(18,14),-3.57181 # DEPENDENCYPART_ARC
(18,16),-2.78561 # DEPENDENCYPART_ARC
(18,17),-0.4053 # DEPENDENCYPART_ARC
(18,19),-0.622361 # DEPENDENCYPART_ARC
(18,20),-0.906558 # DEPENDENCYPART_ARC
(18,22),-1.39833 # DEPENDENCYPART_ARC
(18,23),-1.07036 # DEPENDENCYPART_ARC
(19,16),-1.92518 # DEPENDENCYPART_ARC
(19,17),-1.27335 # DEPENDENCYPART_ARC
(19,18),-1.34925 # DEPENDENCYPART_ARC
(19,20),1.14518 # DEPENDENCYPART_ARC
(19,22),-2.25987 # DEPENDENCYPART_ARC
(19,23),-0.940577 # DEPENDENCYPART_ARC
(20,14),-3.47573 # DEPENDENCYPART_ARC
(20,15),-1.41189 # DEPENDENCYPART_ARC
(20,18),-2.19462 # DEPENDENCYPART_ARC
(20,21),1.12033 # DEPENDENCYPART_ARC
(22,1),0.159154 # DEPENDENCYPART_ARC
(22,3),-1.47861 # DEPENDENCYPART_ARC
(22,5),-2.79172 # DEPENDENCYPART_ARC
(22,6),-3.56684 # DEPENDENCYPART_ARC
(22,7),-1.81762 # DEPENDENCYPART_ARC
(22,8),-1.14097 # DEPENDENCYPART_ARC
(22,9),-0.833665 # DEPENDENCYPART_ARC
(22,10),-1.05527 # DEPENDENCYPART_ARC
(22,11),-0.344912 # DEPENDENCYPART_ARC
(22,12),-2.70199 # DEPENDENCYPART_ARC
(22,13),-0.261452 # DEPENDENCYPART_ARC
(22,14),-0.731164 # DEPENDENCYPART_ARC
(22,15),0.655479 # DEPENDENCYPART_ARC
(22,16),0.39478 # DEPENDENCYPART_ARC
(22,17),0.818812 # DEPENDENCYPART_ARC
(22,18),-1.0082 # DEPENDENCYPART_ARC
(22,19),-0.539465 # DEPENDENCYPART_ARC
(22,20),0.788803 # DEPENDENCYPART_ARC
(22,23),-0.63781 # DEPENDENCYPART_ARC
(0,1),(0,4),0.207252 # DEPENDENCYPART_SIBL
(0,1),(0,5),0.114591 # DEPENDENCYPART_SIBL
(0,1),(0,6),-0.372218 # DEPENDENCYPART_SIBL
(0,1),(0,8),0.114591 # DEPENDENCYPART_SIBL
(0,1),(0,9),-0.093583 # DEPENDENCYPART_SIBL
(0,1),(0,10),-0.0144695 # DEPENDENCYPART_SIBL
(0,1),(0,12),-0.372218 # DEPENDENCYPART_SIBL
(0,1),(0,13),0.230977 # DEPENDENCYPART_SIBL
(0,1),(0,15),-0.093583 # DEPENDENCYPART_SIBL
(0,1),(0,19),0.23283 # DEPENDENCYPART_SIBL
(0,1),(0,22),-0.372218 # DEPENDENCYPART_SIBL
(0,1),(0,23),-0.396679 # DEPENDENCYPART_SIBL
(0,4),(0,5),0.174032 # DEPENDENCYPART_SIBL
(0,4),(0,6),-0.38369 # DEPENDENCYPART_SIBL
(0,4),(0,8),0.174032 # DEPENDENCYPART_SIBL
(0,4),(0,9),-0.0343456 # DEPENDENCYPART_SIBL
(0,4),(0,10),-0.0488777 # DEPENDENCYPART_SIBL
(0,4),(0,12),-0.38369 # DEPENDENCYPART_SIBL
(0,4),(0,13),0.00601456 # DEPENDENCYPART_SIBL
(0,4),(0,15),-0.0343456 # DEPENDENCYPART_SIBL
(0,4),(0,19),0.0112131 # DEPENDENCYPART_SIBL
(0,4),(0,22),-0.38369 # DEPENDENCYPART_SIBL
(0,4),(0,23),-0.25451 # DEPENDENCYPART_SIBL
(0,5),(0,6),-0.183763 # DEPENDENCYPART_SIBL
(0,5),(0,8),0.0372201 # DEPENDENCYPART_SIBL
(0,5),(0,9),-0.0203409 # DEPENDENCYPART_SIBL
(0,5),(0,10),0.031818 # DEPENDENCYPART_SIBL
(0,5),(0,12),-0.183763 # DEPENDENCYPART_SIBL
(0,5),(0,13),0.110414 # DEPENDENCYPART_SIBL
(0,5),(0,15),-0.0203409 # DEPENDENCYPART_SIBL
(0,5),(0,19),0.108908 # DEPENDENCYPART_SIBL
(0,5),(0,22),-0.183763 # DEPENDENCYPART_SIBL
(0,5),(0,23),-0.416889 # DEPENDENCYPART_SIBL
(0,6),(0,8),-0.0521187 # DEPENDENCYPART_SIBL
(0,6),(0,9),-0.296463 # DEPENDENCYPART_SIBL
(0,6),(0,10),-0.667766 # DEPENDENCYPART_SIBL
(0,6),(0,12),-1.46319 # DEPENDENCYPART_SIBL
(0,6),(0,13),-0.0727593 # DEPENDENCYPART_SIBL
(0,6),(0,15),-0.296463 # DEPENDENCYPART_SIBL
(0,6),(0,19),-0.0735165 # DEPENDENCYPART_SIBL
(0,6),(0,22),-1.46319 # DEPENDENCYPART_SIBL
(0,6),(0,23),-0.00769122 # DEPENDENCYPART_SIBL
(0,8),(0,9),-0.0203409 # DEPENDENCYPART_SIBL
(0,8),(0,10),0.031818 # DEPENDENCYPART_SIBL
(0,8),(0,12),-0.183763 # DEPENDENCYPART_SIBL
(0,8),(0,13),0.110414 # DEPENDENCYPART_SIBL
(0,8),(0,15),-0.0203409 # DEPENDENCYPART_SIBL
(0,8),(0,19),0.108908 # DEPENDENCYPART_SIBL
(0,8),(0,22),-0.183763 # DEPENDENCYPART_SIBL
(0,8),(0,23),-0.416889 # DEPENDENCYPART_SIBL
(0,9),(0,10),-0.0596916 # DEPENDENCYPART_SIBL
(0,9),(0,12),-0.408609 # DEPENDENCYPART_SIBL
(0,9),(0,13),0.0306858 # DEPENDENCYPART_SIBL
(0,9),(0,15),-0.129028 # DEPENDENCYPART_SIBL
(0,9),(0,19),0.029856 # DEPENDENCYPART_SIBL
(0,9),(0,22),-0.408609 # DEPENDENCYPART_SIBL
(0,9),(0,23),-0.133324 # DEPENDENCYPART_SIBL
(0,10),(0,12),-0.827366 # DEPENDENCYPART_SIBL
(0,10),(0,13),-0.0648661 # DEPENDENCYPART_SIBL
(0,10),(0,15),-0.395234 # DEPENDENCYPART_SIBL
(0,10),(0,19),-0.0656196 # DEPENDENCYPART_SIBL
(0,10),(0,22),-0.827366 # DEPENDENCYPART_SIBL
(0,10),(0,23),-0.20532 # DEPENDENCYPART_SIBL
(0,12),(0,13),-0.0727593 # DEPENDENCYPART_SIBL
(0,12),(0,15),-0.296463 # DEPENDENCYPART_SIBL
(0,12),(0,19),-0.0735165 # DEPENDENCYPART_SIBL
(0,12),(0,22),-1.46319 # DEPENDENCYPART_SIBL
(0,12),(0,23),-0.00769122 # DEPENDENCYPART_SIBL
(0,13),(0,15),-0.0369605 # DEPENDENCYPART_SIBL
(0,13),(0,19),0.0245621 # DEPENDENCYPART_SIBL
(0,13),(0,22),-0.384947 # DEPENDENCYPART_SIBL
(0,13),(0,23),-0.251582 # DEPENDENCYPART_SIBL
(0,15),(0,19),0.029856 # DEPENDENCYPART_SIBL
(0,15),(0,22),-0.408609 # DEPENDENCYPART_SIBL
(0,15),(0,23),-0.133324 # DEPENDENCYPART_SIBL
(0,19),(0,22),-0.388153 # DEPENDENCYPART_SIBL
(0,19),(0,23),-0.260342 # DEPENDENCYPART_SIBL
(0,22),(0,23),-0.00769122 # DEPENDENCYPART_SIBL
(1,2),(1,5),-1.00196 # DEPENDENCYPART_SIBL
(1,2),(1,8),-1.00196 # DEPENDENCYPART_SIBL
(1,5),(1,8),-1.40195 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.0105726 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.136178 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.0121964 # DEPENDENCYPART_SIBL
(5,1),(5,3),-0.148654 # DEPENDENCYPART_SIBL
(5,1),(5,4),-0.0877444 # DEPENDENCYPART_SIBL
(5,1),(5,6),-0.0803268 # DEPENDENCYPART_SIBL
(5,1),(5,7),-0.140175 # DEPENDENCYPART_SIBL
(5,1),(5,8),0.110534 # DEPENDENCYPART_SIBL
(5,1),(5,9),-0.0169139 # DEPENDENCYPART_SIBL
(5,1),(5,10),-0.0716443 # DEPENDENCYPART_SIBL
(5,1),(5,12),-0.0803268 # DEPENDENCYPART_SIBL
(5,1),(5,13),-0.117937 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.103307 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.0121588 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.105083 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.029123 # DEPENDENCYPART_SIBL
(5,3),(5,9),0.0149587 # DEPENDENCYPART_SIBL
(5,3),(5,10),0.00767785 # DEPENDENCYPART_SIBL
(5,3),(5,12),-0.0121588 # DEPENDENCYPART_SIBL
(5,3),(5,13),-0.0810378 # DEPENDENCYPART_SIBL
(5,4),(5,6),0.00759442 # DEPENDENCYPART_SIBL
(5,4),(5,7),-0.0115526 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.0102033 # DEPENDENCYPART_SIBL
(5,4),(5,9),-0.0563804 # DEPENDENCYPART_SIBL
(5,4),(5,10),-0.0611689 # DEPENDENCYPART_SIBL
(5,4),(5,12),0.00759442 # DEPENDENCYPART_SIBL
(5,4),(5,13),0.00141234 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.0137666 # DEPENDENCYPART_SIBL
(5,6),(5,8),0.00233445 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.0226264 # DEPENDENCYPART_SIBL
(5,6),(5,10),-0.0807084 # DEPENDENCYPART_SIBL
(5,6),(5,12),-0.259556 # DEPENDENCYPART_SIBL
(5,6),(5,13),0.0179474 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.028015 # DEPENDENCYPART_SIBL
(5,7),(5,9),-0.015484 # DEPENDENCYPART_SIBL
(5,7),(5,10),-0.0144661 # DEPENDENCYPART_SIBL
(5,7),(5,12),0.00789198 # DEPENDENCYPART_SIBL
(5,7),(5,13),-0.0248848 # DEPENDENCYPART_SIBL
(5,8),(5,9),-0.0371462 # DEPENDENCYPART_SIBL
(5,8),(5,10),-0.0163862 # DEPENDENCYPART_SIBL
(5,8),(5,12),0.0116568 # DEPENDENCYPART_SIBL
(5,8),(5,13),0.0162244 # DEPENDENCYPART_SIBL
(5,9),(5,10),-0.000501586 # DEPENDENCYPART_SIBL
(5,9),(5,12),-0.0141743 # DEPENDENCYPART_SIBL
(5,9),(5,13),-0.0087566 # DEPENDENCYPART_SIBL
(5,10),(5,12),-0.0266291 # DEPENDENCYPART_SIBL
(5,10),(5,13),0.00602333 # DEPENDENCYPART_SIBL
(5,12),(5,13),0.0179474 # DEPENDENCYPART_SIBL
(6,1),(6,3),-0.0308784 # DEPENDENCYPART_SIBL
(6,1),(6,4),-0.0804863 # DEPENDENCYPART_SIBL
(6,1),(6,5),-0.00541516 # DEPENDENCYPART_SIBL
(6,1),(6,7),-0.072009 # DEPENDENCYPART_SIBL
(6,1),(6,8),0.0123647 # DEPENDENCYPART_SIBL
(6,1),(6,9),-0.00765719 # DEPENDENCYPART_SIBL
(6,1),(6,10),0.0134812 # DEPENDENCYPART_SIBL
(6,1),(6,12),0.0525754 # DEPENDENCYPART_SIBL
(6,1),(6,13),0.0366611 # DEPENDENCYPART_SIBL
(6,1),(6,14),0.0142926 # DEPENDENCYPART_SIBL
(6,1),(6,15),-0.00765719 # DEPENDENCYPART_SIBL
(6,1),(6,17),0.0253419 # DEPENDENCYPART_SIBL
(6,1),(6,19),0.0258872 # DEPENDENCYPART_SIBL
(6,1),(6,20),-0.0581325 # DEPENDENCYPART_SIBL
(6,1),(6,22),0.0525754 # DEPENDENCYPART_SIBL
(6,3),(6,4),-0.0106596 # DEPENDENCYPART_SIBL
(6,3),(6,5),0.0594923 # DEPENDENCYPART_SIBL
(6,3),(6,7),-0.192327 # DEPENDENCYPART_SIBL
(6,3),(6,8),0.0293621 # DEPENDENCYPART_SIBL
(6,3),(6,9),-0.00402888 # DEPENDENCYPART_SIBL
(6,3),(6,10),0.0414978 # DEPENDENCYPART_SIBL
(6,3),(6,12),-0.0437908 # DEPENDENCYPART_SIBL
(6,3),(6,13),-0.00881695 # DEPENDENCYPART_SIBL
(6,3),(6,14),0.0320966 # DEPENDENCYPART_SIBL
(6,3),(6,15),-0.00402888 # DEPENDENCYPART_SIBL
(6,3),(6,17),-0.0510766 # DEPENDENCYPART_SIBL
(6,3),(6,19),-0.00350281 # DEPENDENCYPART_SIBL
(6,3),(6,20),-0.0251247 # DEPENDENCYPART_SIBL
(6,3),(6,22),-0.0437908 # DEPENDENCYPART_SIBL
(6,4),(6,5),-0.0583388 # DEPENDENCYPART_SIBL
(6,4),(6,7),-0.0621648 # DEPENDENCYPART_SIBL
(6,4),(6,8),0.0141433 # DEPENDENCYPART_SIBL
(6,4),(6,9),-0.069727 # DEPENDENCYPART_SIBL
(6,4),(6,10),0.00725839 # DEPENDENCYPART_SIBL
(6,4),(6,12),-0.0512712 # DEPENDENCYPART_SIBL
(6,4),(6,13),0.0145595 # DEPENDENCYPART_SIBL
(6,4),(6,14),0.016025 # DEPENDENCYPART_SIBL
(6,4),(6,15),-0.069727 # DEPENDENCYPART_SIBL
(6,4),(6,17),-0.0420546 # DEPENDENCYPART_SIBL
(6,4),(6,19),0.0154889 # DEPENDENCYPART_SIBL
(6,4),(6,20),-0.0140816 # DEPENDENCYPART_SIBL
(6,4),(6,22),-0.0512712 # DEPENDENCYPART_SIBL
(6,5),(6,7),-0.0387897 # DEPENDENCYPART_SIBL
(6,5),(6,8),-0.0419322 # DEPENDENCYPART_SIBL
(6,5),(6,9),-0.00191079 # DEPENDENCYPART_SIBL
(6,5),(6,10),-0.0069041 # DEPENDENCYPART_SIBL
(6,5),(6,12),-0.0156261 # DEPENDENCYPART_SIBL
(6,5),(6,13),-0.0310659 # DEPENDENCYPART_SIBL
(6,5),(6,14),-0.0371631 # DEPENDENCYPART_SIBL
(6,5),(6,15),-0.00191079 # DEPENDENCYPART_SIBL
