# _root_ Do oblasti Plitvických jezer , kde působí náš prapor jako součást ochranných sil OSN , se začnou přesunovat autobusy 10 . října .
#goldHeads=17,1,4,2,7,7,2,9,7,11,9,13,11,13,7,18,0,17,17,22,20,17,0,
#predictedHeads=0,1,4,2,7,7,4,9,7,11,9,13,11,13,17,18,0,17,18,22,20,19,0,
(0,1),-0.924918 # DEPENDENCYPART_ARC
(0,2),-1.93344 # DEPENDENCYPART_ARC
(0,3),-2.22877 # DEPENDENCYPART_ARC
(0,4),-2.04753 # DEPENDENCYPART_ARC
(0,5),-1.00981 # DEPENDENCYPART_ARC
(0,6),-1.40354 # DEPENDENCYPART_ARC
(0,7),-0.474204 # DEPENDENCYPART_ARC
(0,15),-1.58895 # DEPENDENCYPART_ARC
(0,17),-0.547551 # DEPENDENCYPART_ARC
(0,18),-1.86444 # DEPENDENCYPART_ARC
(0,21),-0.411603 # DEPENDENCYPART_ARC
(0,23),1.80815 # DEPENDENCYPART_ARC
(1,2),1.35358 # DEPENDENCYPART_ARC
(1,3),-1.80824 # DEPENDENCYPART_ARC
(1,4),-1.30958 # DEPENDENCYPART_ARC
(1,5),-1.33023 # DEPENDENCYPART_ARC
(1,10),-1.70104 # DEPENDENCYPART_ARC
(2,1),-0.202173 # DEPENDENCYPART_ARC
(2,3),-1.15628 # DEPENDENCYPART_ARC
(2,4),0.657867 # DEPENDENCYPART_ARC
(2,5),-1.27311 # DEPENDENCYPART_ARC
(2,6),-1.26848 # DEPENDENCYPART_ARC
(2,7),-1.81766 # DEPENDENCYPART_ARC
(2,9),-2.45259 # DEPENDENCYPART_ARC
(2,10),-1.17662 # DEPENDENCYPART_ARC
(2,11),-2.50269 # DEPENDENCYPART_ARC
(2,13),-0.974191 # DEPENDENCYPART_ARC
(3,1),-1.17663 # DEPENDENCYPART_ARC
(3,2),-1.86356 # DEPENDENCYPART_ARC
(3,4),-1.71645 # DEPENDENCYPART_ARC
(3,6),-1.41082 # DEPENDENCYPART_ARC
(3,7),-3.19717 # DEPENDENCYPART_ARC
(3,10),-1.05774 # DEPENDENCYPART_ARC
(4,1),-1.38096 # DEPENDENCYPART_ARC
(4,2),-2.9937 # DEPENDENCYPART_ARC
(4,3),2.27863 # DEPENDENCYPART_ARC
(4,5),-1.33825 # DEPENDENCYPART_ARC
(4,6),-1.46584 # DEPENDENCYPART_ARC
(4,7),-1.57692 # DEPENDENCYPART_ARC
(4,9),-3.11379 # DEPENDENCYPART_ARC
(4,10),-1.67769 # DEPENDENCYPART_ARC
(4,12),-2.67682 # DEPENDENCYPART_ARC
(4,17),-2.22641 # DEPENDENCYPART_ARC
(4,18),-3.26115 # DEPENDENCYPART_ARC
(5,1),-1.29821 # DEPENDENCYPART_ARC
(5,2),-1.12688 # DEPENDENCYPART_ARC
(5,3),-1.39453 # DEPENDENCYPART_ARC
(5,4),-1.02135 # DEPENDENCYPART_ARC
(5,6),-1.30457 # DEPENDENCYPART_ARC
(5,7),-1.38877 # DEPENDENCYPART_ARC
(5,9),-1.85876 # DEPENDENCYPART_ARC
(5,10),-1.30244 # DEPENDENCYPART_ARC
(5,12),-2.30127 # DEPENDENCYPART_ARC
(5,15),-0.949375 # DEPENDENCYPART_ARC
(5,17),-2.84956 # DEPENDENCYPART_ARC
(6,1),-1.75849 # DEPENDENCYPART_ARC
(6,2),-1.74347 # DEPENDENCYPART_ARC
(6,3),-1.81982 # DEPENDENCYPART_ARC
(6,4),-1.45778 # DEPENDENCYPART_ARC
(6,5),-0.945278 # DEPENDENCYPART_ARC
(6,7),-0.839247 # DEPENDENCYPART_ARC
(6,9),-2.28419 # DEPENDENCYPART_ARC
