# _root_ V prvním poločase , kdy se domácí celek ujal ve 28 . minutě vedení brankou z kopačky Kellyho , rozpoutali podnapilí výtržníci z Anglie na horní části tribuny nepokoje .
#goldHeads=20,3,1,9,9,9,8,9,3,9,13,11,10,9,9,15,16,17,9,0,22,20,22,23,20,27,25,27,20,0,
#predictedHeads=20,3,1,9,9,9,8,9,3,9,13,11,10,13,14,15,16,17,9,0,22,20,22,23,20,27,25,27,20,0,
(0,1),-1.24037 # DEPENDENCYPART_ARC
(0,2),-1.67783 # DEPENDENCYPART_ARC
(0,3),-1.45277 # DEPENDENCYPART_ARC
(0,4),-0.652321 # DEPENDENCYPART_ARC
(0,5),-1.33513 # DEPENDENCYPART_ARC
(0,9),-0.567161 # DEPENDENCYPART_ARC
(0,12),-0.431696 # DEPENDENCYPART_ARC
(0,19),-1.16699 # DEPENDENCYPART_ARC
(0,20),0.224403 # DEPENDENCYPART_ARC
(0,30),1.73308 # DEPENDENCYPART_ARC
(1,2),0.327549 # DEPENDENCYPART_ARC
(1,3),1.27512 # DEPENDENCYPART_ARC
(1,4),-1.45578 # DEPENDENCYPART_ARC
(1,5),-2.06914 # DEPENDENCYPART_ARC
(1,8),-3.27483 # DEPENDENCYPART_ARC
(2,1),-0.900622 # DEPENDENCYPART_ARC
(2,3),-1.24979 # DEPENDENCYPART_ARC
(3,1),-0.325822 # DEPENDENCYPART_ARC
(3,2),2.25154 # DEPENDENCYPART_ARC
(3,4),-1.12751 # DEPENDENCYPART_ARC
(3,5),-1.58208 # DEPENDENCYPART_ARC
(3,7),-2.4591 # DEPENDENCYPART_ARC
(3,8),-2.01576 # DEPENDENCYPART_ARC
(3,9),-1.52512 # DEPENDENCYPART_ARC
(3,11),-2.26853 # DEPENDENCYPART_ARC
(3,12),-1.97369 # DEPENDENCYPART_ARC
(4,1),-1.30291 # DEPENDENCYPART_ARC
(4,2),-1.39137 # DEPENDENCYPART_ARC
(4,3),-1.17567 # DEPENDENCYPART_ARC
(4,5),-1.11419 # DEPENDENCYPART_ARC
(4,7),-1.62254 # DEPENDENCYPART_ARC
(4,8),-1.63506 # DEPENDENCYPART_ARC
(4,9),-1.47479 # DEPENDENCYPART_ARC
(4,10),-1.57511 # DEPENDENCYPART_ARC
(4,11),-1.82079 # DEPENDENCYPART_ARC
(4,12),-1.16602 # DEPENDENCYPART_ARC
(4,19),-0.75611 # DEPENDENCYPART_ARC
(4,20),-3.08183 # DEPENDENCYPART_ARC
(5,1),-1.47105 # DEPENDENCYPART_ARC
(5,3),-1.39919 # DEPENDENCYPART_ARC
(5,4),-0.995129 # DEPENDENCYPART_ARC
(5,7),-1.91375 # DEPENDENCYPART_ARC
(5,8),-2.32152 # DEPENDENCYPART_ARC
(5,9),-1.71496 # DEPENDENCYPART_ARC
(5,12),-1.34525 # DEPENDENCYPART_ARC
(7,1),-1.48143 # DEPENDENCYPART_ARC
(7,4),-1.3581 # DEPENDENCYPART_ARC
(7,5),-0.940782 # DEPENDENCYPART_ARC
(7,6),-1.17151 # DEPENDENCYPART_ARC
(7,9),-2.43453 # DEPENDENCYPART_ARC
(7,10),-1.51496 # DEPENDENCYPART_ARC
(8,1),-1.03624 # DEPENDENCYPART_ARC
(8,2),-0.466685 # DEPENDENCYPART_ARC
(8,3),-4.15838 # DEPENDENCYPART_ARC
(8,4),-0.702336 # DEPENDENCYPART_ARC
(8,5),-0.514046 # DEPENDENCYPART_ARC
(8,6),-1.84458 # DEPENDENCYPART_ARC
(8,7),2.82199 # DEPENDENCYPART_ARC
(8,9),-2.05946 # DEPENDENCYPART_ARC
(8,10),-1.70885 # DEPENDENCYPART_ARC
(8,11),-1.65313 # DEPENDENCYPART_ARC
(8,12),-1.1177 # DEPENDENCYPART_ARC
(9,1),0.353048 # DEPENDENCYPART_ARC
(9,2),-1.76972 # DEPENDENCYPART_ARC
(9,3),-1.59067 # DEPENDENCYPART_ARC
(9,4),0.0601207 # DEPENDENCYPART_ARC
(9,5),0.942364 # DEPENDENCYPART_ARC
(9,6),1.31812 # DEPENDENCYPART_ARC
(9,7),-0.793062 # DEPENDENCYPART_ARC
(9,8),1.07119 # DEPENDENCYPART_ARC
(9,10),1.22396 # DEPENDENCYPART_ARC
(9,11),-0.566905 # DEPENDENCYPART_ARC
(9,12),-1.03823 # DEPENDENCYPART_ARC
(9,13),-1.06757 # DEPENDENCYPART_ARC
(9,14),-1.19217 # DEPENDENCYPART_ARC
(9,15),-0.130498 # DEPENDENCYPART_ARC
(9,16),-0.539325 # DEPENDENCYPART_ARC
(9,17),-3.33697 # DEPENDENCYPART_ARC
(9,18),-2.06892 # DEPENDENCYPART_ARC
(9,19),-0.771356 # DEPENDENCYPART_ARC
(9,20),-3.30272 # DEPENDENCYPART_ARC
(9,22),-2.26113 # DEPENDENCYPART_ARC
(9,23),-1.32748 # DEPENDENCYPART_ARC
(9,24),-4.93534 # DEPENDENCYPART_ARC
(9,25),-1.1131 # DEPENDENCYPART_ARC
