# _root_ Jakmile bude toto perspektivně levné vozidlo předvedeno potencionálním zájemcům in natura , bude jim jasné , že na něco podobného vlastně čekali .
#goldHeads=13,7,6,5,6,7,1,9,7,11,7,1,0,13,13,17,13,22,18,19,22,17,0,
#predictedHeads=13,7,6,5,6,7,1,9,7,9,10,1,0,15,13,17,13,22,18,19,22,17,0,
(0,1),0.201082 # DEPENDENCYPART_ARC
(0,2),-1.06315 # DEPENDENCYPART_ARC
(0,7),-1.14522 # DEPENDENCYPART_ARC
(0,12),-1.43182 # DEPENDENCYPART_ARC
(0,13),-0.481415 # DEPENDENCYPART_ARC
(0,14),-2.79644 # DEPENDENCYPART_ARC
(0,16),-1.46276 # DEPENDENCYPART_ARC
(0,19),-2.25457 # DEPENDENCYPART_ARC
(0,22),-1.52236 # DEPENDENCYPART_ARC
(0,23),2.21607 # DEPENDENCYPART_ARC
(1,2),0.987403 # DEPENDENCYPART_ARC
(1,3),-1.43678 # DEPENDENCYPART_ARC
(1,4),-1.39289 # DEPENDENCYPART_ARC
(1,5),-1.7306 # DEPENDENCYPART_ARC
(1,6),-2.25429 # DEPENDENCYPART_ARC
(1,7),-0.839121 # DEPENDENCYPART_ARC
(1,12),0.777164 # DEPENDENCYPART_ARC
(1,16),-0.52699 # DEPENDENCYPART_ARC
(2,1),-0.456852 # DEPENDENCYPART_ARC
(2,3),0.943667 # DEPENDENCYPART_ARC
(2,4),-0.278795 # DEPENDENCYPART_ARC
(2,5),0.125369 # DEPENDENCYPART_ARC
(2,6),-1.1408 # DEPENDENCYPART_ARC
(2,7),-0.8853 # DEPENDENCYPART_ARC
(2,8),-2.49831 # DEPENDENCYPART_ARC
(2,9),-2.43927 # DEPENDENCYPART_ARC
(2,10),-1.87003 # DEPENDENCYPART_ARC
(2,11),-2.86119 # DEPENDENCYPART_ARC
(2,12),-1.23804 # DEPENDENCYPART_ARC
(2,15),-1.28966 # DEPENDENCYPART_ARC
(2,17),-2.73803 # DEPENDENCYPART_ARC
(2,20),-4.2142 # DEPENDENCYPART_ARC
(2,21),-2.64589 # DEPENDENCYPART_ARC
(3,1),-0.790045 # DEPENDENCYPART_ARC
(3,2),-0.91111 # DEPENDENCYPART_ARC
(3,5),-1.22818 # DEPENDENCYPART_ARC
(3,6),-2.22017 # DEPENDENCYPART_ARC
(3,7),-1.03807 # DEPENDENCYPART_ARC
(3,13),-2.69095 # DEPENDENCYPART_ARC
(4,1),-0.727759 # DEPENDENCYPART_ARC
(4,2),-1.36757 # DEPENDENCYPART_ARC
(4,3),-1.05251 # DEPENDENCYPART_ARC
(4,5),-2.85059 # DEPENDENCYPART_ARC
(4,6),-2.68238 # DEPENDENCYPART_ARC
(4,9),-3.44149 # DEPENDENCYPART_ARC
(4,17),-1.93092 # DEPENDENCYPART_ARC
(5,2),-1.88536 # DEPENDENCYPART_ARC
(5,3),-1.39359 # DEPENDENCYPART_ARC
(5,4),0.83357 # DEPENDENCYPART_ARC
(5,6),-1.96212 # DEPENDENCYPART_ARC
(5,9),-1.24712 # DEPENDENCYPART_ARC
(6,1),-0.859981 # DEPENDENCYPART_ARC
(6,3),1.06959 # DEPENDENCYPART_ARC
(6,4),-0.665648 # DEPENDENCYPART_ARC
(6,5),2.43417 # DEPENDENCYPART_ARC
(6,7),-1.09895 # DEPENDENCYPART_ARC
(6,8),-2.24131 # DEPENDENCYPART_ARC
(6,9),-2.4167 # DEPENDENCYPART_ARC
(6,10),-0.252163 # DEPENDENCYPART_ARC
(7,1),0.0844635 # DEPENDENCYPART_ARC
(7,2),2.4825 # DEPENDENCYPART_ARC
(7,3),0.268628 # DEPENDENCYPART_ARC
(7,4),0.468581 # DEPENDENCYPART_ARC
(7,5),-1.53324 # DEPENDENCYPART_ARC
(7,6),0.772814 # DEPENDENCYPART_ARC
(7,8),-1.07049 # DEPENDENCYPART_ARC
(7,9),-0.246196 # DEPENDENCYPART_ARC
(7,10),-0.49635 # DEPENDENCYPART_ARC
(7,11),-1.59855 # DEPENDENCYPART_ARC
(7,12),-0.502898 # DEPENDENCYPART_ARC
(7,13),-2.16778 # DEPENDENCYPART_ARC
(7,16),-1.25007 # DEPENDENCYPART_ARC
(7,17),-1.48813 # DEPENDENCYPART_ARC
(7,18),-1.8346 # DEPENDENCYPART_ARC
(8,4),-1.07102 # DEPENDENCYPART_ARC
(8,5),-3.81973 # DEPENDENCYPART_ARC
(8,10),-1.34805 # DEPENDENCYPART_ARC
(8,17),-1.37291 # DEPENDENCYPART_ARC
(9,3),-2.69413 # DEPENDENCYPART_ARC
(9,4),-1.45121 # DEPENDENCYPART_ARC
(9,5),-3.72984 # DEPENDENCYPART_ARC
(9,6),-3.88375 # DEPENDENCYPART_ARC
(9,7),-2.28081 # DEPENDENCYPART_ARC
(9,8),2.13556 # DEPENDENCYPART_ARC
(9,10),0.707004 # DEPENDENCYPART_ARC
(9,11),-1.35123 # DEPENDENCYPART_ARC
(9,13),-2.77942 # DEPENDENCYPART_ARC
(9,15),-4.18087 # DEPENDENCYPART_ARC
(9,17),-1.22926 # DEPENDENCYPART_ARC
(9,18),-2.81965 # DEPENDENCYPART_ARC
(9,20),-3.36699 # DEPENDENCYPART_ARC
(9,22),-2.36325 # DEPENDENCYPART_ARC
(10,9),-2.46903 # DEPENDENCYPART_ARC
(10,11),-0.142459 # DEPENDENCYPART_ARC
(10,12),-1.07443 # DEPENDENCYPART_ARC
(10,15),-3.1165 # DEPENDENCYPART_ARC
(11,8),-2.47332 # DEPENDENCYPART_ARC
(11,9),-2.14034 # DEPENDENCYPART_ARC
(11,10),1.16503 # DEPENDENCYPART_ARC
(11,13),-2.34871 # DEPENDENCYPART_ARC
(11,14),-2.8071 # DEPENDENCYPART_ARC
(11,15),-2.86217 # DEPENDENCYPART_ARC
(11,17),-1.01112 # DEPENDENCYPART_ARC
(11,20),-3.56881 # DEPENDENCYPART_ARC
(11,22),-2.70013 # DEPENDENCYPART_ARC
(12,1),-0.908951 # DEPENDENCYPART_ARC
(12,2),-0.845831 # DEPENDENCYPART_ARC
(12,3),-1.62937 # DEPENDENCYPART_ARC
(12,4),-1.10304 # DEPENDENCYPART_ARC
(12,5),-2.24274 # DEPENDENCYPART_ARC
(12,6),-1.27694 # DEPENDENCYPART_ARC
(12,7),-0.514338 # DEPENDENCYPART_ARC
(12,8),-1.5995 # DEPENDENCYPART_ARC
(12,9),-0.989032 # DEPENDENCYPART_ARC
(12,10),-1.21778 # DEPENDENCYPART_ARC
(12,11),-1.29173 # DEPENDENCYPART_ARC
(12,13),-0.791752 # DEPENDENCYPART_ARC
(12,14),-1.6516 # DEPENDENCYPART_ARC
(12,15),-1.89035 # DEPENDENCYPART_ARC
(12,16),-0.600292 # DEPENDENCYPART_ARC
(12,17),-1.32948 # DEPENDENCYPART_ARC
(12,22),-2.89073 # DEPENDENCYPART_ARC
(13,1),-0.214699 # DEPENDENCYPART_ARC
(13,2),-3.36482 # DEPENDENCYPART_ARC
(13,3),-2.48918 # DEPENDENCYPART_ARC
(13,4),-1.88416 # DEPENDENCYPART_ARC
(13,6),-2.4402 # DEPENDENCYPART_ARC
(13,7),-2.62362 # DEPENDENCYPART_ARC
(13,8),-2.21909 # DEPENDENCYPART_ARC
(13,9),-2.60817 # DEPENDENCYPART_ARC
(13,10),-2.18702 # DEPENDENCYPART_ARC
(13,11),-2.78927 # DEPENDENCYPART_ARC
(13,12),-1.04512 # DEPENDENCYPART_ARC
(13,14),0.219242 # DEPENDENCYPART_ARC
(13,15),0.928766 # DEPENDENCYPART_ARC
(13,16),-1.02857 # DEPENDENCYPART_ARC
(13,17),-0.387827 # DEPENDENCYPART_ARC
(13,18),-1.32022 # DEPENDENCYPART_ARC
(13,19),-2.20336 # DEPENDENCYPART_ARC
(13,20),-3.21553 # DEPENDENCYPART_ARC
(13,21),-1.83513 # DEPENDENCYPART_ARC
(13,22),-3.44596 # DEPENDENCYPART_ARC
(14,11),-2.09138 # DEPENDENCYPART_ARC
(14,12),-1.12629 # DEPENDENCYPART_ARC
(14,13),-1.64322 # DEPENDENCYPART_ARC
(14,15),-1.17454 # DEPENDENCYPART_ARC
(14,16),-1.27055 # DEPENDENCYPART_ARC
(14,22),-2.77742 # DEPENDENCYPART_ARC
(15,8),-2.93153 # DEPENDENCYPART_ARC
(15,10),-0.281707 # DEPENDENCYPART_ARC
(15,11),-1.53764 # DEPENDENCYPART_ARC
(15,12),-1.06136 # DEPENDENCYPART_ARC
(15,14),0.329041 # DEPENDENCYPART_ARC
(15,16),-1.17613 # DEPENDENCYPART_ARC
(15,17),-1.51514 # DEPENDENCYPART_ARC
(15,18),-1.68461 # DEPENDENCYPART_ARC
(16,1),-1.05198 # DEPENDENCYPART_ARC
(16,2),-1.81297 # DEPENDENCYPART_ARC
(16,7),-1.46861 # DEPENDENCYPART_ARC
(16,13),-0.84768 # DEPENDENCYPART_ARC
(16,14),-1.40604 # DEPENDENCYPART_ARC
(16,15),-1.24091 # DEPENDENCYPART_ARC
(16,18),-1.11316 # DEPENDENCYPART_ARC
(16,19),-1.77302 # DEPENDENCYPART_ARC
(16,20),-1.58574 # DEPENDENCYPART_ARC
(16,21),-1.62412 # DEPENDENCYPART_ARC
