# _root_ Poslanec FS Aleš Mucha ( LSU ) nevidí důvod , proč by stahoval svůj návrh kandidatury Jiřího Kotase na funkci prezidenta ČSFR , přestože se v minulých dnech LSU od kandidatury J . Kotase distancovala .
#goldHeads=4,1,4,8,4,4,4,0,8,13,13,13,9,15,13,15,18,16,16,19,20,21,24,8,35,35,28,26,35,35,30,34,32,31,24,0,
#predictedHeads=4,1,4,8,4,4,4,0,8,13,13,13,9,15,13,15,18,16,15,19,20,21,24,13,35,35,28,26,28,35,30,34,32,31,24,0,
(0,1),-0.633468 # DEPENDENCYPART_ARC
(0,2),-1.22476 # DEPENDENCYPART_ARC
(0,3),-1.0707 # DEPENDENCYPART_ARC
(0,4),-0.844177 # DEPENDENCYPART_ARC
(0,5),-1.01802 # DEPENDENCYPART_ARC
(0,6),-1.63584 # DEPENDENCYPART_ARC
(0,7),-1.75957 # DEPENDENCYPART_ARC
(0,8),1.19649 # DEPENDENCYPART_ARC
(0,9),-2.14998 # DEPENDENCYPART_ARC
(0,10),-0.981461 # DEPENDENCYPART_ARC
(0,11),-1.3336 # DEPENDENCYPART_ARC
(0,13),-0.650296 # DEPENDENCYPART_ARC
(0,23),-1.53517 # DEPENDENCYPART_ARC
(0,33),0.0788012 # DEPENDENCYPART_ARC
(0,35),-1.38115 # DEPENDENCYPART_ARC
(0,36),1.86814 # DEPENDENCYPART_ARC
(1,2),1.13324 # DEPENDENCYPART_ARC
(1,3),-1.59786 # DEPENDENCYPART_ARC
(1,4),-3.04186 # DEPENDENCYPART_ARC
(1,5),-1.05394 # DEPENDENCYPART_ARC
(1,6),-1.67299 # DEPENDENCYPART_ARC
(1,7),-1.6242 # DEPENDENCYPART_ARC
(1,8),-3.2368 # DEPENDENCYPART_ARC
(1,11),-1.44185 # DEPENDENCYPART_ARC
(2,1),-2.18611 # DEPENDENCYPART_ARC
(2,3),-0.18475 # DEPENDENCYPART_ARC
(2,4),-1.666 # DEPENDENCYPART_ARC
(2,5),-0.590058 # DEPENDENCYPART_ARC
(2,6),-1.86064 # DEPENDENCYPART_ARC
(2,7),-1.31893 # DEPENDENCYPART_ARC
(3,1),0.437459 # DEPENDENCYPART_ARC
(3,2),-2.55008 # DEPENDENCYPART_ARC
(3,4),-1.1758 # DEPENDENCYPART_ARC
(3,5),-0.956256 # DEPENDENCYPART_ARC
(3,6),-1.89159 # DEPENDENCYPART_ARC
(3,7),-1.35248 # DEPENDENCYPART_ARC
(3,8),-3.04928 # DEPENDENCYPART_ARC
(3,10),-1.34956 # DEPENDENCYPART_ARC
(4,1),1.49609 # DEPENDENCYPART_ARC
(4,2),-1.56546 # DEPENDENCYPART_ARC
(4,3),3.65846 # DEPENDENCYPART_ARC
(4,5),0.00588954 # DEPENDENCYPART_ARC
(4,6),0.539256 # DEPENDENCYPART_ARC
(4,7),-1.00869 # DEPENDENCYPART_ARC
(4,8),-2.22684 # DEPENDENCYPART_ARC
(4,9),-5.03835 # DEPENDENCYPART_ARC
(4,10),-1.19111 # DEPENDENCYPART_ARC
(4,11),-1.14153 # DEPENDENCYPART_ARC
(4,13),-2.44782 # DEPENDENCYPART_ARC
(5,1),-1.81906 # DEPENDENCYPART_ARC
(5,2),-1.44283 # DEPENDENCYPART_ARC
(5,3),-1.61804 # DEPENDENCYPART_ARC
(5,4),-0.410789 # DEPENDENCYPART_ARC
(5,6),-0.310467 # DEPENDENCYPART_ARC
(5,7),0.253593 # DEPENDENCYPART_ARC
(5,8),-1.53783 # DEPENDENCYPART_ARC
(5,9),-2.23969 # DEPENDENCYPART_ARC
(5,10),-1.24203 # DEPENDENCYPART_ARC
(5,11),-2.17568 # DEPENDENCYPART_ARC
(5,13),-2.32569 # DEPENDENCYPART_ARC
(6,1),-3.34897 # DEPENDENCYPART_ARC
(6,2),-3.98181 # DEPENDENCYPART_ARC
(6,3),-1.73268 # DEPENDENCYPART_ARC
(6,4),-2.33702 # DEPENDENCYPART_ARC
(6,5),-0.895295 # DEPENDENCYPART_ARC
(6,7),-0.482745 # DEPENDENCYPART_ARC
(6,8),-3.45017 # DEPENDENCYPART_ARC
(6,9),-5.09989 # DEPENDENCYPART_ARC
(7,8),-1.62705 # DEPENDENCYPART_ARC
(8,1),-0.231824 # DEPENDENCYPART_ARC
(8,2),-1.52803 # DEPENDENCYPART_ARC
(8,3),-0.963672 # DEPENDENCYPART_ARC
(8,4),-1.05797 # DEPENDENCYPART_ARC
(8,5),0.144634 # DEPENDENCYPART_ARC
(8,6),-0.907591 # DEPENDENCYPART_ARC
(8,7),-0.305424 # DEPENDENCYPART_ARC
(8,9),1.71925 # DEPENDENCYPART_ARC
(8,10),-0.774021 # DEPENDENCYPART_ARC
(8,11),-1.20199 # DEPENDENCYPART_ARC
(8,13),-1.78675 # DEPENDENCYPART_ARC
(8,15),-1.85451 # DEPENDENCYPART_ARC
(8,16),-3.21872 # DEPENDENCYPART_ARC
(8,17),-4.19557 # DEPENDENCYPART_ARC
(8,18),-3.91721 # DEPENDENCYPART_ARC
(8,19),-1.86464 # DEPENDENCYPART_ARC
(8,22),-4.49573 # DEPENDENCYPART_ARC
(8,23),-1.37801 # DEPENDENCYPART_ARC
(8,24),-1.24723 # DEPENDENCYPART_ARC
(8,30),-1.86276 # DEPENDENCYPART_ARC
(9,10),-0.774518 # DEPENDENCYPART_ARC
(9,11),-1.03301 # DEPENDENCYPART_ARC
(9,12),-0.32608 # DEPENDENCYPART_ARC
(9,13),-1.58659 # DEPENDENCYPART_ARC
(9,35),-1.75689 # DEPENDENCYPART_ARC
(10,1),-1.67386 # DEPENDENCYPART_ARC
(10,2),-1.75038 # DEPENDENCYPART_ARC
(10,3),-1.7373 # DEPENDENCYPART_ARC
(10,4),-1.51174 # DEPENDENCYPART_ARC
(10,5),-0.971237 # DEPENDENCYPART_ARC
(10,6),-1.23456 # DEPENDENCYPART_ARC
(10,7),-0.875806 # DEPENDENCYPART_ARC
(10,8),-0.521988 # DEPENDENCYPART_ARC
(10,9),-0.625677 # DEPENDENCYPART_ARC
(10,11),-0.881318 # DEPENDENCYPART_ARC
(10,13),-1.36648 # DEPENDENCYPART_ARC
(10,15),-1.97629 # DEPENDENCYPART_ARC
(10,23),-0.387202 # DEPENDENCYPART_ARC
(11,2),-2.26064 # DEPENDENCYPART_ARC
(11,3),-2.1915 # DEPENDENCYPART_ARC
(11,4),-1.90545 # DEPENDENCYPART_ARC
(11,6),-1.80822 # DEPENDENCYPART_ARC
(11,8),-1.12365 # DEPENDENCYPART_ARC
(11,9),-1.27198 # DEPENDENCYPART_ARC
(11,10),-0.870337 # DEPENDENCYPART_ARC
(11,13),-1.18908 # DEPENDENCYPART_ARC
(11,15),-2.12929 # DEPENDENCYPART_ARC
(13,1),-1.38353 # DEPENDENCYPART_ARC
(13,2),-3.51677 # DEPENDENCYPART_ARC
(13,3),-2.09678 # DEPENDENCYPART_ARC
(13,4),-2.16828 # DEPENDENCYPART_ARC
(13,5),-1.23684 # DEPENDENCYPART_ARC
(13,6),-3.22377 # DEPENDENCYPART_ARC
(13,7),-1.34796 # DEPENDENCYPART_ARC
(13,8),-1.65173 # DEPENDENCYPART_ARC
(13,9),-0.971198 # DEPENDENCYPART_ARC
(13,10),-0.497128 # DEPENDENCYPART_ARC
(13,11),0.646564 # DEPENDENCYPART_ARC
(13,12),2.0677 # DEPENDENCYPART_ARC
(13,14),-0.326456 # DEPENDENCYPART_ARC
(13,15),1.50532 # DEPENDENCYPART_ARC
(13,16),-1.34077 # DEPENDENCYPART_ARC
(13,17),-2.22377 # DEPENDENCYPART_ARC
(13,18),-1.52712 # DEPENDENCYPART_ARC
(13,19),-0.271492 # DEPENDENCYPART_ARC
(13,20),-1.03097 # DEPENDENCYPART_ARC
(13,21),-2.71503 # DEPENDENCYPART_ARC
(13,22),-2.8547 # DEPENDENCYPART_ARC
(13,23),-0.841401 # DEPENDENCYPART_ARC
(13,24),-0.59603 # DEPENDENCYPART_ARC
(13,26),-1.48509 # DEPENDENCYPART_ARC
(13,28),-3.08155 # DEPENDENCYPART_ARC
(13,29),-3.68191 # DEPENDENCYPART_ARC
(13,30),-0.529136 # DEPENDENCYPART_ARC
(13,31),-4.62881 # DEPENDENCYPART_ARC
(13,32),-4.17563 # DEPENDENCYPART_ARC
(13,34),-4.80496 # DEPENDENCYPART_ARC
(13,35),-2.99459 # DEPENDENCYPART_ARC
(15,11),-1.39726 # DEPENDENCYPART_ARC
(15,14),2.19869 # DEPENDENCYPART_ARC
(15,16),1.32235 # DEPENDENCYPART_ARC
(15,17),-0.0157825 # DEPENDENCYPART_ARC
(15,18),-0.683506 # DEPENDENCYPART_ARC
(15,19),-0.0572372 # DEPENDENCYPART_ARC
(15,24),-1.45303 # DEPENDENCYPART_ARC
(15,26),-2.20609 # DEPENDENCYPART_ARC
(15,35),-2.19469 # DEPENDENCYPART_ARC
(16,14),-1.2845 # DEPENDENCYPART_ARC
(16,15),-2.96808 # DEPENDENCYPART_ARC
(16,17),0.807153 # DEPENDENCYPART_ARC
(16,18),-0.268256 # DEPENDENCYPART_ARC
