# _root_ Manažer si musí najít čas , kdy je zcela sám , kdy ho nikdo neruší při přemýšlení či analyzování situace podniku .
#goldHeads=3,4,0,3,4,11,8,11,10,8,5,15,15,15,11,15,18,16,18,19,20,0,
#predictedHeads=3,4,0,3,4,8,8,5,10,8,15,15,15,15,10,15,18,16,18,19,20,0,
(0,1),-0.936588 # DEPENDENCYPART_ARC
(0,3),-0.353703 # DEPENDENCYPART_ARC
(0,4),-1.48081 # DEPENDENCYPART_ARC
(0,5),-1.91682 # DEPENDENCYPART_ARC
(0,6),-0.861345 # DEPENDENCYPART_ARC
(0,8),-1.10905 # DEPENDENCYPART_ARC
(0,10),-2.35908 # DEPENDENCYPART_ARC
(0,11),-1.37419 # DEPENDENCYPART_ARC
(0,12),-1.95448 # DEPENDENCYPART_ARC
(0,13),-2.54868 # DEPENDENCYPART_ARC
(0,14),-2.62446 # DEPENDENCYPART_ARC
(0,15),-1.90999 # DEPENDENCYPART_ARC
(0,22),2.08024 # DEPENDENCYPART_ARC
(1,2),-1.17631 # DEPENDENCYPART_ARC
(1,3),-1.65347 # DEPENDENCYPART_ARC
(1,4),-1.56317 # DEPENDENCYPART_ARC
(1,5),-4.23867 # DEPENDENCYPART_ARC
(1,10),-0.145155 # DEPENDENCYPART_ARC
(3,1),0.694067 # DEPENDENCYPART_ARC
(3,2),0.856725 # DEPENDENCYPART_ARC
(3,4),3.02438 # DEPENDENCYPART_ARC
(3,5),0.49017 # DEPENDENCYPART_ARC
(3,6),-0.37451 # DEPENDENCYPART_ARC
(3,7),-1.16195 # DEPENDENCYPART_ARC
(3,8),-2.08652 # DEPENDENCYPART_ARC
(3,9),-1.94611 # DEPENDENCYPART_ARC
(3,11),-1.11191 # DEPENDENCYPART_ARC
(3,12),-2.39878 # DEPENDENCYPART_ARC
(3,15),-3.41613 # DEPENDENCYPART_ARC
(3,21),-4.72876 # DEPENDENCYPART_ARC
(4,1),-0.974729 # DEPENDENCYPART_ARC
(4,2),1.27961 # DEPENDENCYPART_ARC
(4,3),-1.2058 # DEPENDENCYPART_ARC
(4,5),2.04966 # DEPENDENCYPART_ARC
