# _root_ Šest členů prezídia proto tlačí na odvolání Tomáše Ježka a prosazuje , aby se na jeho místo dostal úředník , který na FNM udělá pořádek .
#goldHeads=10,1,2,10,10,5,6,9,7,0,10,13,11,18,18,17,15,13,18,24,24,24,22,19,24,0,
#predictedHeads=4,1,2,0,10,5,6,9,7,4,10,13,11,18,18,17,15,13,18,24,24,24,22,19,24,0,
(0,1),-0.36071 # DEPENDENCYPART_ARC
(0,2),-1.67696 # DEPENDENCYPART_ARC
(0,3),-1.76232 # DEPENDENCYPART_ARC
(0,4),-0.00272763 # DEPENDENCYPART_ARC
(0,5),-0.848714 # DEPENDENCYPART_ARC
(0,6),-1.14926 # DEPENDENCYPART_ARC
(0,7),-2.14377 # DEPENDENCYPART_ARC
(0,8),-2.56159 # DEPENDENCYPART_ARC
(0,9),-2.4619 # DEPENDENCYPART_ARC
(0,10),-0.468421 # DEPENDENCYPART_ARC
(0,11),-1.20274 # DEPENDENCYPART_ARC
(0,12),-0.812219 # DEPENDENCYPART_ARC
(0,13),-1.99475 # DEPENDENCYPART_ARC
(0,18),-1.5647 # DEPENDENCYPART_ARC
(0,20),-1.25269 # DEPENDENCYPART_ARC
(0,24),-1.30998 # DEPENDENCYPART_ARC
(0,26),2.28791 # DEPENDENCYPART_ARC
(1,2),0.435995 # DEPENDENCYPART_ARC
(1,3),-1.10874 # DEPENDENCYPART_ARC
(1,4),-1.52152 # DEPENDENCYPART_ARC
(1,5),-2.04444 # DEPENDENCYPART_ARC
(2,1),-1.39645 # DEPENDENCYPART_ARC
(2,3),1.91877 # DEPENDENCYPART_ARC
(2,4),-0.618908 # DEPENDENCYPART_ARC
(2,5),-1.91677 # DEPENDENCYPART_ARC
(2,6),-1.49315 # DEPENDENCYPART_ARC
(2,7),-4.07555 # DEPENDENCYPART_ARC
(2,8),-1.91675 # DEPENDENCYPART_ARC
(2,9),-1.46729 # DEPENDENCYPART_ARC
(2,10),-0.787531 # DEPENDENCYPART_ARC
(3,1),-2.13015 # DEPENDENCYPART_ARC
(3,2),-0.570689 # DEPENDENCYPART_ARC
(3,4),-0.597166 # DEPENDENCYPART_ARC
(3,5),-1.72719 # DEPENDENCYPART_ARC
(4,1),-0.923069 # DEPENDENCYPART_ARC
(4,2),-1.11834 # DEPENDENCYPART_ARC
(4,3),-1.04841 # DEPENDENCYPART_ARC
(4,5),0.738827 # DEPENDENCYPART_ARC
(4,6),-1.36988 # DEPENDENCYPART_ARC
(4,7),-2.19234 # DEPENDENCYPART_ARC
(4,8),-2.10374 # DEPENDENCYPART_ARC
(4,9),-2.17013 # DEPENDENCYPART_ARC
(4,10),-0.768641 # DEPENDENCYPART_ARC
(4,11),-1.52995 # DEPENDENCYPART_ARC
(4,12),-0.784764 # DEPENDENCYPART_ARC
(4,13),-2 # DEPENDENCYPART_ARC
(4,18),-2.49041 # DEPENDENCYPART_ARC
(4,20),-0.906392 # DEPENDENCYPART_ARC
(5,1),-0.420924 # DEPENDENCYPART_ARC
(5,2),-2.39127 # DEPENDENCYPART_ARC
(5,3),-1.97868 # DEPENDENCYPART_ARC
(5,4),-0.0218596 # DEPENDENCYPART_ARC
(5,6),1.25674 # DEPENDENCYPART_ARC
(5,7),0.193763 # DEPENDENCYPART_ARC
(5,8),-1.64981 # DEPENDENCYPART_ARC
(5,9),-1.42216 # DEPENDENCYPART_ARC
(5,10),-0.417304 # DEPENDENCYPART_ARC
(5,11),-1.97301 # DEPENDENCYPART_ARC
(5,12),-0.996634 # DEPENDENCYPART_ARC
(5,13),-0.594802 # DEPENDENCYPART_ARC
(5,15),-1.30661 # DEPENDENCYPART_ARC
(5,18),-2.79637 # DEPENDENCYPART_ARC
(5,19),-2.823 # DEPENDENCYPART_ARC
(5,20),-1.07827 # DEPENDENCYPART_ARC
(6,7),2.31599 # DEPENDENCYPART_ARC
(6,8),-3.24665 # DEPENDENCYPART_ARC
(6,10),-1.25102 # DEPENDENCYPART_ARC
(7,6),-0.567735 # DEPENDENCYPART_ARC
(7,8),1.26009 # DEPENDENCYPART_ARC
(7,9),0.498762 # DEPENDENCYPART_ARC
(7,10),-0.55345 # DEPENDENCYPART_ARC
(7,11),-1.83307 # DEPENDENCYPART_ARC
(7,13),-1.17671 # DEPENDENCYPART_ARC
(8,3),-3.71406 # DEPENDENCYPART_ARC
(8,6),-1.57773 # DEPENDENCYPART_ARC
(8,7),-2.45925 # DEPENDENCYPART_ARC
(8,9),0.179168 # DEPENDENCYPART_ARC
(8,10),-0.710318 # DEPENDENCYPART_ARC
(8,11),-2.36869 # DEPENDENCYPART_ARC
(8,13),-1.50507 # DEPENDENCYPART_ARC
(8,18),-2.81567 # DEPENDENCYPART_ARC
(9,2),-1.79496 # DEPENDENCYPART_ARC
(9,3),-3.83057 # DEPENDENCYPART_ARC
(9,4),-1.33897 # DEPENDENCYPART_ARC
(9,6),-1.05069 # DEPENDENCYPART_ARC
(9,7),-2.54209 # DEPENDENCYPART_ARC
(9,8),3.00085 # DEPENDENCYPART_ARC
(10,1),-1.29233 # DEPENDENCYPART_ARC
(10,2),-0.92956 # DEPENDENCYPART_ARC
(10,3),-1.08789 # DEPENDENCYPART_ARC
(10,4),-0.206013 # DEPENDENCYPART_ARC
(10,5),1.36659 # DEPENDENCYPART_ARC
(10,6),-0.391352 # DEPENDENCYPART_ARC
(10,7),-0.191495 # DEPENDENCYPART_ARC
(10,8),-0.24765 # DEPENDENCYPART_ARC
(10,9),-0.293222 # DEPENDENCYPART_ARC
(10,11),1.66348 # DEPENDENCYPART_ARC
(10,12),-0.835375 # DEPENDENCYPART_ARC
(10,13),-0.914323 # DEPENDENCYPART_ARC
(10,15),-1.55269 # DEPENDENCYPART_ARC
(10,18),-1.76402 # DEPENDENCYPART_ARC
(10,19),-2.62564 # DEPENDENCYPART_ARC
(10,20),-0.902401 # DEPENDENCYPART_ARC
(10,24),-2.9175 # DEPENDENCYPART_ARC
(11,1),-1.32684 # DEPENDENCYPART_ARC
(11,2),-3.50135 # DEPENDENCYPART_ARC
(11,3),-2.9214 # DEPENDENCYPART_ARC
(11,4),-1.04045 # DEPENDENCYPART_ARC
(11,5),-1.59969 # DEPENDENCYPART_ARC
(11,6),-0.926207 # DEPENDENCYPART_ARC
(11,7),-0.858738 # DEPENDENCYPART_ARC
(11,8),-2.45156 # DEPENDENCYPART_ARC
(11,9),-2.31978 # DEPENDENCYPART_ARC
(11,10),-0.276398 # DEPENDENCYPART_ARC
(11,12),-0.359942 # DEPENDENCYPART_ARC
(11,13),-0.0436557 # DEPENDENCYPART_ARC
(11,14),-1.14507 # DEPENDENCYPART_ARC
(11,15),-0.993292 # DEPENDENCYPART_ARC
(11,17),-2.1257 # DEPENDENCYPART_ARC
(11,18),-1.96597 # DEPENDENCYPART_ARC
(11,19),-2.54636 # DEPENDENCYPART_ARC
(11,22),-2.27306 # DEPENDENCYPART_ARC
(11,24),-3.00564 # DEPENDENCYPART_ARC
(12,1),-2.18943 # DEPENDENCYPART_ARC
(12,11),-1.13533 # DEPENDENCYPART_ARC
(12,13),-0.730797 # DEPENDENCYPART_ARC
(12,18),-1.86468 # DEPENDENCYPART_ARC
(12,24),-2.68615 # DEPENDENCYPART_ARC
(13,5),-1.77339 # DEPENDENCYPART_ARC
(13,7),-2.11983 # DEPENDENCYPART_ARC
(13,9),-2.01179 # DEPENDENCYPART_ARC
(13,10),-1.09321 # DEPENDENCYPART_ARC
(13,11),-1.14289 # DEPENDENCYPART_ARC
