# _root_ Návrh si klade za cíl vytvoření " demokratického , laického a decentralizovaného státu " , který by zaručil všem národům stejná práva .
#goldHeads=3,3,0,3,4,3,13,11,11,11,13,11,6,13,18,18,18,13,20,18,22,18,0,
#predictedHeads=3,3,0,3,4,5,13,11,11,11,13,11,6,13,18,18,18,13,20,18,22,18,0,
(0,1),-0.992522 # DEPENDENCYPART_ARC
(0,3),-0.366364 # DEPENDENCYPART_ARC
(0,4),-1.1655 # DEPENDENCYPART_ARC
(0,5),-2.06167 # DEPENDENCYPART_ARC
(0,6),-1.73701 # DEPENDENCYPART_ARC
(0,9),-1.28629 # DEPENDENCYPART_ARC
(0,11),-1.20735 # DEPENDENCYPART_ARC
(0,15),-1.43526 # DEPENDENCYPART_ARC
(0,16),-2.7861 # DEPENDENCYPART_ARC
(0,18),-0.844175 # DEPENDENCYPART_ARC
(0,23),1.67489 # DEPENDENCYPART_ARC
(1,2),-1.11939 # DEPENDENCYPART_ARC
(1,3),-1.53671 # DEPENDENCYPART_ARC
(1,4),-0.98331 # DEPENDENCYPART_ARC
(1,5),-3.64426 # DEPENDENCYPART_ARC
(1,6),-3.81843 # DEPENDENCYPART_ARC
(1,7),-0.842855 # DEPENDENCYPART_ARC
(1,8),-1.93065 # DEPENDENCYPART_ARC
(1,10),-1.95717 # DEPENDENCYPART_ARC
(1,11),-1.22361 # DEPENDENCYPART_ARC
(1,13),-0.988597 # DEPENDENCYPART_ARC
(1,18),-2.70294 # DEPENDENCYPART_ARC
(3,1),1.34745 # DEPENDENCYPART_ARC
(3,2),1.8537 # DEPENDENCYPART_ARC
(3,4),1.30317 # DEPENDENCYPART_ARC
(3,5),0.159533 # DEPENDENCYPART_ARC
(3,6),0.652684 # DEPENDENCYPART_ARC
(3,7),-0.623547 # DEPENDENCYPART_ARC
(3,8),-2.91547 # DEPENDENCYPART_ARC
(3,9),-1.00664 # DEPENDENCYPART_ARC
(3,10),-4.07438 # DEPENDENCYPART_ARC
(3,11),-0.831271 # DEPENDENCYPART_ARC
(3,13),-2.79944 # DEPENDENCYPART_ARC
(3,14),-1.06524 # DEPENDENCYPART_ARC
(3,15),-1.26002 # DEPENDENCYPART_ARC
(3,20),-3.33279 # DEPENDENCYPART_ARC
(3,22),-3.2358 # DEPENDENCYPART_ARC
(4,1),-3.0712 # DEPENDENCYPART_ARC
(4,5),2.33878 # DEPENDENCYPART_ARC
(4,6),0.0150366 # DEPENDENCYPART_ARC
(4,7),-0.765823 # DEPENDENCYPART_ARC
(4,8),-3.00973 # DEPENDENCYPART_ARC
(4,11),-1.06999 # DEPENDENCYPART_ARC
(5,2),-3.63699 # DEPENDENCYPART_ARC
(5,4),-0.0799262 # DEPENDENCYPART_ARC
(5,6),0.0220632 # DEPENDENCYPART_ARC
(5,7),-0.572849 # DEPENDENCYPART_ARC
(5,8),-1.06556 # DEPENDENCYPART_ARC
(5,9),-1.05927 # DEPENDENCYPART_ARC
(5,10),-1.28549 # DEPENDENCYPART_ARC
(5,11),-0.711246 # DEPENDENCYPART_ARC
(5,12),-2.07126 # DEPENDENCYPART_ARC
(5,13),-0.777276 # DEPENDENCYPART_ARC
(5,14),-1.94426 # DEPENDENCYPART_ARC
(5,18),-2.22775 # DEPENDENCYPART_ARC
(5,19),-3.09774 # DEPENDENCYPART_ARC
(6,1),-4.00268 # DEPENDENCYPART_ARC
(6,2),-3.55946 # DEPENDENCYPART_ARC
(6,3),-1.71075 # DEPENDENCYPART_ARC
(6,4),-1.08304 # DEPENDENCYPART_ARC
(6,5),-0.48376 # DEPENDENCYPART_ARC
(6,7),-0.468617 # DEPENDENCYPART_ARC
(6,8),-1.06672 # DEPENDENCYPART_ARC
(6,9),-1.30599 # DEPENDENCYPART_ARC
(6,10),-1.58216 # DEPENDENCYPART_ARC
(6,11),-1.01962 # DEPENDENCYPART_ARC
(6,12),-2.52502 # DEPENDENCYPART_ARC
(6,13),-0.893133 # DEPENDENCYPART_ARC
(6,14),-2.09934 # DEPENDENCYPART_ARC
(6,15),-1.46026 # DEPENDENCYPART_ARC
(6,18),-2.28831 # DEPENDENCYPART_ARC
(6,19),-3.07502 # DEPENDENCYPART_ARC
