# _root_ ( Herečky navíc údajně strávily tři týdny speciálním výcvikem na ranči , kde se učily jezdit na koních , zacházet se zbraněmi a dokonce i žvýkat tabák . )
#goldHeads=5,5,5,5,0,7,5,9,5,5,10,15,15,15,11,23,16,17,23,23,20,21,15,26,26,23,26,0,5,
#predictedHeads=5,5,5,5,0,7,5,9,5,9,10,15,15,16,11,15,16,17,15,23,20,21,19,26,26,23,26,0,5,
(0,1),0.0625983 # DEPENDENCYPART_ARC
(0,2),-0.743739 # DEPENDENCYPART_ARC
(0,3),-0.639624 # DEPENDENCYPART_ARC
(0,4),-0.901016 # DEPENDENCYPART_ARC
(0,5),-0.534863 # DEPENDENCYPART_ARC
(0,6),-1.85816 # DEPENDENCYPART_ARC
(0,12),-0.895592 # DEPENDENCYPART_ARC
(0,15),-1.01696 # DEPENDENCYPART_ARC
(0,16),-1.97442 # DEPENDENCYPART_ARC
(0,19),-1.18206 # DEPENDENCYPART_ARC
(0,20),-1.4728 # DEPENDENCYPART_ARC
(0,23),-0.428783 # DEPENDENCYPART_ARC
(0,26),-3.21276 # DEPENDENCYPART_ARC
(0,28),1.2687 # DEPENDENCYPART_ARC
(0,29),-2.29859 # DEPENDENCYPART_ARC
(1,2),-2.00517 # DEPENDENCYPART_ARC
(1,3),-2.09137 # DEPENDENCYPART_ARC
(1,5),-2.01825 # DEPENDENCYPART_ARC
(1,8),-2.96026 # DEPENDENCYPART_ARC
(2,1),-1.13444 # DEPENDENCYPART_ARC
(2,3),-0.501734 # DEPENDENCYPART_ARC
(2,4),-1.22359 # DEPENDENCYPART_ARC
(2,5),-1.78642 # DEPENDENCYPART_ARC
(2,6),-2.69349 # DEPENDENCYPART_ARC
(2,7),-4.11776 # DEPENDENCYPART_ARC
(2,8),-3.89103 # DEPENDENCYPART_ARC
(2,10),-0.615676 # DEPENDENCYPART_ARC
(3,1),-1.22449 # DEPENDENCYPART_ARC
(3,2),-1.42197 # DEPENDENCYPART_ARC
(3,4),-0.838663 # DEPENDENCYPART_ARC
(3,6),-1.81446 # DEPENDENCYPART_ARC
(4,1),-1.4829 # DEPENDENCYPART_ARC
(4,2),-2.18258 # DEPENDENCYPART_ARC
(4,3),-0.212255 # DEPENDENCYPART_ARC
(4,6),-2.25025 # DEPENDENCYPART_ARC
(5,1),0.24616 # DEPENDENCYPART_ARC
(5,2),1.34791 # DEPENDENCYPART_ARC
(5,3),0.830765 # DEPENDENCYPART_ARC
(5,4),1.60855 # DEPENDENCYPART_ARC
(5,6),-0.41912 # DEPENDENCYPART_ARC
(5,7),1.46161 # DEPENDENCYPART_ARC
(5,8),-1.88046 # DEPENDENCYPART_ARC
(5,9),0.34501 # DEPENDENCYPART_ARC
(5,10),0.0082788 # DEPENDENCYPART_ARC
(5,11),-1.28955 # DEPENDENCYPART_ARC
(5,12),-0.701454 # DEPENDENCYPART_ARC
(5,13),-1.19061 # DEPENDENCYPART_ARC
(5,15),-2.81043 # DEPENDENCYPART_ARC
(5,17),-1.4276 # DEPENDENCYPART_ARC
(5,19),-0.81386 # DEPENDENCYPART_ARC
(5,21),-1.6188 # DEPENDENCYPART_ARC
(5,23),-0.947265 # DEPENDENCYPART_ARC
(5,24),-2.59334 # DEPENDENCYPART_ARC
