# _root_ Pro pedagogický dozor může být potěšující , že jejich účast při soutěžích bude odměňována podle zákona o cestovních náhradách , a v tomto směru jsou postaveni na roveň ostatním pracovníkům vyslaným na služební cestu .
#goldHeads=4,3,1,21,4,5,8,4,10,14,10,11,14,8,14,15,16,19,17,8,0,25,24,22,21,25,26,27,30,28,30,31,34,32,0,
#predictedHeads=4,3,1,0,4,5,8,4,10,14,10,11,14,8,14,15,16,19,17,21,8,25,24,22,21,25,26,27,30,26,30,31,34,32,0,
(0,1),-0.861142 # DEPENDENCYPART_ARC
(0,3),-1.22446 # DEPENDENCYPART_ARC
(0,4),0.0856294 # DEPENDENCYPART_ARC
(0,5),-1.14264 # DEPENDENCYPART_ARC
(0,7),-0.755499 # DEPENDENCYPART_ARC
(0,8),-1.93812 # DEPENDENCYPART_ARC
(0,13),-1.12222 # DEPENDENCYPART_ARC
(0,14),-1.64368 # DEPENDENCYPART_ARC
(0,20),-0.953019 # DEPENDENCYPART_ARC
(0,21),-0.610318 # DEPENDENCYPART_ARC
(0,25),-1.83921 # DEPENDENCYPART_ARC
(0,26),-2.40618 # DEPENDENCYPART_ARC
(0,35),2.48696 # DEPENDENCYPART_ARC
(1,2),-0.0591766 # DEPENDENCYPART_ARC
(1,3),2.41808 # DEPENDENCYPART_ARC
(1,8),-1.4444 # DEPENDENCYPART_ARC
(2,5),-0.615972 # DEPENDENCYPART_ARC
(3,2),2.67045 # DEPENDENCYPART_ARC
(3,4),-1.4732 # DEPENDENCYPART_ARC
(3,5),-0.982209 # DEPENDENCYPART_ARC
(3,6),-2.74229 # DEPENDENCYPART_ARC
(3,8),-1.48892 # DEPENDENCYPART_ARC
(4,1),0.628042 # DEPENDENCYPART_ARC
(4,2),-1.99334 # DEPENDENCYPART_ARC
(4,3),0.131726 # DEPENDENCYPART_ARC
(4,5),2.87398 # DEPENDENCYPART_ARC
(4,6),-0.0277898 # DEPENDENCYPART_ARC
(4,7),-0.571486 # DEPENDENCYPART_ARC
(4,8),-0.232283 # DEPENDENCYPART_ARC
(4,10),-1.51381 # DEPENDENCYPART_ARC
(4,11),-1.23027 # DEPENDENCYPART_ARC
(4,13),-2.19901 # DEPENDENCYPART_ARC
(4,14),-0.857901 # DEPENDENCYPART_ARC
(4,20),-0.862062 # DEPENDENCYPART_ARC
(4,21),-1.15235 # DEPENDENCYPART_ARC
(5,1),0.111978 # DEPENDENCYPART_ARC
(5,2),-1.24554 # DEPENDENCYPART_ARC
(5,3),0.549769 # DEPENDENCYPART_ARC
(5,4),-1.39256 # DEPENDENCYPART_ARC
(5,6),0.675536 # DEPENDENCYPART_ARC
(5,7),-1.02692 # DEPENDENCYPART_ARC
(5,8),-0.486253 # DEPENDENCYPART_ARC
(5,11),-1.30104 # DEPENDENCYPART_ARC
(5,21),-1.71268 # DEPENDENCYPART_ARC
(6,1),-0.767486 # DEPENDENCYPART_ARC
(6,3),-2.05526 # DEPENDENCYPART_ARC
(6,7),-0.88912 # DEPENDENCYPART_ARC
(6,8),-1.14681 # DEPENDENCYPART_ARC
(6,10),-3.14277 # DEPENDENCYPART_ARC
(6,11),-2.06329 # DEPENDENCYPART_ARC
(6,14),-2.32247 # DEPENDENCYPART_ARC
(7,1),-1.26828 # DEPENDENCYPART_ARC
(7,4),-0.845101 # DEPENDENCYPART_ARC
(7,5),-0.901353 # DEPENDENCYPART_ARC
(7,6),-0.782991 # DEPENDENCYPART_ARC
(7,8),-0.544055 # DEPENDENCYPART_ARC
(7,14),-1.99123 # DEPENDENCYPART_ARC
(8,3),-2.04775 # DEPENDENCYPART_ARC
(8,4),-1.30531 # DEPENDENCYPART_ARC
(8,7),1.57414 # DEPENDENCYPART_ARC
(8,10),-1.26449 # DEPENDENCYPART_ARC
(8,11),-1.38096 # DEPENDENCYPART_ARC
(8,13),1.04087 # DEPENDENCYPART_ARC
(8,14),0.164613 # DEPENDENCYPART_ARC
(8,20),-0.0121261 # DEPENDENCYPART_ARC
(8,21),-0.202069 # DEPENDENCYPART_ARC
(8,25),-0.445471 # DEPENDENCYPART_ARC
(8,26),-1.04217 # DEPENDENCYPART_ARC
(10,6),-2.57083 # DEPENDENCYPART_ARC
(10,7),-1.11956 # DEPENDENCYPART_ARC
(10,8),-0.755562 # DEPENDENCYPART_ARC
(10,9),2.17741 # DEPENDENCYPART_ARC
(10,11),0.712265 # DEPENDENCYPART_ARC
(10,12),-1.75669 # DEPENDENCYPART_ARC
(10,13),-1.8551 # DEPENDENCYPART_ARC
(10,15),-1.59023 # DEPENDENCYPART_ARC
(10,17),-0.916854 # DEPENDENCYPART_ARC
(10,26),-3.64954 # DEPENDENCYPART_ARC
(11,7),-1.12153 # DEPENDENCYPART_ARC
(11,10),-2.84624 # DEPENDENCYPART_ARC
(11,12),3.80859 # DEPENDENCYPART_ARC
(11,16),-3.37011 # DEPENDENCYPART_ARC
(12,6),-4.78203 # DEPENDENCYPART_ARC
(12,9),0.258164 # DEPENDENCYPART_ARC
(12,10),-1.46091 # DEPENDENCYPART_ARC
(12,13),-1.77305 # DEPENDENCYPART_ARC
(12,17),-1.22304 # DEPENDENCYPART_ARC
(13,1),-1.96894 # DEPENDENCYPART_ARC
(13,4),-4.37298 # DEPENDENCYPART_ARC
(13,5),-1.67761 # DEPENDENCYPART_ARC
(13,6),-1.3404 # DEPENDENCYPART_ARC
(13,7),-1.58463 # DEPENDENCYPART_ARC
(13,10),-0.739998 # DEPENDENCYPART_ARC
(13,11),-1.22578 # DEPENDENCYPART_ARC
(13,12),-2.52004 # DEPENDENCYPART_ARC
(13,14),-0.320944 # DEPENDENCYPART_ARC
(13,15),-0.72283 # DEPENDENCYPART_ARC
(13,16),-3.29419 # DEPENDENCYPART_ARC
(13,17),-1.29783 # DEPENDENCYPART_ARC
(13,19),-3.19631 # DEPENDENCYPART_ARC
(13,20),-1.60283 # DEPENDENCYPART_ARC
(13,21),-1.57208 # DEPENDENCYPART_ARC
(14,1),-0.426229 # DEPENDENCYPART_ARC
(14,3),-1.51269 # DEPENDENCYPART_ARC
(14,4),-1.32386 # DEPENDENCYPART_ARC
(14,5),0.863696 # DEPENDENCYPART_ARC
(14,7),-1.05614 # DEPENDENCYPART_ARC
(14,8),-1.15373 # DEPENDENCYPART_ARC
(14,10),0.653059 # DEPENDENCYPART_ARC
(14,11),-0.141238 # DEPENDENCYPART_ARC
(14,12),-0.652487 # DEPENDENCYPART_ARC
(14,13),3.83808 # DEPENDENCYPART_ARC
(14,15),1.29607 # DEPENDENCYPART_ARC
(14,16),-1.0156 # DEPENDENCYPART_ARC
(14,17),-0.220868 # DEPENDENCYPART_ARC
(14,19),-1.20856 # DEPENDENCYPART_ARC
(14,20),-0.685326 # DEPENDENCYPART_ARC
(14,21),-0.459812 # DEPENDENCYPART_ARC
(14,22),-1.51704 # DEPENDENCYPART_ARC
(14,24),-2.17047 # DEPENDENCYPART_ARC
(14,25),-3.01194 # DEPENDENCYPART_ARC
(14,27),-1.17465 # DEPENDENCYPART_ARC
(14,30),-2.87379 # DEPENDENCYPART_ARC
(15,16),1.95261 # DEPENDENCYPART_ARC
(15,18),-2.09787 # DEPENDENCYPART_ARC
(15,19),-1.40988 # DEPENDENCYPART_ARC
(15,20),-0.863494 # DEPENDENCYPART_ARC
(15,24),-2.42748 # DEPENDENCYPART_ARC
(16,15),-1.23405 # DEPENDENCYPART_ARC
(16,17),0.903427 # DEPENDENCYPART_ARC
(16,18),-2.74711 # DEPENDENCYPART_ARC
(16,19),-1.83034 # DEPENDENCYPART_ARC
(16,21),-0.470569 # DEPENDENCYPART_ARC
(16,22),-1.54763 # DEPENDENCYPART_ARC
(16,24),-2.58174 # DEPENDENCYPART_ARC
(16,25),-1.70321 # DEPENDENCYPART_ARC
(16,26),-1.66182 # DEPENDENCYPART_ARC
(16,31),-3.64495 # DEPENDENCYPART_ARC
(17,15),-0.971868 # DEPENDENCYPART_ARC
(17,16),-1.56449 # DEPENDENCYPART_ARC
(17,18),-0.546489 # DEPENDENCYPART_ARC
(17,19),2.64509 # DEPENDENCYPART_ARC
(17,20),-1.23799 # DEPENDENCYPART_ARC
(17,21),-1.09934 # DEPENDENCYPART_ARC
(17,24),-0.640074 # DEPENDENCYPART_ARC
(19,9),-1.28113 # DEPENDENCYPART_ARC
(19,15),-1.22027 # DEPENDENCYPART_ARC
(19,16),-2.20538 # DEPENDENCYPART_ARC
(19,17),-1.51295 # DEPENDENCYPART_ARC
(19,18),1.63166 # DEPENDENCYPART_ARC
(19,21),-1.16335 # DEPENDENCYPART_ARC
(19,22),-2.14155 # DEPENDENCYPART_ARC
(19,24),-3.08921 # DEPENDENCYPART_ARC
(19,25),-1.57405 # DEPENDENCYPART_ARC
(19,26),-1.70952 # DEPENDENCYPART_ARC
(19,31),-3.49887 # DEPENDENCYPART_ARC
(20,4),-2.10438 # DEPENDENCYPART_ARC
(20,5),-1.71878 # DEPENDENCYPART_ARC
(20,13),-1.2655 # DEPENDENCYPART_ARC
(20,14),-1.07969 # DEPENDENCYPART_ARC
(20,15),-1.01231 # DEPENDENCYPART_ARC
(20,16),-1.56059 # DEPENDENCYPART_ARC
(20,17),-0.998808 # DEPENDENCYPART_ARC
