# _root_ Pravděpodobnost , že pracovník úřadu bude kontrolovat právě " svého " taxikáře , je však malá .
#goldHeads=14,3,1,7,4,7,3,12,10,12,10,7,3,15,0,14,0,
#predictedHeads=14,3,1,7,4,7,3,12,10,12,10,7,15,15,0,14,0,
(0,1),-0.324795 # DEPENDENCYPART_ARC
(0,2),-0.837235 # DEPENDENCYPART_ARC
(0,3),-0.891139 # DEPENDENCYPART_ARC
(0,4),-1.40657 # DEPENDENCYPART_ARC
(0,6),-0.55988 # DEPENDENCYPART_ARC
(0,7),-1.22268 # DEPENDENCYPART_ARC
(0,10),-2.31411 # DEPENDENCYPART_ARC
(0,12),-2.00147 # DEPENDENCYPART_ARC
(0,13),-1.49823 # DEPENDENCYPART_ARC
(0,14),-0.284116 # DEPENDENCYPART_ARC
(0,15),0.0112881 # DEPENDENCYPART_ARC
(0,17),1.84266 # DEPENDENCYPART_ARC
(1,2),-0.918566 # DEPENDENCYPART_ARC
(1,3),-0.701794 # DEPENDENCYPART_ARC
(1,4),-1.56277 # DEPENDENCYPART_ARC
(1,5),-0.518665 # DEPENDENCYPART_ARC
(2,1),-1.13554 # DEPENDENCYPART_ARC
(3,1),-1.21649 # DEPENDENCYPART_ARC
(3,2),1.48622 # DEPENDENCYPART_ARC
(3,4),-0.794623 # DEPENDENCYPART_ARC
(3,5),-1.71594 # DEPENDENCYPART_ARC
(3,6),0.676943 # DEPENDENCYPART_ARC
(3,7),0.135969 # DEPENDENCYPART_ARC
(3,8),-1.74664 # DEPENDENCYPART_ARC
(3,9),-1.14566 # DEPENDENCYPART_ARC
(3,13),-0.520087 # DEPENDENCYPART_ARC
(3,14),-0.821259 # DEPENDENCYPART_ARC
(3,15),-0.492413 # DEPENDENCYPART_ARC
(4,2),-1.91181 # DEPENDENCYPART_ARC
(4,3),-1.41127 # DEPENDENCYPART_ARC
(4,5),1.96035 # DEPENDENCYPART_ARC
(4,6),-1.86975 # DEPENDENCYPART_ARC
(4,8),-1.15894 # DEPENDENCYPART_ARC
(4,11),-1.36452 # DEPENDENCYPART_ARC
(4,16),-3.01641 # DEPENDENCYPART_ARC
(5,1),-4.71626 # DEPENDENCYPART_ARC
(5,3),-0.945847 # DEPENDENCYPART_ARC
(5,4),-0.62806 # DEPENDENCYPART_ARC
(5,6),-1.27499 # DEPENDENCYPART_ARC
(6,1),-1.91955 # DEPENDENCYPART_ARC
(6,2),-1.11077 # DEPENDENCYPART_ARC
(6,3),-1.74391 # DEPENDENCYPART_ARC
(6,4),-0.792179 # DEPENDENCYPART_ARC
(6,5),-2.38127 # DEPENDENCYPART_ARC
(6,7),0.408162 # DEPENDENCYPART_ARC
(6,8),-0.992268 # DEPENDENCYPART_ARC
(6,9),-1.14453 # DEPENDENCYPART_ARC
(6,10),-2.14264 # DEPENDENCYPART_ARC
