# _root_ Stát má v podnicích obvykle 30 procentní majetkovou účast , která by mohla být převedena českým věřitelům , uvedl E . Obminskij .
#goldHeads=2,19,2,3,2,7,9,9,2,13,13,13,9,15,13,17,15,2,0,22,20,19,0,
#predictedHeads=2,0,2,3,6,7,9,9,2,13,13,13,9,15,13,17,15,13,0,22,20,19,0,
(0,1),-1.08874 # DEPENDENCYPART_ARC
(0,2),-0.327098 # DEPENDENCYPART_ARC
(0,10),-1.1705 # DEPENDENCYPART_ARC
(0,11),-2.55666 # DEPENDENCYPART_ARC
(0,13),-1.18971 # DEPENDENCYPART_ARC
(0,14),-2.50464 # DEPENDENCYPART_ARC
(0,15),-2.32453 # DEPENDENCYPART_ARC
(0,18),-1.47571 # DEPENDENCYPART_ARC
(0,19),1.32283 # DEPENDENCYPART_ARC
(0,21),0.100954 # DEPENDENCYPART_ARC
(0,23),1.66355 # DEPENDENCYPART_ARC
(1,2),-1.54789 # DEPENDENCYPART_ARC
(1,3),-1.52535 # DEPENDENCYPART_ARC
(1,4),-2.53525 # DEPENDENCYPART_ARC
(2,1),1.24712 # DEPENDENCYPART_ARC
(2,3),1.23346 # DEPENDENCYPART_ARC
(2,4),-0.773594 # DEPENDENCYPART_ARC
(2,5),-0.0945495 # DEPENDENCYPART_ARC
(2,6),-0.432199 # DEPENDENCYPART_ARC
(2,7),-2.27809 # DEPENDENCYPART_ARC
(2,8),-3.18765 # DEPENDENCYPART_ARC
(2,9),0.209441 # DEPENDENCYPART_ARC
(2,10),-0.961758 # DEPENDENCYPART_ARC
(2,13),-3.01658 # DEPENDENCYPART_ARC
(2,14),-1.04069 # DEPENDENCYPART_ARC
(2,15),-1.99804 # DEPENDENCYPART_ARC
(2,17),-2.82387 # DEPENDENCYPART_ARC
(2,18),-1.30794 # DEPENDENCYPART_ARC
(2,22),-3.85984 # DEPENDENCYPART_ARC
(3,4),2.74584 # DEPENDENCYPART_ARC
(3,5),-2.02542 # DEPENDENCYPART_ARC
(3,6),-2.19712 # DEPENDENCYPART_ARC
(3,9),-3.08254 # DEPENDENCYPART_ARC
(4,1),-2.07615 # DEPENDENCYPART_ARC
(4,2),-1.58644 # DEPENDENCYPART_ARC
(4,3),-0.329097 # DEPENDENCYPART_ARC
(4,5),-0.768899 # DEPENDENCYPART_ARC
(4,6),-0.821675 # DEPENDENCYPART_ARC
(4,7),-3.50017 # DEPENDENCYPART_ARC
(4,8),-3.63319 # DEPENDENCYPART_ARC
(4,9),-2.9199 # DEPENDENCYPART_ARC
(4,13),-3.13262 # DEPENDENCYPART_ARC
(5,1),-2.44309 # DEPENDENCYPART_ARC
(5,2),-2.10705 # DEPENDENCYPART_ARC
(5,3),-1.58484 # DEPENDENCYPART_ARC
(5,4),-1.5008 # DEPENDENCYPART_ARC
(5,7),-3.03209 # DEPENDENCYPART_ARC
(5,8),-3.3124 # DEPENDENCYPART_ARC
(5,9),-2.86595 # DEPENDENCYPART_ARC
(5,10),-1.32565 # DEPENDENCYPART_ARC
(5,21),-2.02037 # DEPENDENCYPART_ARC
(6,1),-1.98294 # DEPENDENCYPART_ARC
(6,3),-1.40655 # DEPENDENCYPART_ARC
(6,4),-1.65289 # DEPENDENCYPART_ARC
(6,5),0.154291 # DEPENDENCYPART_ARC
(6,7),-0.317612 # DEPENDENCYPART_ARC
(6,8),-1.16052 # DEPENDENCYPART_ARC
(6,9),-1.1746 # DEPENDENCYPART_ARC
(6,13),-1.93646 # DEPENDENCYPART_ARC
(7,3),-0.914807 # DEPENDENCYPART_ARC
(7,5),0.400771 # DEPENDENCYPART_ARC
(7,6),0.198227 # DEPENDENCYPART_ARC
(7,8),-1.60862 # DEPENDENCYPART_ARC
(7,9),-2.15567 # DEPENDENCYPART_ARC
(7,14),-0.592932 # DEPENDENCYPART_ARC
(8,5),-0.582188 # DEPENDENCYPART_ARC
(8,6),-0.757912 # DEPENDENCYPART_ARC
(8,7),-1.27213 # DEPENDENCYPART_ARC
(9,3),-1.1228 # DEPENDENCYPART_ARC
(9,4),-5.11778 # DEPENDENCYPART_ARC
(9,5),-0.903816 # DEPENDENCYPART_ARC
(9,6),-0.693263 # DEPENDENCYPART_ARC
(9,7),2.30968 # DEPENDENCYPART_ARC
(9,8),2.98344 # DEPENDENCYPART_ARC
(9,10),-1.042 # DEPENDENCYPART_ARC
(9,11),-1.7595 # DEPENDENCYPART_ARC
(9,12),-0.30243 # DEPENDENCYPART_ARC
(9,13),-1.59526 # DEPENDENCYPART_ARC
(9,14),-0.673604 # DEPENDENCYPART_ARC
(9,15),-2.21389 # DEPENDENCYPART_ARC
(9,16),-3.7533 # DEPENDENCYPART_ARC
(10,1),-2.2796 # DEPENDENCYPART_ARC
(10,2),-1.23121 # DEPENDENCYPART_ARC
(10,6),-2.06177 # DEPENDENCYPART_ARC
(10,7),-2.03655 # DEPENDENCYPART_ARC
(10,8),-1.92391 # DEPENDENCYPART_ARC
(10,9),-1.67933 # DEPENDENCYPART_ARC
(10,13),-1.76549 # DEPENDENCYPART_ARC
(10,14),-2.12865 # DEPENDENCYPART_ARC
(10,15),-2.6003 # DEPENDENCYPART_ARC
(10,18),-0.745666 # DEPENDENCYPART_ARC
(10,21),-1.1313 # DEPENDENCYPART_ARC
(11,10),-1.20304 # DEPENDENCYPART_ARC
(11,15),-1.50697 # DEPENDENCYPART_ARC
(11,17),-1.81367 # DEPENDENCYPART_ARC
(11,20),-2.29005 # DEPENDENCYPART_ARC
(11,22),-2.02933 # DEPENDENCYPART_ARC
(13,1),-0.700745 # DEPENDENCYPART_ARC
(13,2),-2.6211 # DEPENDENCYPART_ARC
(13,3),-1.16152 # DEPENDENCYPART_ARC
(13,4),-2.25058 # DEPENDENCYPART_ARC
(13,5),-1.48859 # DEPENDENCYPART_ARC
(13,6),-1.3959 # DEPENDENCYPART_ARC
(13,7),-2.94988 # DEPENDENCYPART_ARC
(13,8),-2.74149 # DEPENDENCYPART_ARC
