# _root_ Předpisem , který upravuje organizování a hlavně financování soutěží a přehlídek žáků , je vyhláška č . 431 / 1992 Sb .
#goldHeads=14,4,4,1,6,4,8,6,10,6,10,11,4,0,14,15,16,16,20,18,16,21,
#predictedHeads=14,4,4,1,4,4,8,6,10,8,10,11,4,0,14,15,16,16,20,18,16,0,
(0,1),-0.582183 # DEPENDENCYPART_ARC
(0,2),-0.885981 # DEPENDENCYPART_ARC
(0,3),-1.88225 # DEPENDENCYPART_ARC
(0,4),-0.154408 # DEPENDENCYPART_ARC
(0,6),-0.61145 # DEPENDENCYPART_ARC
(0,7),-1.39784 # DEPENDENCYPART_ARC
(0,8),-2.02379 # DEPENDENCYPART_ARC
(0,10),-1.06968 # DEPENDENCYPART_ARC
(0,13),-1.64384 # DEPENDENCYPART_ARC
(0,14),0.319274 # DEPENDENCYPART_ARC
(0,17),0.0775864 # DEPENDENCYPART_ARC
(0,22),1.84196 # DEPENDENCYPART_ARC
(1,2),-0.917704 # DEPENDENCYPART_ARC
(1,3),-2.34103 # DEPENDENCYPART_ARC
(1,4),-0.806336 # DEPENDENCYPART_ARC
(1,5),-3.72471 # DEPENDENCYPART_ARC
(1,6),-1.11651 # DEPENDENCYPART_ARC
(1,7),-1.81907 # DEPENDENCYPART_ARC
(1,10),-1.29698 # DEPENDENCYPART_ARC
(2,1),-1.32351 # DEPENDENCYPART_ARC
(2,4),-1.16965 # DEPENDENCYPART_ARC
(3,2),-1.15537 # DEPENDENCYPART_ARC
(3,4),-1.34961 # DEPENDENCYPART_ARC
(3,5),-2.30383 # DEPENDENCYPART_ARC
(4,1),-0.791051 # DEPENDENCYPART_ARC
(4,2),0.479036 # DEPENDENCYPART_ARC
(4,3),1.50444 # DEPENDENCYPART_ARC
(4,5),1.63688 # DEPENDENCYPART_ARC
(4,6),-0.055998 # DEPENDENCYPART_ARC
(4,7),-0.697362 # DEPENDENCYPART_ARC
(4,8),-0.376745 # DEPENDENCYPART_ARC
(4,9),-2.3255 # DEPENDENCYPART_ARC
(4,10),-0.0666361 # DEPENDENCYPART_ARC
(4,11),-3.44402 # DEPENDENCYPART_ARC
(4,12),-3.32936 # DEPENDENCYPART_ARC
(4,13),-0.277994 # DEPENDENCYPART_ARC
(4,14),-3.46119 # DEPENDENCYPART_ARC
(4,15),-1.78436 # DEPENDENCYPART_ARC
(4,16),-3.1346 # DEPENDENCYPART_ARC
(4,18),-1.74588 # DEPENDENCYPART_ARC
(4,19),-1.7514 # DEPENDENCYPART_ARC
(4,20),-2.22865 # DEPENDENCYPART_ARC
(5,1),-4.09309 # DEPENDENCYPART_ARC
(5,3),-1.58624 # DEPENDENCYPART_ARC
(5,4),-1.65548 # DEPENDENCYPART_ARC
(5,6),-1.13522 # DEPENDENCYPART_ARC
(6,1),-0.608808 # DEPENDENCYPART_ARC
(6,2),0.248749 # DEPENDENCYPART_ARC
(6,3),-0.121069 # DEPENDENCYPART_ARC
(6,4),1.01 # DEPENDENCYPART_ARC
(6,5),0.0286827 # DEPENDENCYPART_ARC
(6,7),0.0126803 # DEPENDENCYPART_ARC
(6,8),0.680245 # DEPENDENCYPART_ARC
(6,9),-0.134896 # DEPENDENCYPART_ARC
(6,10),-0.263292 # DEPENDENCYPART_ARC
(6,11),-0.691565 # DEPENDENCYPART_ARC
(6,12),-1.28942 # DEPENDENCYPART_ARC
(6,13),-0.520604 # DEPENDENCYPART_ARC
(6,14),-1.40223 # DEPENDENCYPART_ARC
(6,15),-2.6214 # DEPENDENCYPART_ARC
(6,16),-2.49962 # DEPENDENCYPART_ARC
(6,18),-1.77834 # DEPENDENCYPART_ARC
(6,19),-1.34028 # DEPENDENCYPART_ARC
(6,20),-1.98559 # DEPENDENCYPART_ARC
