# _root_ Náš brankář Hnilička inteligentní není a přesně to , co navrhoval agent Winter Hrbkovi , udělal .
#goldHeads=2,3,6,5,6,0,8,16,11,11,8,13,11,11,11,6,0,
#predictedHeads=2,3,5,3,6,0,8,16,11,11,8,14,14,11,11,6,0,
(0,2),-0.932119 # DEPENDENCYPART_ARC
(0,3),-0.860922 # DEPENDENCYPART_ARC
(0,4),-1.55243 # DEPENDENCYPART_ARC
(0,5),-0.587976 # DEPENDENCYPART_ARC
(0,6),-0.427439 # DEPENDENCYPART_ARC
(0,7),-1.5213 # DEPENDENCYPART_ARC
(0,8),-2.33786 # DEPENDENCYPART_ARC
(0,9),-1.34102 # DEPENDENCYPART_ARC
(0,10),-2.1326 # DEPENDENCYPART_ARC
(0,11),-0.889115 # DEPENDENCYPART_ARC
(0,15),-1.73803 # DEPENDENCYPART_ARC
(0,16),-0.26185 # DEPENDENCYPART_ARC
(0,17),2.00161 # DEPENDENCYPART_ARC
(2,1),2.22572 # DEPENDENCYPART_ARC
(2,3),-1.08069 # DEPENDENCYPART_ARC
(2,4),-0.575351 # DEPENDENCYPART_ARC
(2,5),-2.6297 # DEPENDENCYPART_ARC
(2,11),-2.32218 # DEPENDENCYPART_ARC
(3,1),0.515163 # DEPENDENCYPART_ARC
(3,2),2.45468 # DEPENDENCYPART_ARC
(3,4),0.560761 # DEPENDENCYPART_ARC
(3,5),-2.52817 # DEPENDENCYPART_ARC
(3,6),-0.640139 # DEPENDENCYPART_ARC
(3,7),-1.52732 # DEPENDENCYPART_ARC
(3,8),-2.56086 # DEPENDENCYPART_ARC
(3,9),-1.04664 # DEPENDENCYPART_ARC
(3,11),-1.89402 # DEPENDENCYPART_ARC
(4,1),-1.09373 # DEPENDENCYPART_ARC
(4,2),-0.602271 # DEPENDENCYPART_ARC
(4,3),-0.725437 # DEPENDENCYPART_ARC
(4,5),-0.93676 # DEPENDENCYPART_ARC
(4,6),-0.770726 # DEPENDENCYPART_ARC
(4,7),-0.997018 # DEPENDENCYPART_ARC
(4,8),-2.31256 # DEPENDENCYPART_ARC
(5,2),0.016674 # DEPENDENCYPART_ARC
(5,3),-0.282844 # DEPENDENCYPART_ARC
(5,4),0.457696 # DEPENDENCYPART_ARC
(5,6),-0.6844 # DEPENDENCYPART_ARC
(5,7),-0.686346 # DEPENDENCYPART_ARC
(5,8),-1.38196 # DEPENDENCYPART_ARC
(5,9),-1.24778 # DEPENDENCYPART_ARC
(5,11),-1.60173 # DEPENDENCYPART_ARC
(5,12),-2.00378 # DEPENDENCYPART_ARC
(5,13),-2.37688 # DEPENDENCYPART_ARC
(5,14),-2.72382 # DEPENDENCYPART_ARC
(5,15),-1.40037 # DEPENDENCYPART_ARC
