# _root_ To má za následek , že k fixaci neutrálních mutací dochází vždy konstantní rychlostí , závislou na rychlosti vzniku nových mutací a nezávislou na velikosti populace .
#goldHeads=2,0,2,3,6,2,11,7,10,8,6,11,14,11,22,22,16,17,18,21,19,14,22,23,24,25,0,
#predictedHeads=2,0,2,3,6,2,11,7,10,8,6,11,14,11,16,14,16,17,18,21,19,16,22,23,24,25,0,
(0,1),-1.22601 # DEPENDENCYPART_ARC
(0,2),-0.432331 # DEPENDENCYPART_ARC
(0,3),-0.966217 # DEPENDENCYPART_ARC
(0,4),-1.54174 # DEPENDENCYPART_ARC
(0,5),-0.834997 # DEPENDENCYPART_ARC
(0,6),-1.24118 # DEPENDENCYPART_ARC
(0,11),-0.650285 # DEPENDENCYPART_ARC
(0,15),-1.28708 # DEPENDENCYPART_ARC
(0,22),-1.53195 # DEPENDENCYPART_ARC
(0,27),1.70505 # DEPENDENCYPART_ARC
(1,2),-0.913477 # DEPENDENCYPART_ARC
(1,3),-1.88718 # DEPENDENCYPART_ARC
(1,4),-2.58495 # DEPENDENCYPART_ARC
(1,6),-1.43555 # DEPENDENCYPART_ARC
(2,1),1.87975 # DEPENDENCYPART_ARC
(2,3),1.26867 # DEPENDENCYPART_ARC
(2,4),0.44272 # DEPENDENCYPART_ARC
(2,5),-0.394872 # DEPENDENCYPART_ARC
(2,6),0.034027 # DEPENDENCYPART_ARC
(2,7),-1.23247 # DEPENDENCYPART_ARC
(2,8),-2.14966 # DEPENDENCYPART_ARC
(2,9),-4.6535 # DEPENDENCYPART_ARC
(2,10),-3.56714 # DEPENDENCYPART_ARC
(2,11),-2.35279 # DEPENDENCYPART_ARC
(2,12),-1.57759 # DEPENDENCYPART_ARC
(2,14),-1.68925 # DEPENDENCYPART_ARC
(2,15),-1.18224 # DEPENDENCYPART_ARC
(2,22),-1.11393 # DEPENDENCYPART_ARC
(2,26),-3.58709 # DEPENDENCYPART_ARC
(3,1),-2.28461 # DEPENDENCYPART_ARC
(3,4),2.54397 # DEPENDENCYPART_ARC
(3,5),-0.638224 # DEPENDENCYPART_ARC
(3,6),-1.09637 # DEPENDENCYPART_ARC
(3,8),-2.12967 # DEPENDENCYPART_ARC
(4,1),-2.81546 # DEPENDENCYPART_ARC
(4,2),-1.51228 # DEPENDENCYPART_ARC
(4,3),-0.604158 # DEPENDENCYPART_ARC
(4,5),-1.12477 # DEPENDENCYPART_ARC
(4,6),-0.761448 # DEPENDENCYPART_ARC
(4,8),-2.80762 # DEPENDENCYPART_ARC
(4,9),-3.83058 # DEPENDENCYPART_ARC
(4,10),-1.10329 # DEPENDENCYPART_ARC
(4,11),-1.78842 # DEPENDENCYPART_ARC
(4,13),-3.54631 # DEPENDENCYPART_ARC
(4,16),-3.43318 # DEPENDENCYPART_ARC
(5,1),-1.44073 # DEPENDENCYPART_ARC
(5,2),-0.829434 # DEPENDENCYPART_ARC
(5,3),-1.02998 # DEPENDENCYPART_ARC
(5,4),-1.27411 # DEPENDENCYPART_ARC
(5,6),-0.735542 # DEPENDENCYPART_ARC
(5,7),-1.1018 # DEPENDENCYPART_ARC
(5,11),-1.83041 # DEPENDENCYPART_ARC
(6,2),-1.71632 # DEPENDENCYPART_ARC
(6,3),-0.459725 # DEPENDENCYPART_ARC
(6,4),-2.08484 # DEPENDENCYPART_ARC
(6,5),1.39098 # DEPENDENCYPART_ARC
(6,7),-0.547866 # DEPENDENCYPART_ARC
(6,8),-1.60077 # DEPENDENCYPART_ARC
(6,9),-1.82693 # DEPENDENCYPART_ARC
(6,11),1.0214 # DEPENDENCYPART_ARC
(6,12),-1.65451 # DEPENDENCYPART_ARC
(6,15),-0.53262 # DEPENDENCYPART_ARC
(6,22),-0.393418 # DEPENDENCYPART_ARC
(7,5),-1.18113 # DEPENDENCYPART_ARC
(7,8),2.44205 # DEPENDENCYPART_ARC
(7,9),-2.47925 # DEPENDENCYPART_ARC
(7,10),-1.59866 # DEPENDENCYPART_ARC
(8,3),-1.90398 # DEPENDENCYPART_ARC
(8,6),-0.844567 # DEPENDENCYPART_ARC
(8,7),-0.58421 # DEPENDENCYPART_ARC
(8,9),-0.449534 # DEPENDENCYPART_ARC
(8,10),1.21432 # DEPENDENCYPART_ARC
(8,11),-1.54352 # DEPENDENCYPART_ARC
(8,12),-1.16464 # DEPENDENCYPART_ARC
(8,13),-1.23436 # DEPENDENCYPART_ARC
(8,14),-2.30985 # DEPENDENCYPART_ARC
(8,15),-1.12644 # DEPENDENCYPART_ARC
(8,16),-1.34259 # DEPENDENCYPART_ARC
(8,17),-1.40511 # DEPENDENCYPART_ARC
(8,20),-2.38513 # DEPENDENCYPART_ARC
(8,21),-0.923642 # DEPENDENCYPART_ARC
(8,22),-0.529139 # DEPENDENCYPART_ARC
(8,23),-2.10751 # DEPENDENCYPART_ARC
(9,2),-2.22755 # DEPENDENCYPART_ARC
(9,5),-1.65273 # DEPENDENCYPART_ARC
(9,7),-0.540263 # DEPENDENCYPART_ARC
(9,8),-0.440828 # DEPENDENCYPART_ARC
(9,10),-1.28627 # DEPENDENCYPART_ARC
(9,12),-1.4398 # DEPENDENCYPART_ARC
(9,14),-0.975196 # DEPENDENCYPART_ARC
(10,8),-2.28273 # DEPENDENCYPART_ARC
(10,9),2.37394 # DEPENDENCYPART_ARC
(10,11),-1.6651 # DEPENDENCYPART_ARC
(10,13),-3.1014 # DEPENDENCYPART_ARC
(10,14),-3.74337 # DEPENDENCYPART_ARC
(10,16),-3.42625 # DEPENDENCYPART_ARC
(11,1),-0.217119 # DEPENDENCYPART_ARC
(11,2),-2.122 # DEPENDENCYPART_ARC
(11,3),-0.853242 # DEPENDENCYPART_ARC
(11,4),-1.71464 # DEPENDENCYPART_ARC
(11,5),-0.806714 # DEPENDENCYPART_ARC
(11,6),-1.47515 # DEPENDENCYPART_ARC
(11,7),0.317773 # DEPENDENCYPART_ARC
(11,8),0.410854 # DEPENDENCYPART_ARC
(11,9),-3.27396 # DEPENDENCYPART_ARC
(11,10),-1.5434 # DEPENDENCYPART_ARC
(11,12),0.835242 # DEPENDENCYPART_ARC
(11,13),-1.00441 # DEPENDENCYPART_ARC
(11,14),0.853518 # DEPENDENCYPART_ARC
(11,15),-0.134987 # DEPENDENCYPART_ARC
(11,16),-2.11987 # DEPENDENCYPART_ARC
(11,17),-0.406565 # DEPENDENCYPART_ARC
(11,18),-1.66615 # DEPENDENCYPART_ARC
(11,19),-1.73835 # DEPENDENCYPART_ARC
(11,20),-4.09583 # DEPENDENCYPART_ARC
(11,21),-2.47177 # DEPENDENCYPART_ARC
(11,22),-0.348773 # DEPENDENCYPART_ARC
(11,23),-2.73471 # DEPENDENCYPART_ARC
(11,24),-0.987771 # DEPENDENCYPART_ARC
(11,25),-2.14876 # DEPENDENCYPART_ARC
(11,26),-2.19974 # DEPENDENCYPART_ARC
(11,27),-0.874248 # DEPENDENCYPART_ARC
(12,1),-1.95641 # DEPENDENCYPART_ARC
(12,2),-2.06536 # DEPENDENCYPART_ARC
(12,10),-1.6894 # DEPENDENCYPART_ARC
(12,13),-1.67082 # DEPENDENCYPART_ARC
(12,14),-1.83138 # DEPENDENCYPART_ARC
(12,15),-1.21041 # DEPENDENCYPART_ARC
(12,16),-2.54319 # DEPENDENCYPART_ARC
(13,7),-1.12974 # DEPENDENCYPART_ARC
(13,11),-2.04413 # DEPENDENCYPART_ARC
(13,12),0.181182 # DEPENDENCYPART_ARC
(13,14),-1.14862 # DEPENDENCYPART_ARC
(13,17),-1.30353 # DEPENDENCYPART_ARC
(14,9),-3.25315 # DEPENDENCYPART_ARC
(14,10),-3.9284 # DEPENDENCYPART_ARC
(14,12),-0.240791 # DEPENDENCYPART_ARC
(14,13),2.27523 # DEPENDENCYPART_ARC
(14,15),-1.34985 # DEPENDENCYPART_ARC
(14,16),-0.0752053 # DEPENDENCYPART_ARC
(14,17),-1.1442 # DEPENDENCYPART_ARC
(14,18),-2.67473 # DEPENDENCYPART_ARC
(14,19),-0.974843 # DEPENDENCYPART_ARC
(14,20),-2.5908 # DEPENDENCYPART_ARC
(14,22),-1.16053 # DEPENDENCYPART_ARC
(14,23),-1.67635 # DEPENDENCYPART_ARC
(14,24),-1.50252 # DEPENDENCYPART_ARC
(15,2),-1.64788 # DEPENDENCYPART_ARC
(15,3),-1.40341 # DEPENDENCYPART_ARC
(15,4),-1.72358 # DEPENDENCYPART_ARC
(15,5),-1.22499 # DEPENDENCYPART_ARC
(15,6),-1.24929 # DEPENDENCYPART_ARC
(15,7),-1.24652 # DEPENDENCYPART_ARC
(15,8),-1.42396 # DEPENDENCYPART_ARC
(15,9),-1.91943 # DEPENDENCYPART_ARC
(15,10),-1.4028 # DEPENDENCYPART_ARC
(15,11),-0.532988 # DEPENDENCYPART_ARC
(15,12),-0.659691 # DEPENDENCYPART_ARC
(15,13),-1.23763 # DEPENDENCYPART_ARC
(15,14),-0.2 # DEPENDENCYPART_ARC
(15,16),-1.34244 # DEPENDENCYPART_ARC
(15,17),-0.817645 # DEPENDENCYPART_ARC
(15,18),-1.50446 # DEPENDENCYPART_ARC
(15,19),-1.4035 # DEPENDENCYPART_ARC
(15,20),-1.99196 # DEPENDENCYPART_ARC
(15,21),-1.90074 # DEPENDENCYPART_ARC
(15,25),-2.61382 # DEPENDENCYPART_ARC
(15,26),-1.85562 # DEPENDENCYPART_ARC
(16,7),-1.44928 # DEPENDENCYPART_ARC
(16,12),-1.36816 # DEPENDENCYPART_ARC
(16,13),-2.35909 # DEPENDENCYPART_ARC
(16,14),-1.20876 # DEPENDENCYPART_ARC
(16,15),0.502452 # DEPENDENCYPART_ARC
(16,17),0.904656 # DEPENDENCYPART_ARC
(16,18),-2.83278 # DEPENDENCYPART_ARC
(16,19),-2.83828 # DEPENDENCYPART_ARC
(16,21),-3.45224 # DEPENDENCYPART_ARC
(16,22),-0.382667 # DEPENDENCYPART_ARC
(16,24),-0.771214 # DEPENDENCYPART_ARC
(16,25),-4.27796 # DEPENDENCYPART_ARC
