# _root_ Tuto sumu obdržely dvakrát : jednorázově po volbách a pak , na základě roční zprávy o hospodaření , rozdělenou do čtyřletých částek .
#goldHeads=2,3,0,5,3,8,9,7,5,9,13,13,19,15,13,15,16,13,10,19,22,20,0,
#predictedHeads=2,3,9,5,3,9,3,7,0,9,13,13,9,15,13,15,16,19,15,19,22,20,0,
(0,1),-1.43403 # DEPENDENCYPART_ARC
(0,2),-1.5476 # DEPENDENCYPART_ARC
(0,3),-0.292819 # DEPENDENCYPART_ARC
(0,4),-0.991323 # DEPENDENCYPART_ARC
(0,5),-0.379808 # DEPENDENCYPART_ARC
(0,6),-1.25929 # DEPENDENCYPART_ARC
(0,7),-1.51382 # DEPENDENCYPART_ARC
(0,9),-0.680593 # DEPENDENCYPART_ARC
(0,11),-1.2427 # DEPENDENCYPART_ARC
(0,18),-1.31815 # DEPENDENCYPART_ARC
(0,23),1.56435 # DEPENDENCYPART_ARC
(1,2),-1.65081 # DEPENDENCYPART_ARC
(1,3),-2.38211 # DEPENDENCYPART_ARC
(2,1),2.89417 # DEPENDENCYPART_ARC
(2,3),-2.03027 # DEPENDENCYPART_ARC
(2,4),-1.40685 # DEPENDENCYPART_ARC
(2,5),-1.57931 # DEPENDENCYPART_ARC
(3,1),0.47036 # DEPENDENCYPART_ARC
(3,2),1.1788 # DEPENDENCYPART_ARC
(3,4),0.186471 # DEPENDENCYPART_ARC
(3,5),-0.611136 # DEPENDENCYPART_ARC
(3,6),-0.61297 # DEPENDENCYPART_ARC
(3,7),-0.220631 # DEPENDENCYPART_ARC
(3,8),-1.42615 # DEPENDENCYPART_ARC
(3,9),-0.835783 # DEPENDENCYPART_ARC
(3,10),-1.37455 # DEPENDENCYPART_ARC
(3,11),-1.24119 # DEPENDENCYPART_ARC
(3,12),-1.36341 # DEPENDENCYPART_ARC
(3,13),-2.02387 # DEPENDENCYPART_ARC
(3,15),-3.01032 # DEPENDENCYPART_ARC
(3,16),-1.44735 # DEPENDENCYPART_ARC
(3,17),-2.79855 # DEPENDENCYPART_ARC
(3,18),-1.33427 # DEPENDENCYPART_ARC
(3,19),-4.51996 # DEPENDENCYPART_ARC
(3,20),-1.32665 # DEPENDENCYPART_ARC
