# _root_ " Turnaj je zařazen do nejnižší kategorie , a proto jsme museli sehnat bydlení do 80 dolarů za noc , což znamenalo v Praze velký problém .
#goldHeads=9,4,4,9,4,7,5,9,0,9,12,20,12,13,14,17,15,17,18,9,22,20,22,23,26,22,0,
#predictedHeads=20,3,9,3,4,7,5,9,0,9,12,9,12,13,13,17,15,17,18,0,22,20,22,23,26,22,0,
(0,1),-0.677567 # DEPENDENCYPART_ARC
(0,2),-0.973014 # DEPENDENCYPART_ARC
(0,3),-0.161492 # DEPENDENCYPART_ARC
(0,4),-1.05973 # DEPENDENCYPART_ARC
(0,5),-1.38146 # DEPENDENCYPART_ARC
(0,7),-2.3781 # DEPENDENCYPART_ARC
(0,8),-0.716694 # DEPENDENCYPART_ARC
(0,9),-0.23438 # DEPENDENCYPART_ARC
(0,10),-0.336978 # DEPENDENCYPART_ARC
(0,11),-1.8653 # DEPENDENCYPART_ARC
(0,12),-1.35803 # DEPENDENCYPART_ARC
(0,13),-2.31268 # DEPENDENCYPART_ARC
(0,20),-0.840993 # DEPENDENCYPART_ARC
(0,22),-2.18065 # DEPENDENCYPART_ARC
(0,27),2.01648 # DEPENDENCYPART_ARC
(1,2),-2.75923 # DEPENDENCYPART_ARC
(1,3),-2.30991 # DEPENDENCYPART_ARC
(1,4),-2.61257 # DEPENDENCYPART_ARC
(2,1),-0.653199 # DEPENDENCYPART_ARC
(2,3),-1.0786 # DEPENDENCYPART_ARC
(3,1),-0.0180645 # DEPENDENCYPART_ARC
(3,2),0.943069 # DEPENDENCYPART_ARC
(3,4),2.17212 # DEPENDENCYPART_ARC
(3,5),-0.0787235 # DEPENDENCYPART_ARC
(3,6),-3.23599 # DEPENDENCYPART_ARC
(3,7),-2.04099 # DEPENDENCYPART_ARC
(3,8),-1.05297 # DEPENDENCYPART_ARC
(3,9),-0.980912 # DEPENDENCYPART_ARC
(3,10),-1.42039 # DEPENDENCYPART_ARC
(3,12),-3.98071 # DEPENDENCYPART_ARC
(3,13),-1.57826 # DEPENDENCYPART_ARC
(4,1),0.296199 # DEPENDENCYPART_ARC
(4,2),0.666415 # DEPENDENCYPART_ARC
(4,3),1.82281 # DEPENDENCYPART_ARC
(4,5),1.09122 # DEPENDENCYPART_ARC
(4,6),-3.12428 # DEPENDENCYPART_ARC
(4,7),-1.38325 # DEPENDENCYPART_ARC
(4,8),-0.796325 # DEPENDENCYPART_ARC
(4,9),-0.717082 # DEPENDENCYPART_ARC
(4,10),-0.996513 # DEPENDENCYPART_ARC
(4,11),-2.48453 # DEPENDENCYPART_ARC
(4,12),-2.66929 # DEPENDENCYPART_ARC
(4,13),-0.943471 # DEPENDENCYPART_ARC
(4,20),-1.43227 # DEPENDENCYPART_ARC
(5,6),-0.21685 # DEPENDENCYPART_ARC
(5,7),1.72162 # DEPENDENCYPART_ARC
(5,8),-0.739146 # DEPENDENCYPART_ARC
(5,9),-0.912075 # DEPENDENCYPART_ARC
(7,5),-1.06096 # DEPENDENCYPART_ARC
(7,6),2.48083 # DEPENDENCYPART_ARC
(7,8),-1.17367 # DEPENDENCYPART_ARC
(7,9),-1.11099 # DEPENDENCYPART_ARC
(7,10),-1.44355 # DEPENDENCYPART_ARC
(7,11),-1.70766 # DEPENDENCYPART_ARC
(7,12),-2.4519 # DEPENDENCYPART_ARC
(7,13),-2.14552 # DEPENDENCYPART_ARC
(8,1),-0.607285 # DEPENDENCYPART_ARC
(8,3),-1.32144 # DEPENDENCYPART_ARC
(8,4),-1.02993 # DEPENDENCYPART_ARC
(8,5),-0.934708 # DEPENDENCYPART_ARC
(8,6),-1.54995 # DEPENDENCYPART_ARC
(8,7),-1.40735 # DEPENDENCYPART_ARC
(8,11),-2.11429 # DEPENDENCYPART_ARC
(9,1),-0.597601 # DEPENDENCYPART_ARC
(9,2),-0.900259 # DEPENDENCYPART_ARC
(9,3),-0.21988 # DEPENDENCYPART_ARC
(9,4),-0.0353662 # DEPENDENCYPART_ARC
(9,5),-0.506314 # DEPENDENCYPART_ARC
(9,6),-0.976992 # DEPENDENCYPART_ARC
(9,7),-0.525901 # DEPENDENCYPART_ARC
(9,8),1.23732 # DEPENDENCYPART_ARC
(9,10),1.42823 # DEPENDENCYPART_ARC
(9,11),1.15803 # DEPENDENCYPART_ARC
(9,12),0.41469 # DEPENDENCYPART_ARC
(9,13),-0.367452 # DEPENDENCYPART_ARC
(9,14),-1.42048 # DEPENDENCYPART_ARC
(9,15),-0.907718 # DEPENDENCYPART_ARC
(9,16),-1.36221 # DEPENDENCYPART_ARC
(9,18),-0.729325 # DEPENDENCYPART_ARC
(9,20),-0.0169278 # DEPENDENCYPART_ARC
(9,22),-1.5991 # DEPENDENCYPART_ARC
(10,1),-1.1579 # DEPENDENCYPART_ARC
(10,2),-1.76882 # DEPENDENCYPART_ARC
(10,3),-0.855121 # DEPENDENCYPART_ARC
(10,4),-0.447575 # DEPENDENCYPART_ARC
(10,5),-1.86177 # DEPENDENCYPART_ARC
(10,6),-2.50896 # DEPENDENCYPART_ARC
(10,7),-1.9138 # DEPENDENCYPART_ARC
(10,8),-0.240009 # DEPENDENCYPART_ARC
(10,9),-0.12788 # DEPENDENCYPART_ARC
(10,11),0.601743 # DEPENDENCYPART_ARC
(10,12),-0.331712 # DEPENDENCYPART_ARC
(10,13),-1.14076 # DEPENDENCYPART_ARC
(10,14),-2.33422 # DEPENDENCYPART_ARC
(10,15),-1.86454 # DEPENDENCYPART_ARC
(10,16),-1.96098 # DEPENDENCYPART_ARC
(10,20),0.113927 # DEPENDENCYPART_ARC
(10,22),-1.96862 # DEPENDENCYPART_ARC
(11,2),-3.41432 # DEPENDENCYPART_ARC
(11,4),-3.17576 # DEPENDENCYPART_ARC
(11,7),-5.07213 # DEPENDENCYPART_ARC
(11,8),-1.64942 # DEPENDENCYPART_ARC
(11,10),-1.21558 # DEPENDENCYPART_ARC
(11,12),-0.994909 # DEPENDENCYPART_ARC
(11,13),0.502136 # DEPENDENCYPART_ARC
(11,14),-1.87814 # DEPENDENCYPART_ARC
(11,15),-1.33096 # DEPENDENCYPART_ARC
(11,17),-4.05489 # DEPENDENCYPART_ARC
(11,18),-2.63805 # DEPENDENCYPART_ARC
(11,19),-2.85301 # DEPENDENCYPART_ARC
(11,26),-3.51999 # DEPENDENCYPART_ARC
(12,1),-0.779394 # DEPENDENCYPART_ARC
(12,2),-1.4759 # DEPENDENCYPART_ARC
(12,3),-2.33492 # DEPENDENCYPART_ARC
(12,4),-2.43688 # DEPENDENCYPART_ARC
(12,5),-1.04185 # DEPENDENCYPART_ARC
(12,6),-4.01812 # DEPENDENCYPART_ARC
(12,7),-3.86886 # DEPENDENCYPART_ARC
(12,8),-1.05551 # DEPENDENCYPART_ARC
(12,9),-0.551235 # DEPENDENCYPART_ARC
(12,10),-0.139486 # DEPENDENCYPART_ARC
(12,11),3.26502 # DEPENDENCYPART_ARC
(12,13),2.98285 # DEPENDENCYPART_ARC
(12,14),0.512555 # DEPENDENCYPART_ARC
(12,15),0.189967 # DEPENDENCYPART_ARC
(12,16),-1.32003 # DEPENDENCYPART_ARC
(12,17),-1.55329 # DEPENDENCYPART_ARC
(12,18),-0.82601 # DEPENDENCYPART_ARC
(12,19),-1.49758 # DEPENDENCYPART_ARC
(12,20),-1.09056 # DEPENDENCYPART_ARC
(12,22),-3.39639 # DEPENDENCYPART_ARC
(12,23),-1.75044 # DEPENDENCYPART_ARC
(12,24),-4.17209 # DEPENDENCYPART_ARC
(12,26),-1.70544 # DEPENDENCYPART_ARC
