# _root_ Ženy , které byly donuceny poskytovat sexuální služby japonským vojákům za války , budou odškodněny formou zřízení center pro vzdělávání žen v jednotlivých zemích .
#goldHeads=15,5,5,5,1,5,8,6,10,6,6,11,5,15,0,15,16,17,18,19,20,18,24,22,0,
#predictedHeads=15,5,5,5,1,5,8,6,10,6,10,11,5,15,0,15,16,17,18,19,20,20,24,22,0,
(0,1),-0.467005 # DEPENDENCYPART_ARC
(0,2),-0.876982 # DEPENDENCYPART_ARC
(0,3),-2.13705 # DEPENDENCYPART_ARC
(0,4),-0.506679 # DEPENDENCYPART_ARC
(0,5),-1.20261 # DEPENDENCYPART_ARC
(0,6),-1.41039 # DEPENDENCYPART_ARC
(0,13),-1.2529 # DEPENDENCYPART_ARC
(0,14),-0.310358 # DEPENDENCYPART_ARC
(0,15),-1.89648 # DEPENDENCYPART_ARC
(0,25),1.84982 # DEPENDENCYPART_ARC
(1,2),-0.915456 # DEPENDENCYPART_ARC
(1,3),-0.485813 # DEPENDENCYPART_ARC
(1,4),-0.86407 # DEPENDENCYPART_ARC
(1,5),-1.19285 # DEPENDENCYPART_ARC
(1,6),-1.91339 # DEPENDENCYPART_ARC
(1,7),-2.47393 # DEPENDENCYPART_ARC
(1,9),-2.77336 # DEPENDENCYPART_ARC
(1,15),-3.582 # DEPENDENCYPART_ARC
(2,1),-1.50417 # DEPENDENCYPART_ARC
(2,4),-1.35418 # DEPENDENCYPART_ARC
(2,5),-1.79621 # DEPENDENCYPART_ARC
(2,6),-2.20276 # DEPENDENCYPART_ARC
(2,13),-0.954076 # DEPENDENCYPART_ARC
(2,15),-3.76902 # DEPENDENCYPART_ARC
(3,2),-1.14295 # DEPENDENCYPART_ARC
(3,4),-1.50259 # DEPENDENCYPART_ARC
(3,5),-1.77611 # DEPENDENCYPART_ARC
(3,7),-2.39567 # DEPENDENCYPART_ARC
(4,1),-1.33665 # DEPENDENCYPART_ARC
(4,2),-0.306925 # DEPENDENCYPART_ARC
(4,3),-0.188599 # DEPENDENCYPART_ARC
(4,5),0.827379 # DEPENDENCYPART_ARC
(4,6),0.864426 # DEPENDENCYPART_ARC
(4,7),-3.32132 # DEPENDENCYPART_ARC
(4,8),-0.663969 # DEPENDENCYPART_ARC
(4,9),-2.7821 # DEPENDENCYPART_ARC
(4,10),-1.93982 # DEPENDENCYPART_ARC
(4,11),-0.951787 # DEPENDENCYPART_ARC
(4,13),-0.516936 # DEPENDENCYPART_ARC
(4,15),-3.11337 # DEPENDENCYPART_ARC
(5,1),-0.822085 # DEPENDENCYPART_ARC
(5,2),0.0124844 # DEPENDENCYPART_ARC
(5,3),0.192616 # DEPENDENCYPART_ARC
(5,4),3.81538 # DEPENDENCYPART_ARC
(5,6),2.64032 # DEPENDENCYPART_ARC
(5,7),-3.3457 # DEPENDENCYPART_ARC
(5,8),-1.14776 # DEPENDENCYPART_ARC
(5,10),-0.97136 # DEPENDENCYPART_ARC
(5,11),-0.635592 # DEPENDENCYPART_ARC
(5,12),-3.18317 # DEPENDENCYPART_ARC
(5,13),-0.515328 # DEPENDENCYPART_ARC
(5,14),-2.60228 # DEPENDENCYPART_ARC
(5,16),-2.19657 # DEPENDENCYPART_ARC
(5,17),-3.66628 # DEPENDENCYPART_ARC
(5,18),-3.60744 # DEPENDENCYPART_ARC
(5,22),-1.92524 # DEPENDENCYPART_ARC
(6,1),-1.76211 # DEPENDENCYPART_ARC
(6,2),-1.05174 # DEPENDENCYPART_ARC
(6,3),-0.625992 # DEPENDENCYPART_ARC
(6,4),-2.00183 # DEPENDENCYPART_ARC
(6,5),-0.414299 # DEPENDENCYPART_ARC
(6,7),-0.42713 # DEPENDENCYPART_ARC
(6,8),1.346 # DEPENDENCYPART_ARC
