# _root_ Stačí jen , aby se jedné z nich pokusil násilím zmocnit oplzlý klient , a autoritativní šéfka kurtizán jej bez mrknutí oka odstřelí .
#goldHeads=15,1,4,1,9,11,6,7,4,11,9,13,9,15,0,17,23,17,23,23,20,21,15,0,
#predictedHeads=0,1,4,1,9,9,6,7,4,9,9,13,15,15,11,17,23,17,23,23,20,21,15,0,
(0,1),0.305705 # DEPENDENCYPART_ARC
(0,2),-1.37206 # DEPENDENCYPART_ARC
(0,3),-0.770723 # DEPENDENCYPART_ARC
(0,4),-1.06053 # DEPENDENCYPART_ARC
(0,9),-1.21646 # DEPENDENCYPART_ARC
(0,11),-2.28627 # DEPENDENCYPART_ARC
(0,14),-1.20462 # DEPENDENCYPART_ARC
(0,15),-0.750931 # DEPENDENCYPART_ARC
(0,23),-2.05251 # DEPENDENCYPART_ARC
(0,24),2.07493 # DEPENDENCYPART_ARC
(1,2),-0.476607 # DEPENDENCYPART_ARC
(1,3),-0.569408 # DEPENDENCYPART_ARC
(1,4),0.284419 # DEPENDENCYPART_ARC
(1,6),-2.36423 # DEPENDENCYPART_ARC
(1,7),-1.02888 # DEPENDENCYPART_ARC
(1,9),-1.89989 # DEPENDENCYPART_ARC
(1,10),-2.3109 # DEPENDENCYPART_ARC
(1,11),0.0494295 # DEPENDENCYPART_ARC
(1,14),-1.01617 # DEPENDENCYPART_ARC
(1,15),-1.05013 # DEPENDENCYPART_ARC
(2,1),-0.732059 # DEPENDENCYPART_ARC
(2,3),-0.889565 # DEPENDENCYPART_ARC
(2,4),-1.944 # DEPENDENCYPART_ARC
(3,1),-1.21698 # DEPENDENCYPART_ARC
(3,2),-0.759261 # DEPENDENCYPART_ARC
(3,4),-0.728413 # DEPENDENCYPART_ARC
(3,6),-1.63845 # DEPENDENCYPART_ARC
(3,9),-1.69631 # DEPENDENCYPART_ARC
(3,11),-2.07055 # DEPENDENCYPART_ARC
(4,1),-0.970272 # DEPENDENCYPART_ARC
(4,2),-1.12593 # DEPENDENCYPART_ARC
(4,3),1.03253 # DEPENDENCYPART_ARC
(4,6),-0.682824 # DEPENDENCYPART_ARC
(4,7),-1.27669 # DEPENDENCYPART_ARC
(4,9),0.772011 # DEPENDENCYPART_ARC
(4,11),0.299044 # DEPENDENCYPART_ARC
(4,14),-0.300371 # DEPENDENCYPART_ARC
(4,15),-0.469752 # DEPENDENCYPART_ARC
(4,23),-0.0138254 # DEPENDENCYPART_ARC
(6,2),-0.987768 # DEPENDENCYPART_ARC
(6,3),-1.43075 # DEPENDENCYPART_ARC
(6,4),-0.787361 # DEPENDENCYPART_ARC
(6,7),0.9474 # DEPENDENCYPART_ARC
(6,9),-1.95831 # DEPENDENCYPART_ARC
(7,3),-0.917492 # DEPENDENCYPART_ARC
(7,8),1.2203 # DEPENDENCYPART_ARC
(7,9),-1.62139 # DEPENDENCYPART_ARC
(7,10),-0.910498 # DEPENDENCYPART_ARC
(7,12),-2.85688 # DEPENDENCYPART_ARC
(7,13),-3.97883 # DEPENDENCYPART_ARC
(8,10),-2.60912 # DEPENDENCYPART_ARC
(9,1),-1.29224 # DEPENDENCYPART_ARC
(9,2),-1.02327 # DEPENDENCYPART_ARC
(9,3),-0.390011 # DEPENDENCYPART_ARC
(9,4),-1.05716 # DEPENDENCYPART_ARC
(9,5),0.86876 # DEPENDENCYPART_ARC
(9,6),-1.39114 # DEPENDENCYPART_ARC
(9,7),0.354429 # DEPENDENCYPART_ARC
(9,10),1.40761 # DEPENDENCYPART_ARC
(9,11),1.68057 # DEPENDENCYPART_ARC
(9,12),-1.29674 # DEPENDENCYPART_ARC
(9,13),-0.843045 # DEPENDENCYPART_ARC
(9,14),-0.787124 # DEPENDENCYPART_ARC
(9,15),-0.52127 # DEPENDENCYPART_ARC
(9,16),-2.99918 # DEPENDENCYPART_ARC
(9,17),-1.90686 # DEPENDENCYPART_ARC
(9,18),-3.69426 # DEPENDENCYPART_ARC
(9,20),-1.22725 # DEPENDENCYPART_ARC
(9,21),-3.96812 # DEPENDENCYPART_ARC
(9,22),-3.83107 # DEPENDENCYPART_ARC
(9,23),-2.87382 # DEPENDENCYPART_ARC
(10,5),-3.75015 # DEPENDENCYPART_ARC
(10,6),-1.2442 # DEPENDENCYPART_ARC
(10,7),-0.858256 # DEPENDENCYPART_ARC
(10,11),0.292617 # DEPENDENCYPART_ARC
(10,12),-1.74566 # DEPENDENCYPART_ARC
(10,13),-2.44594 # DEPENDENCYPART_ARC
(10,15),-0.883303 # DEPENDENCYPART_ARC
(10,16),-3.33823 # DEPENDENCYPART_ARC
(10,17),-2.72233 # DEPENDENCYPART_ARC
(10,23),-2.96159 # DEPENDENCYPART_ARC
(11,1),-3.11716 # DEPENDENCYPART_ARC
(11,2),-1.49923 # DEPENDENCYPART_ARC
(11,3),-1.37524 # DEPENDENCYPART_ARC
(11,4),-1.29954 # DEPENDENCYPART_ARC
(11,5),0.286016 # DEPENDENCYPART_ARC
