# _root_ Erica Cantonu , francouzského fotbalového reprezentanta a hráče Manchesteru United , čeká v tomto týdnu velmi nepříjemný program .
#goldHeads=2,3,12,6,6,7,3,7,8,9,3,0,12,15,13,17,18,12,0,
#predictedHeads=2,7,7,6,6,7,11,7,8,9,12,0,12,15,13,17,18,12,0,
(0,1),-1.10846 # DEPENDENCYPART_ARC
(0,2),-0.813529 # DEPENDENCYPART_ARC
(0,3),-0.494937 # DEPENDENCYPART_ARC
(0,4),-1.69083 # DEPENDENCYPART_ARC
(0,7),-1.03592 # DEPENDENCYPART_ARC
(0,8),-1.95281 # DEPENDENCYPART_ARC
(0,9),-1.84861 # DEPENDENCYPART_ARC
(0,11),-1.61172 # DEPENDENCYPART_ARC
(0,12),1.16219 # DEPENDENCYPART_ARC
(0,19),1.89138 # DEPENDENCYPART_ARC
(1,2),-2.56077 # DEPENDENCYPART_ARC
(1,3),-1.19377 # DEPENDENCYPART_ARC
(1,4),-1.68158 # DEPENDENCYPART_ARC
(1,5),-1.87673 # DEPENDENCYPART_ARC
(1,6),-3.82231 # DEPENDENCYPART_ARC
(1,7),-0.593608 # DEPENDENCYPART_ARC
(1,8),-4.57207 # DEPENDENCYPART_ARC
(1,9),-1.08566 # DEPENDENCYPART_ARC
(1,10),-3.0237 # DEPENDENCYPART_ARC
(1,12),-3.06007 # DEPENDENCYPART_ARC
(2,1),3.84052 # DEPENDENCYPART_ARC
(2,3),-1.20884 # DEPENDENCYPART_ARC
(2,4),-0.31325 # DEPENDENCYPART_ARC
(2,5),-0.905641 # DEPENDENCYPART_ARC
(2,6),-3.5526 # DEPENDENCYPART_ARC
(2,7),-1.21572 # DEPENDENCYPART_ARC
(2,10),-1.67727 # DEPENDENCYPART_ARC
(2,12),-2.90781 # DEPENDENCYPART_ARC
(3,1),-0.90708 # DEPENDENCYPART_ARC
(3,2),-0.0896917 # DEPENDENCYPART_ARC
(3,4),-1.22924 # DEPENDENCYPART_ARC
(3,5),-1.59973 # DEPENDENCYPART_ARC
(3,6),-0.994205 # DEPENDENCYPART_ARC
(3,7),-0.690945 # DEPENDENCYPART_ARC
(3,8),-1.80112 # DEPENDENCYPART_ARC
(3,9),-1.89622 # DEPENDENCYPART_ARC
(3,11),-0.559933 # DEPENDENCYPART_ARC
(3,12),-2.17046 # DEPENDENCYPART_ARC
(3,16),-1.67156 # DEPENDENCYPART_ARC
(3,18),-2.38759 # DEPENDENCYPART_ARC
(4,1),0.0252636 # DEPENDENCYPART_ARC
(4,2),-1.73849 # DEPENDENCYPART_ARC
(4,3),0.119145 # DEPENDENCYPART_ARC
(4,5),-0.766924 # DEPENDENCYPART_ARC
(4,6),-2.40059 # DEPENDENCYPART_ARC
(4,7),-0.475137 # DEPENDENCYPART_ARC
(4,8),-3.18142 # DEPENDENCYPART_ARC
(4,9),-2.17922 # DEPENDENCYPART_ARC
(4,11),-0.495448 # DEPENDENCYPART_ARC
(4,12),-2.19939 # DEPENDENCYPART_ARC
(4,13),-1.71581 # DEPENDENCYPART_ARC
(4,19),-1.66303 # DEPENDENCYPART_ARC
(5,3),-0.895192 # DEPENDENCYPART_ARC
(5,4),-0.464714 # DEPENDENCYPART_ARC
(5,6),-2.15911 # DEPENDENCYPART_ARC
(6,1),0.30505 # DEPENDENCYPART_ARC
(6,2),-1.16733 # DEPENDENCYPART_ARC
(6,3),-0.999422 # DEPENDENCYPART_ARC
(6,4),1.82278 # DEPENDENCYPART_ARC
(6,5),2.44475 # DEPENDENCYPART_ARC
(6,8),-3.39335 # DEPENDENCYPART_ARC
(6,9),-0.737823 # DEPENDENCYPART_ARC
(7,1),-0.695975 # DEPENDENCYPART_ARC
(7,2),0.0881627 # DEPENDENCYPART_ARC
(7,3),0.299385 # DEPENDENCYPART_ARC
(7,4),-0.694993 # DEPENDENCYPART_ARC
(7,5),0.243551 # DEPENDENCYPART_ARC
(7,6),2.21254 # DEPENDENCYPART_ARC
(7,8),1.93871 # DEPENDENCYPART_ARC
(7,9),0.143761 # DEPENDENCYPART_ARC
(7,10),-1.59571 # DEPENDENCYPART_ARC
(7,11),-0.604806 # DEPENDENCYPART_ARC
(7,12),-0.905757 # DEPENDENCYPART_ARC
(7,13),-1.76214 # DEPENDENCYPART_ARC
(7,14),-2.08717 # DEPENDENCYPART_ARC
(7,15),-2.3353 # DEPENDENCYPART_ARC
(7,16),-1.97248 # DEPENDENCYPART_ARC
(7,17),-3.0752 # DEPENDENCYPART_ARC
(7,18),-2.23947 # DEPENDENCYPART_ARC
(8,5),-1.09303 # DEPENDENCYPART_ARC
(8,7),-0.786393 # DEPENDENCYPART_ARC
(8,9),2.08098 # DEPENDENCYPART_ARC
(8,10),-0.643651 # DEPENDENCYPART_ARC
(8,11),-1.35133 # DEPENDENCYPART_ARC
(8,12),-2.13757 # DEPENDENCYPART_ARC
(8,17),-3.70318 # DEPENDENCYPART_ARC
(9,1),-2.36728 # DEPENDENCYPART_ARC
(9,2),-3.69506 # DEPENDENCYPART_ARC
(9,4),-3.33349 # DEPENDENCYPART_ARC
(9,5),-3.35136 # DEPENDENCYPART_ARC
(9,6),-3.09687 # DEPENDENCYPART_ARC
(9,7),-0.606603 # DEPENDENCYPART_ARC
(9,8),-1.21611 # DEPENDENCYPART_ARC
(9,10),-0.478374 # DEPENDENCYPART_ARC
(9,11),-1.43348 # DEPENDENCYPART_ARC
