# _root_ Havel se vyslovil pro to , co si myslí většina na obou stranách : Měli bychom hledět do budoucnosti , aniž by se zapomnělo poučení minulosti .
#goldHeads=3,3,0,3,14,9,9,9,5,9,10,13,11,4,14,15,15,17,18,21,17,24,24,21,24,25,0,
#predictedHeads=3,3,0,3,4,9,9,9,5,9,10,13,11,0,14,15,15,17,18,21,17,24,24,21,24,25,0,
(0,1),-1.0271 # DEPENDENCYPART_ARC
(0,3),-0.445346 # DEPENDENCYPART_ARC
(0,4),-1.27682 # DEPENDENCYPART_ARC
(0,5),-2.32309 # DEPENDENCYPART_ARC
(0,6),-1.04451 # DEPENDENCYPART_ARC
(0,7),-2.0765 # DEPENDENCYPART_ARC
(0,9),-0.908785 # DEPENDENCYPART_ARC
(0,14),-0.671308 # DEPENDENCYPART_ARC
(0,15),-0.0656927 # DEPENDENCYPART_ARC
(0,17),-2.77159 # DEPENDENCYPART_ARC
(0,20),-1.1543 # DEPENDENCYPART_ARC
(0,24),-2.30696 # DEPENDENCYPART_ARC
(0,27),2.19836 # DEPENDENCYPART_ARC
(1,2),-1.35221 # DEPENDENCYPART_ARC
(1,3),-1.55536 # DEPENDENCYPART_ARC
(1,4),-2.427 # DEPENDENCYPART_ARC
(1,5),-2.51301 # DEPENDENCYPART_ARC
(1,9),-2.27599 # DEPENDENCYPART_ARC
(3,1),0.889705 # DEPENDENCYPART_ARC
(3,2),1.93135 # DEPENDENCYPART_ARC
(3,4),1.37364 # DEPENDENCYPART_ARC
(3,5),-0.116009 # DEPENDENCYPART_ARC
(3,6),-0.393826 # DEPENDENCYPART_ARC
(3,7),-1.63829 # DEPENDENCYPART_ARC
(3,9),-1.10046 # DEPENDENCYPART_ARC
(3,10),-1.11007 # DEPENDENCYPART_ARC
(3,11),-0.698082 # DEPENDENCYPART_ARC
(3,12),-2.94854 # DEPENDENCYPART_ARC
(3,13),-2.42681 # DEPENDENCYPART_ARC
(3,14),-0.317956 # DEPENDENCYPART_ARC
(3,17),-0.923894 # DEPENDENCYPART_ARC
(3,18),-1.56807 # DEPENDENCYPART_ARC
(3,20),-1.22257 # DEPENDENCYPART_ARC
(3,21),-1.6012 # DEPENDENCYPART_ARC
(4,1),-3.63688 # DEPENDENCYPART_ARC
(4,5),2.63805 # DEPENDENCYPART_ARC
(4,6),-0.340758 # DEPENDENCYPART_ARC
(5,1),-1.80281 # DEPENDENCYPART_ARC
(5,3),-0.636708 # DEPENDENCYPART_ARC
(5,6),-0.736333 # DEPENDENCYPART_ARC
(5,7),-1.0387 # DEPENDENCYPART_ARC
(5,9),-0.694736 # DEPENDENCYPART_ARC
(5,10),-2.19352 # DEPENDENCYPART_ARC
(5,11),-1.5568 # DEPENDENCYPART_ARC
(5,15),-1.71319 # DEPENDENCYPART_ARC
(5,20),-0.134919 # DEPENDENCYPART_ARC
(6,1),-1.69755 # DEPENDENCYPART_ARC
(6,2),-1.67966 # DEPENDENCYPART_ARC
(6,3),-0.648104 # DEPENDENCYPART_ARC
(6,4),-1.24939 # DEPENDENCYPART_ARC
(6,5),-0.968886 # DEPENDENCYPART_ARC
(6,7),-1.30365 # DEPENDENCYPART_ARC
(6,9),-1.0841 # DEPENDENCYPART_ARC
(6,11),-1.67003 # DEPENDENCYPART_ARC
(6,14),-0.871786 # DEPENDENCYPART_ARC
(6,15),-2.30044 # DEPENDENCYPART_ARC
(6,17),-3.03983 # DEPENDENCYPART_ARC
(6,24),-4.1831 # DEPENDENCYPART_ARC
(7,6),-0.970245 # DEPENDENCYPART_ARC
(7,10),-1.50952 # DEPENDENCYPART_ARC
(7,11),-1.10903 # DEPENDENCYPART_ARC
(7,13),-1.83464 # DEPENDENCYPART_ARC
(9,1),-0.499505 # DEPENDENCYPART_ARC
(9,2),-1.56107 # DEPENDENCYPART_ARC
(9,3),-1.61152 # DEPENDENCYPART_ARC
(9,4),-0.868277 # DEPENDENCYPART_ARC
(9,5),-1.71166 # DEPENDENCYPART_ARC
(9,6),0.81922 # DEPENDENCYPART_ARC
(9,7),0.32446 # DEPENDENCYPART_ARC
(9,8),1.47399 # DEPENDENCYPART_ARC
(9,10),2.12118 # DEPENDENCYPART_ARC
(9,11),0.432101 # DEPENDENCYPART_ARC
(9,12),-2.45145 # DEPENDENCYPART_ARC
(9,13),-0.978997 # DEPENDENCYPART_ARC
(9,14),0.00709074 # DEPENDENCYPART_ARC
(9,15),-2.59355 # DEPENDENCYPART_ARC
(9,17),-0.785452 # DEPENDENCYPART_ARC
(9,18),-1.23875 # DEPENDENCYPART_ARC
(9,20),-1.00462 # DEPENDENCYPART_ARC
(9,21),-0.990488 # DEPENDENCYPART_ARC
(9,24),-4.55854 # DEPENDENCYPART_ARC
(10,8),-3.2755 # DEPENDENCYPART_ARC
(10,11),0.841955 # DEPENDENCYPART_ARC
(10,12),-1.54126 # DEPENDENCYPART_ARC
(10,13),-2.4246 # DEPENDENCYPART_ARC
(10,14),-1.10362 # DEPENDENCYPART_ARC
(10,15),-2.16378 # DEPENDENCYPART_ARC
(10,17),-1.99708 # DEPENDENCYPART_ARC
(10,21),-1.7093 # DEPENDENCYPART_ARC
(11,10),-2.82777 # DEPENDENCYPART_ARC
(11,12),0.538382 # DEPENDENCYPART_ARC
(11,13),2.10877 # DEPENDENCYPART_ARC
(11,14),-1.30062 # DEPENDENCYPART_ARC
(12,13),-0.769794 # DEPENDENCYPART_ARC
