# _root_ Pro tento školní rok není změněno nic , uvažuje se však o systému školného a půjček u vysokoškoláků , zazněly úvahy o podílu na placení středního odborného školství .
#goldHeads=5,4,4,1,11,5,5,11,19,9,0,9,12,15,13,15,15,17,11,19,20,21,22,23,24,28,28,25,0,
#predictedHeads=5,4,4,1,11,5,5,11,11,9,0,9,12,15,13,15,16,17,9,11,20,21,22,23,24,28,28,25,0,
(0,1),-0.774911 # DEPENDENCYPART_ARC
(0,2),-1.87473 # DEPENDENCYPART_ARC
(0,4),-1.35257 # DEPENDENCYPART_ARC
(0,5),-0.412142 # DEPENDENCYPART_ARC
(0,6),-0.848974 # DEPENDENCYPART_ARC
(0,7),-1.77445 # DEPENDENCYPART_ARC
(0,8),-1.02734 # DEPENDENCYPART_ARC
(0,9),0.11356 # DEPENDENCYPART_ARC
(0,11),0.369996 # DEPENDENCYPART_ARC
(0,15),-1.10459 # DEPENDENCYPART_ARC
(0,19),-1.31405 # DEPENDENCYPART_ARC
(0,20),-0.214784 # DEPENDENCYPART_ARC
(0,29),2.43617 # DEPENDENCYPART_ARC
(1,2),1.13651 # DEPENDENCYPART_ARC
(1,3),-0.798455 # DEPENDENCYPART_ARC
(1,4),0.957724 # DEPENDENCYPART_ARC
(2,3),-0.539037 # DEPENDENCYPART_ARC
(2,4),-1.70276 # DEPENDENCYPART_ARC
(2,5),-2.36819 # DEPENDENCYPART_ARC
(2,6),-1.06028 # DEPENDENCYPART_ARC
(2,8),-1.12363 # DEPENDENCYPART_ARC
(2,9),-2.56624 # DEPENDENCYPART_ARC
(2,15),-1.25268 # DEPENDENCYPART_ARC
(3,1),-0.451595 # DEPENDENCYPART_ARC
(3,2),-0.651173 # DEPENDENCYPART_ARC
(4,1),-0.882209 # DEPENDENCYPART_ARC
(4,2),2.66626 # DEPENDENCYPART_ARC
(4,3),2.9201 # DEPENDENCYPART_ARC
(4,5),-1.94756 # DEPENDENCYPART_ARC
(4,6),-1.80066 # DEPENDENCYPART_ARC
(5,1),0.106407 # DEPENDENCYPART_ARC
(5,2),-1.43154 # DEPENDENCYPART_ARC
(5,3),-2.0534 # DEPENDENCYPART_ARC
(5,4),-0.0742915 # DEPENDENCYPART_ARC
(5,6),2.59118 # DEPENDENCYPART_ARC
(5,7),0.47537 # DEPENDENCYPART_ARC
(5,8),-0.285317 # DEPENDENCYPART_ARC
(5,9),-2.14842 # DEPENDENCYPART_ARC
(5,11),-1.35487 # DEPENDENCYPART_ARC
(5,12),-1.90861 # DEPENDENCYPART_ARC
(5,14),-3.28365 # DEPENDENCYPART_ARC
(5,15),-1.23995 # DEPENDENCYPART_ARC
(5,19),-1.01523 # DEPENDENCYPART_ARC
(6,1),0.874041 # DEPENDENCYPART_ARC
(6,2),-1.5145 # DEPENDENCYPART_ARC
(6,3),-3.64934 # DEPENDENCYPART_ARC
(6,4),-1.27213 # DEPENDENCYPART_ARC
(6,5),0.849192 # DEPENDENCYPART_ARC
(6,8),-0.579777 # DEPENDENCYPART_ARC
(6,9),-2.2677 # DEPENDENCYPART_ARC
(6,11),-1.26845 # DEPENDENCYPART_ARC
(6,12),-1.70407 # DEPENDENCYPART_ARC
(6,13),-3.06777 # DEPENDENCYPART_ARC
(6,14),-2.96367 # DEPENDENCYPART_ARC
(6,15),-1.09334 # DEPENDENCYPART_ARC
(6,17),-1.77499 # DEPENDENCYPART_ARC
(6,19),-1.14539 # DEPENDENCYPART_ARC
(7,8),-0.556543 # DEPENDENCYPART_ARC
(7,9),-1.0701 # DEPENDENCYPART_ARC
(7,11),-0.63586 # DEPENDENCYPART_ARC
(7,20),-1.66334 # DEPENDENCYPART_ARC
(8,1),-1.20292 # DEPENDENCYPART_ARC
(8,2),-1.2657 # DEPENDENCYPART_ARC
(8,3),-1.89436 # DEPENDENCYPART_ARC
(8,4),-1.09015 # DEPENDENCYPART_ARC
(8,5),-0.243591 # DEPENDENCYPART_ARC
(8,6),-0.399586 # DEPENDENCYPART_ARC
(8,7),-0.537438 # DEPENDENCYPART_ARC
(8,9),-0.552726 # DEPENDENCYPART_ARC
(8,12),-1.56579 # DEPENDENCYPART_ARC
(9,1),-0.557674 # DEPENDENCYPART_ARC
(9,2),-2.90068 # DEPENDENCYPART_ARC
(9,3),-2.87523 # DEPENDENCYPART_ARC
(9,4),-1.73166 # DEPENDENCYPART_ARC
(9,5),-1.98889 # DEPENDENCYPART_ARC
(9,6),-0.098745 # DEPENDENCYPART_ARC
(9,7),0.251894 # DEPENDENCYPART_ARC
(9,8),-0.0507651 # DEPENDENCYPART_ARC
(9,10),1.63078 # DEPENDENCYPART_ARC
(9,11),-0.205905 # DEPENDENCYPART_ARC
(9,12),0.0865364 # DEPENDENCYPART_ARC
(9,13),-1.07786 # DEPENDENCYPART_ARC
(9,14),-1.59782 # DEPENDENCYPART_ARC
(9,15),-0.261718 # DEPENDENCYPART_ARC
(9,16),-2.6264 # DEPENDENCYPART_ARC
(9,17),-0.359691 # DEPENDENCYPART_ARC
(9,18),-3.30953 # DEPENDENCYPART_ARC
(9,19),-0.277314 # DEPENDENCYPART_ARC
(9,20),-2.94166 # DEPENDENCYPART_ARC
(9,21),-1.74705 # DEPENDENCYPART_ARC
(9,22),-1.20987 # DEPENDENCYPART_ARC
(9,23),-2.7796 # DEPENDENCYPART_ARC
(9,24),-0.966468 # DEPENDENCYPART_ARC
(9,25),-3.22126 # DEPENDENCYPART_ARC
(9,26),-3.44298 # DEPENDENCYPART_ARC
(9,28),-3.18482 # DEPENDENCYPART_ARC
(11,1),-1.84487 # DEPENDENCYPART_ARC
(11,2),-2.69181 # DEPENDENCYPART_ARC
(11,4),-2.5598 # DEPENDENCYPART_ARC
(11,5),-0.96591 # DEPENDENCYPART_ARC
(11,6),-0.878685 # DEPENDENCYPART_ARC
(11,7),-2.17898 # DEPENDENCYPART_ARC
(11,8),-0.0169546 # DEPENDENCYPART_ARC
(11,9),-0.255406 # DEPENDENCYPART_ARC
(11,10),-1.19371 # DEPENDENCYPART_ARC
(11,12),-0.82658 # DEPENDENCYPART_ARC
(11,13),-1.97177 # DEPENDENCYPART_ARC
(11,14),-2.44148 # DEPENDENCYPART_ARC
(11,15),-0.83584 # DEPENDENCYPART_ARC
(11,16),-3.0126 # DEPENDENCYPART_ARC
(11,17),-2.12961 # DEPENDENCYPART_ARC
(11,19),-0.624973 # DEPENDENCYPART_ARC
(11,20),-1.06802 # DEPENDENCYPART_ARC
(12,8),-1.12251 # DEPENDENCYPART_ARC
(12,11),-1.41713 # DEPENDENCYPART_ARC
(12,13),2.1086 # DEPENDENCYPART_ARC
(12,14),-2.36746 # DEPENDENCYPART_ARC
(12,15),-0.340461 # DEPENDENCYPART_ARC
(12,16),-3.87777 # DEPENDENCYPART_ARC
(12,19),-1.48167 # DEPENDENCYPART_ARC
(13,10),-4.12404 # DEPENDENCYPART_ARC
(13,11),-0.632906 # DEPENDENCYPART_ARC
(13,12),-0.218984 # DEPENDENCYPART_ARC
(13,14),1.99601 # DEPENDENCYPART_ARC
(13,15),0.19599 # DEPENDENCYPART_ARC
(13,16),-0.854581 # DEPENDENCYPART_ARC
(13,17),-0.555996 # DEPENDENCYPART_ARC
(13,18),-1.78662 # DEPENDENCYPART_ARC
(13,19),-0.942847 # DEPENDENCYPART_ARC
(13,20),-2.30975 # DEPENDENCYPART_ARC
(13,22),-1.01331 # DEPENDENCYPART_ARC
(13,24),-1.32043 # DEPENDENCYPART_ARC
(13,26),-2.51999 # DEPENDENCYPART_ARC
(14,10),-4.73895 # DEPENDENCYPART_ARC
(14,12),-1.96351 # DEPENDENCYPART_ARC
(14,13),-3.03016 # DEPENDENCYPART_ARC
(14,16),-0.95524 # DEPENDENCYPART_ARC
(14,17),-1.33323 # DEPENDENCYPART_ARC
(15,1),-1.65681 # DEPENDENCYPART_ARC
(15,2),-1.57511 # DEPENDENCYPART_ARC
(15,3),-2.13803 # DEPENDENCYPART_ARC
(15,4),-1.69318 # DEPENDENCYPART_ARC
(15,5),-1.58496 # DEPENDENCYPART_ARC
(15,6),-0.931342 # DEPENDENCYPART_ARC
(15,8),-0.537611 # DEPENDENCYPART_ARC
(15,9),-0.0980845 # DEPENDENCYPART_ARC
(15,10),-1.06964 # DEPENDENCYPART_ARC
(15,11),-0.685262 # DEPENDENCYPART_ARC
(15,12),-1.15346 # DEPENDENCYPART_ARC
(15,13),-0.344369 # DEPENDENCYPART_ARC
(15,14),1.87984 # DEPENDENCYPART_ARC
(15,16),2.02365 # DEPENDENCYPART_ARC
(15,17),-0.0749154 # DEPENDENCYPART_ARC
(15,18),-0.867673 # DEPENDENCYPART_ARC
(15,19),-0.678198 # DEPENDENCYPART_ARC
(15,20),-0.686821 # DEPENDENCYPART_ARC
(15,21),-2.09202 # DEPENDENCYPART_ARC
(15,22),-1.51849 # DEPENDENCYPART_ARC
(15,23),-2.71933 # DEPENDENCYPART_ARC
(15,24),-1.49467 # DEPENDENCYPART_ARC
(15,25),-3.19057 # DEPENDENCYPART_ARC
(15,28),-3.02845 # DEPENDENCYPART_ARC
(16,17),0.184296 # DEPENDENCYPART_ARC
(16,18),-0.982496 # DEPENDENCYPART_ARC
(16,20),-1.59606 # DEPENDENCYPART_ARC
(16,22),-0.973444 # DEPENDENCYPART_ARC
(16,24),-1.33908 # DEPENDENCYPART_ARC
(16,26),-3.21437 # DEPENDENCYPART_ARC
(17,13),-1.90295 # DEPENDENCYPART_ARC
(17,16),-2.80783 # DEPENDENCYPART_ARC
(17,18),1.91583 # DEPENDENCYPART_ARC
(17,19),-0.830004 # DEPENDENCYPART_ARC
(17,20),-2.26981 # DEPENDENCYPART_ARC
(17,21),-3.25931 # DEPENDENCYPART_ARC
(18,13),-5.36679 # DEPENDENCYPART_ARC
(18,14),-4.02262 # DEPENDENCYPART_ARC
(18,16),-3.5847 # DEPENDENCYPART_ARC
(18,17),-1.09584 # DEPENDENCYPART_ARC
(18,20),-1.77804 # DEPENDENCYPART_ARC
(18,21),-3.39838 # DEPENDENCYPART_ARC
(19,5),-0.887271 # DEPENDENCYPART_ARC
(19,6),-0.886057 # DEPENDENCYPART_ARC
(19,8),-0.96984 # DEPENDENCYPART_ARC
(19,9),-0.398416 # DEPENDENCYPART_ARC
(19,11),-1.1108 # DEPENDENCYPART_ARC
(19,12),-1.21165 # DEPENDENCYPART_ARC
(19,13),-1.15562 # DEPENDENCYPART_ARC
(19,14),-1.43317 # DEPENDENCYPART_ARC
(19,15),-0.881273 # DEPENDENCYPART_ARC
(19,16),-1.05428 # DEPENDENCYPART_ARC
(19,17),-1.2227 # DEPENDENCYPART_ARC
(19,18),-1.37461 # DEPENDENCYPART_ARC
(19,20),-0.823556 # DEPENDENCYPART_ARC
(19,21),-1.59499 # DEPENDENCYPART_ARC
(19,23),-2.49287 # DEPENDENCYPART_ARC
(20,1),-1.13164 # DEPENDENCYPART_ARC
(20,4),-2.40652 # DEPENDENCYPART_ARC
(20,5),-2.72256 # DEPENDENCYPART_ARC
(20,6),-1.26547 # DEPENDENCYPART_ARC
(20,9),-0.974788 # DEPENDENCYPART_ARC
(20,10),-0.512665 # DEPENDENCYPART_ARC
(20,11),-0.683969 # DEPENDENCYPART_ARC
(20,12),-0.387511 # DEPENDENCYPART_ARC
(20,13),-2.02776 # DEPENDENCYPART_ARC
(20,14),-3.75467 # DEPENDENCYPART_ARC
(20,15),-0.953431 # DEPENDENCYPART_ARC
(20,16),-1.48368 # DEPENDENCYPART_ARC
(20,17),-0.381455 # DEPENDENCYPART_ARC
(20,18),-2.69278 # DEPENDENCYPART_ARC
(20,19),-0.495256 # DEPENDENCYPART_ARC
(20,21),1.99221 # DEPENDENCYPART_ARC
(20,22),0.437817 # DEPENDENCYPART_ARC
(20,23),-0.68157 # DEPENDENCYPART_ARC
(20,24),0.0538264 # DEPENDENCYPART_ARC
(20,25),-1.40591 # DEPENDENCYPART_ARC
(20,26),-3.24408 # DEPENDENCYPART_ARC
(20,27),-3.93106 # DEPENDENCYPART_ARC
(20,28),-2.06075 # DEPENDENCYPART_ARC
(21,18),-3.82533 # DEPENDENCYPART_ARC
(21,22),1.17105 # DEPENDENCYPART_ARC
(21,23),-1.51011 # DEPENDENCYPART_ARC
(21,24),-0.111762 # DEPENDENCYPART_ARC
(21,25),-2.57745 # DEPENDENCYPART_ARC
(21,26),-3.38121 # DEPENDENCYPART_ARC
