# _root_ Επίσης , η περιοχή έχει χαρακτηριστεί μόνιμο καταφύγιο άγριων ζώων , ενώ ανάλογης ποικιλότητας και σημασίας είναι και η πανίδα της .
#goldHeads=12,12,4,6,6,12,8,6,10,8,12,0,15,15,17,15,12,20,20,17,20,0,
#predictedHeads=6,6,4,6,6,12,8,6,10,8,12,0,14,15,17,15,12,20,20,17,20,0,
(0,1),-0.480967 # DEPENDENCYPART_ARC
(0,2),-0.401238 # DEPENDENCYPART_ARC
(0,4),-0.71226 # DEPENDENCYPART_ARC
(0,5),0.377011 # DEPENDENCYPART_ARC
(0,6),-0.542235 # DEPENDENCYPART_ARC
(0,11),-0.310529 # DEPENDENCYPART_ARC
(0,12),1.02872 # DEPENDENCYPART_ARC
(0,15),-0.957836 # DEPENDENCYPART_ARC
(0,16),-2.13866 # DEPENDENCYPART_ARC
(0,17),-0.175949 # DEPENDENCYPART_ARC
(0,18),-1.05611 # DEPENDENCYPART_ARC
(0,20),-2.09598 # DEPENDENCYPART_ARC
(0,22),3.49638 # DEPENDENCYPART_ARC
(1,2),0.130783 # DEPENDENCYPART_ARC
(1,4),-0.783528 # DEPENDENCYPART_ARC
(1,5),-0.639456 # DEPENDENCYPART_ARC
(2,1),-0.515131 # DEPENDENCYPART_ARC
(2,4),-0.419892 # DEPENDENCYPART_ARC
(2,5),-0.751198 # DEPENDENCYPART_ARC
(4,1),-0.812802 # DEPENDENCYPART_ARC
(4,2),-0.295166 # DEPENDENCYPART_ARC
(4,3),3.12253 # DEPENDENCYPART_ARC
(4,5),-0.901522 # DEPENDENCYPART_ARC
(4,6),-0.792327 # DEPENDENCYPART_ARC
(4,7),-2.29824 # DEPENDENCYPART_ARC
(5,1),0.247227 # DEPENDENCYPART_ARC
(5,2),0.561408 # DEPENDENCYPART_ARC
(5,3),-1.46094 # DEPENDENCYPART_ARC
(5,4),0.914373 # DEPENDENCYPART_ARC
(5,6),-1.4817 # DEPENDENCYPART_ARC
(5,7),-1.66552 # DEPENDENCYPART_ARC
(5,8),0.138708 # DEPENDENCYPART_ARC
(5,10),-2.25369 # DEPENDENCYPART_ARC
(5,11),-0.594598 # DEPENDENCYPART_ARC
(5,20),-1.44321 # DEPENDENCYPART_ARC
(5,22),-0.697666 # DEPENDENCYPART_ARC
(6,1),1.36865 # DEPENDENCYPART_ARC
(6,2),1.40259 # DEPENDENCYPART_ARC
(6,3),-0.224113 # DEPENDENCYPART_ARC
(6,4),2.52761 # DEPENDENCYPART_ARC
(6,5),3.95893 # DEPENDENCYPART_ARC
(6,7),0.998739 # DEPENDENCYPART_ARC
(6,8),2.74921 # DEPENDENCYPART_ARC
(6,9),-1.51225 # DEPENDENCYPART_ARC
(6,10),0.165091 # DEPENDENCYPART_ARC
(6,11),0.328346 # DEPENDENCYPART_ARC
(6,12),0.451137 # DEPENDENCYPART_ARC
(6,13),-2.66136 # DEPENDENCYPART_ARC
(6,14),-1.58902 # DEPENDENCYPART_ARC
(6,15),0.0891329 # DEPENDENCYPART_ARC
(6,16),-2.15831 # DEPENDENCYPART_ARC
(6,17),-4.46415 # DEPENDENCYPART_ARC
(6,18),-0.728448 # DEPENDENCYPART_ARC
(6,20),-1.45052 # DEPENDENCYPART_ARC
(6,22),-0.402515 # DEPENDENCYPART_ARC
(7,6),-2.00181 # DEPENDENCYPART_ARC
(7,8),0.127089 # DEPENDENCYPART_ARC
(7,9),0.284073 # DEPENDENCYPART_ARC
(7,10),-0.0937647 # DEPENDENCYPART_ARC
(8,3),-0.366766 # DEPENDENCYPART_ARC
(8,4),-1.68487 # DEPENDENCYPART_ARC
(8,5),-2.57679 # DEPENDENCYPART_ARC
(8,6),-0.698578 # DEPENDENCYPART_ARC
(8,7),3.49565 # DEPENDENCYPART_ARC
(8,9),0.47947 # DEPENDENCYPART_ARC
(8,10),1.86054 # DEPENDENCYPART_ARC
(8,11),0.187093 # DEPENDENCYPART_ARC
(8,12),0.0223739 # DEPENDENCYPART_ARC
(8,13),-0.521504 # DEPENDENCYPART_ARC
(8,14),0.225016 # DEPENDENCYPART_ARC
(8,15),0.0165534 # DEPENDENCYPART_ARC
(8,16),-0.539119 # DEPENDENCYPART_ARC
(8,17),-2.63201 # DEPENDENCYPART_ARC
(8,18),-0.810301 # DEPENDENCYPART_ARC
(9,7),-0.882378 # DEPENDENCYPART_ARC
(9,8),-0.000449089 # DEPENDENCYPART_ARC
(9,10),0.636909 # DEPENDENCYPART_ARC
(10,1),-1.05478 # DEPENDENCYPART_ARC
(10,3),-1.94701 # DEPENDENCYPART_ARC
(10,6),-1.30464 # DEPENDENCYPART_ARC
(10,7),-0.935649 # DEPENDENCYPART_ARC
(10,8),-0.935617 # DEPENDENCYPART_ARC
(10,9),2.87717 # DEPENDENCYPART_ARC
(10,11),-0.118988 # DEPENDENCYPART_ARC
(10,12),-0.181579 # DEPENDENCYPART_ARC
(10,13),-0.419485 # DEPENDENCYPART_ARC
(10,14),0.455936 # DEPENDENCYPART_ARC
(10,15),-0.560745 # DEPENDENCYPART_ARC
(11,2),-0.543488 # DEPENDENCYPART_ARC
(11,8),-0.185554 # DEPENDENCYPART_ARC
(11,9),-0.331379 # DEPENDENCYPART_ARC
(11,10),-0.234177 # DEPENDENCYPART_ARC
(11,12),-0.035153 # DEPENDENCYPART_ARC
(11,13),-0.315004 # DEPENDENCYPART_ARC
(11,14),-0.0582766 # DEPENDENCYPART_ARC
(11,16),-0.646171 # DEPENDENCYPART_ARC
(12,1),0.0672527 # DEPENDENCYPART_ARC
(12,2),-0.230738 # DEPENDENCYPART_ARC
(12,4),-0.163865 # DEPENDENCYPART_ARC
(12,5),1.30179 # DEPENDENCYPART_ARC
(12,6),1.38644 # DEPENDENCYPART_ARC
(12,7),0.411065 # DEPENDENCYPART_ARC
(12,8),0.391544 # DEPENDENCYPART_ARC
(12,9),0.713068 # DEPENDENCYPART_ARC
(12,10),0.303075 # DEPENDENCYPART_ARC
(12,11),1.66115 # DEPENDENCYPART_ARC
(12,13),1.65589 # DEPENDENCYPART_ARC
(12,14),0.385737 # DEPENDENCYPART_ARC
(12,15),-0.0320563 # DEPENDENCYPART_ARC
(12,16),-0.275044 # DEPENDENCYPART_ARC
(12,17),1.65889 # DEPENDENCYPART_ARC
(12,18),-0.335265 # DEPENDENCYPART_ARC
(12,20),-1.99697 # DEPENDENCYPART_ARC
(12,22),0.181504 # DEPENDENCYPART_ARC
(13,11),-0.564646 # DEPENDENCYPART_ARC
(13,12),0.103449 # DEPENDENCYPART_ARC
(13,14),0.503083 # DEPENDENCYPART_ARC
(13,15),-0.231448 # DEPENDENCYPART_ARC
(13,16),-0.70504 # DEPENDENCYPART_ARC
(13,17),-2.09096 # DEPENDENCYPART_ARC
(13,20),-3.26262 # DEPENDENCYPART_ARC
(14,9),-1.32647 # DEPENDENCYPART_ARC
(14,12),0.73956 # DEPENDENCYPART_ARC
(14,13),1.82782 # DEPENDENCYPART_ARC
(14,15),-0.229166 # DEPENDENCYPART_ARC
(14,16),0.819244 # DEPENDENCYPART_ARC
(14,17),-2.18113 # DEPENDENCYPART_ARC
(14,18),-1.35891 # DEPENDENCYPART_ARC
(15,1),-0.598805 # DEPENDENCYPART_ARC
(15,2),-0.262866 # DEPENDENCYPART_ARC
(15,4),0.383196 # DEPENDENCYPART_ARC
(15,5),0.231677 # DEPENDENCYPART_ARC
(15,6),0.220135 # DEPENDENCYPART_ARC
(15,7),-0.0158833 # DEPENDENCYPART_ARC
(15,8),0.862029 # DEPENDENCYPART_ARC
(15,9),0.146245 # DEPENDENCYPART_ARC
(15,10),1.3163 # DEPENDENCYPART_ARC
(15,11),0.619054 # DEPENDENCYPART_ARC
(15,12),0.439513 # DEPENDENCYPART_ARC
(15,13),0.815637 # DEPENDENCYPART_ARC
(15,14),2.97543 # DEPENDENCYPART_ARC
