# _root_ Το πιο διάσημο τέκνο της Λέσβου , η Σαπφώ , θεωρήθηκε από πολλούς η πρώτη φεμινίστρια και μιά από τις καλύτερες λυρικές ποιήτριες των εποχών .
#goldHeads=4,3,4,7,6,4,11,9,7,7,0,11,12,16,16,17,11,17,18,23,23,23,19,25,23,0,
#predictedHeads=4,3,4,11,6,4,11,9,11,11,0,11,12,16,16,17,11,17,18,23,23,23,19,25,23,0,
(0,2),-1.00615 # DEPENDENCYPART_ARC
(0,3),-0.921527 # DEPENDENCYPART_ARC
(0,4),-1.13985 # DEPENDENCYPART_ARC
(0,6),-1.50698 # DEPENDENCYPART_ARC
(0,7),-0.30768 # DEPENDENCYPART_ARC
(0,9),-1.30846 # DEPENDENCYPART_ARC
(0,10),-0.202962 # DEPENDENCYPART_ARC
(0,11),1.08757 # DEPENDENCYPART_ARC
(0,12),-1.19095 # DEPENDENCYPART_ARC
(0,13),-1.92115 # DEPENDENCYPART_ARC
(0,17),-1.2066 # DEPENDENCYPART_ARC
(0,19),-0.764029 # DEPENDENCYPART_ARC
(0,23),-2.02293 # DEPENDENCYPART_ARC
(0,26),3.65417 # DEPENDENCYPART_ARC
(1,2),0.285635 # DEPENDENCYPART_ARC
(2,1),0.489723 # DEPENDENCYPART_ARC
(2,3),0.253462 # DEPENDENCYPART_ARC
(2,4),0.227904 # DEPENDENCYPART_ARC
(2,7),-0.657662 # DEPENDENCYPART_ARC
(2,10),-0.762377 # DEPENDENCYPART_ARC
(2,11),-1.40747 # DEPENDENCYPART_ARC
(2,12),-1.37462 # DEPENDENCYPART_ARC
(3,1),0.810969 # DEPENDENCYPART_ARC
(3,2),1.93948 # DEPENDENCYPART_ARC
(3,4),-0.411887 # DEPENDENCYPART_ARC
(3,6),-0.11845 # DEPENDENCYPART_ARC
(3,7),-0.554673 # DEPENDENCYPART_ARC
(3,10),-0.531753 # DEPENDENCYPART_ARC
(3,12),-1.30053 # DEPENDENCYPART_ARC
(4,1),2.75779 # DEPENDENCYPART_ARC
(4,2),0.92125 # DEPENDENCYPART_ARC
(4,3),3.18015 # DEPENDENCYPART_ARC
(4,5),-0.325997 # DEPENDENCYPART_ARC
(4,6),2.52778 # DEPENDENCYPART_ARC
(4,7),0.129929 # DEPENDENCYPART_ARC
(4,9),-0.0442829 # DEPENDENCYPART_ARC
(4,10),-0.140096 # DEPENDENCYPART_ARC
(4,11),-1.06078 # DEPENDENCYPART_ARC
(4,12),-1.34229 # DEPENDENCYPART_ARC
(4,17),-0.41894 # DEPENDENCYPART_ARC
(4,19),-1.26677 # DEPENDENCYPART_ARC
(6,2),-0.610106 # DEPENDENCYPART_ARC
(6,4),-1.12993 # DEPENDENCYPART_ARC
(6,5),3.10422 # DEPENDENCYPART_ARC
(6,7),-0.749762 # DEPENDENCYPART_ARC
(6,11),-2.11925 # DEPENDENCYPART_ARC
(6,13),-3.21416 # DEPENDENCYPART_ARC
(7,2),-0.389976 # DEPENDENCYPART_ARC
(7,3),-0.351104 # DEPENDENCYPART_ARC
(7,4),0.214703 # DEPENDENCYPART_ARC
(7,6),0.458014 # DEPENDENCYPART_ARC
(7,9),0.345005 # DEPENDENCYPART_ARC
(7,10),0.454692 # DEPENDENCYPART_ARC
(7,11),-0.766036 # DEPENDENCYPART_ARC
(7,12),-0.712287 # DEPENDENCYPART_ARC
(7,13),-1.12739 # DEPENDENCYPART_ARC
(7,17),-0.00512064 # DEPENDENCYPART_ARC
(7,21),-1.33309 # DEPENDENCYPART_ARC
(7,22),-1.15502 # DEPENDENCYPART_ARC
(9,5),-0.00500884 # DEPENDENCYPART_ARC
(9,7),-0.419264 # DEPENDENCYPART_ARC
(9,8),2.9166 # DEPENDENCYPART_ARC
(9,10),-0.35193 # DEPENDENCYPART_ARC
(9,11),-0.94528 # DEPENDENCYPART_ARC
(9,13),-2.78897 # DEPENDENCYPART_ARC
(10,2),-0.330228 # DEPENDENCYPART_ARC
(10,3),-0.394431 # DEPENDENCYPART_ARC
(10,4),-0.420864 # DEPENDENCYPART_ARC
(10,6),-0.593445 # DEPENDENCYPART_ARC
(10,7),-0.0407974 # DEPENDENCYPART_ARC
(10,9),-0.319813 # DEPENDENCYPART_ARC
(10,11),-0.606199 # DEPENDENCYPART_ARC
(10,12),-0.982455 # DEPENDENCYPART_ARC
(10,13),-1.12832 # DEPENDENCYPART_ARC
(10,21),-1.66651 # DEPENDENCYPART_ARC
(11,2),0.186337 # DEPENDENCYPART_ARC
(11,3),-1.17567 # DEPENDENCYPART_ARC
(11,4),0.742016 # DEPENDENCYPART_ARC
(11,6),-1.56707 # DEPENDENCYPART_ARC
(11,7),1.10048 # DEPENDENCYPART_ARC
(11,8),-1.30023 # DEPENDENCYPART_ARC
(11,9),2.03563 # DEPENDENCYPART_ARC
(11,10),1.20556 # DEPENDENCYPART_ARC
(11,12),1.94861 # DEPENDENCYPART_ARC
(11,13),0.375964 # DEPENDENCYPART_ARC
(11,15),-1.39158 # DEPENDENCYPART_ARC
(11,16),0.979938 # DEPENDENCYPART_ARC
(11,17),0.544088 # DEPENDENCYPART_ARC
(11,18),-1.01936 # DEPENDENCYPART_ARC
(11,19),0.418561 # DEPENDENCYPART_ARC
(11,23),-2.11479 # DEPENDENCYPART_ARC
(11,25),-3.2942 # DEPENDENCYPART_ARC
(11,26),0.822424 # DEPENDENCYPART_ARC
(12,10),-0.348813 # DEPENDENCYPART_ARC
(12,13),1.13876 # DEPENDENCYPART_ARC
(12,16),0.919682 # DEPENDENCYPART_ARC
(12,17),0.208052 # DEPENDENCYPART_ARC
(12,18),-0.438826 # DEPENDENCYPART_ARC
(13,4),-2.06232 # DEPENDENCYPART_ARC
(13,10),-1.2197 # DEPENDENCYPART_ARC
(13,12),-0.463226 # DEPENDENCYPART_ARC
(13,14),-0.396731 # DEPENDENCYPART_ARC
(13,16),0.152841 # DEPENDENCYPART_ARC
(13,17),0.0692492 # DEPENDENCYPART_ARC
(13,18),-0.853377 # DEPENDENCYPART_ARC
(13,19),-0.156092 # DEPENDENCYPART_ARC
(15,14),1.16774 # DEPENDENCYPART_ARC
(15,16),0.884443 # DEPENDENCYPART_ARC
(15,18),-0.00858794 # DEPENDENCYPART_ARC
(16,7),-1.25971 # DEPENDENCYPART_ARC
(16,8),-0.379281 # DEPENDENCYPART_ARC
(16,11),-2.12475 # DEPENDENCYPART_ARC
(16,12),-0.770784 # DEPENDENCYPART_ARC
(16,13),-1.20223 # DEPENDENCYPART_ARC
(16,14),2.84277 # DEPENDENCYPART_ARC
(16,15),2.71482 # DEPENDENCYPART_ARC
(16,17),0.170735 # DEPENDENCYPART_ARC
(16,18),-0.516317 # DEPENDENCYPART_ARC
(16,19),-0.519003 # DEPENDENCYPART_ARC
(16,21),-1.72721 # DEPENDENCYPART_ARC
(16,22),-2.23436 # DEPENDENCYPART_ARC
(16,23),-2.41438 # DEPENDENCYPART_ARC
(16,25),-1.5057 # DEPENDENCYPART_ARC
(17,2),-0.205444 # DEPENDENCYPART_ARC
(17,3),-0.679656 # DEPENDENCYPART_ARC
(17,4),0.198324 # DEPENDENCYPART_ARC
(17,6),0.515826 # DEPENDENCYPART_ARC
(17,7),0.283622 # DEPENDENCYPART_ARC
(17,9),0.438572 # DEPENDENCYPART_ARC
(17,10),0.177238 # DEPENDENCYPART_ARC
(17,11),0.901223 # DEPENDENCYPART_ARC
(17,12),0.14968 # DEPENDENCYPART_ARC
(17,13),0.39657 # DEPENDENCYPART_ARC
(17,14),0.545946 # DEPENDENCYPART_ARC
(17,15),0.73321 # DEPENDENCYPART_ARC
(17,16),2.70709 # DEPENDENCYPART_ARC
(17,18),2.6232 # DEPENDENCYPART_ARC
(17,19),0.123332 # DEPENDENCYPART_ARC
(17,21),-0.248392 # DEPENDENCYPART_ARC
(17,22),-0.320314 # DEPENDENCYPART_ARC
(17,23),-0.163069 # DEPENDENCYPART_ARC
(17,25),-0.567532 # DEPENDENCYPART_ARC
(17,26),-0.13822 # DEPENDENCYPART_ARC
(18,8),-3.44271 # DEPENDENCYPART_ARC
(18,13),-0.144063 # DEPENDENCYPART_ARC
(18,14),-1.1681 # DEPENDENCYPART_ARC
(18,15),-1.79921 # DEPENDENCYPART_ARC
(18,16),-1.71284 # DEPENDENCYPART_ARC
(18,17),-0.0359386 # DEPENDENCYPART_ARC
(18,19),0.658541 # DEPENDENCYPART_ARC
(18,20),-0.855717 # DEPENDENCYPART_ARC
(18,21),0.550204 # DEPENDENCYPART_ARC
(18,22),-0.122984 # DEPENDENCYPART_ARC
(18,23),-1.72107 # DEPENDENCYPART_ARC
(18,25),-1.18606 # DEPENDENCYPART_ARC
(19,16),-1.28987 # DEPENDENCYPART_ARC
(19,17),-0.330069 # DEPENDENCYPART_ARC
(19,18),-0.984205 # DEPENDENCYPART_ARC
(19,20),0.151162 # DEPENDENCYPART_ARC
(19,21),1.03603 # DEPENDENCYPART_ARC
(19,22),0.879134 # DEPENDENCYPART_ARC
(19,23),1.49792 # DEPENDENCYPART_ARC
(19,25),-0.0597518 # DEPENDENCYPART_ARC
(21,16),-1.88999 # DEPENDENCYPART_ARC
(21,18),-1.258 # DEPENDENCYPART_ARC
(21,19),-0.255838 # DEPENDENCYPART_ARC
(21,20),0.738112 # DEPENDENCYPART_ARC
(21,22),-0.588948 # DEPENDENCYPART_ARC
(21,23),-0.258944 # DEPENDENCYPART_ARC
(21,25),-0.689266 # DEPENDENCYPART_ARC
(22,16),-1.53645 # DEPENDENCYPART_ARC
(22,18),-0.794347 # DEPENDENCYPART_ARC
(22,19),-0.158353 # DEPENDENCYPART_ARC
(22,20),0.907744 # DEPENDENCYPART_ARC
(22,21),1.32428 # DEPENDENCYPART_ARC
(22,23),0.08196 # DEPENDENCYPART_ARC
(22,25),-0.417816 # DEPENDENCYPART_ARC
(23,14),-0.754021 # DEPENDENCYPART_ARC
(23,16),-1.85736 # DEPENDENCYPART_ARC
(23,17),-0.286196 # DEPENDENCYPART_ARC
(23,18),-0.572776 # DEPENDENCYPART_ARC
(23,19),-0.201687 # DEPENDENCYPART_ARC
(23,20),3.40636 # DEPENDENCYPART_ARC
(23,21),3.549 # DEPENDENCYPART_ARC
(23,22),3.47921 # DEPENDENCYPART_ARC
