# _root_ Η Ρόδος , επίσης μαζί με τα υπόλοιπα Δωδεκάνησα , ενώθηκε με την Ελλάδα το 1948 .
#goldHeads=2,11,11,5,11,5,9,9,6,11,0,11,14,12,16,11,0,
#predictedHeads=2,11,11,5,11,5,9,9,6,11,0,11,14,12,16,11,0,
(0,2),-0.723722 # DEPENDENCYPART_ARC
(0,3),-0.233084 # DEPENDENCYPART_ARC
(0,4),-1.16803 # DEPENDENCYPART_ARC
(0,5),-1.41116 # DEPENDENCYPART_ARC
(0,6),-1.35178 # DEPENDENCYPART_ARC
(0,8),-1.38862 # DEPENDENCYPART_ARC
(0,9),-1.2186 # DEPENDENCYPART_ARC
(0,10),-0.501188 # DEPENDENCYPART_ARC
(0,11),0.766453 # DEPENDENCYPART_ARC
(0,12),-2.10008 # DEPENDENCYPART_ARC
(0,16),-1.6486 # DEPENDENCYPART_ARC
(0,17),2.38297 # DEPENDENCYPART_ARC
(2,1),3.13361 # DEPENDENCYPART_ARC
(2,3),-0.328162 # DEPENDENCYPART_ARC
(2,4),-0.704 # DEPENDENCYPART_ARC
(2,8),-2.49239 # DEPENDENCYPART_ARC
(3,2),-0.0472179 # DEPENDENCYPART_ARC
(3,4),0.25583 # DEPENDENCYPART_ARC
(3,5),0.00155749 # DEPENDENCYPART_ARC
(3,6),0.220356 # DEPENDENCYPART_ARC
(3,8),-0.207571 # DEPENDENCYPART_ARC
(3,9),0.00721049 # DEPENDENCYPART_ARC
(3,10),0.676086 # DEPENDENCYPART_ARC
(3,11),-0.449126 # DEPENDENCYPART_ARC
(3,12),-0.300891 # DEPENDENCYPART_ARC
(3,14),-0.717576 # DEPENDENCYPART_ARC
(3,17),-0.242368 # DEPENDENCYPART_ARC
(4,1),-0.270971 # DEPENDENCYPART_ARC
(4,3),0.617649 # DEPENDENCYPART_ARC
(4,5),0.0699481 # DEPENDENCYPART_ARC
(4,6),0.297573 # DEPENDENCYPART_ARC
(4,10),0.146635 # DEPENDENCYPART_ARC
(4,11),-1.07427 # DEPENDENCYPART_ARC
(4,12),-1.26805 # DEPENDENCYPART_ARC
(4,17),-0.811864 # DEPENDENCYPART_ARC
(5,3),0.0753486 # DEPENDENCYPART_ARC
(5,4),0.781856 # DEPENDENCYPART_ARC
(5,6),1.74272 # DEPENDENCYPART_ARC
(5,8),0.169782 # DEPENDENCYPART_ARC
(5,10),0.404562 # DEPENDENCYPART_ARC
(5,11),-0.751023 # DEPENDENCYPART_ARC
(5,12),-0.379283 # DEPENDENCYPART_ARC
(5,17),-0.367151 # DEPENDENCYPART_ARC
(6,3),0.13854 # DEPENDENCYPART_ARC
(6,4),-0.236872 # DEPENDENCYPART_ARC
(6,5),0.0592274 # DEPENDENCYPART_ARC
(6,7),0.0399559 # DEPENDENCYPART_ARC
(6,8),0.907506 # DEPENDENCYPART_ARC
(6,9),2.19729 # DEPENDENCYPART_ARC
(6,10),0.0360337 # DEPENDENCYPART_ARC
(6,11),-0.780663 # DEPENDENCYPART_ARC
(6,14),-0.721854 # DEPENDENCYPART_ARC
(6,17),-1.05973 # DEPENDENCYPART_ARC
(8,4),-1.03799 # DEPENDENCYPART_ARC
