# _root_ Από τη στιγμή που εγκαταλείφθηκε το Κάστρο το 1829 , με την ίδρυση του Ανεξάρτητου Ελληνικού Κράτους , αφέθηκε στην τύχη του .
#goldHeads=5,3,1,5,19,7,5,9,5,5,5,13,11,17,17,17,13,19,0,19,20,21,0,
#predictedHeads=5,3,1,5,0,7,5,9,5,5,5,13,11,17,17,17,13,19,0,19,20,21,0,
(0,1),-1.32959 # DEPENDENCYPART_ARC
(0,3),-0.511541 # DEPENDENCYPART_ARC
(0,4),-1.18993 # DEPENDENCYPART_ARC
(0,5),0.0836303 # DEPENDENCYPART_ARC
(0,7),-2.12819 # DEPENDENCYPART_ARC
(0,9),-1.45126 # DEPENDENCYPART_ARC
(0,10),-0.551818 # DEPENDENCYPART_ARC
(0,11),-2.06814 # DEPENDENCYPART_ARC
(0,15),-2.14887 # DEPENDENCYPART_ARC
(0,17),-2.30864 # DEPENDENCYPART_ARC
(0,18),-0.929818 # DEPENDENCYPART_ARC
(0,19),0.300876 # DEPENDENCYPART_ARC
(0,23),3.09229 # DEPENDENCYPART_ARC
(1,2),0.185044 # DEPENDENCYPART_ARC
(1,3),2.51043 # DEPENDENCYPART_ARC
(1,4),0.124962 # DEPENDENCYPART_ARC
(1,5),-0.521743 # DEPENDENCYPART_ARC
(1,7),-1.04178 # DEPENDENCYPART_ARC
(1,10),-0.803963 # DEPENDENCYPART_ARC
(2,3),0.392865 # DEPENDENCYPART_ARC
(2,4),-0.0909178 # DEPENDENCYPART_ARC
(3,1),0.0213934 # DEPENDENCYPART_ARC
(3,2),3.12807 # DEPENDENCYPART_ARC
(3,4),0.0806225 # DEPENDENCYPART_ARC
(3,5),0.401652 # DEPENDENCYPART_ARC
(3,7),-1.4802 # DEPENDENCYPART_ARC
(3,9),-0.537705 # DEPENDENCYPART_ARC
(3,11),-1.15414 # DEPENDENCYPART_ARC
(3,13),-2.91229 # DEPENDENCYPART_ARC
(3,19),-2.43624 # DEPENDENCYPART_ARC
(3,20),-1.69659 # DEPENDENCYPART_ARC
(4,1),-0.629884 # DEPENDENCYPART_ARC
(4,2),-0.351973 # DEPENDENCYPART_ARC
(4,3),-0.61074 # DEPENDENCYPART_ARC
(4,5),-0.0297167 # DEPENDENCYPART_ARC
(4,7),-1.4603 # DEPENDENCYPART_ARC
(4,10),-0.976778 # DEPENDENCYPART_ARC
(4,11),-1.39622 # DEPENDENCYPART_ARC
(4,19),-1.81219 # DEPENDENCYPART_ARC
(5,1),0.610557 # DEPENDENCYPART_ARC
(5,2),-1.86007 # DEPENDENCYPART_ARC
(5,3),0.0349984 # DEPENDENCYPART_ARC
(5,4),2.01699 # DEPENDENCYPART_ARC
(5,6),-0.892423 # DEPENDENCYPART_ARC
(5,7),1.2668 # DEPENDENCYPART_ARC
(5,9),0.366741 # DEPENDENCYPART_ARC
(5,10),0.638435 # DEPENDENCYPART_ARC
(5,11),0.631206 # DEPENDENCYPART_ARC
(5,13),-1.57277 # DEPENDENCYPART_ARC
(5,17),-2.07004 # DEPENDENCYPART_ARC
(5,18),0.223119 # DEPENDENCYPART_ARC
(5,19),-4.43495 # DEPENDENCYPART_ARC
(5,20),-1.10718 # DEPENDENCYPART_ARC
(5,23),-0.0955946 # DEPENDENCYPART_ARC
(7,4),-0.711632 # DEPENDENCYPART_ARC
