# _root_ Πιστεύω ότι αξίζει στ' αλήθεια τον κόπο να συνεχίσουμε το πρόγραμμα αυτό και , αν είναι δυνατόν , να αυξήσουμε τους σχετικούς πόρους .
#goldHeads=0,1,13,3,4,7,3,9,3,11,9,11,2,15,13,15,16,13,20,13,23,23,20,0,
#predictedHeads=0,1,2,5,3,7,3,9,13,11,9,11,2,15,9,15,16,15,20,16,23,23,20,0,
(0,1),0.324218 # DEPENDENCYPART_ARC
(0,2),-0.768357 # DEPENDENCYPART_ARC
(0,3),-0.761742 # DEPENDENCYPART_ARC
(0,5),-1.55821 # DEPENDENCYPART_ARC
(0,9),-2.3732 # DEPENDENCYPART_ARC
(0,12),-2.30532 # DEPENDENCYPART_ARC
(0,13),-1.03714 # DEPENDENCYPART_ARC
(0,14),-0.823114 # DEPENDENCYPART_ARC
(0,15),-0.836205 # DEPENDENCYPART_ARC
(0,16),-1.80845 # DEPENDENCYPART_ARC
(0,17),-2.37619 # DEPENDENCYPART_ARC
(0,18),-0.785308 # DEPENDENCYPART_ARC
(0,20),-2.86405 # DEPENDENCYPART_ARC
(0,24),3.87968 # DEPENDENCYPART_ARC
(1,2),1.10594 # DEPENDENCYPART_ARC
(1,3),-0.572102 # DEPENDENCYPART_ARC
(1,4),-3.00906 # DEPENDENCYPART_ARC
(1,5),-0.820204 # DEPENDENCYPART_ARC
(1,7),-1.60018 # DEPENDENCYPART_ARC
(1,9),-1.90287 # DEPENDENCYPART_ARC
(1,14),-0.507784 # DEPENDENCYPART_ARC
(1,15),-0.625082 # DEPENDENCYPART_ARC
(1,18),-0.665319 # DEPENDENCYPART_ARC
(1,24),-0.285009 # DEPENDENCYPART_ARC
(2,3),2.56588 # DEPENDENCYPART_ARC
(2,9),-0.36668 # DEPENDENCYPART_ARC
(2,13),-0.16569 # DEPENDENCYPART_ARC
(2,14),-0.487726 # DEPENDENCYPART_ARC
(2,16),0.0171236 # DEPENDENCYPART_ARC
(2,18),-0.700457 # DEPENDENCYPART_ARC
(2,20),-1.51994 # DEPENDENCYPART_ARC
(3,1),-1.35557 # DEPENDENCYPART_ARC
(3,2),0.180247 # DEPENDENCYPART_ARC
