# _root_ Θα ήθελα , τέλος , για άλλη μία φορά να αναφέρω αυτό που είπα στην αρχή της παρέμβασής μου .
#goldHeads=2,0,2,2,2,2,9,9,6,11,2,11,14,12,14,15,18,16,18,0,
#predictedHeads=2,0,2,2,4,2,9,9,6,11,6,11,14,12,14,15,18,16,18,0,
(0,2),0.0513757 # DEPENDENCYPART_ARC
(0,3),0.0559364 # DEPENDENCYPART_ARC
(0,4),-0.642814 # DEPENDENCYPART_ARC
(0,5),-0.307959 # DEPENDENCYPART_ARC
(0,6),-1.88882 # DEPENDENCYPART_ARC
(0,7),-1.87693 # DEPENDENCYPART_ARC
(0,9),-1.51925 # DEPENDENCYPART_ARC
(0,11),-0.70773 # DEPENDENCYPART_ARC
(0,12),-1.94371 # DEPENDENCYPART_ARC
(0,14),-1.61978 # DEPENDENCYPART_ARC
(0,15),-2.31546 # DEPENDENCYPART_ARC
(0,18),-2.2603 # DEPENDENCYPART_ARC
(0,20),2.52733 # DEPENDENCYPART_ARC
(2,1),2.32574 # DEPENDENCYPART_ARC
(2,3),0.767876 # DEPENDENCYPART_ARC
(2,4),1.94453 # DEPENDENCYPART_ARC
(2,5),0.548321 # DEPENDENCYPART_ARC
(2,6),0.698238 # DEPENDENCYPART_ARC
(2,7),-1.87156 # DEPENDENCYPART_ARC
(2,9),-0.495353 # DEPENDENCYPART_ARC
(2,11),-1.485 # DEPENDENCYPART_ARC
(2,14),-3.25693 # DEPENDENCYPART_ARC
(2,15),-1.60576 # DEPENDENCYPART_ARC
(2,18),-4.00203 # DEPENDENCYPART_ARC
(2,20),1.04412 # DEPENDENCYPART_ARC
(3,2),-0.3296 # DEPENDENCYPART_ARC
(3,4),-0.112211 # DEPENDENCYPART_ARC
(3,5),-0.210809 # DEPENDENCYPART_ARC
(3,6),-0.711282 # DEPENDENCYPART_ARC
(3,9),-1.44265 # DEPENDENCYPART_ARC
(3,11),-1.32075 # DEPENDENCYPART_ARC
(3,14),-1.48688 # DEPENDENCYPART_ARC
(4,2),-1.46101 # DEPENDENCYPART_ARC
(4,3),0.640249 # DEPENDENCYPART_ARC
(4,5),0.57415 # DEPENDENCYPART_ARC
(4,6),0.316639 # DEPENDENCYPART_ARC
(4,7),-0.472343 # DEPENDENCYPART_ARC
(4,9),-0.857748 # DEPENDENCYPART_ARC
(4,11),-1.16224 # DEPENDENCYPART_ARC
(4,14),-0.277848 # DEPENDENCYPART_ARC
(4,15),-2.19055 # DEPENDENCYPART_ARC
(5,2),-0.739927 # DEPENDENCYPART_ARC
(5,3),0.151581 # DEPENDENCYPART_ARC
(5,4),0.0312548 # DEPENDENCYPART_ARC
(5,6),-0.159361 # DEPENDENCYPART_ARC
(5,9),-0.548997 # DEPENDENCYPART_ARC
(5,11),-1.04706 # DEPENDENCYPART_ARC
(5,14),-1.42444 # DEPENDENCYPART_ARC
(6,2),-0.987142 # DEPENDENCYPART_ARC
(6,3),0.0275908 # DEPENDENCYPART_ARC
(6,4),-1.01489 # DEPENDENCYPART_ARC
(6,5),0.462692 # DEPENDENCYPART_ARC
(6,7),1.60615 # DEPENDENCYPART_ARC
(6,9),1.19702 # DEPENDENCYPART_ARC
(6,11),0.161985 # DEPENDENCYPART_ARC
(6,20),-0.552478 # DEPENDENCYPART_ARC
(7,9),-0.38001 # DEPENDENCYPART_ARC
(7,11),-1.25139 # DEPENDENCYPART_ARC
(8,7),0.983133 # DEPENDENCYPART_ARC
(9,2),-2.93902 # DEPENDENCYPART_ARC
(9,3),-0.542925 # DEPENDENCYPART_ARC
(9,4),-1.002 # DEPENDENCYPART_ARC
(9,5),-0.476059 # DEPENDENCYPART_ARC
(9,6),-0.188852 # DEPENDENCYPART_ARC
(9,7),3.13699 # DEPENDENCYPART_ARC
(9,8),3.37164 # DEPENDENCYPART_ARC
(9,10),0.0476504 # DEPENDENCYPART_ARC
(9,11),-0.0809064 # DEPENDENCYPART_ARC
(9,12),-0.553556 # DEPENDENCYPART_ARC
(9,14),0.23731 # DEPENDENCYPART_ARC
(9,15),-0.761267 # DEPENDENCYPART_ARC
(9,16),-1.92449 # DEPENDENCYPART_ARC
(9,18),-0.764697 # DEPENDENCYPART_ARC
(10,11),0.164691 # DEPENDENCYPART_ARC
(11,2),-1.71469 # DEPENDENCYPART_ARC
(11,3),-0.394903 # DEPENDENCYPART_ARC
(11,4),-2.07604 # DEPENDENCYPART_ARC
(11,5),0.189238 # DEPENDENCYPART_ARC
(11,6),0.354207 # DEPENDENCYPART_ARC
(11,7),-1.29994 # DEPENDENCYPART_ARC
(11,8),-1.00872 # DEPENDENCYPART_ARC
(11,9),-0.0122393 # DEPENDENCYPART_ARC
(11,10),2.1505 # DEPENDENCYPART_ARC
(11,12),0.966564 # DEPENDENCYPART_ARC
(11,13),0.569529 # DEPENDENCYPART_ARC
(11,14),-0.468255 # DEPENDENCYPART_ARC
(11,15),-0.197142 # DEPENDENCYPART_ARC
(11,16),-0.0487679 # DEPENDENCYPART_ARC
(11,18),-2.39711 # DEPENDENCYPART_ARC
(11,20),0.176105 # DEPENDENCYPART_ARC
(12,14),1.23226 # DEPENDENCYPART_ARC
(13,14),-0.178812 # DEPENDENCYPART_ARC
(14,2),-1.82405 # DEPENDENCYPART_ARC
(14,3),-1.11029 # DEPENDENCYPART_ARC
(14,4),-2.92324 # DEPENDENCYPART_ARC
(14,5),-0.51589 # DEPENDENCYPART_ARC
