# _root_ Πιστεύω ότι το ένταλμα για το οποίο εργαζόμαστε μπορεί να είναι , τουλάχιστον , πρακτικό και να μας οδηγήσει σε θετικά αποτελέσματα .
#goldHeads=0,1,4,16,8,7,5,4,2,11,16,13,11,13,11,9,19,19,16,19,22,20,0,
#predictedHeads=0,1,4,9,4,7,5,2,2,11,9,13,11,16,16,11,19,19,16,19,22,20,0,
(0,1),0.324218 # DEPENDENCYPART_ARC
(0,2),-1.55254 # DEPENDENCYPART_ARC
(0,4),-1.83451 # DEPENDENCYPART_ARC
(0,8),-1.62316 # DEPENDENCYPART_ARC
(0,9),-1.15693 # DEPENDENCYPART_ARC
(0,11),-1.73599 # DEPENDENCYPART_ARC
(0,12),-0.500002 # DEPENDENCYPART_ARC
(0,14),-0.604766 # DEPENDENCYPART_ARC
(0,15),-2.20477 # DEPENDENCYPART_ARC
(0,16),-1.5287 # DEPENDENCYPART_ARC
(0,19),-2.54175 # DEPENDENCYPART_ARC
(0,23),3.42631 # DEPENDENCYPART_ARC
(1,2),1.09538 # DEPENDENCYPART_ARC
(1,3),-2.93627 # DEPENDENCYPART_ARC
(1,4),-0.295919 # DEPENDENCYPART_ARC
(1,5),0.174801 # DEPENDENCYPART_ARC
(1,8),-3.8439 # DEPENDENCYPART_ARC
(1,9),-4.48077 # DEPENDENCYPART_ARC
(1,13),-1.40795 # DEPENDENCYPART_ARC
(1,16),-1.00759 # DEPENDENCYPART_ARC
(1,23),-0.300124 # DEPENDENCYPART_ARC
(2,3),0.0938052 # DEPENDENCYPART_ARC
(2,8),1.33652 # DEPENDENCYPART_ARC
(2,9),0.864936 # DEPENDENCYPART_ARC
(2,11),-0.602912 # DEPENDENCYPART_ARC
(2,12),-0.137867 # DEPENDENCYPART_ARC
(2,14),-0.450811 # DEPENDENCYPART_ARC
(2,16),-0.543278 # DEPENDENCYPART_ARC
(2,19),-1.42372 # DEPENDENCYPART_ARC
(2,23),-0.743264 # DEPENDENCYPART_ARC
(4,1),-2.60146 # DEPENDENCYPART_ARC
(4,3),2.81351 # DEPENDENCYPART_ARC
(4,5),1.1167 # DEPENDENCYPART_ARC
(4,6),-0.973929 # DEPENDENCYPART_ARC
(4,7),-0.119274 # DEPENDENCYPART_ARC
(4,8),0.653583 # DEPENDENCYPART_ARC
(4,9),-1.08063 # DEPENDENCYPART_ARC
(4,19),-2.03033 # DEPENDENCYPART_ARC
(5,1),-1.18336 # DEPENDENCYPART_ARC
(5,3),-0.181365 # DEPENDENCYPART_ARC
(5,4),-1.0302 # DEPENDENCYPART_ARC
(5,6),-0.230539 # DEPENDENCYPART_ARC
(5,7),2.86585 # DEPENDENCYPART_ARC
(5,8),0.101885 # DEPENDENCYPART_ARC
(5,9),-0.721514 # DEPENDENCYPART_ARC
(5,11),-0.896412 # DEPENDENCYPART_ARC
(5,16),-0.951484 # DEPENDENCYPART_ARC
(7,6),2.88667 # DEPENDENCYPART_ARC
(7,8),-0.965166 # DEPENDENCYPART_ARC
(7,9),-1.78995 # DEPENDENCYPART_ARC
(8,1),-3.9574 # DEPENDENCYPART_ARC
(8,2),-0.988691 # DEPENDENCYPART_ARC
(8,3),-0.960918 # DEPENDENCYPART_ARC
(8,4),-1.03798 # DEPENDENCYPART_ARC
(8,5),0.686431 # DEPENDENCYPART_ARC
(8,6),-0.19542 # DEPENDENCYPART_ARC
(8,7),1.55647 # DEPENDENCYPART_ARC
(8,9),-1.82803 # DEPENDENCYPART_ARC
(8,10),-0.687354 # DEPENDENCYPART_ARC
(8,11),-3.45246 # DEPENDENCYPART_ARC
(8,12),0.0141275 # DEPENDENCYPART_ARC
(8,13),-0.646549 # DEPENDENCYPART_ARC
(8,14),-0.157038 # DEPENDENCYPART_ARC
(8,15),-2.12861 # DEPENDENCYPART_ARC
(8,20),-1.52013 # DEPENDENCYPART_ARC
(8,23),-0.158054 # DEPENDENCYPART_ARC
(9,1),-2.88939 # DEPENDENCYPART_ARC
(9,2),-0.670015 # DEPENDENCYPART_ARC
(9,4),1.25491 # DEPENDENCYPART_ARC
(9,5),0.588064 # DEPENDENCYPART_ARC
(9,6),-0.275782 # DEPENDENCYPART_ARC
(9,7),1.3291 # DEPENDENCYPART_ARC
(9,8),-0.161013 # DEPENDENCYPART_ARC
(9,10),0.603103 # DEPENDENCYPART_ARC
(9,11),2.50281 # DEPENDENCYPART_ARC
(9,12),0.351589 # DEPENDENCYPART_ARC
(9,13),-0.0308035 # DEPENDENCYPART_ARC
(9,14),-0.0710676 # DEPENDENCYPART_ARC
(9,15),-1.76649 # DEPENDENCYPART_ARC
(9,16),-0.0800315 # DEPENDENCYPART_ARC
(9,19),-0.380139 # DEPENDENCYPART_ARC
(9,20),-1.04659 # DEPENDENCYPART_ARC
(9,22),-1.9939 # DEPENDENCYPART_ARC
(9,23),-0.00572731 # DEPENDENCYPART_ARC
(11,1),-4.31923 # DEPENDENCYPART_ARC
(11,2),-1.23973 # DEPENDENCYPART_ARC
(11,4),0.87304 # DEPENDENCYPART_ARC
(11,5),-0.270399 # DEPENDENCYPART_ARC
(11,6),-1.03867 # DEPENDENCYPART_ARC
(11,7),0.760803 # DEPENDENCYPART_ARC
(11,8),-3.29067 # DEPENDENCYPART_ARC
(11,9),-1.81076 # DEPENDENCYPART_ARC
