# _root_ Αποτελεί έναν από τους αγαπημένους προορισμούς των Κερκυραίων , καθώς συνδυάζει αστείρευτη φυσική ομορφιά με τη μαγεία της θάλασσας , ενώ απέχει ελάχιστα από την πόλη .
#goldHeads=21,1,2,6,6,3,8,6,10,1,10,14,14,11,11,17,15,19,17,21,0,21,22,22,26,24,0,
#predictedHeads=21,1,2,6,6,3,8,6,11,11,21,14,14,11,11,17,15,19,17,21,0,21,22,22,26,24,0,
(0,1),0.331407 # DEPENDENCYPART_ARC
(0,9),-0.743938 # DEPENDENCYPART_ARC
(0,11),-0.827247 # DEPENDENCYPART_ARC
(0,20),-0.928482 # DEPENDENCYPART_ARC
(0,21),1.68535 # DEPENDENCYPART_ARC
(0,22),-1.57213 # DEPENDENCYPART_ARC
(0,27),3.54946 # DEPENDENCYPART_ARC
(1,2),1.38156 # DEPENDENCYPART_ARC
(1,3),0.834674 # DEPENDENCYPART_ARC
(1,5),-1.7346 # DEPENDENCYPART_ARC
(1,6),0.155033 # DEPENDENCYPART_ARC
(1,8),-2.54836 # DEPENDENCYPART_ARC
(1,9),0.257886 # DEPENDENCYPART_ARC
(1,10),0.473566 # DEPENDENCYPART_ARC
(1,11),-2.07524 # DEPENDENCYPART_ARC
(1,15),-0.429093 # DEPENDENCYPART_ARC
(1,20),-0.413222 # DEPENDENCYPART_ARC
(1,21),-0.421895 # DEPENDENCYPART_ARC
(1,23),-1.95395 # DEPENDENCYPART_ARC
(1,27),-0.283163 # DEPENDENCYPART_ARC
(2,3),2.21374 # DEPENDENCYPART_ARC
(2,11),-0.962393 # DEPENDENCYPART_ARC
(3,1),-0.839027 # DEPENDENCYPART_ARC
(3,2),-0.226666 # DEPENDENCYPART_ARC
(3,4),0.401809 # DEPENDENCYPART_ARC
(3,5),1.27944 # DEPENDENCYPART_ARC
(3,6),2.05366 # DEPENDENCYPART_ARC
(3,8),0.342948 # DEPENDENCYPART_ARC
(3,9),0.215906 # DEPENDENCYPART_ARC
(3,10),-0.171996 # DEPENDENCYPART_ARC
(5,3),-0.423898 # DEPENDENCYPART_ARC
(5,4),1.18138 # DEPENDENCYPART_ARC
(5,6),-0.160034 # DEPENDENCYPART_ARC
(5,8),-0.481454 # DEPENDENCYPART_ARC
(6,1),-2.1394 # DEPENDENCYPART_ARC
(6,3),0.0104166 # DEPENDENCYPART_ARC
(6,4),3.23819 # DEPENDENCYPART_ARC
(6,5),4.24298 # DEPENDENCYPART_ARC
(6,7),-0.347282 # DEPENDENCYPART_ARC
(6,8),1.85277 # DEPENDENCYPART_ARC
(6,9),0.306503 # DEPENDENCYPART_ARC
(6,10),-0.157435 # DEPENDENCYPART_ARC
(6,11),-0.812582 # DEPENDENCYPART_ARC
(6,12),-0.811606 # DEPENDENCYPART_ARC
(6,14),-1.85653 # DEPENDENCYPART_ARC
(6,15),-0.973297 # DEPENDENCYPART_ARC
(6,21),-0.566463 # DEPENDENCYPART_ARC
(6,24),-1.80899 # DEPENDENCYPART_ARC
(8,4),-1.04159 # DEPENDENCYPART_ARC
(8,5),-1.09833 # DEPENDENCYPART_ARC
(8,6),-1.7154 # DEPENDENCYPART_ARC
(8,7),3.4482 # DEPENDENCYPART_ARC
(8,9),-0.0318978 # DEPENDENCYPART_ARC
(8,10),-0.382092 # DEPENDENCYPART_ARC
(8,11),-1.18148 # DEPENDENCYPART_ARC
(9,1),-0.79431 # DEPENDENCYPART_ARC
(9,3),-0.206553 # DEPENDENCYPART_ARC
(9,5),-0.416594 # DEPENDENCYPART_ARC
(9,6),-0.241689 # DEPENDENCYPART_ARC
(9,8),-0.33434 # DEPENDENCYPART_ARC
(9,10),-0.368381 # DEPENDENCYPART_ARC
(9,11),-0.644666 # DEPENDENCYPART_ARC
(9,12),-0.885601 # DEPENDENCYPART_ARC
(9,13),-0.972446 # DEPENDENCYPART_ARC
(9,14),-1.00377 # DEPENDENCYPART_ARC
(10,1),-0.828536 # DEPENDENCYPART_ARC
(10,3),-0.0964568 # DEPENDENCYPART_ARC
(10,6),-0.411734 # DEPENDENCYPART_ARC
(10,7),0.47831 # DEPENDENCYPART_ARC
(10,8),-0.114902 # DEPENDENCYPART_ARC
(10,9),0.976756 # DEPENDENCYPART_ARC
(10,11),0.830562 # DEPENDENCYPART_ARC
(10,12),-0.763857 # DEPENDENCYPART_ARC
(10,13),-1.11086 # DEPENDENCYPART_ARC
(10,14),-1.102 # DEPENDENCYPART_ARC
(10,15),-0.6562 # DEPENDENCYPART_ARC
(10,22),-0.578029 # DEPENDENCYPART_ARC
(11,1),-1.47812 # DEPENDENCYPART_ARC
(11,2),-0.308646 # DEPENDENCYPART_ARC
(11,3),0.124035 # DEPENDENCYPART_ARC
(11,5),-1.1011 # DEPENDENCYPART_ARC
(11,6),-1.28801 # DEPENDENCYPART_ARC
(11,7),-1.81716 # DEPENDENCYPART_ARC
(11,8),-1.92352 # DEPENDENCYPART_ARC
(11,9),1.94348 # DEPENDENCYPART_ARC
(11,10),1.78326 # DEPENDENCYPART_ARC
(11,12),0.814911 # DEPENDENCYPART_ARC
(11,13),-0.355088 # DEPENDENCYPART_ARC
(11,14),2.50223 # DEPENDENCYPART_ARC
(11,15),1.18263 # DEPENDENCYPART_ARC
(11,17),0.192698 # DEPENDENCYPART_ARC
(11,19),-1.95136 # DEPENDENCYPART_ARC
(11,20),0.688605 # DEPENDENCYPART_ARC
(11,21),0.543576 # DEPENDENCYPART_ARC
(11,22),-2.67916 # DEPENDENCYPART_ARC
(11,23),-1.21515 # DEPENDENCYPART_ARC
(11,24),-1.19268 # DEPENDENCYPART_ARC
(11,26),-1.82495 # DEPENDENCYPART_ARC
(11,27),-0.013723 # DEPENDENCYPART_ARC
(12,8),-2.74058 # DEPENDENCYPART_ARC
(12,9),-0.721395 # DEPENDENCYPART_ARC
(12,10),-0.294506 # DEPENDENCYPART_ARC
(12,11),-2.07939 # DEPENDENCYPART_ARC
(12,13),-0.790326 # DEPENDENCYPART_ARC
(12,14),-0.548508 # DEPENDENCYPART_ARC
(12,15),-0.146389 # DEPENDENCYPART_ARC
(12,17),-1.78334 # DEPENDENCYPART_ARC
(12,19),-1.14787 # DEPENDENCYPART_ARC
(12,22),-1.56924 # DEPENDENCYPART_ARC
(12,24),-0.879373 # DEPENDENCYPART_ARC
(13,10),-0.466499 # DEPENDENCYPART_ARC
(13,12),0.771542 # DEPENDENCYPART_ARC
(13,14),0.0677316 # DEPENDENCYPART_ARC
(13,15),-0.100311 # DEPENDENCYPART_ARC
(13,17),-1.58016 # DEPENDENCYPART_ARC
(13,19),-1.08868 # DEPENDENCYPART_ARC
(14,4),-1.61546 # DEPENDENCYPART_ARC
(14,7),-0.754988 # DEPENDENCYPART_ARC
(14,12),2.93649 # DEPENDENCYPART_ARC
(14,13),2.9734 # DEPENDENCYPART_ARC
