# _root_ Όπως το υπογραμμίζετε , κυρία , πρόκειται πράγματι για ένα προϊόν πολύ περίπλοκο και σύνθετο .
#goldHeads=3,3,7,5,0,5,0,7,7,11,9,14,14,11,14,0,
#predictedHeads=3,3,7,7,3,7,0,7,7,11,9,13,14,7,14,0,
(0,1),-0.638354 # DEPENDENCYPART_ARC
(0,3),-0.0194857 # DEPENDENCYPART_ARC
(0,4),-0.310157 # DEPENDENCYPART_ARC
(0,5),-0.594836 # DEPENDENCYPART_ARC
(0,6),-0.343647 # DEPENDENCYPART_ARC
(0,7),0.0812966 # DEPENDENCYPART_ARC
(0,9),-2.42451 # DEPENDENCYPART_ARC
(0,11),-1.38121 # DEPENDENCYPART_ARC
(0,12),-1.16931 # DEPENDENCYPART_ARC
(0,13),-1.85345 # DEPENDENCYPART_ARC
(0,14),-0.958748 # DEPENDENCYPART_ARC
(0,15),-1.88146 # DEPENDENCYPART_ARC
(0,16),2.30254 # DEPENDENCYPART_ARC
(1,2),0.676955 # DEPENDENCYPART_ARC
(1,3),-0.356679 # DEPENDENCYPART_ARC
(1,4),-0.230333 # DEPENDENCYPART_ARC
(1,5),-1.27761 # DEPENDENCYPART_ARC
(1,6),-0.5567 # DEPENDENCYPART_ARC
(1,8),-1.45579 # DEPENDENCYPART_ARC
(1,9),-1.64289 # DEPENDENCYPART_ARC
(1,12),-1.52582 # DEPENDENCYPART_ARC
(2,5),-1.16636 # DEPENDENCYPART_ARC
(3,1),1.58721 # DEPENDENCYPART_ARC
(3,2),3.99499 # DEPENDENCYPART_ARC
(3,4),0.45906 # DEPENDENCYPART_ARC
(3,5),1.10375 # DEPENDENCYPART_ARC
(3,6),0.488365 # DEPENDENCYPART_ARC
(3,7),-2.93843 # DEPENDENCYPART_ARC
(3,8),-0.627608 # DEPENDENCYPART_ARC
(3,9),-0.999067 # DEPENDENCYPART_ARC
(3,11),-2.67194 # DEPENDENCYPART_ARC
(3,12),-1.42958 # DEPENDENCYPART_ARC
(3,14),-0.882998 # DEPENDENCYPART_ARC
(3,16),-1.03454 # DEPENDENCYPART_ARC
(4,1),-0.505436 # DEPENDENCYPART_ARC
(4,2),-0.472397 # DEPENDENCYPART_ARC
(4,3),-0.129754 # DEPENDENCYPART_ARC
(4,5),-0.0277964 # DEPENDENCYPART_ARC
(4,6),-0.0409059 # DEPENDENCYPART_ARC
(4,7),-0.847011 # DEPENDENCYPART_ARC
(4,13),-1.60265 # DEPENDENCYPART_ARC
(4,15),-1.43565 # DEPENDENCYPART_ARC
(5,1),-1.02542 # DEPENDENCYPART_ARC
(5,3),-2.55531 # DEPENDENCYPART_ARC
(5,4),0.659984 # DEPENDENCYPART_ARC
(5,6),0.387259 # DEPENDENCYPART_ARC
(5,7),-0.932223 # DEPENDENCYPART_ARC
(5,8),-0.918872 # DEPENDENCYPART_ARC
(5,9),-0.924803 # DEPENDENCYPART_ARC
