# _root_ Εσείς αυξηθήκατε περισσότερο , έχετε την τρόικα και την προεδρική τριάδα , αλλά είμαστε σχετικά κερδισμένοι .
#goldHeads=2,4,2,13,4,7,8,5,11,11,8,13,0,13,16,14,0,
#predictedHeads=2,13,2,5,13,7,8,5,11,11,8,13,0,13,16,14,0,
(0,2),-0.142414 # DEPENDENCYPART_ARC
(0,3),-0.642653 # DEPENDENCYPART_ARC
(0,4),-0.594395 # DEPENDENCYPART_ARC
(0,5),-0.202664 # DEPENDENCYPART_ARC
(0,7),-1.53828 # DEPENDENCYPART_ARC
(0,8),-0.92293 # DEPENDENCYPART_ARC
(0,10),-1.46709 # DEPENDENCYPART_ARC
(0,11),-1.45085 # DEPENDENCYPART_ARC
(0,12),-0.276613 # DEPENDENCYPART_ARC
(0,13),0.257082 # DEPENDENCYPART_ARC
(0,14),-1.37079 # DEPENDENCYPART_ARC
(0,15),-1.32527 # DEPENDENCYPART_ARC
(0,16),-2.29448 # DEPENDENCYPART_ARC
(0,17),2.83317 # DEPENDENCYPART_ARC
(2,1),2.83946 # DEPENDENCYPART_ARC
(2,3),2.22053 # DEPENDENCYPART_ARC
(2,4),0.457321 # DEPENDENCYPART_ARC
(2,5),-1.32702 # DEPENDENCYPART_ARC
(2,7),-1.26323 # DEPENDENCYPART_ARC
(2,8),-0.570597 # DEPENDENCYPART_ARC
(2,10),-2.38287 # DEPENDENCYPART_ARC
(2,11),-2.65899 # DEPENDENCYPART_ARC
(2,12),-0.250568 # DEPENDENCYPART_ARC
(2,13),-0.942543 # DEPENDENCYPART_ARC
(2,14),-4.41754 # DEPENDENCYPART_ARC
(2,15),-1.81206 # DEPENDENCYPART_ARC
(2,17),-0.571727 # DEPENDENCYPART_ARC
(3,2),-0.0482389 # DEPENDENCYPART_ARC
(3,4),0.177532 # DEPENDENCYPART_ARC
(3,5),-1.78738 # DEPENDENCYPART_ARC
(4,1),-0.704657 # DEPENDENCYPART_ARC
(4,2),-0.414025 # DEPENDENCYPART_ARC
(4,3),0.0302669 # DEPENDENCYPART_ARC
(4,5),-0.600023 # DEPENDENCYPART_ARC
(4,16),-1.66374 # DEPENDENCYPART_ARC
(5,1),0.394162 # DEPENDENCYPART_ARC
(5,2),-3.36534 # DEPENDENCYPART_ARC
(5,3),0.155015 # DEPENDENCYPART_ARC
(5,4),1.01683 # DEPENDENCYPART_ARC
(5,6),-1.48698 # DEPENDENCYPART_ARC
