# _root_ Επιλέξτε κάποιον καλύτερο , τόσο από τον Cox όσο και από τον Martin , ψηφίζοντας τον κ. Bonde του γραφείου 007 .
#goldHeads=0,1,2,10,10,5,8,6,10,3,9,13,11,10,1,18,18,15,20,18,20,0,
#predictedHeads=0,1,2,5,10,10,8,6,10,1,10,13,11,15,1,18,18,15,20,18,20,0,
(0,1),-0.0993246 # DEPENDENCYPART_ARC
(0,2),-1.67593 # DEPENDENCYPART_ARC
(0,3),-1.6213 # DEPENDENCYPART_ARC
(0,4),-0.73943 # DEPENDENCYPART_ARC
(0,5),-1.80613 # DEPENDENCYPART_ARC
(0,6),-2.01182 # DEPENDENCYPART_ARC
(0,8),-1.40039 # DEPENDENCYPART_ARC
(0,9),-1.6603 # DEPENDENCYPART_ARC
(0,10),-0.649741 # DEPENDENCYPART_ARC
(0,11),-2.29071 # DEPENDENCYPART_ARC
(0,13),-1.43469 # DEPENDENCYPART_ARC
(0,14),-0.964605 # DEPENDENCYPART_ARC
(0,15),-1.80187 # DEPENDENCYPART_ARC
(0,17),-1.5115 # DEPENDENCYPART_ARC
(0,18),-1.43902 # DEPENDENCYPART_ARC
(0,20),-1.8739 # DEPENDENCYPART_ARC
(0,21),-1.82008 # DEPENDENCYPART_ARC
(0,22),2.39146 # DEPENDENCYPART_ARC
(1,2),2.49088 # DEPENDENCYPART_ARC
(1,3),0.560817 # DEPENDENCYPART_ARC
(1,4),0.661003 # DEPENDENCYPART_ARC
(1,5),-0.0966648 # DEPENDENCYPART_ARC
(1,6),0.100265 # DEPENDENCYPART_ARC
(1,9),-0.478051 # DEPENDENCYPART_ARC
(1,10),0.207306 # DEPENDENCYPART_ARC
(1,11),-0.345431 # DEPENDENCYPART_ARC
(1,14),0.509039 # DEPENDENCYPART_ARC
(1,15),0.934094 # DEPENDENCYPART_ARC
(1,20),-4.74862 # DEPENDENCYPART_ARC
(1,22),-0.0908209 # DEPENDENCYPART_ARC
(2,3),0.876475 # DEPENDENCYPART_ARC
(2,6),0.281048 # DEPENDENCYPART_ARC
(2,10),-0.278184 # DEPENDENCYPART_ARC
(3,2),0.432039 # DEPENDENCYPART_ARC
(3,4),0.562009 # DEPENDENCYPART_ARC
(3,5),0.479021 # DEPENDENCYPART_ARC
(3,6),0.695716 # DEPENDENCYPART_ARC
(3,9),-0.065154 # DEPENDENCYPART_ARC
(3,11),0.429111 # DEPENDENCYPART_ARC
(3,15),-2.26463 # DEPENDENCYPART_ARC
(4,1),-0.154571 # DEPENDENCYPART_ARC
(4,2),-0.282647 # DEPENDENCYPART_ARC
(4,3),0.298293 # DEPENDENCYPART_ARC
(4,5),-0.396042 # DEPENDENCYPART_ARC
(4,6),-0.414099 # DEPENDENCYPART_ARC
(4,11),-0.73045 # DEPENDENCYPART_ARC
(4,14),-0.189284 # DEPENDENCYPART_ARC
(4,15),-0.841186 # DEPENDENCYPART_ARC
(4,22),-1.01335 # DEPENDENCYPART_ARC
(5,1),-1.33907 # DEPENDENCYPART_ARC
(5,3),0.109284 # DEPENDENCYPART_ARC
(5,4),0.936455 # DEPENDENCYPART_ARC
(5,6),1.25714 # DEPENDENCYPART_ARC
(5,9),-0.501134 # DEPENDENCYPART_ARC
(5,10),-0.284851 # DEPENDENCYPART_ARC
(5,11),-0.266666 # DEPENDENCYPART_ARC
(5,14),0.298519 # DEPENDENCYPART_ARC
(5,15),-1.19033 # DEPENDENCYPART_ARC
(6,1),-1.0274 # DEPENDENCYPART_ARC
(6,4),0.327878 # DEPENDENCYPART_ARC
(6,5),0.373008 # DEPENDENCYPART_ARC
(6,7),0.15323 # DEPENDENCYPART_ARC
(6,8),1.18863 # DEPENDENCYPART_ARC
(6,9),0.24507 # DEPENDENCYPART_ARC
(6,10),-0.112962 # DEPENDENCYPART_ARC
(6,14),-0.196129 # DEPENDENCYPART_ARC
(6,22),-1.49398 # DEPENDENCYPART_ARC
