# _root_ Στο ένα κράτος μπορεί κανείς να οδηγεί με 90 χιλιόμετρα την ώρα , στο άλλο με 100 χιλιόμετρα την ώρα , ενώ στο επόμενο κράτος μέλος μόλις με 80 χιλιόμετρα την ώρα .
#goldHeads=4,3,1,22,4,7,4,7,10,8,12,10,22,22,14,22,18,16,20,18,22,0,22,25,23,25,28,22,30,28,32,30,0,
#predictedHeads=4,3,1,22,4,7,22,7,10,8,12,7,22,22,14,22,18,16,20,18,22,0,22,26,26,23,26,27,30,28,32,30,0,
(0,1),-1.2038 # DEPENDENCYPART_ARC
(0,3),-0.726237 # DEPENDENCYPART_ARC
(0,4),0.981282 # DEPENDENCYPART_ARC
(0,5),-2.03007 # DEPENDENCYPART_ARC
(0,7),-0.677087 # DEPENDENCYPART_ARC
(0,8),-1.85437 # DEPENDENCYPART_ARC
(0,9),-1.53188 # DEPENDENCYPART_ARC
(0,10),-1.67172 # DEPENDENCYPART_ARC
(0,12),-1.66797 # DEPENDENCYPART_ARC
(0,13),-0.759455 # DEPENDENCYPART_ARC
(0,14),-1.65911 # DEPENDENCYPART_ARC
(0,15),-2.08752 # DEPENDENCYPART_ARC
(0,17),-1.6368 # DEPENDENCYPART_ARC
(0,22),1.26746 # DEPENDENCYPART_ARC
(0,23),-1.68956 # DEPENDENCYPART_ARC
(0,29),-1.93032 # DEPENDENCYPART_ARC
(0,33),3.65013 # DEPENDENCYPART_ARC
(1,2),1.50479 # DEPENDENCYPART_ARC
(1,3),2.75776 # DEPENDENCYPART_ARC
(1,4),-2.05125 # DEPENDENCYPART_ARC
(3,1),-0.232621 # DEPENDENCYPART_ARC
(3,2),3.18089 # DEPENDENCYPART_ARC
(3,4),-0.842484 # DEPENDENCYPART_ARC
(3,5),-0.174704 # DEPENDENCYPART_ARC
(3,6),-1.29334 # DEPENDENCYPART_ARC
(3,7),-1.47203 # DEPENDENCYPART_ARC
(3,8),-1.08024 # DEPENDENCYPART_ARC
(3,9),-1.11756 # DEPENDENCYPART_ARC
(3,10),-2.36363 # DEPENDENCYPART_ARC
(3,14),-1.97314 # DEPENDENCYPART_ARC
(4,1),0.958454 # DEPENDENCYPART_ARC
(4,2),0.0708418 # DEPENDENCYPART_ARC
(4,3),0.22056 # DEPENDENCYPART_ARC
(4,5),2.07229 # DEPENDENCYPART_ARC
(4,6),0.121632 # DEPENDENCYPART_ARC
(4,7),0.489616 # DEPENDENCYPART_ARC
(4,8),-0.102755 # DEPENDENCYPART_ARC
(4,9),-0.546805 # DEPENDENCYPART_ARC
(4,10),-1.10533 # DEPENDENCYPART_ARC
(4,12),-0.82753 # DEPENDENCYPART_ARC
(4,13),0.01141 # DEPENDENCYPART_ARC
(4,14),-0.479609 # DEPENDENCYPART_ARC
(4,16),-0.760463 # DEPENDENCYPART_ARC
(4,17),-1.0041 # DEPENDENCYPART_ARC
(4,21),-0.275491 # DEPENDENCYPART_ARC
(4,22),0.250764 # DEPENDENCYPART_ARC
(4,23),-2.09837 # DEPENDENCYPART_ARC
(4,27),-0.634704 # DEPENDENCYPART_ARC
(4,28),-1.2182 # DEPENDENCYPART_ARC
(4,33),-0.531733 # DEPENDENCYPART_ARC
(5,7),-0.650963 # DEPENDENCYPART_ARC
(5,8),-0.0505954 # DEPENDENCYPART_ARC
(6,7),0.15102 # DEPENDENCYPART_ARC
(7,1),0.0358449 # DEPENDENCYPART_ARC
(7,3),-0.42209 # DEPENDENCYPART_ARC
(7,4),-1.9668 # DEPENDENCYPART_ARC
