# _root_ Τα κράτη δεν μπορούν να διαθέτουν δύο ποινικούς κώδικες , έναν που θα εφαρμόζεται στη διακίνηση ναρκωτικών αποκλειστικά μέσα στα σύνορά τους , και έναν άλλο που θα εφαρμόζεται στη διακίνηση ναρκωτικών όταν αυτή έχει διασυνοριακή διάσταση .
#goldHeads=2,4,4,0,6,4,9,9,10,6,24,14,14,11,14,15,16,19,16,19,20,21,10,10,24,25,29,29,25,29,30,31,29,35,33,37,35,0,
#predictedHeads=2,4,4,0,6,4,9,9,6,14,10,14,14,9,14,15,16,19,14,19,20,21,24,14,26,27,29,29,24,29,30,31,29,37,33,37,35,0,
(0,2),-1.06842 # DEPENDENCYPART_ARC
(0,4),0.0753574 # DEPENDENCYPART_ARC
(0,6),-0.798085 # DEPENDENCYPART_ARC
(0,8),-1.77869 # DEPENDENCYPART_ARC
(0,9),-1.81491 # DEPENDENCYPART_ARC
(0,10),-0.431025 # DEPENDENCYPART_ARC
(0,14),-1.17943 # DEPENDENCYPART_ARC
(0,23),-0.920084 # DEPENDENCYPART_ARC
(0,24),-1.00497 # DEPENDENCYPART_ARC
(0,26),-2.57536 # DEPENDENCYPART_ARC
(0,29),-1.90443 # DEPENDENCYPART_ARC
(0,32),-2.45953 # DEPENDENCYPART_ARC
(0,33),-3.08014 # DEPENDENCYPART_ARC
(0,34),-2.93025 # DEPENDENCYPART_ARC
(0,37),-2.10668 # DEPENDENCYPART_ARC
(0,38),4.31513 # DEPENDENCYPART_ARC
(2,1),3.77416 # DEPENDENCYPART_ARC
(2,4),-0.204927 # DEPENDENCYPART_ARC
(2,5),-1.04349 # DEPENDENCYPART_ARC
(2,6),-1.60264 # DEPENDENCYPART_ARC
(2,7),-2.11512 # DEPENDENCYPART_ARC
(2,8),-1.76224 # DEPENDENCYPART_ARC
(2,9),-2.08582 # DEPENDENCYPART_ARC
(2,14),-2.49604 # DEPENDENCYPART_ARC
(3,1),-0.608905 # DEPENDENCYPART_ARC
(4,1),0.512507 # DEPENDENCYPART_ARC
(4,2),2.21764 # DEPENDENCYPART_ARC
(4,3),2.50264 # DEPENDENCYPART_ARC
(4,5),0.758894 # DEPENDENCYPART_ARC
(4,6),2.35711 # DEPENDENCYPART_ARC
(4,7),1.03621 # DEPENDENCYPART_ARC
(4,8),-1.05662 # DEPENDENCYPART_ARC
(4,9),1.13066 # DEPENDENCYPART_ARC
(4,10),0.514851 # DEPENDENCYPART_ARC
(4,14),-1.37394 # DEPENDENCYPART_ARC
(4,15),-0.500375 # DEPENDENCYPART_ARC
(4,16),-1.5634 # DEPENDENCYPART_ARC
(4,17),-2.54842 # DEPENDENCYPART_ARC
(4,18),-0.475491 # DEPENDENCYPART_ARC
(4,19),-0.225388 # DEPENDENCYPART_ARC
(4,20),-1.14833 # DEPENDENCYPART_ARC
(4,23),0.503493 # DEPENDENCYPART_ARC
(4,24),-0.153754 # DEPENDENCYPART_ARC
(4,29),-2.76158 # DEPENDENCYPART_ARC
(4,30),-2.07478 # DEPENDENCYPART_ARC
(4,37),-3.30758 # DEPENDENCYPART_ARC
(5,6),0.100891 # DEPENDENCYPART_ARC
(6,1),-0.392151 # DEPENDENCYPART_ARC
(6,2),1.31336 # DEPENDENCYPART_ARC
(6,3),0.841771 # DEPENDENCYPART_ARC
(6,4),-1.74244 # DEPENDENCYPART_ARC
(6,5),2.41054 # DEPENDENCYPART_ARC
(6,7),1.53404 # DEPENDENCYPART_ARC
(6,8),-0.342776 # DEPENDENCYPART_ARC
(6,9),1.69395 # DEPENDENCYPART_ARC
(6,10),0.223906 # DEPENDENCYPART_ARC
(6,14),-2.48701 # DEPENDENCYPART_ARC
(6,15),-0.676498 # DEPENDENCYPART_ARC
