# _root_ Κύριε Πρόεδρε , στο πλαίσιο της προπαρασκευαστικής συζήτησης για την εκλογή του Προέδρου του Κοινοβουλίου , μου δόθηκε η ευκαιρία να διατυπώσω τις προσδοκίες που είχα από τον νέο Πρόεδρο .
#goldHeads=2,0,4,18,4,8,8,5,8,11,9,13,11,15,13,4,18,0,20,18,22,20,24,22,26,24,26,30,30,27,0,
#predictedHeads=2,0,2,2,4,8,8,5,8,11,9,13,11,15,13,18,18,13,20,18,22,20,24,22,26,24,26,30,30,27,0,
(0,1),0.111134 # DEPENDENCYPART_ARC
(0,2),0.390539 # DEPENDENCYPART_ARC
(0,3),0.422902 # DEPENDENCYPART_ARC
(0,4),-0.543095 # DEPENDENCYPART_ARC
(0,5),-0.437096 # DEPENDENCYPART_ARC
(0,7),-1.01337 # DEPENDENCYPART_ARC
(0,8),-1.34443 # DEPENDENCYPART_ARC
(0,9),-0.839361 # DEPENDENCYPART_ARC
(0,11),-0.84152 # DEPENDENCYPART_ARC
(0,13),-1.55789 # DEPENDENCYPART_ARC
(0,15),-1.12835 # DEPENDENCYPART_ARC
(0,16),-0.362523 # DEPENDENCYPART_ARC
(0,18),0.345112 # DEPENDENCYPART_ARC
(0,20),-1.81159 # DEPENDENCYPART_ARC
(0,22),-0.965004 # DEPENDENCYPART_ARC
(0,26),-1.18987 # DEPENDENCYPART_ARC
(0,30),-2.0138 # DEPENDENCYPART_ARC
(0,31),4.40999 # DEPENDENCYPART_ARC
(1,2),-0.303097 # DEPENDENCYPART_ARC
(1,3),-0.36259 # DEPENDENCYPART_ARC
(1,4),-0.129782 # DEPENDENCYPART_ARC
(1,5),-1.46156 # DEPENDENCYPART_ARC
(1,7),-1.40144 # DEPENDENCYPART_ARC
(1,8),-1.44186 # DEPENDENCYPART_ARC
(1,9),-0.445756 # DEPENDENCYPART_ARC
(1,18),-1.59237 # DEPENDENCYPART_ARC
(2,1),2.80176 # DEPENDENCYPART_ARC
(2,3),0.75183 # DEPENDENCYPART_ARC
(2,4),0.116382 # DEPENDENCYPART_ARC
(2,5),-0.885358 # DEPENDENCYPART_ARC
(2,7),-0.780403 # DEPENDENCYPART_ARC
(2,9),-0.206503 # DEPENDENCYPART_ARC
(2,18),-1.48055 # DEPENDENCYPART_ARC
(3,1),-0.659546 # DEPENDENCYPART_ARC
(3,2),-0.350776 # DEPENDENCYPART_ARC
(3,4),-0.257931 # DEPENDENCYPART_ARC
(3,5),-0.0240002 # DEPENDENCYPART_ARC
(3,7),-0.78938 # DEPENDENCYPART_ARC
(3,8),-0.649338 # DEPENDENCYPART_ARC
(3,11),-0.867711 # DEPENDENCYPART_ARC
(3,16),-0.589835 # DEPENDENCYPART_ARC
(4,3),0.267444 # DEPENDENCYPART_ARC
(4,5),3.42599 # DEPENDENCYPART_ARC
(4,8),-1.12075 # DEPENDENCYPART_ARC
(5,1),-1.47268 # DEPENDENCYPART_ARC
(5,2),-1.70576 # DEPENDENCYPART_ARC
(5,3),-1.20467 # DEPENDENCYPART_ARC
(5,4),-0.763916 # DEPENDENCYPART_ARC
(5,6),0.204923 # DEPENDENCYPART_ARC
(5,7),0.506032 # DEPENDENCYPART_ARC
(5,8),1.74144 # DEPENDENCYPART_ARC
(5,9),0.328534 # DEPENDENCYPART_ARC
(5,11),-0.995153 # DEPENDENCYPART_ARC
(5,13),-0.138686 # DEPENDENCYPART_ARC
(5,15),-0.864599 # DEPENDENCYPART_ARC
(5,16),-0.218549 # DEPENDENCYPART_ARC
(5,18),-0.040029 # DEPENDENCYPART_ARC
(5,22),-2.1632 # DEPENDENCYPART_ARC
(5,26),-2.45294 # DEPENDENCYPART_ARC
(7,1),-1.48689 # DEPENDENCYPART_ARC
(7,2),-1.42667 # DEPENDENCYPART_ARC
(7,6),0.334616 # DEPENDENCYPART_ARC
(7,8),0.544333 # DEPENDENCYPART_ARC
(7,9),-0.242424 # DEPENDENCYPART_ARC
(7,11),-2.1279 # DEPENDENCYPART_ARC
(8,1),-1.92324 # DEPENDENCYPART_ARC
(8,2),-2.3133 # DEPENDENCYPART_ARC
(8,3),-0.622846 # DEPENDENCYPART_ARC
(8,5),-1.93966 # DEPENDENCYPART_ARC
(8,6),2.7063 # DEPENDENCYPART_ARC
(8,7),2.94997 # DEPENDENCYPART_ARC
(8,9),1.16689 # DEPENDENCYPART_ARC
(8,10),-0.200374 # DEPENDENCYPART_ARC
(8,11),-0.729127 # DEPENDENCYPART_ARC
(8,13),-0.472599 # DEPENDENCYPART_ARC
(8,15),-1.24453 # DEPENDENCYPART_ARC
(8,18),-0.318156 # DEPENDENCYPART_ARC
(8,22),-1.69894 # DEPENDENCYPART_ARC
(8,26),-1.66387 # DEPENDENCYPART_ARC
(8,27),-1.56995 # DEPENDENCYPART_ARC
(9,8),-1.22315 # DEPENDENCYPART_ARC
(9,10),-0.268345 # DEPENDENCYPART_ARC
(9,11),2.07356 # DEPENDENCYPART_ARC
(9,13),-0.24856 # DEPENDENCYPART_ARC
(9,15),-1.76192 # DEPENDENCYPART_ARC
(9,16),-0.424063 # DEPENDENCYPART_ARC
(11,6),-0.0356058 # DEPENDENCYPART_ARC
(11,7),-0.479354 # DEPENDENCYPART_ARC
(11,10),3.15795 # DEPENDENCYPART_ARC
(11,12),0.26389 # DEPENDENCYPART_ARC
(11,13),2.37153 # DEPENDENCYPART_ARC
(11,15),0.929128 # DEPENDENCYPART_ARC
(11,16),-0.135379 # DEPENDENCYPART_ARC
(11,18),0.433711 # DEPENDENCYPART_ARC
(11,20),-2.63835 # DEPENDENCYPART_ARC
(11,22),-1.22487 # DEPENDENCYPART_ARC
(11,24),-3.1453 # DEPENDENCYPART_ARC
(11,26),-1.62964 # DEPENDENCYPART_ARC
(11,27),-1.52608 # DEPENDENCYPART_ARC
(13,6),-0.893315 # DEPENDENCYPART_ARC
(13,7),-1.07661 # DEPENDENCYPART_ARC
(13,10),-0.863314 # DEPENDENCYPART_ARC
(13,12),3.05583 # DEPENDENCYPART_ARC
(13,14),-0.0776989 # DEPENDENCYPART_ARC
(13,15),2.3329 # DEPENDENCYPART_ARC
(13,16),-0.0574593 # DEPENDENCYPART_ARC
(13,18),0.682209 # DEPENDENCYPART_ARC
(13,20),-1.52063 # DEPENDENCYPART_ARC
(13,22),-1.792 # DEPENDENCYPART_ARC
(13,24),-2.69076 # DEPENDENCYPART_ARC
(13,26),-1.5376 # DEPENDENCYPART_ARC
(13,27),-1.68801 # DEPENDENCYPART_ARC
(15,6),-2.62718 # DEPENDENCYPART_ARC
(15,10),-2.54786 # DEPENDENCYPART_ARC
(15,12),-0.0156002 # DEPENDENCYPART_ARC
(15,13),0.299985 # DEPENDENCYPART_ARC
(15,14),2.64176 # DEPENDENCYPART_ARC
(15,16),-0.465711 # DEPENDENCYPART_ARC
(15,18),0.257246 # DEPENDENCYPART_ARC
(15,20),-1.61015 # DEPENDENCYPART_ARC
(15,22),-2.49582 # DEPENDENCYPART_ARC
(16,1),-0.782019 # DEPENDENCYPART_ARC
(16,2),-0.919875 # DEPENDENCYPART_ARC
(16,3),-1.26511 # DEPENDENCYPART_ARC
(16,5),-0.911134 # DEPENDENCYPART_ARC
(16,8),-0.7716 # DEPENDENCYPART_ARC
(16,9),-0.276547 # DEPENDENCYPART_ARC
(16,11),-0.808421 # DEPENDENCYPART_ARC
(16,13),-0.45036 # DEPENDENCYPART_ARC
(16,15),-0.374542 # DEPENDENCYPART_ARC
(16,18),-0.881965 # DEPENDENCYPART_ARC
(16,20),-1.20087 # DEPENDENCYPART_ARC
