# _root_ Το Κάστρο βρίσκεται πάνω σε ένα γιγαντιαίο βράχο , κρεμασμένο πάνω από το πέλαγος , με πανοραμική θέα και αποτελεί ένα φυσικό φρούριο .
#goldHeads=2,19,19,3,4,8,8,5,10,3,10,11,14,12,10,2,18,16,0,19,23,23,20,0,
#predictedHeads=2,3,0,3,4,8,8,5,3,19,10,11,14,12,16,19,18,16,0,19,23,23,20,0,
(0,2),-1.15064 # DEPENDENCYPART_ARC
(0,3),1.1367 # DEPENDENCYPART_ARC
(0,9),-0.716555 # DEPENDENCYPART_ARC
(0,10),-0.837241 # DEPENDENCYPART_ARC
(0,15),-0.562157 # DEPENDENCYPART_ARC
(0,19),0.0706419 # DEPENDENCYPART_ARC
(0,20),-0.388192 # DEPENDENCYPART_ARC
(0,24),3.52465 # DEPENDENCYPART_ARC
(2,1),2.82933 # DEPENDENCYPART_ARC
(2,4),-0.833244 # DEPENDENCYPART_ARC
(3,1),-0.611736 # DEPENDENCYPART_ARC
(3,2),0.5956 # DEPENDENCYPART_ARC
(3,4),1.5181 # DEPENDENCYPART_ARC
(3,5),0.833059 # DEPENDENCYPART_ARC
(3,7),-1.81535 # DEPENDENCYPART_ARC
(3,8),-0.734278 # DEPENDENCYPART_ARC
(3,9),0.566911 # DEPENDENCYPART_ARC
(3,10),0.620099 # DEPENDENCYPART_ARC
(3,11),-0.310996 # DEPENDENCYPART_ARC
(3,12),-1.38176 # DEPENDENCYPART_ARC
(3,14),-3.08023 # DEPENDENCYPART_ARC
(3,15),0.149316 # DEPENDENCYPART_ARC
(3,16),-0.800685 # DEPENDENCYPART_ARC
(3,19),-0.757577 # DEPENDENCYPART_ARC
(3,20),-5.08592 # DEPENDENCYPART_ARC
(3,23),-4.35258 # DEPENDENCYPART_ARC
(3,24),-0.131094 # DEPENDENCYPART_ARC
(4,1),-0.567409 # DEPENDENCYPART_ARC
(4,3),-0.536368 # DEPENDENCYPART_ARC
(4,5),0.91116 # DEPENDENCYPART_ARC
(4,7),-0.762031 # DEPENDENCYPART_ARC
(4,8),-0.898636 # DEPENDENCYPART_ARC
(4,9),-0.0860855 # DEPENDENCYPART_ARC
(4,10),-1.22675 # DEPENDENCYPART_ARC
(4,12),-0.696382 # DEPENDENCYPART_ARC
(5,3),-0.761251 # DEPENDENCYPART_ARC
(5,4),-0.0126975 # DEPENDENCYPART_ARC
(5,6),0.229452 # DEPENDENCYPART_ARC
(5,7),0.949371 # DEPENDENCYPART_ARC
(5,8),2.18089 # DEPENDENCYPART_ARC
(5,9),0.189078 # DEPENDENCYPART_ARC
(5,10),-0.698685 # DEPENDENCYPART_ARC
(5,11),-0.506229 # DEPENDENCYPART_ARC
(5,19),-0.963325 # DEPENDENCYPART_ARC
(7,4),-0.648996 # DEPENDENCYPART_ARC
(7,5),-0.465611 # DEPENDENCYPART_ARC
(7,6),0.425942 # DEPENDENCYPART_ARC
(7,8),0.280829 # DEPENDENCYPART_ARC
(7,9),-0.410464 # DEPENDENCYPART_ARC
(7,10),-1.8498 # DEPENDENCYPART_ARC
(7,12),-0.969585 # DEPENDENCYPART_ARC
(8,1),-0.101589 # DEPENDENCYPART_ARC
(8,3),-1.34431 # DEPENDENCYPART_ARC
(8,4),0.0292248 # DEPENDENCYPART_ARC
(8,5),0.0459473 # DEPENDENCYPART_ARC
(8,6),3.12673 # DEPENDENCYPART_ARC
(8,7),3.36101 # DEPENDENCYPART_ARC
(8,9),0.0406686 # DEPENDENCYPART_ARC
(8,10),0.861117 # DEPENDENCYPART_ARC
(8,11),-0.695768 # DEPENDENCYPART_ARC
(9,2),-1.36347 # DEPENDENCYPART_ARC
(9,3),-0.666672 # DEPENDENCYPART_ARC
(9,4),-0.681831 # DEPENDENCYPART_ARC
(9,5),-0.50934 # DEPENDENCYPART_ARC
(9,7),-0.403081 # DEPENDENCYPART_ARC
(9,8),-0.375028 # DEPENDENCYPART_ARC
(9,10),-0.590467 # DEPENDENCYPART_ARC
(10,2),-2.07095 # DEPENDENCYPART_ARC
(10,3),-5.51932 # DEPENDENCYPART_ARC
(10,4),-0.505014 # DEPENDENCYPART_ARC
(10,5),-0.120859 # DEPENDENCYPART_ARC
(10,7),0.523455 # DEPENDENCYPART_ARC
(10,8),-1.85148 # DEPENDENCYPART_ARC
(10,9),0.433979 # DEPENDENCYPART_ARC
(10,11),1.64198 # DEPENDENCYPART_ARC
(10,12),0.751793 # DEPENDENCYPART_ARC
(10,14),-2.66946 # DEPENDENCYPART_ARC
(10,15),0.467108 # DEPENDENCYPART_ARC
(10,16),0.356675 # DEPENDENCYPART_ARC
(10,17),-2.60379 # DEPENDENCYPART_ARC
(10,18),-3.96442 # DEPENDENCYPART_ARC
(10,19),-0.0106844 # DEPENDENCYPART_ARC
(10,20),-3.15877 # DEPENDENCYPART_ARC
(10,23),-5.16765 # DEPENDENCYPART_ARC
(10,24),-0.327562 # DEPENDENCYPART_ARC
(11,3),-1.39815 # DEPENDENCYPART_ARC
(11,4),-0.407801 # DEPENDENCYPART_ARC
(11,5),-0.230725 # DEPENDENCYPART_ARC
(11,8),-0.993691 # DEPENDENCYPART_ARC
(11,9),-0.0258286 # DEPENDENCYPART_ARC
(11,10),-0.503187 # DEPENDENCYPART_ARC
(11,12),1.29399 # DEPENDENCYPART_ARC
(11,14),-0.290692 # DEPENDENCYPART_ARC
(11,15),0.0349427 # DEPENDENCYPART_ARC
(11,16),-0.0264368 # DEPENDENCYPART_ARC
(11,18),-1.5617 # DEPENDENCYPART_ARC
(11,19),-0.238749 # DEPENDENCYPART_ARC
(11,20),-1.42615 # DEPENDENCYPART_ARC
(12,9),-0.467972 # DEPENDENCYPART_ARC
(12,11),-0.318133 # DEPENDENCYPART_ARC
(12,13),0.0770484 # DEPENDENCYPART_ARC
(12,14),2.62892 # DEPENDENCYPART_ARC
(12,15),0.23365 # DEPENDENCYPART_ARC
(12,18),-0.134023 # DEPENDENCYPART_ARC
(12,19),-0.174122 # DEPENDENCYPART_ARC
(14,11),-0.60217 # DEPENDENCYPART_ARC
(14,12),-0.0839359 # DEPENDENCYPART_ARC
(14,13),3.05533 # DEPENDENCYPART_ARC
(14,15),-0.173134 # DEPENDENCYPART_ARC
(14,16),-0.0759009 # DEPENDENCYPART_ARC
(14,17),-0.643168 # DEPENDENCYPART_ARC
(14,18),-0.371783 # DEPENDENCYPART_ARC
(14,20),-1.44264 # DEPENDENCYPART_ARC
(15,2),-1.8317 # DEPENDENCYPART_ARC
(15,3),-0.624424 # DEPENDENCYPART_ARC
(15,5),-0.507689 # DEPENDENCYPART_ARC
(15,7),-0.763293 # DEPENDENCYPART_ARC
(15,8),-1.13484 # DEPENDENCYPART_ARC
(15,11),-0.479776 # DEPENDENCYPART_ARC
(15,12),0.0543445 # DEPENDENCYPART_ARC
(15,14),-0.2476 # DEPENDENCYPART_ARC
(15,16),0.110493 # DEPENDENCYPART_ARC
(15,17),-0.204239 # DEPENDENCYPART_ARC
(15,18),0.0127521 # DEPENDENCYPART_ARC
(15,19),-0.0743104 # DEPENDENCYPART_ARC
(15,20),-0.699027 # DEPENDENCYPART_ARC
(15,22),-1.22272 # DEPENDENCYPART_ARC
(15,23),-1.10727 # DEPENDENCYPART_ARC
(16,12),-0.372197 # DEPENDENCYPART_ARC
(16,14),-0.971768 # DEPENDENCYPART_ARC
(16,15),0.618657 # DEPENDENCYPART_ARC
(16,17),0.948812 # DEPENDENCYPART_ARC
(16,18),2.13639 # DEPENDENCYPART_ARC
