# _root_ Το παράδειγμα που ανέφερε μόλις ο κ. Bolkestein αποτελεί βέβαια ένα κατάφωρο , ίσως μάλιστα και εξαιρετικό , παράδειγμα των καταχρήσεων που γίνονται στον τομέα των μεταφορών .
#goldHeads=2,9,4,2,4,8,8,4,0,9,19,16,17,17,17,19,16,17,9,21,19,23,21,23,24,27,25,0,
#predictedHeads=2,9,4,2,4,8,8,4,0,9,12,16,14,15,16,19,16,9,18,21,19,23,21,23,24,27,25,0,
(0,2),-1.21051 # DEPENDENCYPART_ARC
(0,4),-0.00707884 # DEPENDENCYPART_ARC
(0,5),-1.46986 # DEPENDENCYPART_ARC
(0,7),-1.7065 # DEPENDENCYPART_ARC
(0,8),-1.79114 # DEPENDENCYPART_ARC
(0,9),0.120308 # DEPENDENCYPART_ARC
(0,12),-1.58663 # DEPENDENCYPART_ARC
(0,13),-0.722385 # DEPENDENCYPART_ARC
(0,16),-1.09244 # DEPENDENCYPART_ARC
(0,17),-2.22297 # DEPENDENCYPART_ARC
(0,18),-0.510167 # DEPENDENCYPART_ARC
(0,23),-0.633099 # DEPENDENCYPART_ARC
(0,28),3.39894 # DEPENDENCYPART_ARC
(2,1),3.31577 # DEPENDENCYPART_ARC
(2,3),1.25413 # DEPENDENCYPART_ARC
(2,4),1.52146 # DEPENDENCYPART_ARC
(2,5),0.145176 # DEPENDENCYPART_ARC
(2,7),-0.325464 # DEPENDENCYPART_ARC
(2,8),-0.0854269 # DEPENDENCYPART_ARC
(2,9),-1.14742 # DEPENDENCYPART_ARC
(2,10),-0.524479 # DEPENDENCYPART_ARC
(2,23),-1.15208 # DEPENDENCYPART_ARC
(3,4),-1.20414 # DEPENDENCYPART_ARC
(4,1),-1.5598 # DEPENDENCYPART_ARC
(4,2),1.27612 # DEPENDENCYPART_ARC
(4,3),3.13766 # DEPENDENCYPART_ARC
(4,5),1.63103 # DEPENDENCYPART_ARC
(4,6),-1.94194 # DEPENDENCYPART_ARC
(4,7),0.395007 # DEPENDENCYPART_ARC
(4,8),0.195339 # DEPENDENCYPART_ARC
(4,9),-0.949546 # DEPENDENCYPART_ARC
(4,10),0.0999684 # DEPENDENCYPART_ARC
(4,12),-0.98377 # DEPENDENCYPART_ARC
(4,13),0.194039 # DEPENDENCYPART_ARC
(4,14),-0.418272 # DEPENDENCYPART_ARC
(4,16),-0.48987 # DEPENDENCYPART_ARC
(4,18),-0.225619 # DEPENDENCYPART_ARC
(4,19),-0.634121 # DEPENDENCYPART_ARC
(4,21),-3.16779 # DEPENDENCYPART_ARC
(4,24),-1.04111 # DEPENDENCYPART_ARC
(4,27),-4.45488 # DEPENDENCYPART_ARC
(4,28),0.0388329 # DEPENDENCYPART_ARC
(5,2),-0.881157 # DEPENDENCYPART_ARC
(5,3),-1.05047 # DEPENDENCYPART_ARC
(5,4),-0.621055 # DEPENDENCYPART_ARC
(5,6),-0.126953 # DEPENDENCYPART_ARC
(5,7),0.00706188 # DEPENDENCYPART_ARC
(5,9),-0.859489 # DEPENDENCYPART_ARC
(7,6),0.73043 # DEPENDENCYPART_ARC
(8,6),2.21049 # DEPENDENCYPART_ARC
(8,7),2.24138 # DEPENDENCYPART_ARC
(8,9),-0.3364 # DEPENDENCYPART_ARC
(9,2),1.48488 # DEPENDENCYPART_ARC
(9,3),0.535805 # DEPENDENCYPART_ARC
(9,4),-1.66088 # DEPENDENCYPART_ARC
(9,5),0.14771 # DEPENDENCYPART_ARC
(9,6),-1.07615 # DEPENDENCYPART_ARC
(9,7),0.0929745 # DEPENDENCYPART_ARC
(9,8),0.137257 # DEPENDENCYPART_ARC
(9,10),1.39222 # DEPENDENCYPART_ARC
(9,12),-0.621417 # DEPENDENCYPART_ARC
(9,13),0.32532 # DEPENDENCYPART_ARC
(9,14),-0.0192009 # DEPENDENCYPART_ARC
(9,15),-0.588667 # DEPENDENCYPART_ARC
(9,16),-0.232863 # DEPENDENCYPART_ARC
(9,17),-0.872972 # DEPENDENCYPART_ARC
(9,18),-0.133992 # DEPENDENCYPART_ARC
(9,19),0.0224035 # DEPENDENCYPART_ARC
(9,21),-1.76082 # DEPENDENCYPART_ARC
(9,23),-3.0589 # DEPENDENCYPART_ARC
(9,24),-1.84351 # DEPENDENCYPART_ARC
(9,25),-1.68547 # DEPENDENCYPART_ARC
(9,27),-3.51049 # DEPENDENCYPART_ARC
(9,28),-0.244235 # DEPENDENCYPART_ARC
(10,2),-1.14582 # DEPENDENCYPART_ARC
(10,3),-1.47203 # DEPENDENCYPART_ARC
(10,4),-1.582 # DEPENDENCYPART_ARC
(10,5),-0.631866 # DEPENDENCYPART_ARC
(10,8),-0.482219 # DEPENDENCYPART_ARC
(10,9),-0.301195 # DEPENDENCYPART_ARC
(10,12),-0.723705 # DEPENDENCYPART_ARC
(10,13),-0.283924 # DEPENDENCYPART_ARC
(10,14),-0.905343 # DEPENDENCYPART_ARC
(10,16),-0.591063 # DEPENDENCYPART_ARC
(10,18),-0.682721 # DEPENDENCYPART_ARC
(11,10),0.831418 # DEPENDENCYPART_ARC
(12,10),0.106943 # DEPENDENCYPART_ARC
(12,11),1.57722 # DEPENDENCYPART_ARC
(12,13),0.316322 # DEPENDENCYPART_ARC
(12,14),0.113267 # DEPENDENCYPART_ARC
(12,15),0.0601236 # DEPENDENCYPART_ARC
(12,19),-2.15213 # DEPENDENCYPART_ARC
(13,2),-1.78147 # DEPENDENCYPART_ARC
(13,4),-0.457822 # DEPENDENCYPART_ARC
(13,5),-0.402754 # DEPENDENCYPART_ARC
(13,9),-0.442082 # DEPENDENCYPART_ARC
(13,10),-0.0769241 # DEPENDENCYPART_ARC
(13,12),0.182389 # DEPENDENCYPART_ARC
(13,14),-0.0986072 # DEPENDENCYPART_ARC
(13,15),0.0447291 # DEPENDENCYPART_ARC
(13,16),0.113662 # DEPENDENCYPART_ARC
(13,17),-0.150227 # DEPENDENCYPART_ARC
(13,18),0.245307 # DEPENDENCYPART_ARC
(13,19),-0.683889 # DEPENDENCYPART_ARC
(13,21),-0.80067 # DEPENDENCYPART_ARC
(13,23),-0.254484 # DEPENDENCYPART_ARC
(14,3),-1.16854 # DEPENDENCYPART_ARC
(14,5),-0.488941 # DEPENDENCYPART_ARC
(14,10),-0.119067 # DEPENDENCYPART_ARC
(14,12),-0.160713 # DEPENDENCYPART_ARC
(14,13),0.91496 # DEPENDENCYPART_ARC
(14,15),0.917347 # DEPENDENCYPART_ARC
(14,16),0.361327 # DEPENDENCYPART_ARC
(14,17),-0.140521 # DEPENDENCYPART_ARC
(14,18),0.243996 # DEPENDENCYPART_ARC
(14,19),-0.113881 # DEPENDENCYPART_ARC
(14,21),-0.727503 # DEPENDENCYPART_ARC
(14,23),-0.866473 # DEPENDENCYPART_ARC
(15,10),-0.485487 # DEPENDENCYPART_ARC
(15,13),-0.289627 # DEPENDENCYPART_ARC
(15,14),0.917758 # DEPENDENCYPART_ARC
(15,17),-0.0721774 # DEPENDENCYPART_ARC
(15,19),-1.11583 # DEPENDENCYPART_ARC
(15,21),-0.836826 # DEPENDENCYPART_ARC
(15,24),-1.58709 # DEPENDENCYPART_ARC
(16,2),-1.26784 # DEPENDENCYPART_ARC
(16,3),0.264176 # DEPENDENCYPART_ARC
(16,4),-1.22066 # DEPENDENCYPART_ARC
(16,5),-0.223336 # DEPENDENCYPART_ARC
(16,8),-0.679808 # DEPENDENCYPART_ARC
(16,9),-0.352143 # DEPENDENCYPART_ARC
(16,10),0.0869823 # DEPENDENCYPART_ARC
(16,11),-0.134048 # DEPENDENCYPART_ARC
(16,12),1.2662 # DEPENDENCYPART_ARC
(16,13),0.61298 # DEPENDENCYPART_ARC
(16,14),0.277928 # DEPENDENCYPART_ARC
(16,15),2.34366 # DEPENDENCYPART_ARC
(16,17),2.44733 # DEPENDENCYPART_ARC
(16,18),0.101558 # DEPENDENCYPART_ARC
(16,19),-0.147895 # DEPENDENCYPART_ARC
(16,21),-0.746685 # DEPENDENCYPART_ARC
(16,23),-0.52947 # DEPENDENCYPART_ARC
(16,24),-0.876556 # DEPENDENCYPART_ARC
(16,25),-2.25234 # DEPENDENCYPART_ARC
(17,14),0.447766 # DEPENDENCYPART_ARC
(17,15),1.06551 # DEPENDENCYPART_ARC
(17,16),0.673816 # DEPENDENCYPART_ARC
(17,18),-0.0545123 # DEPENDENCYPART_ARC
(17,19),-1.20596 # DEPENDENCYPART_ARC
(17,21),-0.450247 # DEPENDENCYPART_ARC
(17,24),-2.10268 # DEPENDENCYPART_ARC
(18,2),-1.34643 # DEPENDENCYPART_ARC
(18,4),-0.507528 # DEPENDENCYPART_ARC
(18,9),-0.474338 # DEPENDENCYPART_ARC
(18,12),-0.524829 # DEPENDENCYPART_ARC
(18,13),0.149154 # DEPENDENCYPART_ARC
(18,14),-0.209371 # DEPENDENCYPART_ARC
(18,15),-0.243376 # DEPENDENCYPART_ARC
(18,16),0.204996 # DEPENDENCYPART_ARC
(18,17),0.383049 # DEPENDENCYPART_ARC
(18,19),0.712116 # DEPENDENCYPART_ARC
(18,21),-0.0426018 # DEPENDENCYPART_ARC
(18,23),-0.418766 # DEPENDENCYPART_ARC
(18,24),-0.783719 # DEPENDENCYPART_ARC
(18,27),-1.2772 # DEPENDENCYPART_ARC
(19,15),-0.876897 # DEPENDENCYPART_ARC
(19,16),0.458869 # DEPENDENCYPART_ARC
(19,17),1.24982 # DEPENDENCYPART_ARC
(19,18),0.449311 # DEPENDENCYPART_ARC
(19,20),-0.140156 # DEPENDENCYPART_ARC
(19,21),1.97545 # DEPENDENCYPART_ARC
(19,22),-1.04166 # DEPENDENCYPART_ARC
(19,23),0.227048 # DEPENDENCYPART_ARC
(19,24),-0.567195 # DEPENDENCYPART_ARC
