# _root_ Περίπου 4.000 άνθρωποι συγκεντρώθηκαν έξω από την αμερικανική πρεσβεία στις Βρυξέλλες , φωνάζοντας αντιαμερικανικά συνθήματα και πετώντας μπουκάλια και αυγά στο κτίριο , όπου λίγο αργότερα ο Αμερικανός πρόεδρος φιλοξένησε τον Ζακ Σιράκ .
#goldHeads=3,3,4,0,4,5,9,9,6,9,10,4,16,15,13,4,16,19,17,19,17,21,30,30,26,30,29,29,30,22,33,33,30,0,
#predictedHeads=4,3,4,16,4,4,9,9,6,4,10,13,16,15,13,0,16,19,17,19,20,21,30,30,26,17,29,29,30,0,33,33,30,0,
(0,1),-0.573322 # DEPENDENCYPART_ARC
(0,2),-0.629877 # DEPENDENCYPART_ARC
(0,3),-0.558588 # DEPENDENCYPART_ARC
(0,4),0.886103 # DEPENDENCYPART_ARC
(0,13),-0.81921 # DEPENDENCYPART_ARC
(0,16),0.0958252 # DEPENDENCYPART_ARC
(0,17),-2.0323 # DEPENDENCYPART_ARC
(0,19),-0.704675 # DEPENDENCYPART_ARC
(0,28),-2.2307 # DEPENDENCYPART_ARC
(0,30),-0.784436 # DEPENDENCYPART_ARC
(0,32),-2.17803 # DEPENDENCYPART_ARC
(0,33),-1.97152 # DEPENDENCYPART_ARC
(0,34),4.11539 # DEPENDENCYPART_ARC
(1,2),0.25004 # DEPENDENCYPART_ARC
(1,3),0.036285 # DEPENDENCYPART_ARC
(1,4),-0.124179 # DEPENDENCYPART_ARC
(1,6),-0.674411 # DEPENDENCYPART_ARC
(2,1),1.01041 # DEPENDENCYPART_ARC
(2,3),0.355217 # DEPENDENCYPART_ARC
(3,1),0.70515 # DEPENDENCYPART_ARC
(3,2),1.96724 # DEPENDENCYPART_ARC
(3,4),-0.235476 # DEPENDENCYPART_ARC
(3,5),-0.546714 # DEPENDENCYPART_ARC
(3,6),-1.49297 # DEPENDENCYPART_ARC
(4,1),1.09681 # DEPENDENCYPART_ARC
(4,2),0.340185 # DEPENDENCYPART_ARC
(4,3),2.17662 # DEPENDENCYPART_ARC
(4,5),1.91622 # DEPENDENCYPART_ARC
(4,6),0.978271 # DEPENDENCYPART_ARC
(4,8),-1.02829 # DEPENDENCYPART_ARC
(4,9),0.0856552 # DEPENDENCYPART_ARC
(4,10),1.15484 # DEPENDENCYPART_ARC
(4,11),-2.08377 # DEPENDENCYPART_ARC
(4,12),0.380554 # DEPENDENCYPART_ARC
(4,13),1.56058 # DEPENDENCYPART_ARC
(4,15),-1.91056 # DEPENDENCYPART_ARC
(4,16),-0.507589 # DEPENDENCYPART_ARC
(4,19),-0.312478 # DEPENDENCYPART_ARC
(4,24),-1.29491 # DEPENDENCYPART_ARC
(4,25),-1.19599 # DEPENDENCYPART_ARC
(4,26),-0.913475 # DEPENDENCYPART_ARC
(4,28),-4.08129 # DEPENDENCYPART_ARC
(5,1),-0.47234 # DEPENDENCYPART_ARC
(5,2),-0.611694 # DEPENDENCYPART_ARC
(5,3),-0.671814 # DEPENDENCYPART_ARC
(5,4),-0.503344 # DEPENDENCYPART_ARC
(5,6),0.770383 # DEPENDENCYPART_ARC
(5,8),-1.00012 # DEPENDENCYPART_ARC
(5,9),-0.936656 # DEPENDENCYPART_ARC
(5,10),-0.391306 # DEPENDENCYPART_ARC
(5,12),-0.19895 # DEPENDENCYPART_ARC
(6,5),-0.109847 # DEPENDENCYPART_ARC
(6,7),0.422117 # DEPENDENCYPART_ARC
(6,8),1.37343 # DEPENDENCYPART_ARC
(6,9),2.12018 # DEPENDENCYPART_ARC
(6,11),1.12831 # DEPENDENCYPART_ARC
(6,12),0.297378 # DEPENDENCYPART_ARC
(6,13),-0.841268 # DEPENDENCYPART_ARC
(6,16),-0.596727 # DEPENDENCYPART_ARC
(8,5),-0.453536 # DEPENDENCYPART_ARC
(8,6),-0.288614 # DEPENDENCYPART_ARC
(8,7),0.550254 # DEPENDENCYPART_ARC
(8,9),0.0151946 # DEPENDENCYPART_ARC
(8,10),0.0275512 # DEPENDENCYPART_ARC
(8,11),-1.34196 # DEPENDENCYPART_ARC
(9,5),-0.404103 # DEPENDENCYPART_ARC
(9,6),-0.215261 # DEPENDENCYPART_ARC
(9,7),3.10719 # DEPENDENCYPART_ARC
(9,8),3.33037 # DEPENDENCYPART_ARC
(9,10),1.13061 # DEPENDENCYPART_ARC
(9,11),0.0957038 # DEPENDENCYPART_ARC
(9,12),0.359912 # DEPENDENCYPART_ARC
(9,13),-1.06937 # DEPENDENCYPART_ARC
(9,14),-1.68867 # DEPENDENCYPART_ARC
(10,8),-0.958499 # DEPENDENCYPART_ARC
(10,11),2.90064 # DEPENDENCYPART_ARC
(10,12),0.101073 # DEPENDENCYPART_ARC
(10,13),-1.25213 # DEPENDENCYPART_ARC
(11,7),0.120025 # DEPENDENCYPART_ARC
(11,9),-0.999839 # DEPENDENCYPART_ARC
(11,13),-1.9579 # DEPENDENCYPART_ARC
(12,4),-0.88016 # DEPENDENCYPART_ARC
(12,6),-0.150239 # DEPENDENCYPART_ARC
(12,8),-0.499138 # DEPENDENCYPART_ARC
(12,9),-0.181527 # DEPENDENCYPART_ARC
(12,10),-0.218901 # DEPENDENCYPART_ARC
(12,11),-0.00901305 # DEPENDENCYPART_ARC
(12,14),-1.10975 # DEPENDENCYPART_ARC
(12,15),-0.929394 # DEPENDENCYPART_ARC
(13,1),-0.374174 # DEPENDENCYPART_ARC
(13,2),-0.488841 # DEPENDENCYPART_ARC
(13,3),-0.81228 # DEPENDENCYPART_ARC
(13,4),-5.32347 # DEPENDENCYPART_ARC
(13,5),-0.519906 # DEPENDENCYPART_ARC
(13,6),-0.426982 # DEPENDENCYPART_ARC
(13,8),-2.44376 # DEPENDENCYPART_ARC
(13,9),-1.9425 # DEPENDENCYPART_ARC
(13,10),-0.315926 # DEPENDENCYPART_ARC
(13,11),-1.2661 # DEPENDENCYPART_ARC
(13,12),0.859063 # DEPENDENCYPART_ARC
(13,14),0.82754 # DEPENDENCYPART_ARC
