# _root_ Το ζητούμενο δεν είναι μόνον ποιος θα επιτύχει τα περισσότερα , η Επιτροπή ή το Συμβούλιο η εμείς ως Κοινοβούλιο , όχι !
#goldHeads=2,4,4,21,4,11,8,4,10,8,8,13,17,17,16,17,11,17,18,19,0,21,21,
#predictedHeads=2,4,4,0,4,8,8,4,10,8,14,13,14,8,16,14,20,21,18,19,22,0,0,
(0,2),-0.96021 # DEPENDENCYPART_ARC
(0,4),0.394326 # DEPENDENCYPART_ARC
(0,5),-1.42135 # DEPENDENCYPART_ARC
(0,8),-1.20894 # DEPENDENCYPART_ARC
(0,10),-1.57303 # DEPENDENCYPART_ARC
(0,11),-0.491335 # DEPENDENCYPART_ARC
(0,14),-2.03682 # DEPENDENCYPART_ARC
(0,21),-0.726491 # DEPENDENCYPART_ARC
(0,23),1.38791 # DEPENDENCYPART_ARC
(1,2),0.500091 # DEPENDENCYPART_ARC
(2,1),3.37363 # DEPENDENCYPART_ARC
(2,4),-0.50884 # DEPENDENCYPART_ARC
(2,5),-0.665047 # DEPENDENCYPART_ARC
(2,8),-1.81965 # DEPENDENCYPART_ARC
(2,11),-0.489788 # DEPENDENCYPART_ARC
(2,14),-0.583769 # DEPENDENCYPART_ARC
(3,1),-0.0574378 # DEPENDENCYPART_ARC
(4,1),-0.20713 # DEPENDENCYPART_ARC
(4,2),2.50303 # DEPENDENCYPART_ARC
(4,3),2.37208 # DEPENDENCYPART_ARC
(4,5),1.49811 # DEPENDENCYPART_ARC
(4,7),-0.0292604 # DEPENDENCYPART_ARC
(4,8),0.634272 # DEPENDENCYPART_ARC
(4,10),-1.06376 # DEPENDENCYPART_ARC
(4,11),-0.0168716 # DEPENDENCYPART_ARC
(4,13),-0.00854448 # DEPENDENCYPART_ARC
(4,14),-0.17007 # DEPENDENCYPART_ARC
(4,16),-0.844555 # DEPENDENCYPART_ARC
(4,19),-0.69185 # DEPENDENCYPART_ARC
(4,20),-2.1534 # DEPENDENCYPART_ARC
(4,21),-0.241931 # DEPENDENCYPART_ARC
(4,23),-0.449578 # DEPENDENCYPART_ARC
(5,2),-1.10774 # DEPENDENCYPART_ARC
(5,4),-0.740448 # DEPENDENCYPART_ARC
(5,8),-0.876652 # DEPENDENCYPART_ARC
(5,11),-0.735267 # DEPENDENCYPART_ARC
(5,13),-2.23278 # DEPENDENCYPART_ARC
(8,2),1.46073 # DEPENDENCYPART_ARC
(8,4),-2.69392 # DEPENDENCYPART_ARC
(8,5),0.639097 # DEPENDENCYPART_ARC
(8,6),2.01269 # DEPENDENCYPART_ARC
(8,7),2.55471 # DEPENDENCYPART_ARC
(8,9),0.070134 # DEPENDENCYPART_ARC
(8,10),0.673541 # DEPENDENCYPART_ARC
(8,11),0.664425 # DEPENDENCYPART_ARC
(8,13),1.30899 # DEPENDENCYPART_ARC
(8,14),0.914381 # DEPENDENCYPART_ARC
(8,16),-0.19459 # DEPENDENCYPART_ARC
(8,19),-0.11121 # DEPENDENCYPART_ARC
(8,20),-0.847613 # DEPENDENCYPART_ARC
(8,21),0.217165 # DEPENDENCYPART_ARC
(8,23),0.29834 # DEPENDENCYPART_ARC
(10,2),-1.22917 # DEPENDENCYPART_ARC
(10,5),0.056265 # DEPENDENCYPART_ARC
(10,9),1.55479 # DEPENDENCYPART_ARC
(10,11),0.284731 # DEPENDENCYPART_ARC
(10,13),-0.444981 # DEPENDENCYPART_ARC
(10,16),-1.15986 # DEPENDENCYPART_ARC
(11,2),-1.13724 # DEPENDENCYPART_ARC
(11,4),-0.418473 # DEPENDENCYPART_ARC
(11,5),-0.723959 # DEPENDENCYPART_ARC
(11,8),-0.530267 # DEPENDENCYPART_ARC
(11,10),-0.271195 # DEPENDENCYPART_ARC
(11,13),0.0202698 # DEPENDENCYPART_ARC
(11,14),0.169535 # DEPENDENCYPART_ARC
(11,16),-0.549147 # DEPENDENCYPART_ARC
(11,19),-0.518255 # DEPENDENCYPART_ARC
(11,20),-0.666465 # DEPENDENCYPART_ARC
(11,21),-0.114083 # DEPENDENCYPART_ARC
(11,23),-0.202973 # DEPENDENCYPART_ARC
(13,5),-1.70465 # DEPENDENCYPART_ARC
(13,9),-1.0712 # DEPENDENCYPART_ARC
(13,10),-2.21865 # DEPENDENCYPART_ARC
(13,11),-0.445437 # DEPENDENCYPART_ARC
(13,12),2.90573 # DEPENDENCYPART_ARC
(13,14),0.123819 # DEPENDENCYPART_ARC
(13,15),-1.829 # DEPENDENCYPART_ARC
(13,16),-1.62111 # DEPENDENCYPART_ARC
(13,19),-0.973677 # DEPENDENCYPART_ARC
(13,20),-2.89762 # DEPENDENCYPART_ARC
(14,2),0.106279 # DEPENDENCYPART_ARC
(14,4),-1.04469 # DEPENDENCYPART_ARC
(14,5),-0.218828 # DEPENDENCYPART_ARC
(14,8),-0.397696 # DEPENDENCYPART_ARC
(14,9),-0.114886 # DEPENDENCYPART_ARC
(14,10),0.427234 # DEPENDENCYPART_ARC
(14,11),1.41264 # DEPENDENCYPART_ARC
(14,12),0.49248 # DEPENDENCYPART_ARC
(14,13),2.68846 # DEPENDENCYPART_ARC
(14,15),0.162704 # DEPENDENCYPART_ARC
(14,16),1.71359 # DEPENDENCYPART_ARC
(14,19),-0.049117 # DEPENDENCYPART_ARC
(14,20),0.289955 # DEPENDENCYPART_ARC
(14,21),0.420589 # DEPENDENCYPART_ARC
(14,23),0.0728251 # DEPENDENCYPART_ARC
(16,5),-1.35165 # DEPENDENCYPART_ARC
(16,9),-1.45084 # DEPENDENCYPART_ARC
(16,10),-2.06973 # DEPENDENCYPART_ARC
(16,12),-0.0666038 # DEPENDENCYPART_ARC
(16,13),-1.57054 # DEPENDENCYPART_ARC
(16,14),-0.0394456 # DEPENDENCYPART_ARC
(16,15),2.92312 # DEPENDENCYPART_ARC
