# _root_ Ήταν στεγασμένη με ένα τετράγωνο κτήριο , ανοικτό στη νότια πλευρά , όπου υπήρχε δωρική στοά .
#goldHeads=0,1,2,6,6,3,1,6,8,11,9,14,14,11,16,14,14,
#predictedHeads=0,1,2,6,6,3,8,5,8,11,9,14,14,2,16,14,0,
(0,1),0.679395 # DEPENDENCYPART_ARC
(0,2),-1.3331 # DEPENDENCYPART_ARC
(0,3),-1.41315 # DEPENDENCYPART_ARC
(0,7),-0.684692 # DEPENDENCYPART_ARC
(0,8),-2.27897 # DEPENDENCYPART_ARC
(0,12),-0.909262 # DEPENDENCYPART_ARC
(0,14),-0.648111 # DEPENDENCYPART_ARC
(0,15),-1.89986 # DEPENDENCYPART_ARC
(0,16),-1.96278 # DEPENDENCYPART_ARC
(0,17),2.57981 # DEPENDENCYPART_ARC
(1,2),2.90045 # DEPENDENCYPART_ARC
(1,3),0.599399 # DEPENDENCYPART_ARC
(1,5),-1.00828 # DEPENDENCYPART_ARC
(1,6),0.126302 # DEPENDENCYPART_ARC
(1,7),0.317053 # DEPENDENCYPART_ARC
(1,8),-0.160339 # DEPENDENCYPART_ARC
(1,9),-0.20945 # DEPENDENCYPART_ARC
(1,11),-1.19613 # DEPENDENCYPART_ARC
(1,12),0.0609774 # DEPENDENCYPART_ARC
(1,13),-0.620684 # DEPENDENCYPART_ARC
(1,14),-4.54252 # DEPENDENCYPART_ARC
(1,16),-1.89526 # DEPENDENCYPART_ARC
(1,17),-0.761476 # DEPENDENCYPART_ARC
(2,1),-1.36907 # DEPENDENCYPART_ARC
(2,3),1.19954 # DEPENDENCYPART_ARC
(2,5),-1.16118 # DEPENDENCYPART_ARC
(2,6),-1.59193 # DEPENDENCYPART_ARC
(2,7),-0.0387932 # DEPENDENCYPART_ARC
(2,9),-0.322103 # DEPENDENCYPART_ARC
(2,11),-1.86844 # DEPENDENCYPART_ARC
(2,12),0.183006 # DEPENDENCYPART_ARC
(2,14),-0.628912 # DEPENDENCYPART_ARC
(3,1),-0.546038 # DEPENDENCYPART_ARC
(3,2),-0.147231 # DEPENDENCYPART_ARC
(3,4),0.22316 # DEPENDENCYPART_ARC
(3,5),0.974211 # DEPENDENCYPART_ARC
(3,6),1.83058 # DEPENDENCYPART_ARC
(3,7),0.239168 # DEPENDENCYPART_ARC
(3,11),0.673434 # DEPENDENCYPART_ARC
(3,12),0.0585107 # DEPENDENCYPART_ARC
(3,17),-0.484038 # DEPENDENCYPART_ARC
(5,3),-0.460007 # DEPENDENCYPART_ARC
(5,4),0.728524 # DEPENDENCYPART_ARC
(5,6),0.36161 # DEPENDENCYPART_ARC
(5,8),0.418786 # DEPENDENCYPART_ARC
(5,9),-1.12112 # DEPENDENCYPART_ARC
(6,1),-1.59665 # DEPENDENCYPART_ARC
(6,2),-0.593122 # DEPENDENCYPART_ARC
(6,3),-0.0485151 # DEPENDENCYPART_ARC
(6,4),3.46215 # DEPENDENCYPART_ARC
(6,5),3.69773 # DEPENDENCYPART_ARC
(6,7),0.091674 # DEPENDENCYPART_ARC
(6,8),-0.128433 # DEPENDENCYPART_ARC
(6,9),-0.818782 # DEPENDENCYPART_ARC
(6,10),-0.738031 # DEPENDENCYPART_ARC
(6,11),-0.534888 # DEPENDENCYPART_ARC
(6,13),-1.23733 # DEPENDENCYPART_ARC
(6,14),-1.72806 # DEPENDENCYPART_ARC
(7,1),-0.678086 # DEPENDENCYPART_ARC
(7,2),-0.310985 # DEPENDENCYPART_ARC
(7,3),0.00587488 # DEPENDENCYPART_ARC
(7,5),0.0304813 # DEPENDENCYPART_ARC
(7,6),0.330845 # DEPENDENCYPART_ARC
(7,8),-0.0757435 # DEPENDENCYPART_ARC
(7,9),-0.0728997 # DEPENDENCYPART_ARC
(7,10),-0.174991 # DEPENDENCYPART_ARC
(7,11),-0.11202 # DEPENDENCYPART_ARC
(7,12),0.0950648 # DEPENDENCYPART_ARC
(7,13),-0.609415 # DEPENDENCYPART_ARC
(7,14),-0.759771 # DEPENDENCYPART_ARC
(7,15),-0.975353 # DEPENDENCYPART_ARC
(7,16),-1.11219 # DEPENDENCYPART_ARC
(7,17),-0.125736 # DEPENDENCYPART_ARC
(8,6),-0.25253 # DEPENDENCYPART_ARC
(8,7),0.496012 # DEPENDENCYPART_ARC
(8,9),0.510533 # DEPENDENCYPART_ARC
(8,10),-0.226901 # DEPENDENCYPART_ARC
(8,11),-0.162614 # DEPENDENCYPART_ARC
(8,12),0.215004 # DEPENDENCYPART_ARC
(8,13),-0.239722 # DEPENDENCYPART_ARC
(8,14),-0.847422 # DEPENDENCYPART_ARC
(8,16),-1.63116 # DEPENDENCYPART_ARC
(8,17),-0.354211 # DEPENDENCYPART_ARC
(9,7),0.322804 # DEPENDENCYPART_ARC
(9,8),-0.30412 # DEPENDENCYPART_ARC
(9,10),0.898037 # DEPENDENCYPART_ARC
(9,11),2.92446 # DEPENDENCYPART_ARC
(9,12),0.189174 # DEPENDENCYPART_ARC
