# _root_ Εδώ δεν πρέπει όμως να ξεχάσουμε το εξής : το ευρώ δεν είναι μόνο ένα νομισματικό πρόγραμμα , αλλά ήταν ανέκαθεν και πολιτικό πρόγραμμα , αποτελώντας τμήμα της Πολιτικής Ένωσης της Ευρώπης .
#goldHeads=3,3,4,0,6,3,8,9,6,11,13,13,19,13,17,17,13,19,9,19,20,24,24,20,26,19,26,30,30,27,32,30,0,
#predictedHeads=3,3,4,0,6,4,8,6,13,11,13,13,19,13,17,17,13,19,4,19,22,24,22,20,26,20,26,30,30,27,32,30,0,
(0,1),-0.594851 # DEPENDENCYPART_ARC
(0,3),0.818425 # DEPENDENCYPART_ARC
(0,4),0.471198 # DEPENDENCYPART_ARC
(0,6),-1.43626 # DEPENDENCYPART_ARC
(0,9),0.0300903 # DEPENDENCYPART_ARC
(0,13),-1.61321 # DEPENDENCYPART_ARC
(0,18),-0.0429443 # DEPENDENCYPART_ARC
(0,19),-0.737397 # DEPENDENCYPART_ARC
(0,20),-1.66015 # DEPENDENCYPART_ARC
(0,22),-1.96994 # DEPENDENCYPART_ARC
(0,24),-1.46699 # DEPENDENCYPART_ARC
(0,25),-0.310287 # DEPENDENCYPART_ARC
(0,26),-2.36262 # DEPENDENCYPART_ARC
(0,27),-1.68073 # DEPENDENCYPART_ARC
(0,33),4.89188 # DEPENDENCYPART_ARC
(1,3),0.0634563 # DEPENDENCYPART_ARC
(1,4),-0.30292 # DEPENDENCYPART_ARC
(1,6),-0.976132 # DEPENDENCYPART_ARC
(3,1),0.650207 # DEPENDENCYPART_ARC
(3,2),1.43454 # DEPENDENCYPART_ARC
(3,4),0.60686 # DEPENDENCYPART_ARC
(3,6),0.934138 # DEPENDENCYPART_ARC
(3,9),-0.212691 # DEPENDENCYPART_ARC
(3,11),-1.88717 # DEPENDENCYPART_ARC
(3,13),-2.24654 # DEPENDENCYPART_ARC
(3,16),-2.03692 # DEPENDENCYPART_ARC
(3,19),-0.500293 # DEPENDENCYPART_ARC
(3,23),-3.22731 # DEPENDENCYPART_ARC
(4,1),0.205964 # DEPENDENCYPART_ARC
(4,2),0.341801 # DEPENDENCYPART_ARC
(4,3),2.97571 # DEPENDENCYPART_ARC
(4,5),0.114522 # DEPENDENCYPART_ARC
(4,6),1.77591 # DEPENDENCYPART_ARC
(4,8),-0.411058 # DEPENDENCYPART_ARC
(4,9),0.224293 # DEPENDENCYPART_ARC
(4,11),-1.71852 # DEPENDENCYPART_ARC
(4,13),-0.399668 # DEPENDENCYPART_ARC
(4,18),0.122494 # DEPENDENCYPART_ARC
(4,19),-0.0698894 # DEPENDENCYPART_ARC
(4,20),-0.396943 # DEPENDENCYPART_ARC
(4,22),-0.859267 # DEPENDENCYPART_ARC
(4,25),0.0571056 # DEPENDENCYPART_ARC
(4,26),-1.11459 # DEPENDENCYPART_ARC
(6,1),-0.37266 # DEPENDENCYPART_ARC
(6,2),0.132321 # DEPENDENCYPART_ARC
(6,3),-2.48454 # DEPENDENCYPART_ARC
(6,4),-0.514594 # DEPENDENCYPART_ARC
(6,5),1.94008 # DEPENDENCYPART_ARC
(6,7),-0.644686 # DEPENDENCYPART_ARC
(6,8),0.981676 # DEPENDENCYPART_ARC
(6,9),0.74116 # DEPENDENCYPART_ARC
(6,11),0.734331 # DEPENDENCYPART_ARC
(6,13),-2.72966 # DEPENDENCYPART_ARC
(6,14),-0.847982 # DEPENDENCYPART_ARC
(6,17),-1.55705 # DEPENDENCYPART_ARC
(6,18),-0.0651577 # DEPENDENCYPART_ARC
(6,19),-0.509504 # DEPENDENCYPART_ARC
(6,24),-1.53721 # DEPENDENCYPART_ARC
(6,25),-0.0699021 # DEPENDENCYPART_ARC
(6,30),-3.81902 # DEPENDENCYPART_ARC
(6,32),-4.57847 # DEPENDENCYPART_ARC
(7,8),0.385184 # DEPENDENCYPART_ARC
(8,1),-0.473665 # DEPENDENCYPART_ARC
(8,4),-0.34674 # DEPENDENCYPART_ARC
(8,6),-0.938002 # DEPENDENCYPART_ARC
(8,7),1.11683 # DEPENDENCYPART_ARC
(8,9),-0.212403 # DEPENDENCYPART_ARC
(8,11),-1.01573 # DEPENDENCYPART_ARC
(9,3),-0.255841 # DEPENDENCYPART_ARC
(9,4),-0.396837 # DEPENDENCYPART_ARC
(9,6),0.0212137 # DEPENDENCYPART_ARC
(9,8),0.297421 # DEPENDENCYPART_ARC
(9,11),-0.230244 # DEPENDENCYPART_ARC
(9,13),-0.476623 # DEPENDENCYPART_ARC
(9,19),-0.364519 # DEPENDENCYPART_ARC
(9,20),-0.138749 # DEPENDENCYPART_ARC
(9,22),-0.169815 # DEPENDENCYPART_ARC
(9,23),-1.14007 # DEPENDENCYPART_ARC
(9,32),-0.961412 # DEPENDENCYPART_ARC
(11,7),1.00361 # DEPENDENCYPART_ARC
(11,8),-0.120279 # DEPENDENCYPART_ARC
(11,9),0.522608 # DEPENDENCYPART_ARC
(11,10),3.38313 # DEPENDENCYPART_ARC
(11,13),-0.913118 # DEPENDENCYPART_ARC
(11,14),-1.11016 # DEPENDENCYPART_ARC
(11,16),-1.30934 # DEPENDENCYPART_ARC
(12,10),-0.1637 # DEPENDENCYPART_ARC
(13,1),-0.11872 # DEPENDENCYPART_ARC
(13,3),-3.63662 # DEPENDENCYPART_ARC
(13,4),0.232894 # DEPENDENCYPART_ARC
(13,6),-3.0206 # DEPENDENCYPART_ARC
(13,8),0.199218 # DEPENDENCYPART_ARC
(13,9),0.827286 # DEPENDENCYPART_ARC
(13,10),-0.220564 # DEPENDENCYPART_ARC
(13,11),0.804079 # DEPENDENCYPART_ARC
(13,12),2.35361 # DEPENDENCYPART_ARC
(13,14),1.19667 # DEPENDENCYPART_ARC
(13,16),0.548012 # DEPENDENCYPART_ARC
(13,17),1.48437 # DEPENDENCYPART_ARC
(13,18),0.312777 # DEPENDENCYPART_ARC
(13,19),0.419366 # DEPENDENCYPART_ARC
(13,20),-3.42718 # DEPENDENCYPART_ARC
(13,21),-2.02224 # DEPENDENCYPART_ARC
(13,22),-0.460951 # DEPENDENCYPART_ARC
(13,24),-0.981393 # DEPENDENCYPART_ARC
(13,25),-0.132356 # DEPENDENCYPART_ARC
(13,27),-0.80818 # DEPENDENCYPART_ARC
(13,30),-2.00389 # DEPENDENCYPART_ARC
(13,32),-2.45853 # DEPENDENCYPART_ARC
(14,13),-0.746403 # DEPENDENCYPART_ARC
(14,16),-0.322715 # DEPENDENCYPART_ARC
(14,17),-0.437074 # DEPENDENCYPART_ARC
(14,18),-0.739285 # DEPENDENCYPART_ARC
(15,14),0.934041 # DEPENDENCYPART_ARC
(16,14),-0.450143 # DEPENDENCYPART_ARC
(16,15),0.633557 # DEPENDENCYPART_ARC
(16,17),-0.352226 # DEPENDENCYPART_ARC
(17,7),-1.5076 # DEPENDENCYPART_ARC
(17,10),-0.667302 # DEPENDENCYPART_ARC
(17,14),-0.0111017 # DEPENDENCYPART_ARC
(17,15),3.54205 # DEPENDENCYPART_ARC
(17,16),3.43872 # DEPENDENCYPART_ARC
(17,18),0.385747 # DEPENDENCYPART_ARC
(17,20),-0.628588 # DEPENDENCYPART_ARC
(17,21),-1.13111 # DEPENDENCYPART_ARC
(18,16),-0.442819 # DEPENDENCYPART_ARC
(18,17),-0.256011 # DEPENDENCYPART_ARC
