# _root_ Η εταιρεία αυτή στη Black Country στο Ηνωμένο Βασίλειο απασχολεί 80 άτομα , δηλαδή 80 θέσεις εργασίες για τις οποίες υπάρχει μεγάλη ανάγκη , και συμμορφώνεται με όλες τις κοινωνικές προδιαγραφές της νομοθεσίας του Ηνωμένου Βασιλείου .
#goldHeads=2,10,2,2,6,4,6,9,7,25,12,14,14,10,16,14,16,21,20,18,16,23,21,25,0,25,26,31,31,31,27,33,31,36,36,33,0,
#predictedHeads=2,10,2,2,6,4,14,9,7,25,12,10,14,15,16,17,25,17,20,18,25,23,21,25,0,25,26,31,31,31,27,33,31,36,36,33,0,
(0,2),-1.3096 # DEPENDENCYPART_ARC
(0,3),-1.2209 # DEPENDENCYPART_ARC
(0,4),-1.03888 # DEPENDENCYPART_ARC
(0,5),-1.24353 # DEPENDENCYPART_ARC
(0,6),-1.13063 # DEPENDENCYPART_ARC
(0,8),-1.42373 # DEPENDENCYPART_ARC
(0,10),0.695036 # DEPENDENCYPART_ARC
(0,11),-1.66903 # DEPENDENCYPART_ARC
(0,13),-1.25974 # DEPENDENCYPART_ARC
(0,15),-1.65249 # DEPENDENCYPART_ARC
(0,21),0.105375 # DEPENDENCYPART_ARC
(0,24),-1.39714 # DEPENDENCYPART_ARC
(0,25),0.94433 # DEPENDENCYPART_ARC
(0,26),-0.643847 # DEPENDENCYPART_ARC
(0,37),4.04058 # DEPENDENCYPART_ARC
(1,2),0.0994046 # DEPENDENCYPART_ARC
(2,1),2.8524 # DEPENDENCYPART_ARC
(2,3),3.29991 # DEPENDENCYPART_ARC
(2,4),0.920601 # DEPENDENCYPART_ARC
(2,5),0.323553 # DEPENDENCYPART_ARC
(2,6),0.479802 # DEPENDENCYPART_ARC
(2,7),0.0994924 # DEPENDENCYPART_ARC
(2,8),-1.59405 # DEPENDENCYPART_ARC
(2,9),-0.918295 # DEPENDENCYPART_ARC
(2,10),-0.917814 # DEPENDENCYPART_ARC
(2,14),-0.668454 # DEPENDENCYPART_ARC
(2,18),-0.530767 # DEPENDENCYPART_ARC
(2,25),-0.503555 # DEPENDENCYPART_ARC
(4,5),1.37594 # DEPENDENCYPART_ARC
(4,6),1.34836 # DEPENDENCYPART_ARC
(5,6),0.487245 # DEPENDENCYPART_ARC
(5,7),0.376104 # DEPENDENCYPART_ARC
(6,5),2.11139 # DEPENDENCYPART_ARC
(6,7),0.494465 # DEPENDENCYPART_ARC
(6,9),0.0822127 # DEPENDENCYPART_ARC
(6,10),-0.512004 # DEPENDENCYPART_ARC
(7,8),1.43361 # DEPENDENCYPART_ARC
(7,9),2.83482 # DEPENDENCYPART_ARC
(7,10),-1.83717 # DEPENDENCYPART_ARC
(8,2),-2.42627 # DEPENDENCYPART_ARC
(8,9),0.432696 # DEPENDENCYPART_ARC
(8,11),-0.924616 # DEPENDENCYPART_ARC
(9,1),-0.348452 # DEPENDENCYPART_ARC
(9,2),-1.67069 # DEPENDENCYPART_ARC
(9,3),-1.59747 # DEPENDENCYPART_ARC
(9,7),0.323983 # DEPENDENCYPART_ARC
(9,8),3.66961 # DEPENDENCYPART_ARC
(9,10),-1.05219 # DEPENDENCYPART_ARC
