# _root_ Από τότε , η Κέρκυρα έχει γεννήσει δύο Έλληνες πρωθυπουργούς και διάφορους άλλους πρωταγωνιστές της πολιτικής , κοινωνικής και πολιτιστικής ζωής της χώρας .
#goldHeads=7,1,7,5,7,7,0,10,10,11,7,14,14,11,16,19,19,19,21,19,14,23,21,0,
#predictedHeads=7,1,7,5,7,7,0,9,7,11,9,14,14,11,16,14,19,19,21,19,16,23,21,0,
(0,1),-1.161 # DEPENDENCYPART_ARC
(0,2),-0.789117 # DEPENDENCYPART_ARC
(0,3),-0.268381 # DEPENDENCYPART_ARC
(0,5),-1.0048 # DEPENDENCYPART_ARC
(0,6),0.548666 # DEPENDENCYPART_ARC
(0,7),-0.952069 # DEPENDENCYPART_ARC
(0,9),-1.77971 # DEPENDENCYPART_ARC
(0,10),-1.35312 # DEPENDENCYPART_ARC
(0,11),-1.20889 # DEPENDENCYPART_ARC
(0,12),-1.86409 # DEPENDENCYPART_ARC
(0,13),-1.94031 # DEPENDENCYPART_ARC
(0,14),-1.99498 # DEPENDENCYPART_ARC
(0,17),-0.974238 # DEPENDENCYPART_ARC
(0,18),-1.85848 # DEPENDENCYPART_ARC
(0,19),-1.44889 # DEPENDENCYPART_ARC
(0,20),-1.98803 # DEPENDENCYPART_ARC
(0,21),-2.10591 # DEPENDENCYPART_ARC
(0,23),-2.08775 # DEPENDENCYPART_ARC
(0,24),3.276 # DEPENDENCYPART_ARC
(1,2),1.81948 # DEPENDENCYPART_ARC
(1,3),0.634156 # DEPENDENCYPART_ARC
(1,5),0.96341 # DEPENDENCYPART_ARC
(1,6),-0.543899 # DEPENDENCYPART_ARC
(1,7),-1.44713 # DEPENDENCYPART_ARC
(1,9),-1.30233 # DEPENDENCYPART_ARC
(1,11),-0.193253 # DEPENDENCYPART_ARC
(2,1),-0.0265023 # DEPENDENCYPART_ARC
(2,3),0.174787 # DEPENDENCYPART_ARC
(2,5),-0.874624 # DEPENDENCYPART_ARC
(2,6),-0.94026 # DEPENDENCYPART_ARC
(3,1),-0.36168 # DEPENDENCYPART_ARC
(3,2),-0.156843 # DEPENDENCYPART_ARC
(3,5),-0.337003 # DEPENDENCYPART_ARC
(3,6),-0.668309 # DEPENDENCYPART_ARC
(5,2),-0.80551 # DEPENDENCYPART_ARC
(5,3),-0.468173 # DEPENDENCYPART_ARC
(5,4),2.93238 # DEPENDENCYPART_ARC
(5,6),-1.46859 # DEPENDENCYPART_ARC
(5,7),-1.52637 # DEPENDENCYPART_ARC
(6,1),0.211079 # DEPENDENCYPART_ARC
(6,2),-0.314409 # DEPENDENCYPART_ARC
(6,3),0.71981 # DEPENDENCYPART_ARC
(6,4),-1.30254 # DEPENDENCYPART_ARC
(6,5),1.05765 # DEPENDENCYPART_ARC
(6,7),-1.16798 # DEPENDENCYPART_ARC
(6,8),-1.96626 # DEPENDENCYPART_ARC
(6,9),-0.699404 # DEPENDENCYPART_ARC
(6,10),-0.562778 # DEPENDENCYPART_ARC
(6,11),-1.07388 # DEPENDENCYPART_ARC
(6,12),-3.33897 # DEPENDENCYPART_ARC
(6,17),-0.89384 # DEPENDENCYPART_ARC
(7,1),1.07504 # DEPENDENCYPART_ARC
(7,2),0.649742 # DEPENDENCYPART_ARC
(7,3),1.17634 # DEPENDENCYPART_ARC
(7,4),-0.0838667 # DEPENDENCYPART_ARC
(7,5),2.24805 # DEPENDENCYPART_ARC
(7,6),4.27612 # DEPENDENCYPART_ARC
(7,8),0.776694 # DEPENDENCYPART_ARC
(7,9),1.75283 # DEPENDENCYPART_ARC
(7,10),1.64532 # DEPENDENCYPART_ARC
(7,11),0.286889 # DEPENDENCYPART_ARC
(7,12),-0.868781 # DEPENDENCYPART_ARC
(7,13),-0.593439 # DEPENDENCYPART_ARC
(7,14),-0.384009 # DEPENDENCYPART_ARC
(7,16),-2.374 # DEPENDENCYPART_ARC
(7,17),0.341346 # DEPENDENCYPART_ARC
(7,19),-0.145612 # DEPENDENCYPART_ARC
(7,21),-2.50036 # DEPENDENCYPART_ARC
(7,23),-3.07537 # DEPENDENCYPART_ARC
