# _root_ Αποτελεί πρόκληση για όλους εμάς - το Κοινοβούλιο , την Επιτροπή και το Συμβούλιο - να θεσπίσουμε αυτά τα εχέγγυα , διότι είναι δύσκολο να εξακολουθήσουμε να συμφωνούμε ώσπου να τα αποκτήσουμε .
#goldHeads=0,1,1,5,6,3,8,12,12,11,12,6,14,12,6,17,1,20,20,17,17,1,22,23,26,23,28,26,28,32,32,29,0,
#predictedHeads=0,1,2,5,3,8,8,12,12,11,12,3,14,12,6,17,12,19,20,17,22,17,22,23,26,23,28,26,28,32,32,29,0,
(0,1),0.281916 # DEPENDENCYPART_ARC
(0,2),-1.30291 # DEPENDENCYPART_ARC
(0,3),-1.57766 # DEPENDENCYPART_ARC
(0,6),-0.305877 # DEPENDENCYPART_ARC
(0,9),-0.866892 # DEPENDENCYPART_ARC
(0,12),-1.07325 # DEPENDENCYPART_ARC
(0,15),-1.0591 # DEPENDENCYPART_ARC
(0,17),-1.49892 # DEPENDENCYPART_ARC
(0,18),-2.36858 # DEPENDENCYPART_ARC
(0,22),-1.57818 # DEPENDENCYPART_ARC
(0,23),-1.26328 # DEPENDENCYPART_ARC
(0,24),-2.89179 # DEPENDENCYPART_ARC
(0,26),-2.28898 # DEPENDENCYPART_ARC
(0,28),-2.17729 # DEPENDENCYPART_ARC
(0,29),-2.14362 # DEPENDENCYPART_ARC
(0,33),4.48664 # DEPENDENCYPART_ARC
(1,2),2.85635 # DEPENDENCYPART_ARC
(1,3),0.903281 # DEPENDENCYPART_ARC
(1,4),-1.63953 # DEPENDENCYPART_ARC
(1,5),-0.371458 # DEPENDENCYPART_ARC
(1,6),-0.218024 # DEPENDENCYPART_ARC
(1,8),-1.34242 # DEPENDENCYPART_ARC
(1,9),-0.251519 # DEPENDENCYPART_ARC
(1,11),-1.1385 # DEPENDENCYPART_ARC
(1,12),-0.00585483 # DEPENDENCYPART_ARC
(1,14),-2.44442 # DEPENDENCYPART_ARC
(1,15),-0.42445 # DEPENDENCYPART_ARC
(1,17),-2.24923 # DEPENDENCYPART_ARC
(1,22),-0.249116 # DEPENDENCYPART_ARC
(2,1),-1.40986 # DEPENDENCYPART_ARC
(2,3),1.11452 # DEPENDENCYPART_ARC
(2,4),-0.762003 # DEPENDENCYPART_ARC
(2,6),-0.287804 # DEPENDENCYPART_ARC
(2,8),-1.80011 # DEPENDENCYPART_ARC
(2,12),0.0595704 # DEPENDENCYPART_ARC
(2,17),-0.9034 # DEPENDENCYPART_ARC
(3,1),-0.613907 # DEPENDENCYPART_ARC
(3,2),-0.774774 # DEPENDENCYPART_ARC
(3,4),1.20429 # DEPENDENCYPART_ARC
(3,5),1.70212 # DEPENDENCYPART_ARC
(3,6),0.274886 # DEPENDENCYPART_ARC
(3,8),0.887537 # DEPENDENCYPART_ARC
(3,9),0.0676559 # DEPENDENCYPART_ARC
(3,11),-1.09563 # DEPENDENCYPART_ARC
(3,12),0.639226 # DEPENDENCYPART_ARC
(3,15),-0.402066 # DEPENDENCYPART_ARC
(4,2),-2.02335 # DEPENDENCYPART_ARC
(4,3),-0.452435 # DEPENDENCYPART_ARC
(4,5),-0.361394 # DEPENDENCYPART_ARC
(4,6),-0.156569 # DEPENDENCYPART_ARC
