# _root_ Ιδιαίτερα , όσον αφορά μια μελλοντική συνεργασία βασισμένη στις δημοκρατικές αρχές των ανθρωπίνων δικαιωμάτων , των θεμελιωδών ελευθεριών και του κράτους δικαίου .
#goldHeads=4,4,4,0,7,7,4,7,8,11,9,14,14,19,19,18,18,19,11,21,19,21,0,
#predictedHeads=4,4,4,0,7,7,4,7,8,11,9,14,14,19,19,18,18,19,4,22,22,19,0,
(0,1),-0.431514 # DEPENDENCYPART_ARC
(0,2),-0.401783 # DEPENDENCYPART_ARC
(0,3),-0.789749 # DEPENDENCYPART_ARC
(0,4),-0.570123 # DEPENDENCYPART_ARC
(0,6),-1.31022 # DEPENDENCYPART_ARC
(0,7),-1.72219 # DEPENDENCYPART_ARC
(0,8),-1.5299 # DEPENDENCYPART_ARC
(0,9),-2.26868 # DEPENDENCYPART_ARC
(0,15),-0.623013 # DEPENDENCYPART_ARC
(0,19),-0.924233 # DEPENDENCYPART_ARC
(0,23),3.53376 # DEPENDENCYPART_ARC
(1,2),0.21741 # DEPENDENCYPART_ARC
(1,3),-0.469755 # DEPENDENCYPART_ARC
(1,8),-1.47896 # DEPENDENCYPART_ARC
(2,1),0.106067 # DEPENDENCYPART_ARC
(2,3),-0.481483 # DEPENDENCYPART_ARC
(2,4),-0.708454 # DEPENDENCYPART_ARC
(2,6),-1.18257 # DEPENDENCYPART_ARC
(2,7),-1.41866 # DEPENDENCYPART_ARC
(2,8),-1.38759 # DEPENDENCYPART_ARC
(2,9),-1.18573 # DEPENDENCYPART_ARC
(3,1),-0.314286 # DEPENDENCYPART_ARC
(3,2),0.0880037 # DEPENDENCYPART_ARC
(3,4),-0.125014 # DEPENDENCYPART_ARC
(3,6),-1.63542 # DEPENDENCYPART_ARC
(3,7),-1.70662 # DEPENDENCYPART_ARC
(3,8),-1.4641 # DEPENDENCYPART_ARC
(3,15),-0.661258 # DEPENDENCYPART_ARC
(4,1),0.746391 # DEPENDENCYPART_ARC
(4,2),1.49582 # DEPENDENCYPART_ARC
(4,3),2.14948 # DEPENDENCYPART_ARC
(4,6),-0.913187 # DEPENDENCYPART_ARC
(4,7),1.87941 # DEPENDENCYPART_ARC
(4,8),-0.279771 # DEPENDENCYPART_ARC
(4,10),-3.01547 # DEPENDENCYPART_ARC
(4,11),-0.593609 # DEPENDENCYPART_ARC
(4,13),-3.90876 # DEPENDENCYPART_ARC
(4,14),-2.91136 # DEPENDENCYPART_ARC
(4,15),0.0999574 # DEPENDENCYPART_ARC
(4,17),-3.55832 # DEPENDENCYPART_ARC
(4,19),0.299251 # DEPENDENCYPART_ARC
(4,21),-4.44083 # DEPENDENCYPART_ARC
(4,22),-3.47411 # DEPENDENCYPART_ARC
(4,23),0.10239 # DEPENDENCYPART_ARC
(6,1),-1.299 # DEPENDENCYPART_ARC
(6,3),-0.807282 # DEPENDENCYPART_ARC
(6,5),0.324829 # DEPENDENCYPART_ARC
(6,7),0.336172 # DEPENDENCYPART_ARC
(6,8),-1.0755 # DEPENDENCYPART_ARC
(6,9),-0.553648 # DEPENDENCYPART_ARC
(6,11),-1.73202 # DEPENDENCYPART_ARC
